分词排序,词频
上海,23988
信息,21043
工程,20595
科技,16771
建设,14327
银行,13237
房地产,13216
北京,10713
材料,8447
数据,7475
环保,7244
江苏,7125
土地,6870
浙江,6574
环境,6346
生物,5655
汽车,5616
制造,5467
能源,5143
宁波,4916
物流,4707
智能,4643
工业,4325
资源,4211
南京,4171
文化,4117
网站,4078
新能源,3981
教育,3620
杭州,3616
天津,3593
排放,3559
新疆,3518
电力,3518
理财产品,3475
医药,3427
扶贫,3338
香港,3300
发电,3181
化工,3108
健康,3081
深圳,3071
建造,3059
山东,2994
光伏,2952
电子,2924
厦门,2914
重庆,2912
建筑物,2902
苏州,2851
装备,2792
四川,2765
传媒,2643
出版,2608
高新技术,2574
武汉,2567
河南,2561
成都,2449
网络,2422
信托,2386
油气,2381
制药,2372
旅游,2308
机械,2302
食品,2289
贵州,2280
广州,2266
福建,2263
住宅,2171
燃气,2142
监测,2077
药品,2070
排污,2069
医疗,2055
软件,2053
电气,2044
广东,2040
西安,2030
零售,2012
药业,1978
制造业,1951
重工,1951
照明,1947
消费,1940
检测,1910
智慧,1895
天然气,1890
建筑,1850
湖北,1832
节能,1759
信息化,1759
房产,1740
陕西,1716
青岛,1697
中央银行,1689
湖南,1671
光电,1652
施工,1643
零部件,1632
污染物,1624
华夏,1594
自动化,1588
通讯,1577
山西,1568
安徽,1563
华电,1502
污水,1469
工程项目,1460
竣工,1456
媒体,1455
结构性,1447
污水处理,1430
绿色,1417
金融机构,1414
通信,1390
互联网,1385
废气,1373
教育费,1370
本行,1350
生态,1347
基础设施,1336
绿地,1336
外汇,1324
北方,1324
石油,1321
矿业,1317
应急,1312
环境保护,1304
无锡,1303
废水,1295
清理,1290
高速公路,1288
信息技术,1286
运输,1286
沈阳,1286
九州,1280
传统,1260
住房,1260
酒店,1260
电器,1256
路,1246
电站,1239
化学,1225
动力,1225
建工,1221
准备金,1215
凤凰,1203
保险费,1201
热电,1193
车间,1178
商业银行,1163
物业,1156
天津市,1156
煤炭,1151
农业,1148
终端,1134
水务,1129
农药,1128
高速,1125
城,1124
仓储,1114
稀土,1104
长江,1101
户,1100
创业投资,1092
一次性,1082
长春,1074
农村,1070
电机,1070
铁路,1066
药,1054
机器设备,1051
船舶,1046
保费,1044
江西,1043
面积,1039
东兴,1033
消费者,1031
服务业,1028
交通,1027
吉林,1024
智能化,1020
装置,1016
工程师,1013
郑州,991
工程施工,988
超市,978
脱贫,976
保险,975
医院,974
物业管理,972
检验,970
新华,961
常州,958
低值易耗品,956
大连,955
科学,953
轮胎,944
云南,941
自动,938
汇鸿,937
太阳能,936
人工,934
深化,930
高质量,924
水泥,919
中央,914
图书,914
制剂,912
装饰,911
青海,908
航天,908
辽宁,905
地产,898
地块,888
进口,885
象屿,885
海南,874
亚泰,872
一体化,871
污染,866
阳光,865
中药,863
水电,860
工会,859
华谊,853
商品销售,851
养老保险,851
国有资产,849
同方,849
公路,845
天富,845
风电,844
河南省,840
连锁,838
内蒙古,835
武汉市,834
制品,833
车辆,829
清洁,828
西部,825
环节,825
核电,824
电梯,821
监督管理,817
河北,816
西藏,814
技术改造,808
技术创新,802
涂料,798
国际贸易,797
广西,796
除净,789
卧龙,781
高新,780
合肥,778
工厂,777
特种,765
电子商务,759
宁夏,753
新兴,748
商务,742
锅炉,737
常熟,737
电子信箱,736
包装物,735
维修,734
矿山,724
曲江,717
管道,715
医疗保险,712
广场,710
拆出,709
机电,707
外文,704
人力资源,703
基业,699
电,697
传播,695
钢铁,694
非金融,689
建设工程,689
联网,687
临床,687
退休,686
市政,686
纺织,686
中化,686
康恩贝,686
防治,685
路桥,684
河北省,684
操作,681
精密,681
供给,678
长沙,675
分布式,669
湖北省,664
餐饮,660
生育,656
集成,655
外高桥,653
国务院,652
模型,652
新华书店,652
电商,649
政策性,649
高科技,649
门,647
定制,646
工程建设,646
重庆市,641
自然灾害,640
万华,639
兰花,638
海洋,636
治疗,635
光学,632
物料,631
金属,630
在线,628
混合,628
公众,627
建筑工程,626
医学,625
配件,624
工伤保险,622
京,622
工程技术,619
运通,618
中原,616
正泰,615
南京市,614
缴费,614
嵌入,613
印刷,613
教育经费,612
水,611
科研,609
新城,609
新建,608
哈尔滨,608
消耗性,608
大宗,608
盘江,608
华能,602
中核,602
影视,599
神马,597
咨询服务,595
氨氮,594
交通银行,591
海峡,589
就业,588
香江,586
产业园,585
建材,584
烟台,581
化学品,581
三元,581
厂区,580
百货,580
楼,577
电网,576
国债,573
远东,573
军工,573
上海银行,572
煤矿,572
信用证,568
轴承,566
自营,563
嘉兴,563
网络科技,560
晨光,558
华联,557
电池,556
镇,555
生物科技,552
平安,551
甘肃,550
博瑞,550
获授,549
机械设备,549
南通,545
友好,545
泰豪,545
中信,544
药物,543
兴业,542
石化,541
光明,541
折旧费,540
玻璃,538
福田,538
杭叉,537
获,536
白酒,536
带动,535
创业,535
数字化,534
常务,534
煤业,534
雪峰,534
德国,533
样本,533
选取,533
定位,533
稳步,532
补偿款,532
招股,530
使用费,530
村镇,529
上涨,528
显失,528
立信,528
百利,528
上游,527
塑料,527
乘以,526
大道,526
厂商,525
安,523
业态,523
金域,523
此类,522
受限制,522
营业部,522
开具,522
六个月,521
福州,521
苏州市,521
永辉,521
燃料,519
起任,519
中介,519
排放口,518
运输工具,517
转化,517
免税,516
系本,516
计息,516
绍兴,516
配置,515
联系人,514
奖,514
集合,514
浓度,513
召集,513
核工业,512
定向,511
持续性,511
日为,511
利润率,511
道路,511
际华,511
新加坡,510
专业化,510
裁减,508
王,506
稳岗,506
监管部门,506
扬州,506
着力,505
交流,505
种植,505
模具,505
第四季度,504
定期存款,504
款年,504
电子设备,504
兴业银行,503
华,503
激烈,503
发明专利,501
国资委,500
参照,499
致力于,498
贡献,498
手段,498
新设,498
意识,497
张,497
体验,496
第一季度,495
落地,494
选用,494
原料药,494
配送,493
第三季度,492
同受,492
电影,491
要约,490
金发,490
远期,489
日止,489
营运,489
二非,488
发,488
服装,488
联系方式,487
环境保护部,487
期后,487
后本,486
人为,486
清欠,486
设计院,486
共有,485
社保,485
中南,485
游戏,485
设置,484
高水平,484
在内,483
烟气,483
异议,483
将要,483
疑虑,483
湖南省,483
类产品,483
国,483
电缆,482
售后,481
华仪,481
创新能力,480
颁发,480
表中,480
宣传,479
防范,479
发起,479
结构调整,477
融资券,477
金融服务,477
单价,477
参与者,477
商品房,477
专利权,477
队伍,477
退出,476
陕西省,476
珠海,476
文档,476
合诚,476
下滑,475
稳定期,475
省,475
荣获,474
促使,474
余值,474
注本,474
加剧,474
天士力,474
