,分词排序,词频
0,电子,269
1,长青,173
2,共利沪士,170
3,黄石,104
4,沪士,101
5,信息,80
6,昆山,60
7,环境,50
8,板,45
9,记录表,45
10,房地产,41
11,吴礼淦,38
12,汽车,36
13,排放,33
14,工业,30
15,工程,30
16,沪,29
17,环保,27
18,电,26
19,银行,26
20,中国台湾地区,25
21,碧景,23
22,印制电路,22
23,土地,22
24,楠梓,21
25,吴传彬,20
26,微电,20
27,昆山市,20
28,建设,20
29,四四,20
30,沪利,18
31,通讯,18
32,普华永道,18
33,产值,18
34,资源,16
35,健康,16
36,媒体,16
37,先创,16
38,朱碧霞,15
39,陈梅芳,15
40,李明贵,15
41,材料,15
42,污染物,15
43,能源,15
44,合拍,14
45,吴传林,14
46,制造,14
47,逆,14
48,废水,14
49,家族,13
50,青淞厂,13
51,授信额度,13
52,废弃物,12
53,建筑物,12
54,友联,11
55,资讯网,11
56,香港,11
57,应急,11
58,沪照,11
59,二年,11
60,英属维尔京群岛,10
61,绿色,10
62,外汇,10
63,审字,10
64,结构性,10
65,登记日,10
66,起个,10
67,由股,9
68,应用领域,9
69,亚洲,9
70,利用率,9
71,黄石市,9
72,矿物,9
73,李树松,9
74,省籍,9
75,苏州,9
76,湖北省,9
77,中天,9
78,一到,9
79,创利,8
80,厂区,8
81,数据,8
82,之三,8
83,电路板,8
84,技术改造,8
85,良品率,8
86,保险,8
87,环境保护,8
88,达标,8
89,高文贤,8
90,科技,8
91,中国香港,8
92,吴安甫,8
93,台湾同胞,8
94,八页,8
95,日元,8
96,李可欣,7
97,物料,7
98,亿美元,7
99,之十,7
100,教育,7
101,信息安全,7
102,碳,7
103,配置,7
104,危险,7
105,冲突,7
106,普,7
107,诺威,7
108,苏州市,7
109,当选,7
110,公司员工,7
111,养老保险,7
112,以本,7
113,分配比例,6
114,玉,6
115,山镇,6
116,东龙路,6
117,一厂,6
118,网站,6
119,最新,6
120,元器件,6
121,详细情况,6
122,得以,6
123,技术开发区,6
124,暂缓,6
125,黄新镇,6
126,郭秀銮,6
127,中国建设银行,6
128,尊重,6
129,用品,6
130,排放口,6
131,废水处理,6
132,混合型,6
133,联谊会,6
134,党代会,6
135,四十三,6
136,将要,6
137,综合奖,6
138,补,6
139,限售期,6
140,争端,5
141,沪利微,5
142,东南亚,5
143,复合,5
144,指除,5
145,多层板,5
146,高速,5
147,加剧,5
148,自动化,5
149,高新技术,5
150,危险废物,5
151,废气,5
152,污染,5
153,意识,5
154,防治,5
155,陈惠芬,5
156,第十二次,5
157,工商银行,5
158,公益活动,5
159,隐患,5
160,储存,5
161,门,5
162,耗用,5
163,污泥,5
164,罗正英,5
165,惠昆,5
166,于本,5
167,模型,5
168,增至,5
169,受限制,5
170,存出,5
171,水电费,5
172,首个,5
173,当日,5
174,金融风险,5
175,易惠,4
176,上海,4
177,张津,4
178,至股,4
179,建设工程,4
180,激烈,4
181,欧洲,4
182,数据中心,4
183,服务器,4
184,高密度,4
185,电子设备,4
186,挑战,4
187,营收,4
188,作业,4
189,稽核,4
190,秉持,4
191,多层,4
192,此基础,4
193,基础设施,4
194,建网,4
195,关税,4
196,废料,4
197,第二十三,4
198,同类,4
199,金山,4
200,面积,4
201,经济效益,4
202,事故,4
203,现实,4
204,摘要,4
205,金元,4
206,下称,4
207,和谐,4
208,社区,4
209,劳动合同,4
210,生育,4
211,住房,4
212,工会,4
213,演练,4
214,设有,4
215,环境保护部,4
216,污水,4
217,东侧,4
218,工业用水,4
219,回收率,4
220,胶渣,4
221,压泥机,4
222,中央,4
223,中国农业银行,4
224,灵活,4
225,顾问,4
226,江苏,4
227,提议,4
228,页,4
229,低值易耗品,4
230,并作,4
231,机器设备,4
232,计算机软件,4
233,教育费,4
234,折旧费,4
235,零星,4
236,动迁,4
237,约元,4
238,带息,4
239,再融资,3
240,对此,3
241,板指,3
242,陈睿,3
243,解读,3
244,第三季度,3
245,售后服务,3
246,估算,3
247,手机,3
