,分词排序,词频
0,机场,203
1,广州,137
2,航空,124
3,广州白云国际机场,100
4,白云机场,88
5,信息,70
6,建设,53
7,白云,51
8,工程,50
9,广东,46
10,航站楼,36
11,民航,34
12,旅客,32
13,空港,31
14,科技,29
15,运输,28
16,物流,26
17,二号,26
18,扩建工程,24
19,发行额,22
20,起降,21
21,土地,21
22,数据,20
23,地面,20
24,航空公司,20
25,枢纽,19
26,商务,19
27,航线,17
28,邱嘉臣,16
29,吞吐量,16
30,空,16
31,港航,16
32,香港,15
33,用地,14
34,民航机场,13
35,生物,13
36,房地产,12
37,地勤,12
38,维修,12
39,融资券,12
40,汽车,11
41,食品,11
42,注天,11
43,日起息,11
44,王晓勇,10
45,飞机,10
46,货邮,10
47,航站,10
48,航空运输,10
49,翼通,10
50,工程项目,10
51,信息技术,10
52,为天,10
53,日注,10
54,延伸,9
55,珠三角,9
56,网络,9
57,中转,9
58,快线,9
59,货站,9
60,航源,9
61,银行,9
62,代收,9
63,翼,9
64,跑道,8
65,民航局,8
66,万架次,8
67,万人次,8
68,概算,8
69,汉莎,8
70,酒店,8
71,男否,8
72,邓勇,8
73,刚年,8
74,文,8
75,代付款,8
76,传媒,8
77,死亡率,8
78,一号,7
79,航班,7
80,民用机场,7
81,国际航空,7
82,启用,7
83,机坪,7
84,客运,7
85,环境,7
86,广州白云机场,7
87,参照,7
88,大楼,7
89,能源,7
90,上海,6
91,投入使用,6
92,行李,6
93,民用,6
94,登机,6
95,水电费,6
96,航空局,6
97,成都,6
98,飞行区,6
99,装饰,6
100,稳,6
101,社保,6
102,物业管理,6
103,男是,6
104,指挥部,6
105,服务收入,6
106,油气,6
107,建筑物,6
108,暂估,6
109,天骏,6
110,综合信息,6
111,医院,6
112,安保,6
113,占本,6
114,年租金,6
115,万年,6
116,自编,5
117,立信,5
118,航空器,5
119,停场,5
120,深圳,5
121,发改委,5
122,发号,5
123,安检,5
124,广告业务,5
125,项目法人,5
126,资源,5
127,党建,5
128,应急,5
129,文化,5
130,折旧费,5
131,维修费,5
132,交通,5
133,函号,5
134,仓储,5
135,机动车,5
136,检测,5
137,弱电,5
138,工程建设,5
139,运输业,5
140,机,5
141,中央,5
142,张克俭,5
143,核对,5
144,可回收,5
145,除净,5
146,材料,5
147,缴费,5
148,模型,5
149,泰国,5
150,暹罗,5
151,服务中心,5
152,云港,5
153,网站,4
154,邮件,4
155,安全检查,4
156,世界级,4
157,转发,4
158,民航业,4
159,北京,4
160,交通运输,4
161,南航,4
162,自助,4
163,国内航线,4
164,架次,4
165,水电,4
166,桥,4
167,商旅,4
168,翔龙,4
169,宏利,4
170,机电设备,4
171,保险,4
172,混合型,4
173,刘建强,4
174,许汉忠,4
175,毕井双,4
176,饶品,4
177,城,4
178,中央银行,4
179,低值易耗品,4
180,以换,4
181,权证,4
182,养老保险,4
183,精算,4
184,基准,4
185,铂尔曼,4
186,大酒店,4
187,航油,4
188,华南,4
189,石油,4
190,接收,4
191,坪,4
192,戚耀明,3
193,南区,3
194,本部,3
195,办公大楼,3
196,南,3
197,一次性,3
198,场地,3
199,三大,3
200,门户,3
201,南方,3
202,海南,3
203,中南,3
204,管理机构,3
205,值机,3
206,指除,3
207,定位,3
208,办公厅,3
209,通达,3
210,发达,3
211,客货,3
212,开通,3
213,首家,3
214,托运,3
215,通关,3
216,居,3
217,离港,3
218,正常率,3
219,超短,3
220,代建,3
221,统计,3
222,内地,3
223,澳门,3
224,台湾地区,3
225,光大银行,3
226,初步设计,3
227,百货,3
228,物业,3
229,货运,3
230,派送,3
231,贯彻落实,3
232,就业,3
233,高质量,3
234,高铁,3
235,通道,3
236,分流,3
237,珠海,3
238,如本,3
239,高速铁路,3
240,排污,3
241,户,3
242,配置,3
243,过港,3
244,停车场,3
245,园林绿化,3
246,中介,3
247,关易波,3
248,马心航,3
249,总经济师,3
250,工会主席,3
251,许先生,3
252,经理助理,3
253,总指挥,3
254,宾馆,3
255,试行,3
256,工资总额,3
257,年报,3
258,通讯,3
259,过往,3
260,保费,3
261,准备金,3
262,中国民用航空总局,3
263,中国国际航空公司,3
264,超出,3
265,竣工,3
266,政策性,3
267,清理,3
268,教育费,3
269,旅游,3
270,高新技术,3
271,消耗性,3
272,拓康,3
273,通信,3
274,附属,3
275,停机坪,3
276,扩建,3
277,无年,3
278,保险费,3
279,残疾人,3
280,暂按,3
281,人口,3
282,统计假设,3
283,退休,3
284,联检,3
285,查验,3
286,亚运,3
287,东三西,3
288,指廊,3
289,连接,3
290,楼,3
291,节能,3
292,减排,3
293,台式,3
294,炸药,3
295,毒品,3
296,探测仪,3
297,东连廊,3
298,三楼,3
299,电动,3
300,遮阳,3
301,帘,3
302,梅州,3
303,揭阳,3
304,潮汕,3
305,航湾澳,3
306,斯特,3
307,精选,3
308,由原,3
309,国有土地,3
310,穗府,3
311,国用,3
312,第点,3
313,主管人员,2
314,外文,2
315,电子信箱,2
316,网址,2
317,秘书室,2
318,松林,2
319,代表人,2
320,非金融,2
321,自然灾害,2
322,显失,2
323,代理服务,2
324,着力,2
325,确立,2
326,服务公司,2
327,建设费,2
328,通用,2
329,休息室,2
330,信息系统,2
331,国务院,2
332,亚太,2
333,东南亚,2
334,澳洲,2
335,欧美,2
336,长,2
337,最早,2
338,客货运输,2
339,亚太地区,2
340,主,2
341,国际化,2
342,路,2
343,加密,2
344,紧密,2
345,争创,2
346,思想,2
347,党,2
348,十九,2
349,两楼,2
350,安全隐患,2
351,出台,2
352,演练,2
353,承办,2
354,中国民航,2
355,第名,2
356,上线,2
357,环节,2
358,服务设施,2
359,首位,2
360,首批,2
361,智慧,2
362,顺利,2
363,接管,2
364,放行,2
365,成效,2
366,服务业,2
367,劳务费,2
368,大部分,2
369,二非,2
370,转固,2
371,广告位,2
372,预缴,2
373,公报,2
374,快,2
375,亿人次,2
376,宝安,2
377,委,2
378,装卸,2
379,公务机,2
380,租车,2
381,工艺美术品,2
382,展览,2
383,道路,2
384,小轿车,2
385,咨询服务,2
386,报关,2
387,短途运输,2
388,物流配送,2
389,封包,2
390,展示,2
391,变,2
392,经济社会,2
393,人民,2
394,新格局,2
395,激烈,2
396,宏观,2
397,基础性,2
398,加剧,2
399,铁路,2
400,气候,2
401,公路,2
402,三期,2
403,具体条件,2
404,收购人,2
405,解聘,2
406,审年,2
407,环保,2
408,汇金,2
409,招商银行,2
410,兴全,2
411,合宜,2
412,灵活,2
413,一零一,2
414,一八,2
415,富达,2
416,易方达,2
417,一零五,2
418,技术协作,2
419,分支机构,2
420,许可证,2
421,互联网,2
422,零售,2
423,健身,2
424,谢泽煌,2
425,梁慧,2
426,袁,2
427,海文,2
428,职工代表,2
429,洪才,2
430,冰心,2
431,莫名,2
432,贞,2
433,纪委书记,2
434,港龙,2
435,管理局,2
436,新创建,2
437,获,2
438,香港特区,2
439,行政长官,2
440,委任,2
441,香港特区政府,2
442,全国政协,2
443,海外投资,2
444,国新,2
445,首席,2
446,执行官,2
447,农村,2
448,商业银行,2
449,友谊,2
450,审计部,2
451,工作部,2
452,纪检监察,2
453,处长,2
454,湛江,2
455,空军,2
456,总工,2
457,办,2
458,新闻,2
459,发言人,2
460,教育,2
461,平等,2
462,绩效评价,2
463,透明度,2
464,报纸,2
465,利益者,2
466,现场会议,2
467,请参阅,2
468,关,2
469,标准文件,2
470,合称,2
471,抽样,2
472,计算机,2
473,账单,2
474,追踪,2
475,提,2
476,息,2
477,固有,2
478,回函,2
479,账,2
480,审阅,2
481,民用航空,2
482,发起,2
483,财企号,2
484,月经,2
485,烟草,2
486,清洁卫生,2
487,之旅,2
488,旅行社,2
489,表因,2
490,对非,2
491,指从,2
492,时如,2
493,计算方法,2
494,包装物,2
495,或换,2
496,下非,2
497,机器设备,2
498,运输工具,2
499,远,2
500,时该,2
501,承租,2
502,建造,2
503,抵债,2
504,专利权,2
505,软件,2
506,住房,2
507,工会,2
508,教育经费,2
509,国债,2
510,免租,2
511,免征,2
512,信用证,2
513,票,2
514,新免,2
515,免税品,2
516,南京,2
517,图,2
518,款年,2
519,退货,2
520,道口,2
521,机位,2
522,加装,2
523,建筑,2
524,流花,2
