,分词排序,词频
0,九鼎,984
1,昆吾,443
2,苏州,289
3,合伙制,251
4,综合性,227
5,创业投资,179
6,房地产,173
7,西藏,152
8,退出,128
9,私募,123
10,北京,114
11,宁波,74
12,信息,60
13,江西,59
14,嘉兴,56
15,拉萨,52
16,江,41
17,厦门,40
18,营业部,40
19,土地,39
20,九泰,37
21,上海,34
22,医药,33
23,紫金,32
24,吾,31
25,工程,30
26,测算,30
27,深圳,30
28,城,29
29,分成,28
30,银行,28
31,同创,27
32,苏州工业园区,26
33,中信银行,26
34,物业,25
35,建设,25
36,招商银行,25
37,住宅,24
38,面积,24
39,南昌,24
40,中国香港,22
41,出资人,21
42,成都,21
43,易凌杰,20
44,河南,20
45,昆,20
46,设有,20
47,中国银行,20
48,夏启,20
49,江北区,20
50,遗留问题,20
51,江中,19
52,万亿元,19
53,教育,19
54,福田区,19
55,数据,18
56,回拨,18
57,网站,17
58,江西省,16
59,上海浦东发展银行,16
60,九证,15
61,南昌市,15
62,健康,15
63,契约型,15
64,卢龙,15
65,实缴,14
66,创业,14
67,九州,14
68,有家,14
69,生物,14
70,投后,14
71,南京,14
72,梅山,14
73,保税,14
74,港区,14
75,募资,13
76,蔡蕾,13
77,无锡,13
78,总行,13
79,科技,13
80,地产,12
81,存量,12
82,纸业,12
83,每次,12
84,九江,12
85,可比,12
86,案例,12
87,人行,12
88,兴华,11
89,吴刚,11
90,巴中,11
91,路,11
92,医疗,11
93,防范,11
94,回落,11
95,存续,11
96,中国民生银行,11
97,遗留,11
98,倍数,10
99,市盈率,10
100,资源,10
101,黄晓捷,10
102,中江,10
103,振兴,10
104,江纸,10
105,来看,10
106,下滑,10
107,建筑面积,10
108,重庆,10
109,取,10
110,支,10
111,公募,9
112,市净率,9
113,吴强,9
114,龙泰,9
115,九信,9
116,基金业,9
117,月底,9
118,略有,9
119,调控,9
120,房企,9
121,上涨,9
122,三板,9
123,鲍,9
124,达孜县,9
125,投资额,9
126,变,9
127,钟山,9
128,算,9
129,民事裁定,9
130,尤,9
131,某某,9
132,长顺,9
133,公以,9
134,数计,9
135,允,9
136,清华大学,9
137,五道口,9
138,春生,9
139,人古志鹏,9
140,体现,8
141,过往,8
142,四期,8
143,竣工,8
144,已登记,8
145,放缓,8
146,涨幅,8
147,下行,8
148,环保,8
149,所示,8
150,利益冲突,8
151,咨询服务,8
152,湛卢,8
153,江东,8
154,兴业银行,8
155,河北,8
156,笔,8
157,交割,8
158,我司,8
159,字样,8
160,定位,7
161,一家,7
162,环境,7
163,端,7
164,川陕,7
165,写字楼,7
