,分词排序,词频
0,医疗,129
1,万东,117
2,门诊部,78
3,健康,61
4,医疗器械,60
5,北京,55
6,射线,55
7,信息,51
8,影像,51
9,上海,46
10,医院,46
11,鱼跃,44
12,慈铭,42
13,美年,39
14,科技,35
15,万里,35
16,磁共振,34
17,体检,33
18,江苏,31
19,临床,30
20,超导,30
21,诊断,30
22,工程,30
23,平板,29
24,研制,29
25,机,29
26,成像,27
27,银行,27
28,样机,23
29,摄影,21
30,胃肠,20
31,医学影像,20
32,医用,20
33,苏州,20
34,换届,20
35,产品线,19
36,注册证,18
37,数据,17
38,血管,17
39,装备,16
40,杭州,16
41,生物,16
42,佳木斯,16
43,制造,15
44,建设,15
45,房地产,15
46,湖南,15
47,吴,14
48,光明,14
49,数字化,14
50,监测,14
51,造影,13
52,软件,13
53,井晓权,12
54,探测器,12
55,不良,12
56,检测,12
57,维修,12
58,西安,12
59,土地,12
60,朝阳区,11
61,国产,11
62,南京,11
63,杨征,10
64,动态,10
65,西藏,10
66,医疗机构,9
67,监督管理,9
68,检验,9
69,二类,9
70,电子,9
71,人谢,9
72,宇峰,9
73,安徽,9
74,图像,8
75,介入,8
76,资源,8
77,软件产品,8
78,三类,8
79,材料,8
80,重庆,8
81,三叶,8
82,建筑物,8
83,广州,8
84,泰安,8
85,皓天,8
86,立信,7
87,透视,7
88,三级,7
89,县级,7
90,人工智能,7
91,海陆,7
92,咨询中心,7
93,药监局,7
94,应用领域,7
95,百胜,7
96,厦门,7
97,盛宇,7
98,成都,7
99,新任,7
100,黑龙江,7
101,普照,7
102,谢宇峰,6
103,酒仙桥,6
104,东路,6
105,号院,6
106,网站,6
107,基层,6
108,第一名,6
109,无线,6
110,向上,6
111,新东方,6
112,即征,6
113,退,6
114,万祥,6
115,超声,6
116,售后服务,6
117,新款,6
118,性非,6
119,吴群,6
120,姚,6
121,开发部,6
122,医云,6
123,分会,6
124,广东,6
125,副经理,6
126,油气,6
127,建造,6
128,教育费,6
129,陕西,6
130,楼,5
131,专科医院,5
132,核心部件,5
133,网络,5
134,基层医院,5
135,生产工艺,5
136,高压,5
137,发生器,5
138,治疗,5
139,光纤,5
140,人工费,5
141,高新技术,5
142,改为,5
143,信托,5
144,医疗保健,5
145,除净,5
146,使用费,5
147,缴费,5
148,第二名,5
149,第三名,5
150,第四名,5
151,第五名,5
152,车载,5
153,京朝,5
154,国用,5
155,慈云寺,5
156,联想,5
157,桥,5
158,受同,5
159,远志,5
160,开具,5
161,华润,4
162,厂家,4
163,阅片,4
164,乡镇,4
165,装置,4
166,利好,4
167,配备,4
168,手术,4
169,大功率,4
170,高级别,4
171,进口,4
172,患者,4
173,线圈,4
174,谱仪,4
175,细化,4
176,各省,4
177,远程,4
178,线下,4
179,同类产品,4
180,总局,4
181,药品,4
182,质量体系,4
183,乳腺,4
184,移动式,4
185,产品名称,4
186,永磁,4
187,卫生,4
188,医学,4
189,放射,4
190,工程师,4
191,联储,4
192,中信,4
193,环境,4
194,云锋,4
195,新创,4
196,朱雀,4
197,宋文雷,4
198,瑞华,4
199,俞熔,4
200,陈坚,4
201,孙彤,4
202,郑洪喆,4
203,焕然,4
204,金秋,4
205,张勇,4
206,文光,4
207,市场部,4
208,沈阳,4
209,深圳,4
210,主任委员,4
211,副会长,4
212,颁发,4
213,准备金,4
214,中央银行,4
215,低值易耗品,4
216,以换,4
217,每月,4
218,养老保险,4
219,服务收入,4
220,国家税务局,4
221,信用证,4
222,民用,4
223,科委,4
224,机系统,4
225,日币,4
226,上械厂,4
227,大北窑,4
228,公主坟,4
229,金融街,4
230,亮马桥,4
231,潘家园,4
232,城,4
233,望京,4
234,西直门,4
235,亚运村,4
236,洋桥,4
237,雍和宫,4
238,知春路,4
239,天津,4
240,哈尔滨,4
241,青岛,4
242,美鑫,4
243,佳木斯市,4
244,以元,4
245,止该,4
246,拟以,3
247,金元,3
248,媒体,3
249,诊断系统,3
250,更为,3
251,倾斜,3
252,新一轮,3
253,集采,3
254,国产品牌,3
255,县域,3
256,领先地位,3
257,腹部,3
258,肝胆,3
259,临床试验,3
260,缩短,3
261,剂量,3
262,灵活,3
263,深化,3
264,零售,3
265,环保,3
266,四肢,3
267,进军,3
268,胶片,3
269,主流,3
270,快速增长,3
271,比比,3
272,增,3
273,材料费,3
274,宣传,3
275,食品药品,3
276,职能,3
277,分类目录,3
278,凭证,3
279,失效,3
280,具体条件,3
281,科学,3
282,头部,3
283,专用设备,3
284,东软,3
285,清理,3
286,可比,3
287,排污,3
288,十二号,3
289,私募,3
290,中国银行,3
291,工,3
292,银瑞信,3
293,乙亥,3
294,燕霞,3
295,李坤,3
296,成钟,3
297,明霞,3
298,蒋达王,3
299,培英,3
300,刘海,3
301,晨,3
302,黄家,3
303,祥高恩毅,3
304,任志林,3
305,姚汶,3
306,杨力,3
307,外科,3
308,迈瑞,3
309,影像学,3
310,通讯,3
311,商品销售,3
312,保费,3
313,持续性,3
314,原名,3
315,机器设备,3
316,二十一,3
317,额外,3
318,改良,3
319,车,3
320,保险,3
321,工资总额,3
322,云万东,3
323,证书编号,3
324,税软,3
325,消耗性,3
326,泰安市,3
327,折旧费,3
328,赊销,3
329,外汇,3
330,升值,3
331,贬值,3
332,博,3
333,瑞康,3
334,郑州,3
335,美健,3
336,奥亚上,3
337,和平,3
338,济南,3
339,天桥,3
340,卓越,3
341,固原市,3
342,大连,3
343,优一,3
344,侯马,3
345,太原,3
346,乌鲁木齐,3
347,华瑞,3
348,武汉,3
349,民生,3
350,雅安,3
351,运城市,3
352,镇江,3
353,鄞州易,3
354,福州市,3
355,贵港,3
356,美宜,3
357,沂南县,3
358,慈济,3
359,铭锟,3
360,为元本,3
361,需提交,2
362,外文,2
363,电子信箱,2
364,网址,2
365,王一芳,2
366,石敏,2
367,国际金融,2
368,第一季度,2
369,第三季度,2
370,位置,2
371,先进性,2
372,更好,2
373,常规,2
374,消化道,2
375,多功能,2
376,拼接,2
377,采集,2
378,统计,2
379,骨科,2
380,这一,2
381,国际品牌,2
382,市场占有率,2
383,一款,2
384,配置,2
385,诸多,2
386,消息,2
387,搭建,2
388,多级,2
389,新一代,2
390,运动,2
391,落地,2
392,操作,2
393,低剂量,2
394,技术升级,2
395,服务公司,2
396,线上,2
397,肺部,2
398,软件开发,2
399,规模化,2
400,便携式,2
401,小型化,2
402,医生,2
403,领先水平,2
404,腔,2
405,内影像,2
406,极大,2
407,配合,2
408,贴近,2
409,车体,2
410,长,2
411,高速,2
412,知名,2
413,甲等医院,2
414,通道,2
415,最快,2
416,出发,2
417,接近,2
418,翻番,2
419,大病,2
420,不出,2
421,县,2
422,医改,2
423,着力,2
424,筛查,2
425,上云,2
426,稳步,2
427,保修,2
428,骨干,2
429,数字影像,2
430,二非,2
431,补助款,2
432,管理局,2
433,并未,2
434,收集,2
435,国家药品监督管理局,2
436,一版,2
437,施行,2
438,新版,2
439,陆续,2
440,网络安全,2
441,审查,2
442,层面,2
443,抽验,2
444,食,2
445,二季度,2
446,递交,2
447,年底,2
448,平面,2
449,有源,2
450,屏蔽,2
451,梯度,2
452,制作方法,2
453,核磁共振,2
454,理解,2
455,独创性,2
456,商业性,2
457,研究成果,2
458,出新,2
459,以使,2
460,在技术上,2
461,有用,2
462,性有,2
463,列,2
464,光线,2
465,颈椎,2
466,腰椎,2
467,肾,2
468,盆腔,2
469,关节,2
470,疾病诊断,2
471,发证,2
472,第二十二次,2
473,款元,2
474,出台,2
475,中医药局,2
476,卫生院,2
477,将要,2
478,中医院,2
479,高端用户,2
480,一贯,2
481,来说,2
482,国外,2
483,威胁,2
484,厂商,2
485,设置,2
