,分词排序,词频
0,人福,407
1,湖北,359
2,医药,342
3,武汉,249
4,药品,181
5,药,116
6,健康,115
7,医疗器械,107
8,药业,101
9,科技,94
10,信息,81
11,宜昌,80
12,医疗,77
13,北京,72
14,制剂,64
15,当代,59
16,四川,59
17,注射液,51
18,环保,51
19,医药集团,48
20,盐酸,48
21,仿制,46
22,生物制品,46
23,检测,44
24,制药,43
25,杭州,42
26,银行,42
27,原料药,41
28,排放,41
29,环境,39
30,建设,38
31,工程,38
32,废气,37
33,上海,36
34,医院,36
35,三峡,35
36,芬太尼,35
37,化学,35
38,葛店,34
39,数据,34
40,生物,34
41,汇添富,33
42,污水处理,33
43,天风,32
44,用药,32
45,医药企业,32
46,扶贫,32
47,酮,31
48,万支,31
49,医保,27
50,福,27
51,两性,27
52,生物医药,27
53,生化,27
54,学海,26
55,新药,26
56,临床试验,26
57,厂区,26
58,辅料,26
59,废水,26
60,诊断,25
61,临床,25
62,医药行业,24
63,用品,24
64,抗生素,24
65,中成药,24
66,胶囊,23
67,湖北省,23
68,注射用,23
69,治疗,23
70,污水,23
71,药制剂,23
72,民族,22
73,药用,22
74,定增,22
75,排放口,22
76,成田,21
77,福斯特,21
78,医疗机构,21
79,监测,21
80,光谷,21
81,成都,21
82,外汇,20
83,维吾尔,20
84,国际化,20
85,河南,20
86,亿康,20
87,排污,20
88,药房,20
89,中药材,20
90,新疆,19
91,药物,19
92,医药工业,19
93,零售,19
94,恩施,19
95,中药饮片,19
96,竹溪,18
97,神经系统,18
98,瑞,18
99,颗粒,18
100,万盒,18
101,氨氮,18
102,四川人,17
103,氧,17
104,氢,17
105,吗啡,17
106,资源,17
107,融资券,17
108,食品,16
109,熊去,16
110,胆酸,16
111,枸橼酸,16
112,王,15
113,普克,15
114,生育,15
115,中原,15
116,高新技术,15
117,存续,15
118,九州,15
119,广东,15
120,医用,15
121,维药,14
122,瑞德,14
123,麻醉,14
124,材料,14
125,收集,14
126,万隆,14
127,车间,14
128,试剂,13
129,米,13
130,黄石,13
131,亿生,13
132,抑制剂,13
133,安全套,13
134,适应症,13
135,化药类,13
136,无不,13
137,锅炉,13
138,套,13
139,环保局,13
140,明诚,13
141,广州,13
142,浙江,13
143,吴亚君,12
144,科技产业,12
145,网站,12
146,非司,12
147,网络,12
148,终端,12
149,产品线,12
150,三类,12
151,审评,12
152,功能主治,12
153,卫生用品,12
154,增号,12
155,杜越,12
156,教育,12
157,二氧化硫,12
158,应急,12
159,噪声,12
160,生物科技,12
161,口腔,12
162,祖卡木,11
163,硫酸,11
164,新霉素,11
165,复合,11
166,一类,11
167,华泰,11
168,钟祥,11
169,装置,11
170,危险废物,11
171,氮氧化物,11
172,达标排放,11
173,许可证,11
174,房地产,11
175,人福债,11
176,巴瑞,10
177,武汉市,10
178,大信,10
179,黄体酮,10
180,制造,10
181,亿美元,10
182,乐福思,10
183,化药,10
184,批件,10
185,缓释片,10
186,金融机构,10
187,二类,10
188,脱贫,10
189,中间体,10
190,周汉生,10
191,商业银行,10
