,分词排序,词频
0,金钰,248
1,珠宝,179
2,兴龙,167
3,云南,157
4,赵宁,134
5,翡翠,131
6,王瑛琰,93
7,黄金,79
8,深圳,65
9,原石,52
10,信息,45
11,房地产,41
12,瑞丽,40
13,信托,39
14,多佳,30
15,腾冲,26
16,网络,24
17,姐告,24
18,玉石,24
19,交易中心,23
20,饰品,23
21,工程,23
22,珠宝首饰,22
23,瑞丽市,22
24,小额贷款,21
25,北京,19
26,银行,19
27,孙,19
28,成品,17
29,金条,17
30,江苏,16
31,消费,16
32,土地,16
33,数据,15
34,建设,15
35,面积,15
36,金钰债,14
37,云南省,14
38,上海,13
39,借金,13
40,材料,13
41,宋孝刚,12
42,嘉,12
43,德利,12
44,首饰,12
45,网站,12
46,收购人,12
47,赵兴龙,12
48,曹霞,11
49,金龙,11
50,建造,11
51,北京东方,10
52,西藏,10
53,湖北,10
54,宏宁,10
55,制品,10
56,工艺品,10
57,信用等级,10
58,生物,10
59,盈江,9
60,金饰,9
61,金泽,9
62,机器人,9
63,五方,9
64,零售,9
65,黄金珠宝,9
66,金融机构,9
67,盐田区,9
68,大华,8
69,金融服务,8
70,栋,8
71,镶嵌,8
72,中国建设银行,8
73,副会长,8
74,若辰,7
75,中瑞,7
76,智能,7
77,终端,7
78,下调,7
79,一路,7
80,奢侈品,7
81,徐州,7
82,建筑物,7
83,平洲,6
84,网络科技,6
85,环境,6
86,消费者,6
87,宝石,6
88,品相,6
89,缅甸政府,6
90,泰丽宫,6
91,利用自身,6
92,控制性,6
93,谋求,6
94,华宝,6
95,大地,6
96,油气,6
97,九五,6
98,昆明市,6
99,深房,6
100,地字,6
101,南海区,5
102,易游,5
103,嘉裕,5
104,凤凰,5
105,温泉,5
106,租借,5
107,罗湖区,5
108,湖北省,5
109,行业协会,5
110,态势,5
111,文化,5
112,彩色,5
113,促使,5
114,交易市场,5
115,月亮,5
116,系为,5
117,降价,5
118,品,5
119,较差,5
120,王,5
121,房产,5
122,街道,5
123,跨境,5
124,创意,5
125,所作,5
126,优先购买,5
127,赵,5
128,美英,5
129,物业,5
130,通讯,5
131,华融,5
132,白银,5
133,铂金,5
134,盈江县,5
135,亿由,5
136,豁免,5
137,惠州市,4
138,毛料,4
139,北路,4
140,水贝,4
141,大道,4
142,分化,4
143,呈,4
144,贮备,4
145,缅甸,4
146,外延,4
147,品牌价值,4
148,辐射,4
149,金星,4
150,旅游,4
151,未付,4
152,投资额,4
153,资源,4
154,该类,4
155,市场经济,4
156,公平合理,4
157,同等,4
158,给与,4
159,本函,4
160,中央,4
161,张兆国,4
162,万安,4
163,李春江,4
164,行长,4
165,华中科技大学,4
166,会计学,4
167,长江,4
168,中央银行,4
169,瑞鑫泰,4
170,嵌入,4
171,混合,4
172,或重,4
173,以换,4
174,退休,4
175,内退,4
176,深港,4
177,前湾,4
178,号栋室,4
179,工艺美术品,4
180,块,4
181,证监局,3
182,金钰兴龙,3
183,惠州,3
184,金钰小贷,3
185,瑞金,3
186,控中云,3
187,开采,3
188,联系人,3
189,联系方式,3
190,贝丽,3
191,工业区,3
192,楼,3
193,鄂州市,3
194,系较,3
195,自营,3
196,加盟,3
197,加盟店,3
198,结构性,3
199,高品质,3
200,多元化,3
201,民营,3
202,价格上涨,3
203,边境,3
204,内生,3
205,依然,3
206,手段,3
207,岛,3
208,蝉联,3
209,榜,3
210,改革开放,3
211,周年,3
212,建设银行,3
213,合作伙伴,3
214,中介机构,3
215,计价法,3
216,比列,3
217,壹,3
218,海城,3
219,龙岗区,3
220,南湾,3
221,珠宝饰品,3
222,中介,3
223,在内,3
224,近期,3
225,产业园,3
226,再融资,3
227,尽量减少,3
228,不可避免,3
229,若有,3
230,公开招标,3
231,对多佳,3
232,同类,3
233,对此,3
234,合资经营,3
235,取代,3
236,尽力,3
237,金钰能,3
238,为止,3
239,透明,3
240,督促,3
241,中信,3
242,排污,3
243,腾冲县,3
244,文风,3
245,刘福民,3
246,娃,3
247,陈,3
248,香兰,3
249,否否否,3
250,刘雅清,3
251,翠竹,3
252,武汉,3
253,扣减,3
254,倍数,3
255,保费,3
256,准备金,3
257,订立,3
258,取决于,3
259,除净,3
260,方对,3
261,承担义务,3
262,包装物,3
263,低值易耗品,3
264,一次性,3
265,暂估,3
266,会员,3
267,商业性,3
268,装修费,3
269,政策性,3
270,故本,3
271,教育费,3
272,中粮,3
273,之中,3
274,腾越,3
275,佛雕,3
276,群雕,3
277,料款,3
278,折旧费,3
279,淮海,3
280,黄,3
281,鉴别,3
282,咨询服务,3
283,滨江路,3
284,入驻,3
285,商务,3
286,柜台,3
287,金钰以,3
288,瑞国用,3
289,拟定,2
290,黄金价格,2
291,查阅,2
292,商场,2
293,黄金首饰,2
294,信息产业,2
295,广场,2
296,交割,2
297,外文,2
298,赵宁二,2
299,电子信箱,2
300,武昌,2
301,网址,2
302,系本,2
303,经营场所,2
304,加盟商,2
305,开设,2
306,国家统计局,2
307,呈现,2
308,放缓,2
309,内涵,2
310,个性化,2
311,钻石,2
312,宝玉石,2
313,个性,2
314,定制,2
315,上线,2
316,爆款,2
317,双轮,2
318,公盘,2
319,市场供应,2
320,偏紧,2
321,上涨,2
322,杠杆,2
323,紧张,2
324,原产地,2
325,进口成本,2
326,第一家,2
327,早,2
328,理解,2
329,监管部门,2
330,服务商,2
331,借助,2
332,一带,2
333,桥头堡,2
334,东南亚,2
335,三项,2
336,展览,2
337,西南地区,2
338,旗舰店,2
339,上游,2
340,最具,2
341,入,2
342,入榜,2
343,排名第,2
344,再次,2
345,获,2
346,建行,2
347,个体,2
348,员工工资,2
349,冲回,2
350,华东地区,2
351,华南地区,2
352,销售价格,2
353,供需,2
354,类产品,2
355,电子商务,2
356,代收,2
357,代付,2
358,前置,2
359,存入,2
360,专营,2
361,收藏品,2
362,人民,2
363,体,2
364,主力,2
365,卖方市场,2
366,扩展,2
367,国际化,2
368,切实可行,2
369,话语权,2
370,近,2
371,上中下游,2
372,消化,2
373,全力,2
374,贸易区,2
375,保全,2
376,许可证,2
377,财经,2
378,要约,2
379,业务范围,2
380,五分,2
381,开,2
382,公司财务,2
383,光谷,2
384,城,2
385,承租权,2
386,权且,2
387,后本,2
388,回避,2
389,确有,2
390,规避,2
391,公正,2
392,签订协议,2
393,金钰及,2
394,抵偿,2
395,足额,2
396,龙,2
397,解聘,2
398,详情请,2
399,房,2
400,环保,2
401,汇金,2
402,韩耀,2
403,宇华,2
404,宝,2
405,辉煌,2
406,郭,2
407,宏伟,2
408,青联,2
409,人大代表,2
410,政协委员,2
411,金钰中,2
412,金钰宏宁,2
413,代表人,2
414,策划,2
415,徐翔,2
416,周凡鹭,2
417,杨媛媛,2
418,姜平,2
419,彭卓义,2
420,王志昊,2
421,日年,2
422,赵宁张,2
423,博士生,2
424,导师,2
