,分词排序,词频
0,易,162
1,云南,128
2,滇,127
3,区块,86
4,信息,67
5,九天,54
6,数据,51
7,云南省,50
8,链,47
9,物流,43
10,科技,41
11,禾嘉,36
12,房地产,30
13,代付款,30
14,银行,30
15,可信,26
16,笑非,24
17,贵州,24
18,工程,24
19,李,23
20,保理款,21
21,任子翔,20
22,四川,20
23,创业投资,19
24,金融机构,19
25,证券化,19
26,北京,18
27,资管,18
28,霍尔果斯,17
29,去年同期,17
30,信托,17
31,建设,16
32,智能,15
33,溯源,13
34,环境,13
35,辞去,13
36,深圳,12
37,智慧,12
38,创兴,12
39,核对,12
40,榕,11
41,联网,11
42,底层,11
43,凭证,11
44,见天,10
45,滇中,10
46,君宜,10
47,仓库,10
48,土地,10
49,冷,10
50,天晴,10
51,回售,10
52,抽取,10
53,树,9
54,浙银,9
55,上海,9
56,信息技术,9
57,实时,9
58,刻画,9
59,冷天,9
60,王跃华,9
61,审查,9
62,网站,8
63,可视,8
64,透明,8
65,篡改,8
66,网络,8
67,昆明,8
68,项目管理,8
69,监事长,8
70,第八次,8
71,天圆,7
72,徐蓬,7
73,金融服务,7
74,声誉,7
75,业务流程,7
76,动态,7
77,电子,7
78,工投,7
79,交流,7
80,辉,7
81,徐,7
82,加利,7
83,谢建辉,7
84,买方,7
85,成都,7
86,云南昆明,7
87,操作,7
88,中保,6
89,易见,6
90,肥,6
91,上下游,6
92,可追溯,6
93,可视化,6
94,真实性,6
95,工信部,6
96,仓储,6
97,动力,6
98,配煤,6
99,官,6
100,发票,6
101,测算,6
102,昆明市,5
103,资金流,5
104,理,5
105,在线,5
106,资源,5
107,池,5
108,传统,5
109,防范,5
110,保,5
111,理应,5
112,煤炭,5
113,有色金属,5
114,工业,5
115,云盛,5
116,福建,5
117,海峡,5
118,福州,5
119,高新,5
120,首席,5
121,冷丽芬,5
122,油气,5
123,辞职,5
124,建造,5
125,教育费,5
126,西路,4
127,高新区,4
128,融资难,4
129,线上,4
130,穿透,4
131,场景,4
132,助力,4
133,增信,4
134,写入,4
135,管理系统,4
136,投放,4
137,大会,4
138,环节,4
139,科研,4
140,案例,4
141,白皮书,4
142,工程师,4
143,学会,4
144,运输,4
145,苏丽军,4
146,水路,4
147,易泓,4
148,国务院,4
149,钢材,4
150,赋能,4
151,对策,4
152,清理,4
153,集体,4
154,量化,4
155,李洋,4
156,南,4
157,职能部门,4
158,设置,4
159,信用等级,4
160,商业银行,4
161,品名,4
162,函证,4
163,单据,4
164,访谈,4
165,生物,4
166,建筑物,4
167,保险费,4
168,高新技术,4
169,实业集团,4
170,曲靖市,4
171,曲,4
172,商银,4
173,昆流,4
174,年利率,4
175,创投,3
176,联系人,3
177,联系方式,3
178,西山区,3
179,前卫,3
180,楼,3
181,天府,3
182,大道,3
183,北段,3
184,上游,3
185,西南地区,3
186,有色,3
187,医药,3
188,咨询服务,3
189,迁移,3
190,链为,3
191,商流,3
192,信息流,3
193,流,3
194,商,3
195,对称,3
196,现象,3
197,交易成本,3
198,秉承,3
199,管理者,3
200,更好,3
201,多方,3
202,参与者,3
203,挑战,3
204,坚定,3
205,深造,3
206,控,3
207,作业,3
208,寻求,3
209,连接,3
210,加密,3
211,访问,3
212,无需,3
213,落地,3
214,链物,3
215,实物,3
216,云南大学,3
217,西南,3
218,林业大学,3
219,院,3
220,计算机,3
221,专委会,3
222,期货,3
223,住所,3
224,节点,3
225,国内贸易,3
226,兴义市,3
227,广阔,3
228,微,3
229,且易,3
230,督促,3
231,办公用房,3
232,云中,3
233,药业,3
234,排污,3
235,禾溪,3
236,国有资本,3
237,国鼎,3
238,正阳,3
239,富时,3
240,陈亮,3
241,仍为,3
242,王刚,3
243,欧亚,3
244,曲靖,3
245,梁志宏,3
246,研究员,3
247,赵起,3
248,信息产业,3
249,平安,3
250,通讯,3
251,还本,3
252,上调,3
253,中信,3
254,建投,3
255,人为,3
256,倍数,3
257,明确规定,3
258,提货,3
259,提货单,3
260,单价,3
261,表中,3
262,下以,3
263,该组,3
264,次级,3
265,额外,3
266,毁损,3
267,带薪,3
268,缺勤,3
269,具体方法,3
270,税额,3
271,新疆,3
272,车辆,3
273,元个,3
274,泓,3
275,补足,3
276,委托人,3
277,受益人,3
278,财富,3
279,点评,3
280,推荐,3
281,空港,3
282,街道,3
283,号栋,3
284,充足,3
285,赊销,3
286,限额,3
287,查阅,2
288,指易,2
289,外文,2
290,电子信箱,2
291,网址,2
292,选定,2
293,海淀区,2
294,江平,2
295,高丽,2
296,非金融,2
297,自然灾害,2
298,显失,2
299,一次性,2
300,深化,2
301,延伸,2
302,扩散,2
303,服务行业,2
304,大宗,2
305,钢铁,2
306,化工机械,2
307,制造,2
308,航空,2
309,地产,2
310,催收,2
311,更为,2
312,顺畅,2
313,来源于,2
314,交叉,2
315,煤焦,2
316,化工,2
317,条,2
318,赢,2
319,链条,2
320,四流,2
321,方将,2
322,低成本,2
323,群体,2
324,健康,2
325,路上,2
326,多链,2
327,对系统,2
328,部署,2
329,安全性,2
330,杠杆,2
331,领导,2
332,稳步,2
333,拓宽,2
334,学习型,2
335,数据安全,2
336,顺利,2
337,技术相结合,2
338,制约,2
339,打破,2
340,信任,2
341,金融风险,2
342,隔离,2
343,可控,2
344,权属,2
345,中介,2
346,隐私,2
347,交易量,2
348,线下,2
349,万亿元,2
350,外部环境,2
351,购房,2
352,尾款,2
353,透明度,2
354,差,2
355,成熟,2
356,监测,2
357,重复,2
358,出入库,2
359,行业标准,2
360,基金会,2
361,清华大学,2
362,经管,2
363,科研机构,2
364,代表性,2
365,信通,2
366,功能测试,2
367,入选,2
368,账本,2
369,论坛,2
370,理事,2
371,三项,2
372,指南,2
373,国家标准,2
374,创新能力,2
375,池等,2
376,推广应用,2
377,工商登记,2
378,广汉市,2
379,路,2
380,七段,2
381,化学品,2
382,农副产品,2
383,化肥,2
384,沥青,2
385,贵州省,2
386,黔西南州,2
387,瑞金路,2
388,富康,2
389,公馆,2
390,市场主体,2
391,汽车,2
392,注本,2
393,宁波,2
394,泓然,2
395,新设,2
396,缺口,2
397,国务院办公厅,2
398,接连,2
399,出台,2
400,商务部,2
401,增长点,2
402,资金周转,2
403,宗旨,2
404,定位,2
405,把握,2
406,探讨,2
407,一步,2
408,非标,2
409,金融市场,2
410,调控,2
411,之中,2
412,信息安全,2
413,收购人,2
414,有意,2
415,剥离,2
416,若易,2
417,兼并,2
418,给易,2
419,所作,2
420,中所作,2
421,规避,2
422,市场经济,2
423,签订协议,2
424,股股,2
425,自易,2
426,解读,2
427,此项,2
428,调整法,2
429,解聘,2
430,工投君阳,2
431,发货,2
432,开票,2
433,本部,2
434,受托人,2
435,年化,2
436,现金管理,2
437,产品名称,2
438,为海蕴,2
439,以该,2
440,该笔,2
441,环保,2
442,户,2
443,兰茂,2
444,中国建设银行,2
445,景顺,2
446,精选,2
447,交通银行,2
448,长信,2
449,先锋,2
450,混合型,2
451,基础设施,2
452,国际贸易,2
453,人拟,2
454,提示性,2
455,委托事项,2
456,详式,2
457,水电,2
458,嵇,2
459,长青,2
460,马赛,2
461,琳原,2
462,党支部,2
463,中国农业银行,2
464,副行长,2
465,丽江市,2
466,营业部,2
467,副经理,2
468,评估师,2
469,导师,2
470,智德,2
471,软件工程,2
472,技术创新,2
473,系统工程,2
474,秘书长,2
475,软件,2
476,山东,2
477,公司党委,2
478,纪委书记,2
479,工会主席,2
