,分词排序,词频
0,永鼎,484
1,线束,153
2,超导,130
3,江苏,124
4,汽车,117
5,通信,104
6,工程,99
7,上海,95
8,苏州,94
9,信息,94
10,苏州市,89
11,致远,74
12,金亭,72
13,电缆,63
14,光纤,63
15,科技,55
16,光缆,51
17,东昌,45
18,建设,45
19,北京,44
20,制造业,44
21,材料,41
22,新能源,40
23,欣益,39
24,数据,36
25,房地产,34
26,电气,33
27,本部,33
28,武汉,32
29,网站,32
30,土地,32
31,网络,31
32,泰富,30
33,莫思铭,27
34,制造,24
35,承揽,24
36,中缆,23
37,莫林弟,21
38,光电子,21
39,广融,21
40,线缆,20
41,波特,19
42,尼,18
43,吴江,18
44,高温,18
45,通达,17
46,带材,17
47,臻,16
48,电力,16
49,车间,16
50,任永鼎,16
51,湖北省,16
52,武汉市,16
53,吴,15
54,春苗,15
55,数码,15
56,互联网,15
57,运营商,15
58,光棒,15
59,银行,15
60,获授,15
61,光电,14
62,研制,14
63,农村,14
64,永,14
65,住宅,13
66,宽频,13
67,宽带,13
68,特种,13
69,节能,13
70,施工,13
71,棒,13
72,直流,13
73,软件开发,13
74,鼎丰,13
75,第八次,13
76,生物,13
77,电信,12
78,光通,12
79,本方,12
80,对永鼎,12
81,是否是,12
82,建造,12
83,网络科技,11
84,天健,11
85,光,11
86,上汽,11
87,大众,11
88,传统,11
89,环保,11
90,孟加拉,11
91,工业,11
92,注入,11
93,赵佩杰,11
94,电气系统,10
95,高新技术,10
96,中国电信,10
97,整车,10
98,延伸,10
99,技术改造,10
100,通讯设备,10
101,鼎盛,10
102,扶贫,10
103,邵,10
104,珠峰,10
105,建筑物,10
106,永鼎源,9
107,科技产业,9
108,器件,9
109,电站,9
110,通用,9
111,一带,9
112,一路,9
113,资源,9
114,激烈,9
115,科研,9
116,智能化,9
117,东部,9
118,苏州高新区,9
119,小额贷款,9
120,信托,9
121,永鼎股,9
122,李凡,9
123,投票,9
124,鼎欣,8
125,信息技术,8
126,工程项目,8
127,调试,8
128,限流,8
129,器,8
130,第二代,8
131,老挝,8
132,数据中心,8
133,乘用车,8
134,智能,8
135,环境,8
136,第一个,8
137,股占,8
138,教育,8
139,反馈,8
140,孙庆,8
141,蒋国英,8
142,张文琴,8
143,人莫林弟,8
144,张国栋,7
145,四大,7
146,复合,7
147,缆,7
148,模块,7
149,沃尔沃,7
150,顺利,7
151,车型,7
152,端口,7
153,厂商,7
154,电网,7
155,机器设备,7
156,预制,7
157,已有,7
158,华东,7
159,第七次,7
160,以元股,7
161,聚联,7
162,汾湖,7
163,树立,7
164,股可,7
165,由股,7
166,正东,7
167,鼎,7
168,一号,7
169,外汇,7
170,区黎里,6
171,镇,6
172,国道,6
173,处芦,6
174,墟,6
175,北侧,6
176,采集,6
177,供货,6
178,一体化,6
179,孟加拉国,6
180,亿美元,6
181,新兴产业,6
182,大规模,6
183,万个,6
184,基站,6
185,生产商,6
186,能源,6
187,工厂,6
188,公里,6
189,系该,6
190,扩充,6
191,检测,6
192,受过,6
193,不良,6
194,向永鼎,6
195,中介机构,6
196,或本,6
197,成就,6
198,环球,6
199,南京,6
200,朱其珍,6
201,蔡渊,6
202,汪志坚,6
203,巍尼,6
204,祥云,6
205,新星,6
206,油气,6
207,鼎鼎,6
208,汇谷,6
209,香港,6
210,中国移动通信集团,6
211,送红,5
212,股股,5
