,分词排序,词频
0,美尔雅,219
1,房地产,124
2,湖北,114
3,黄石,78
4,服装,65
5,信息,57
6,银行,51
7,纺织,41
8,酒店,32
9,建设,32
10,工程,32
11,土地,31
12,服装行业,27
13,招商银行,27
14,中植,26
15,黄石市,22
16,环境,22
17,佘,20
18,惊雷,20
19,期货,20
20,消费者,20
21,地块,20
22,浠水,19
23,服饰,18
24,数据,18
25,武汉,18
26,水电,17
27,磁,15
28,湖山庄,15
29,美红,15
30,西服,15
31,项目部,15
32,朱剑楠,15
33,近,15
34,杨闻孙,14
35,服装类,14
36,审众,13
37,环,13
38,美兴,12
39,时装,12
40,中纺,11
41,丝路,11
42,科技,11
43,汽,11
44,合作方,11
45,万亚娟,11
46,湖北省,10
47,山,10
48,工业园,10
49,消费,10
50,材料,10
51,天津,9
52,上海,9
53,资源,9
54,金利,9
55,汇鑫,9
56,阮正锋,9
57,教育,9
58,陈,9
59,京南,9
60,参与者,9
61,森浪,9
62,团城,8
63,男装,8
64,外贸,8
65,传统,8
66,网点,8
67,合作开发,8
68,用地,8
69,低值易耗品,8
70,期货经纪,8
71,中原,8
72,汉族,8
73,北京,8
74,嵌入,8
75,混合,8
76,建筑物,8
77,邢,7
78,艳霞,7
79,锦绣,7
80,网站,7
81,纺织品,7
82,零售,7
83,团购,7
84,商场,7
85,文化,7
86,激烈,7
87,个性化,7
88,寻求,7
89,小美,7
90,协议书,7
91,联合开发,7
92,分成,7
93,市场价,7
94,吉姆,7
95,建华,7
96,建造,7
97,商住,7
98,楼,7
99,张龙,6
100,制造,6
101,女装,6
102,网络,6
103,直营店,6
104,产品开发,6
105,市场占有率,6
106,店铺,6
107,竞拍,6
108,恒久,6
109,李轩,6
110,生物,6
111,美京,6
112,纤维,6
113,黄房,6
114,权证,6
115,开字,6
116,国用,6
117,美香,5
118,商务,5
119,变革,5
120,衣着,5
121,附件,5
122,推行,5
123,体验,5
124,健康,5
125,组建,5
126,集资房,5
127,垫付,5
128,库龄,5
129,山南,5
130,高档,5
131,装备,5
132,正数,5
133,客运,5
134,美爱,5
135,交通银行,5
136,大连,5
137,男是,5
138,武,5
139,刘娜,5
140,分拆,5
141,枣子,5
142,拟定,4
143,路,4
144,牌,4
145,来料加工,4
146,进料加工,4
147,加工费,4
148,内销,4
149,品牌女装,4
150,订制,4
151,品牌服装,4
152,线下,4
153,亿件,4
154,梭织,4
155,亿美元,4
156,快,4
157,加剧,4
158,多元化,4
159,供给,4
160,意识,4
161,把握,4
162,稳步,4
163,多样化,4
164,科学,4
165,配置,4
166,顾客,4
167,要素,4
168,技术改造,4
169,清理,4
170,餐饮,4
171,互联网,4
172,中介,4
173,银行贷款,4
174,长,4
175,国民经济,4
176,零售额,4
177,加盟,4
178,花园,4
179,开发部,4
180,竣工,4
181,公共,4
182,蒸汽,4
183,动力,4
184,附加值,4
185,最大化,4
186,工程项目,4
187,汽等,4
188,日方,4
189,解直锟,4
190,郑继平,4
191,总裁兼,4
192,华中科技大学,4
193,通讯,4
194,分开,4
195,油气,4
196,中央银行,4
197,自用,4
198,届满时,4
199,撤柜,4
200,日元,4
201,上表,4
202,共同开发,4
203,独立核算,4
204,款年,4
205,转正,3
206,数且,3
207,转赠,3
208,武汉市,3
209,特种,3
210,时尚,3
211,销售业务,3
212,精细化,3
213,面辅料,3
214,生产成本,3
215,定位,3
216,中高档,3
217,大奖,3
218,网购,3
219,品类,3
220,针织,3
221,中国海关,3
222,定制,3
223,高品质,3
224,产品设计,3
225,涉外,3
226,旅游,3
227,差异化,3
228,越发,3
229,手段,3
230,紧抓,3
231,生产工艺,3
232,对接,3
233,购物,3
234,面料,3
235,同质化,3
236,设置,3
237,政务,3
238,下滑,3
239,主题,3
240,产品成本,3
241,列入,3
242,工业,3
243,西南,3
244,实物,3
245,开发成本,3
246,面积,3
247,住宅,3
248,很小,3
249,内因,3
250,第十五次,3
251,盘活,3
252,受让方,3
253,美羚洋,3
254,辅料,3
255,贡献,3
256,劳动力,3
257,常态,3
258,技术创新,3
259,智能,3
260,品牌战略,3
261,素质,3
262,外汇,3
263,集中管理,3
264,调配,3
265,季节性,3
266,转供,3
267,公用事业,3
268,客,3
269,运,3
270,采购价,3
271,美洲,3
272,排污,3
273,宇顺,3
274,电子,3
275,杨,3
276,锐利,3
277,男否,3
278,张兆国,3
279,吕本富,3
280,工商管理,3
281,督查,3
282,财富,3
283,审计部,3
284,职称,3
285,中植融,3
286,中海,3
287,晟,3
288,绩效评价,3
289,公正,3
290,透明,3
291,保费,3
292,准备金,3
293,七年,3
294,号文,3
295,等于,3
296,付出,3
297,近期,3
298,两种,3
299,指为,3
300,专卖店,3
301,合同规定,3
302,教育费,3
303,应纳,3
304,百货,3
305,额年,3
306,贬值,3
307,升值,3
308,亩,3
309,该部,3
310,分支机构,3
311,法人资格,3
312,售完,3
313,花苑,3
314,经中,2
315,请参阅,2
316,外文,2
317,电子信箱,2
318,消防,2
319,网址,2
320,媒体,2
321,刘定,2
322,服装服饰,2
323,防护用品,2
324,自营,2
325,精湛,2
326,做工,2
327,版型,2
328,售后服务,2
329,深受,2
330,青睐,2
331,并重,2
332,国外市场,2
333,强大,2
334,稳步发展,2
335,贸易市场,2
336,生产能力,2
337,驰名商标,2
338,职业装,2
339,礼服,2
340,态势,2
341,承接,2
342,团体,2
343,实体店,2
344,国家统计局,2
345,降幅,2
346,收窄,2
347,来看,2
348,中国服装协会,2
349,上涨,2
350,数元,2
351,产品品质,2
352,颁发,2
353,红,2
354,一家,2
355,五星级,2
356,得天独厚,2
357,独树一帜,2
358,欧式,2
359,建筑设计,2
360,十佳,2
361,依然,2
362,新理念,2
363,国际贸易,2
364,摩擦,2
365,外部环境,2
366,挑战,2
367,提质,2
368,增效,2
369,对内,2
370,保持稳定,2
371,提,2
372,立企,2
373,力求,2
374,改良,2
375,把关,2
376,形象,2
377,坚实基础,2
378,年均,2
