,分词排序,词频
0,甘肃,219
1,甘肃省,160
2,亚盛,141
3,农垦,140
4,农业,140
5,农场,58
6,农产品,55
7,国营,45
8,信息,44
9,建设,42
10,房地产,42
11,生物,41
12,工程,37
13,种植,34
14,科技,34
15,实业集团,23
16,期未到,23
17,现代农业,22
18,马铃薯,22
19,节水,21
20,河,20
21,土地,19
22,扶贫,19
23,资源,18
24,甘肃兰州,18
25,食品,16
26,条山,16
27,农工商,16
28,兰州,16
29,酒泉,15
30,滴灌,14
31,田园,14
32,牧歌,14
33,兰州市,13
34,绿色,13
35,三是,13
36,材料,13
37,免征,13
38,李克华,12
39,草业,12
40,脱贫,12
41,建筑物,12
42,国家税务局,12
43,李克恕,11
44,分子,11
45,贫困户,11
46,牧场,11
47,亩,11
48,亚,11
49,美特,11
50,苜蓿,11
51,连鹏,10
52,城关区,10
53,规模化,10
54,宝瓶,10
55,化肥,10
56,黄羊,10
57,雁兴路,9
58,啤酒花,9
59,良种,9
60,食邦,9
61,人工,9
62,瑞盛,9
63,亚美,9
64,特高,9
65,物业管理,9
66,银行,9
67,建筑工程,9
68,瑞华,8
69,牧草,8
70,一体化,8
71,带动,8
72,西部,8
73,消耗性,8
74,建造,8
75,西南,7
76,楼,7
77,农作物,7
78,食葵,7
79,专业化,7
80,统一经营,7
81,提质,7
82,增效,7
83,矿业,7
84,户,7
85,牧业,7
86,鱼儿,7
87,红,7
88,第条,7
89,盛地,7
90,张掖,7
91,小宛,7
92,八一,7
93,宾馆,7
94,网站,6
95,数据,6
96,果品,6
97,工业,6
98,龙头企业,6
99,家庭,6
100,职能,6
101,本部,6
102,四是,6
103,生产资料,6
104,薯业,6
105,黄藏寺,6
106,水利枢纽,6
107,移民,6
108,保险,6
109,苜蓿草,6
110,中央,6
111,技术咨询,6
112,绿鑫,6
113,自然灾害,6
114,增收,6
115,莫高,6
116,处长,6
117,嵌入,6
118,饮马,6
119,下河,6
120,清,6
121,龙头,5
122,生态,5
123,农业产业,5
124,乡村,5
125,振兴,5
126,农村,5
127,资源配置,5
128,农机,5
129,基础设施,5
130,着力,5
131,选人,5
132,用人,5
133,深化,5
134,有机,5
135,玉门,5
136,养殖,5
137,定期存款,5
138,地膜,5
139,经纪,5
140,梳理,5
141,环保,5
142,国有资产,5
143,彬彬,5
144,何宗仁,5
145,普安,5
146,敦煌,5
147,通讯,5
148,保险费,5
149,减免税,5
150,登记表,5
151,纳税人,5
152,未到,5
153,滴管,5
154,酒厂,5
155,永昌,5
156,金昌,5
157,建筑,5
158,网架,5
159,上海,4
160,辣椒,4
161,纵向,4
162,谋划,4
163,集约化,4
164,全力,4
165,信息化,4
166,供给,4
167,侧,4
168,耕地,4
169,机械化,4
170,农田,4
171,队伍,4
172,高科技,4
173,体制,4
174,不断加强,4
175,组建,4
176,大宗,4
177,责任制,4
178,晋升,4
179,通道,4
180,水肥,4
181,服务平台,4
182,作物,4
183,蜂蜜,4
184,面积,4
185,市场价,4
186,技术转让,4
187,啤酒,4
188,促使,4
189,为此,4
190,健康,4
191,信托,4
192,李宗文,4
193,曹香芝,4
194,药业,4
195,换届选举,4
196,投出,4
197,自用,4
198,用房,4
199,教育费,4
200,退税,4
201,普华,4
202,外汇,4
203,黄花,4
204,印刷厂,4
205,黑土,4
206,洼,4
207,农庄,4
208,宁夏,4
209,联系人,3
210,联系方式,3
211,电话传真,3
212,大力发展,3
213,横向,3
214,技术装备,3
215,兴农,3
216,结构性,3
217,要素,3
218,落后,3
219,机械,3
220,产业结构,3
221,链条,3
222,转化,3
223,高标准,3
224,引入,3
225,省农科院,3
226,针对性,3
227,瓶颈,3
228,难题,3
229,主导产业,3
230,客户资源,3
231,健全,3
232,公正,3
233,集团化,3
234,推行,3
235,一企一策,3
236,作业,3
237,攻关,3
238,主导,3
239,科研院所,3
240,市场营销,3
241,寻求,3
242,终端产品,3
243,稳步,3
244,新品,3
245,三品,3
246,一标,3
247,绿色食品,3
248,地理,3
249,标志,3
250,国家级,3
251,苹果,3
252,花椒,3
253,脱贫致富,3
254,环境,3
255,经营方式,3
256,作物布局,3
257,休闲,3
258,旅游,3
259,种植业,3
260,阿鲁科尔沁旗,3
261,畜牧,3
262,农户,3
263,住所,3
264,技术推广,3
265,贮藏,3
266,农副产品,3
267,组装,3
268,泰达,3
269,成本上升,3
270,康益,3
271,奶牛,3
272,浸膏,3
273,把握,3
274,统筹,3
275,拳头,3
276,谋求,3
277,人力资源,3
278,攻坚,3
279,抓手,3
280,田间,3
281,四个,3
282,农药,3
283,根据上述,3
284,附件,3
285,合井,3
286,解聘,3
287,原蜜,3
288,足额,3
289,排污,3
290,药材,3
291,制造,3
292,吴,3
293,毕晋,3
294,赵荣春,3
295,刘志军,3
296,陈秉谱,3
297,崔伟,3
298,殷图廷,3
299,张,3
300,新军,3
301,制药,3
302,总会计师,3
303,李有,3
304,管理处,3
305,牛,3
306,平等,3
307,于天,3
308,召集,3
309,参会,3
310,亲自参加,3
311,倍数,3
312,选取,3
313,样本,3
314,保费,3
315,准备金,3
316,油气,3
317,中央银行,3
318,甘政函,3
319,盐化工业,3
320,金塔,3
321,监督管理,3
322,动物,3
323,指为,3
324,表中,3
325,混合,3
326,除净,3
327,中除,3
328,化工,3
329,公益性,3
330,役畜,3
331,实物,3
332,养老保险,3
