,分词排序,词频
0,天成,343
1,长征,288
2,贵州,261
3,电气,73
4,信息,69
5,上海,48
6,北海,41
7,生物,36
8,制造,36
9,工程,35
10,电力设备,33
11,遵义市,32
12,矿业,31
13,电气设备,29
14,矿,29
15,锆,27
16,华明,26
17,钛,25
18,开关,24
19,建设,24
20,香港,23
21,压,22
22,科技,22
23,房地产,21
24,朱洪彬,20
25,贵州省,19
26,银行,19
27,江苏,18
28,连杆,18
29,材料,18
30,开关设备,17
31,高压,17
32,电器,17
33,遵义,16
34,审华,15
35,环网柜,15
36,西仪,14
37,承德,14
38,开采,14
39,土地,14
40,黄巨芳,13
41,分接,13
42,绝缘,13
43,变压器,13
44,黄琴,12
45,钼,12
46,镍,12
47,广西,12
48,采矿权,12
49,苏垦,11
50,数据,11
51,输配电,11
52,配网,11
53,环境,11
54,搬迁,11
55,栋,11
56,风力,10
57,汇川区,10
58,矿产资源,10
59,矿区,10
60,山东,10
61,机械,10
62,武汉,9
63,矿产品,9
64,北京,9
65,探矿权,9
66,深圳,9
67,建造,9
68,自查,8
69,电力,8
70,固体,8
71,配电网,8
72,矿产,8
73,资源,8
74,成都,8
75,弈方,8
76,建筑物,8
77,扬州,8
78,调解,8
79,和解,8
80,筹措,7
81,一个月,7
82,贵阳,7
83,电网,7
84,有载,7
85,中压,7
86,非洲,7
87,莫桑比克,7
88,电工,7
89,软件,7
90,智能,7
91,真实性,7
92,王国生,7
93,周联俊,7
94,陈磊,7
95,潘琦,7
96,泰永,7
97,生物科技,7
98,一案,7
99,民事诉讼,7
100,该案,7
101,会计报表,6
102,决定书,6
103,尽快,6
104,工业,6
105,路临,6
106,断路器,6
107,零部件,6
108,装备,6
109,制造业,6
110,国民经济,6
111,万亿元,6
112,电力行业,6
113,北方,6
114,亚事,6
115,高新技术,6
116,开关柜,6
117,对策,6
118,李铁,6
119,警告,6
120,处以,6
121,罚款,6
122,通程,6
123,油气,6
124,划归,6
125,教育费,6
126,外汇,6
127,发电,6
128,已达成,6
129,黔,6
130,采取有效,5
131,提示性,5
132,网站,5
133,气体,5
134,较强,5
135,精矿,5
136,激烈,5
137,低压,5
138,北海市,5
139,互联网,5
140,金融信息,5
141,环保,5
142,函证,5
143,收集,5
144,军,5
145,保险费,5
146,四川,5
147,柳州,5
148,特种,5
149,贵银,4
150,路,4
151,固封式,4
152,售后服务,4
153,生产成本,4
154,调控,4
155,网络,4
156,投资额,4
157,最早,4
158,金属,4
159,精密,4
160,海运,4
161,化解,4
162,元较,4
163,政府部门,4
164,矿山,4
165,中介,4
166,国投,4
167,曹玉生,4
168,对西仪,4
169,天一,4
170,工贸,4
171,时任,4
172,马滨岚,4
173,排污,4
174,私募,4
175,电子,4
176,咨询服务,4
177,张仁,4
178,毛家仁,4
179,职工代表,4
180,电器集团,4
181,贵州大学,4
182,副教授,4
183,中央银行,4
184,消耗性,4
185,银基,4
186,往来款项,4
187,成套,4
188,高勤,4
189,远,4
190,采区,4
191,励磁,4
192,生物医药,4
193,江西,4
194,购,4
195,房产,4
196,姚国平,4
197,潘勇,4
198,调解书,4
199,金元,4
200,诉求,4
201,证审,3
202,同日,3
203,第条,3
204,条,3
205,警示,3
206,上诉,3
207,风电,3
208,发电设备,3
209,云南,3
210,张晓辉,3
211,工业园,3
212,真空,3
213,农村,3
214,生产能力,3
215,采矿,3
216,中矿,3
217,行动计划,3
218,新建,3
219,知名度,3
220,特性,3
221,广泛应用,3
222,铸造,3
223,耐火材料,3
224,航空航天,3
225,化工,3
226,上涨,3
227,抓住机遇,3
228,大幅提高,3
229,抢占市场,3
230,继续执行,3
231,开工,3
232,证券期货,3
233,第十次,3
234,后本,3
235,树立,3
236,技术水平,3
237,西部,3
238,严峻,3
239,近年,3
240,深化,3
241,车间,3
242,矿砂,3
243,人工,3
244,汇万银,3
245,新纪元,3
246,西藏路,3
247,科技园,3
248,三楼,3
249,成套设备,3
250,限定,3
251,贵阳市,3
252,北路,3
253,几年,3
254,技术创新,3
255,科学,3
256,开发利用,3
257,最大化,3
258,公司法人,3
259,科学决策,3
260,对此,3
261,访谈,3
262,镇江,3
263,金瑞,3
264,汇网,3
265,恒天,3
266,遵义县,3
267,足额,3
268,一致意见,3
269,疑虑,3
270,高度重视,3
271,旅游,3
272,信托,3
273,胡,3
274,凌志,3
275,广西北海,3
276,项目经理,3
277,南宁,3
278,辞职,3
279,审阅,3
280,通讯,3
281,在内,3
282,可信赖,3
283,完整性,3
284,保费,3
285,准备金,3
286,发,3
287,国有资产,3
288,下同,3
289,工商行政管理局,3
290,换发,3
291,相一致,3
292,出价,3
293,补偿款,3
294,每一,3
295,应纳,3
296,股西仪,3
297,办公楼,3
298,井巷,3
299,买,3
300,付通,3
301,中安融,3
302,滚动,3
303,高新区,3
304,不致,3
305,南京,3
306,发动机,3
307,瑕疵,3
308,盐城,3
309,沪,3
310,结清,3
311,连带保证,3
312,京,3
313,判决书,3
314,年利率,3
315,罚息,3
316,包头市,3
317,开庭审理,3
318,一本,2
319,非标,2
320,第一百五十,2
321,六条,2
322,具体条件,2
323,否定,2
324,统计,2
325,延迟,2
326,负面影响,2
327,外文,2
328,电子信箱,2
329,网址,2
330,媒体,2
331,张乾明,2
332,非金融,2
333,自然灾害,2
334,显失,2
335,一次性,2
336,电力系统,2
337,线路,2
338,退出,2
339,故障,2
340,稳定性,2
341,所涉,2
342,大宗,2
343,体制,2
344,为数不多,2
345,中资企业,2
346,勘探,2
347,中部,2
348,省份,2
349,沿海,2
350,提炼,2
351,电力工业,2
352,石油化工,2
353,冶金,2
354,提到,2
355,十大,2
356,大小,2
357,投资总额,2
358,紧紧抓住,2
359,产业政策,2
360,工业协会,2
361,分会,2
362,常务理事,2
363,桂工,2
364,信科鉴,2
365,紧张,2
366,景气,2
367,行情,2
368,顺势,2
369,船运,2
370,评报,2
371,基准日,2
372,临因,2
373,元件,2
374,变压器厂,2
375,多家,2
376,国务院,2
377,快,2
378,基础设施,2
379,城镇化,2
380,迎来,2
381,高素质,2
382,理解,2
383,成绩,2
384,带动,2
385,呈现,2
386,致力于,2
387,柜,2
388,装置,2
389,严格控制,2
390,货运,2
391,和舶,2
392,运,2
393,针对性,2
394,大幅度,2
395,省市,2
396,统一安排,2
397,态势,2
398,零,2
399,贷,2
400,上饶,2
401,存管,2
402,调配,2
403,服务器,2
404,少量,2
405,常规,2
406,速度,2
407,产品成本,2
408,否否否,2
409,开票,2
410,人民,2
411,创业,2
412,号楼,2
413,元器件,2
414,研制,2
415,号房,2
416,有色金属,2
417,观山,2
418,湖区,2
419,长岭,2
420,产业园,2
421,室,2
422,借贷,2
423,一带,2
424,一路,2
425,跨国公司,2
426,更趋,2
427,壁垒,2
428,电器元件,2
429,智能化,2
430,质量保证,2
431,钛铁矿,2
432,颁发,2
433,证,2
434,道路,2
435,机械化,2
436,施工,2
437,逐步提高,2
438,盘活,2
439,存量,2
440,思路,2
441,敦促,2
442,引入,2
443,契合,2
444,运输设备,2
445,健康,2
446,负担,2
447,监管部门,2
448,结构调整,2
449,永磁,2
450,实时,2
451,收购人,2
452,联营公司,2
453,换,2
454,扣,2
455,非后,2
456,任一,2
457,应于,2
458,二十个,2
459,工作日内,2
460,充足,2
461,股东会,2
462,法律效力,2
463,华夏银行,2
464,账单,2
465,回单,2
466,回函,2
467,绥阳县,2
468,广成,2
469,农贸,2
470,兴,2
471,通达,2
472,惠水县,2
473,雨田,2
474,博文,2
475,翕裕,2
476,提醒,2
477,日及,2
478,采取措施,2
479,核实,2
480,督促,2
481,编报,2
482,解聘,2
483,谴责,2
484,召集人,2
485,通报批评,2
486,纪律,2
487,将要,2
488,本部,2
489,三项,2
490,环境保护部,2
491,门,2
492,污染,2
493,江国,2
494,健夏燕,2
495,梁意珍,2
496,谢皓,2
497,吴卫孔,2
498,卫东,2
499,薛雷,2
500,顾问,2
501,信息技术,2
502,生物工程,2
503,能源开发,2
504,国内贸易,2
505,介绍,2
506,江涛,2
507,谭文丽,2
508,银滩,2
509,管委会,2
510,部副,2
511,公司财务,2
512,西安交通大学,2
513,教师,2
514,室主任,2
515,人力资源部,2
516,教育,2
517,高中,2
518,召集,2
519,平等,2
520,三名,2
521,工作细则,2
522,得以,2
523,报纸,2
524,续聘,2
525,更换,2
526,战略决策,2
527,合理化,2
528,分析程序,2
529,单据,2
530,核查,2
531,签收,2
532,账务,2
533,国家股,2
534,划转,2
535,由本,2
536,会计核算,2
537,权责,2
538,公历,2
539,付出,2
540,下以,2
541,当本,2
542,投出,2
543,项本,2
544,比照,2
545,除此以外,2
546,盘点,2
547,受让方,2
548,除净,2
549,或应,2
550,毁损,2
551,机器设备,2
552,届满时,2
553,尚可,2
554,工程项目,2
555,竣工,2
556,乘以,2
557,研究成果,2
558,工序,2
559,替代品,2
560,下述,2
561,结果表明,2
562,组是,2
563,医疗保险,2
564,生育,2
565,工伤保险,2
566,住房,2
567,工会,2
568,教育经费,2
569,养老保险,2
570,撤回,2
571,时冲减,2
572,例外情况,2
573,免租,2
574,更为,2
575,当前情况,2
576,折,2
577,单元,2
578,要价,2
579,证券市场,2
580,国家税务局,2
581,受限制,2
582,票,2
583,温州,2
584,安斯贝赫,2
585,刘小,2
586,王新竺,2
587,海欣发,2
588,新华,2
589,金控,2
590,汇川,2
