,分词排序,词频
0,上海,313
1,长江,219
2,物流,126
3,货运,82
4,交易中心,74
5,世灏,59
6,信息,51
7,工程,50
8,长发,49
9,陆上,48
10,气象,36
11,长誉,32
12,分宜,30
13,金属,30
14,香港,30
15,陆交,24
16,鼎立,22
17,舟山,22
18,晟,22
19,科技,21
20,物流业,21
21,长望,20
22,小额贷款,20
23,矿业,19
24,浙江,18
25,上海浦东新区,17
26,长,17
27,信汇,17
28,川南,17
29,资源,17
30,建设,16
31,智,16
32,膳,16
33,奉路,16
34,杭州,15
35,路,15
36,房地产,15
37,长信,15
38,银行,15
39,武汉,15
40,孙立,14
41,爱马,14
42,海红,13
43,长投,13
44,安庆,13
45,数据,13
46,探空仪,13
47,仓储,13
48,灏,13
49,生物,13
50,孙,12
51,无年,12
52,汽车,12
53,准备金,12
54,经济带,11
55,本部,11
56,小贷,10
57,运输,10
58,指数,10
59,基础设施,10
60,迅定,10
61,赵,10
62,春光,10
63,立信,9
64,居亮,9
65,高空,9
66,定增,9
67,环境,9
68,资本金,9
69,第条,9
70,协议书,9
71,刘涛,9
72,人居,9
73,亮,9
74,缴费,9
75,试验区,8
76,国务院,8
77,土地,8
78,仪器厂,8
79,物业管理,8
80,长三角,8
81,能源,8
82,钢铁,8
83,起任,8
84,长利,8
85,材料,8
86,开具,8
87,发票,8
88,半年,8
89,易陆创,8
90,弄,7
91,配送,7
92,健康,7
93,联营公司,7
94,李铁,7
95,法学院,7
96,静安区,6
97,永和,6
98,跨境,6
99,凤长,6
100,军谷,6
101,贵金属,6
102,笙,6
103,国兴,6
104,换届选举,6
105,油气,6
106,建造,6
107,养老保险,6
108,信用证,6
109,室,6
110,幢,6
111,网站,5
112,气候,5
113,探测,5
114,传感器,5
115,定位,5
116,运价,5
117,仪器,5
118,发起,5
119,市值,5
120,中长期,5
121,服务业,5
122,实缴,5
123,智慧,5
124,北京,5
125,一体化,5
126,负值,5
127,南京,5
128,电力,5
129,燃料,5
130,迅汇,5
131,国有资产,5
132,郭建,5
133,陆金,5
134,陈铭磊,5
135,王新刚,5
136,院长,5
137,上海交通大学,5
138,安泰,5
139,退休,5
140,肖,5
141,振海,5
142,抵押物,5
143,海陆交,5
144,群商汇,5
145,除净,5
146,合作方,5
147,存入,5
148,博瑞恩,5
149,爱,5
150,普陀区,5
151,个人账户,5
152,疑虑,4
153,楼,4
154,高精度,4
155,北斗,4
156,翻,4
157,斗式,4
158,雨量,4
159,商业模式,4
160,进口,4
161,陆续,4
162,润川路,4
163,河滨,4
164,联动,4
165,时期,4
166,出台,4
167,环保,4
168,经营风险,4
169,存量,4
170,服务收入,4
