,分词排序,词频
0,客车,139
1,恒通,125
2,四川,107
3,资源,78
4,重庆,74
5,恒康,71
6,交通,66
7,西部,61
8,信息,56
9,汽车,46
10,新能源,42
11,矿业,39
12,电动,37
13,房地产,33
14,重庆市,28
15,赢,24
16,原键,24
17,科技,24
18,凯龙,24
19,节能,24
20,维西,22
21,工程,21
22,数据,20
23,赵洋生,19
24,伟瓦,19
25,建设,19
26,鑫,17
27,成都,17
28,交通设备,17
29,上海,17
30,矿产资源,17
31,环境,17
32,采矿权,17
33,交融,16
34,探矿权,16
35,六六六,16
36,恒能,15
37,环保,15
38,银行,14
39,辆,14
40,信托,14
41,三山,13
42,零部件,13
43,车型,12
44,扶贫,12
45,动力系统,11
46,金融机构,11
47,延续,11
48,土地,11
49,建筑物,11
50,开,10
51,瑞华,10
52,拍卖,10
53,阙文,10
54,彬,10
55,排放,10
56,应急,10
57,生物,10
58,文化,9
59,陆续,9
60,教育,9
61,西,9
62,江苏,9
63,股占,9
64,人段,9
65,志平,9
66,银茂,9
67,工业,8
68,传统,8
69,承租,8
70,两山,8
71,段志平,7
72,隆沃,7
73,绵阳,7
74,高新,7
75,剥离,7
76,下滑,7
77,江链,7
78,矿山,7
79,广西,7
80,罚息,7
81,五个,7
82,德阳,7
83,银坤,7
84,广西南宁,6
85,制造,6
86,地质,6
87,本部,6
88,万辆,6
89,轮候,6
90,环境保护,6
91,事故,6
92,油气,6
93,投出,6
94,嵌入,6
95,建造,6
96,教育费,6
97,渝,6
98,探矿,6
99,经瑞华,5
100,开投,5
101,中信证券,5
102,机械制造,5
103,路,5
104,协同效应,5
105,依旧,5
106,存量,5
107,缓解,5
108,紧张,5
109,扬州,5
110,勘查,5
111,云南,5
112,材料,5
113,近,5
114,混合,5
115,制订,5
116,非正常,5
117,维西县,5
118,北京,5
119,排污,5
120,环境污染,5
121,朱啸,5
122,服务业,5
123,医疗,5
124,自力,5
125,唐国,5
126,保险,5
127,铜业,5
128,低值易耗品,5
129,帆,5
130,锦江区,4
131,锦江,4
132,毕升,4
133,网站,4
134,去年同期,4
135,随之,4
136,带动,4
137,采选,4
138,整车,4
139,配置,4
140,车辆,4
141,良性,4
142,电机,4
143,流失,4
144,矿权,4
145,框架,4
146,制造业,4
147,工信部,4
148,重客,4
149,共有,4
150,第八十,4
151,案而,4
152,协议书,4
153,化解,4
154,长城公司,4
155,宝山,4
156,云南省,4
157,辖区,4
158,年月日时,4
159,更名,4
160,投票制,4
161,科学,4
162,污染物,4
163,废水,4
164,废气,4
165,琼,4
166,行政职务,4
167,四个,4
168,中央银行,4
169,阳坝,4
170,有色金属,4
171,划归,4
172,自用,4
173,归类,4
174,财政补贴,4
175,黄金,4
176,城市交通,3
177,联系人,3
178,联系方式,3
179,配备,3
180,勘探,3
181,铜矿,3
182,开采,3
183,招投标,3
184,付款条件,3
185,能源,3
186,售后,3
187,余值,3
188,电控,3
189,成熟,3
190,租赁业,3
191,健康,3
192,兼并,3
193,尽快,3
194,夯实,3
195,盘活,3
196,局面,3
197,稳步,3
198,全款,3
199,给鑫,3
200,以此,3
201,高度,3
202,权限,3
203,铌,3
204,钽,3
205,矿,3
206,防城港,3
207,创越,3
208,锡矿,3
209,永德县,3
210,华铜,3
211,金属,3
212,伟力,3
213,勘测,3
214,矿产,3
215,以稀,3
216,贵金属,3
217,来源于,3
218,折旧费,3
219,如未,3
220,赔偿金,3
221,引发,3
222,特向本,3
223,先行,3
224,再由本,3
225,银行贷款,3
226,尚余,3
227,退出,3
228,利用率,3
229,差异化,3
230,作价,3
231,两山建,3
232,承接,3
233,索赔权,3
234,施行,3
235,防范,3
236,证监局,3
237,第七十四,3
238,尚有,3
239,疑虑,3
240,尊重,3
241,长,3
242,土坡,3
243,铜多,3
244,金属矿,3
245,复利,3
246,贵州省,3
247,划转,3
248,公益事业,3
249,相关者,3
250,税收政策,3
251,超标,3
252,回售,3
253,同日,3
254,甘肃,3
255,科长,3
256,纵横,3
257,航空,3
258,西南财经大学,3
259,会计学院,3
260,换届选举,3
261,筹备,3
262,报经,3
263,人年,3
264,住房,3
265,养老保险,3
266,医疗保险,3
267,生育,3
268,工伤保险,3
269,召集,3
270,投票,3
271,四次会议,3
272,通讯,3
273,倍数,3
274,转给,3
275,保费,3
276,准备金,3
277,采掘,3
278,置,3
279,多方,3
280,指为,3
281,表中,3
282,数在,3
283,其后,3
284,公平交易,3
285,包装物,3
286,组是,3
287,除净,3
288,中除,3
289,机器设备,3
290,实物,3
291,保险费,3
292,退,3
293,补助款,3
294,清理,3
295,税额,3
296,中央,3
297,免征,3
298,收益权,3
299,其月,3
300,之二,3
301,对鼎,3
302,天系,3
303,追偿,3
304,主管人员,2
305,挑战,2
306,拟定,2
307,查阅,2
308,湖南,2
309,科技产业,2
310,外文,2
311,电子信箱,2
312,王娜,2
313,高新区,2
314,火炬,2
315,网址,2
316,陈松波,2
317,李瑶,2
318,符合国家,2
319,介入,2
320,法人资格,2
321,独立核算,2
322,客户资源,2
323,互补,2
324,载体,2
325,以销定产,2
326,定制,2
327,集成,2
328,购车,2
329,签收,2
330,公交,2
331,信誉,2
332,水务,2
333,回租,2
334,据此,2
335,公众,2
336,电池,2
