,分词排序,词频
0,新疆,65
1,万源,46
2,亿路,27
3,汇金,22
4,房地产,22
5,塔城,20
6,中院,17
7,黄伟,16
8,信息,16
9,高院,15
10,新疆维吾尔自治区,14
11,工程,14
12,注入,13
13,韩真源,13
14,上海,12
15,再审,12
16,科技,12
17,土地,12
18,塔城地区,11
19,投资人,11
20,高级人民法院,10
21,木江吾斯曼,10
22,一案,10
23,建造,10
24,人卡司,9
25,华信,8
26,数据,8
27,材料,8
28,何寿福,7
29,重庆,7
30,网站,7
31,塔中,7
32,民破字,7
33,民事裁定,7
34,核查,7
35,矿业,7
36,四川,6
37,适时,6
38,塔城市,6
39,生物,6
40,江海,5
41,复牌,5
42,巴克图,5
43,广场,5
44,辽塔,5
45,赣商,5
46,媒体,5
47,书,5
48,建设,5
49,资源,5
50,天津,5
51,银行,5
52,乘以,5
53,臧忠华,4
54,通讯,4
55,消费,4
56,路,4
57,审查,4
58,最高人民法院,4
59,合理安排,4
60,农业,4
61,产业结构,4
62,健康,4
63,户,4
64,亿源,4
65,薪资,4
66,换届,4
67,油气,4
68,中央银行,4
69,嵌入,4
70,混合,4
71,或重,4
72,以换,4
73,退休,4
74,内退,4
75,教育费,4
76,刘鹏,3
77,谢豫新,3
78,遴选,3
79,现代农业,3
80,联网,3
81,商务谈判,3
82,轻纺,3
83,问询,3
84,上证,3
85,公函,3
86,证监会,3
87,一次性,3
88,申请书,3
89,人向,3
90,送达,3
91,案,3
92,异议书,3
93,引入,3
94,产品成本,3
95,昆仑,3
96,众惠,3
97,昆山,3
98,成通,3
99,德天利,3
100,易楚,3
101,瑞弘宝,3
102,好润,3
103,源迪,3
104,广西,3
105,沃洋,3
106,能源,3
107,贵州,3
108,恒瑞,3
109,丰泰,3
110,环境,3
111,李勇,3
112,韩双印,3
113,保费,3
114,准备金,3
115,何寿福年,3
116,抵债,3
117,购并,3
118,订立,3
119,取决于,3
120,除净,3
121,低值易耗品,3
122,应予,3
123,日以,3
124,华凯,3
125,大地,3
126,生态,3
127,定期存款,3
128,王,2
129,韩双,2
130,解除合同,2
131,重庆市,2
132,回复,2
133,提议,2
134,召集,2
135,大华,2
136,合作伙伴,2
137,中文名称,2
138,外文,2
139,电子信箱,2
140,网址,2
141,非金融,2
142,自然灾害,2
143,显失,2
144,由本,2
145,新民,2
146,监字,2
147,马英,2
148,俞小玲,2
149,乔秀娟,2
150,不服,2
151,书向,2
152,诉讼法,2
153,百八十,2
154,条,2
155,督促,2
156,公示,2
157,催告,2
158,非讼,2
159,当事人,2
160,审判监督,2
161,答复,2
162,补足,2
163,日此,2
164,递交,2
165,亿停,2
166,暂不复牌,2
167,股民,2
168,投诉,2
169,转交,2
170,核实,2
171,查明,2
172,三是,2
173,停牌,2
174,增,2
175,中介机构,2
176,出资人,2
177,解聘,2
178,到位,2
179,深圳,2
180,相互间,2
181,兴平,2
182,水源,2
183,何菁,2
184,待遇,2
185,参照,2
186,设置,2
187,董监事,2
188,最低水平,2
189,庞建东,2
190,招商,2
191,公历,2
192,日止,2
193,性交易,2
194,扣减,2
195,角度,2
196,表因,2
197,对非,2
198,按原,2
199,易于,2
200,分拆,2
201,时如,2
202,参与者,2
203,该组,2
204,若该,2
205,原已,2
206,限售期,2
207,耗用,2
208,物业,2
209,包装物,2
210,或换,2
211,下非,2
212,在内,2
213,顺序,2
214,时该,2
215,其他支出,2
216,建筑物,2
