,分词排序,词频
0,环球,283
1,商赢,275
2,上海,218
3,星光,151
4,信息,77
5,服装,60
6,电商,56
7,赢,51
8,零售,48
9,黄金,44
10,世峰,42
11,一次性,42
12,杨军,39
13,银行,37
14,盛世,36
15,香港,36
16,扶贫,36
17,定金,33
18,台州,30
19,通宝,30
20,工程,30
21,体育,28
22,健身,26
23,中兴,24
24,财,24
25,光华,24
26,江苏,23
27,保障型,23
28,周瑜,22
29,泰润,22
30,电子商务,22
31,阿拉善左旗,22
32,乐源,21
33,旭森,21
34,创开,21
35,宁夏,20
36,消费,20
37,文化,19
38,互联网,18
39,托里县,18
40,矿业,18
41,零售业,18
42,等价,18
43,上线,17
44,线上,16
45,房地产,16
46,内蒙古自治区,16
47,材料,15
48,亚洲,15
49,时尚,15
50,消费者,15
51,卖方,15
52,物业,15
53,隆明,14
54,金融信息,14
55,数据,14
56,健身房,14
57,环境,14
58,泓,13
59,乐点,13
60,智能,13
61,首席,13
62,建筑面积,13
63,东志,13
64,工行,13
65,世博,13
66,上浮,13
67,网站,12
68,成衣,12
69,服饰,12
70,传统,12
71,流失,12
72,投票,12
73,谢荣兴,12
74,杭州,11
75,建设,11
76,开庭审理,11
77,线下,10
78,网络,10
79,第二年,10
80,教育,10
81,房产,10
82,昆润,10
83,项下,10
84,星盈,10
85,村,10
86,生物,10
87,指商,9
88,旭源,9
89,特拉华州,9
90,旗下,9
91,社交,9
92,孙,9
93,罗永斌方,9
94,美金,9
95,意向,9
96,执行官,9
97,可回收,9
98,郭文军,9
99,调解书,9
100,长江,9
101,周庄,9
102,人罗俊,9
103,持本,9
104,汇丰银行,9
105,罗俊,8
106,泽,8
107,传播,8
108,大连,8
109,恒昆,8
110,烨,8
111,代工,8
112,运动,8
113,百货公司,8
114,零售商,8
115,购物,8
116,宣传,8
117,日以,8
118,化工,7
119,媒体,7
120,布料,7
121,加利福尼亚州,7
122,销售业务,7
123,第一年,7
124,罗永斌,7
125,下滑,7
126,关怀,7
127,资源,7
128,第二条,7
129,厦门,7
130,宪法,7
131,拟定,6
132,南通,6
133,达孜县,6
134,徐虹,6
135,中路,6
136,开设,6
137,店铺,6
138,载体,6
139,协同效应,6
140,科技,6
141,态,6
142,走,6
143,回来,6
144,前向,6
145,由商,6
146,技邑,6
147,休闲,6
148,商品房,6
149,中产阶级,6
150,效力,6
151,民事裁定,6
152,邓永祥,6
153,判决书,6
154,阿拉善盟,6
155,塔城地区,6
156,第一条,6
157,场所,6
158,绍兴,6
159,吴宇昌,6
160,购房款,6
161,土地,6
162,港大,6
163,理查德,6
164,油气,6
165,归类,6
166,审会,5
167,创元,5
168,亿桌,5
169,时装,5
170,清华,5
171,跨境,5
172,缓解,5
173,生态,5
174,健康,5
175,自制,5
176,运动服,5
177,消费品,5
178,零售总额,5
179,关闭,5
180,配饰,5
181,物流,5
182,审查,5
183,交割,5
184,完成率,5
185,美元兑,5
186,第三年,5
187,交割日,5
188,昆仑,5
189,商务中心,5
190,指出,5
191,品类,5
192,网点,5
193,积极性,5
194,代理人,5
195,该案,5
196,左民一,5
197,初字,5
198,送达,5
199,传票,5
200,下称,5
201,诉讼费用,5
202,闵行,5
203,证监局,5
204,集体经济,5
205,交流,5
206,环保,5
207,项目经理,5
208,建筑物,5
209,豁免,5
210,低注,5
211,伦敦,5
212,并表,5
213,带,4
214,提醒,4
215,对商,4
216,疑虑,4
217,彩浩,4
218,恒隆,4
219,青岛,4
220,星,4
221,兴业,4
222,海燕,4
223,徐汇区,4
224,号楼,4
225,补偿款,4
226,女装,4
227,美国市场,4
228,服装设计,4
229,两类,4
230,直销,4
231,零售额,4
232,体验,4
233,归属感,4
234,忠诚度,4
235,亿美元,4
236,态度,4
237,滑板,4
238,冲击,4
239,人才流失,4
240,发来,4
241,摘要,4
242,制造,4
243,听取,4
244,立信,4
245,该笔,4
246,总和,4
247,合称,4
248,业务量,4
249,下半年,4
250,客户关系,4
251,为此,4
252,测算,4
253,通讯,4
254,年报,4
255,防范,4
256,人工成本,4
257,星骢,4
258,歆,4
259,季,4
260,稳步,4
261,助推,4
262,激发,4
263,创造性,4
264,经营风险,4
265,人文,4
266,公正,4
267,其所,4
268,复牌,4
269,再融资,4
270,段落,4
271,郭文军诉,4
272,一案,4
273,书,4
274,塔城,4
275,中院,4
276,元为,4
277,一在,4
278,担保责任,4
279,书面通知,4
280,扣留,4
281,中央,4
282,奉贤区,4
283,面积,4
284,汇成,4
285,承租,4
286,所在地,4
287,平等,4
288,中国建设银行,4
289,营业部,4
290,买卖合同,4
291,宁夏回族自治区,4
292,说明会,4
293,上证,4
294,排污,4
295,朱玉明,4
296,电气,4
297,副会长,4
298,白玉兰,4
299,财务经理,4
300,中国区,4
301,范瑶瑶,4
302,辞去,4
303,代付,4
304,北京,4
305,中央银行,4
306,投出,4
307,买方,4
308,成分,4
309,离岸,4
310,萨尔瓦多,4
311,未到,4
312,建造,4
313,一处,4
314,策划,4
315,内拟,4
316,陈惠岗,3
317,已有,3
318,翔,3
319,指南,3
320,恒盛,3
321,盈,3
322,佛罗里达州,3
323,海鸥,3
324,浙江,3
325,陈,3
326,电子信箱,3
327,服装服饰,3
328,一体,3
329,助力,3
330,多元化,3
331,战略规划,3
332,立足,3
333,搭建,3
334,环节,3
335,旨在,3
336,立体,3
337,金融机构,3
338,业态,3
339,国家统计局,3
340,在线,3
341,百货,3
342,更好,3
343,滑冰,3
344,滑雪,3
345,冲浪,3
346,流量,3
347,在内,3
348,筹划,3
349,停牌,3
350,审慎,3
351,反垄断,3
352,需向,3
353,连带保证,3
354,宏观,3
355,谈判,3
356,上半年,3
357,零,3
358,据此,3
359,最新,3
360,上述情况,3
361,费用率,3
362,谨慎,3
363,乐,3
364,每元,3
365,数元,3
366,装修,3
367,监管部门,3
368,公众,3
369,麦肯锡,3
370,经贸,3
371,摩擦,3
372,复星,3
373,财富,3
374,消费市场,3
375,奢侈品,3
376,不断扩大,3
377,世代,3
378,数据分析,3
379,表现,3
380,扩股,3
381,立足于,3
382,日趋,3
383,规模化,3
384,效应,3
385,专业人才,3
386,主动性,3
387,凝聚力,3
388,原件,3
389,确信,3
390,申威,3
391,基准日,3
392,续聘,3
393,递交,3
394,本院,3
395,回复,3
396,临年,3
397,负担,3
398,上诉人,3
399,上诉,3
400,上午,3
401,时分,3
402,传唤,3
403,事由,3
404,阿左民,3
405,一初,3
406,重审,3
407,退还,3
408,一事,3
409,称,3
410,和解,3
411,年利率,3
412,起算,3
413,还清,3
414,无条件,3
415,新疆维吾尔自治区,3
416,告知,3
417,转租,3
418,环城,3
419,西路,3
420,计租,3
421,质检,3
422,样品费,3
423,拟以,3
424,后商,3
425,系商,3
426,办公楼,3
427,单价,3
428,诚实,3
429,可信,3
