,分词排序,词频
0,永泰,792
1,能源,652
2,电力,408
3,山西,203
4,张家港,190
5,华晨,162
6,灵石,159
7,广西,142
8,华瀛,122
9,矿业,120
10,煤业,114
11,煤炭,106
12,王,105
13,发电,98
14,沙洲,90
15,工程,90
16,该笔,85
17,华兴,82
18,裕,78
19,郑州,76
20,华熙,73
21,江苏,70
22,银源,69
23,石化,69
24,石油化工,60
25,融资券,60
26,上海,57
27,建设,57
28,澳大利亚,57
29,万千瓦,56
30,日月,53
31,煤焦,52
32,环保,51
33,昆士兰,47
34,信息,45
35,机组,43
36,环境,42
37,采掘,41
38,平安,41
39,康伟,39
40,网站,39
41,银行,39
42,山东,36
43,周口,36
44,煤矿,36
45,华,32
46,隆达,31
47,河南,30
48,西藏,29
49,科技,29
50,民事诉讼,29
51,瀛,28
52,煤,28
53,北京,28
54,贵州,28
55,太平洋,28
56,十日,28
57,否王,28
58,南阳,27
59,仓储,27
60,委会,27
61,装机容量,26
62,化解,26
63,排放,26
64,国投,25
65,码头,25
66,土地,25
67,深圳,25
68,电厂,24
69,电量,24
70,澳元,24
71,发电机组,23
72,投产,22
73,应急,22
74,惠州,22
75,大亚湾,22
76,房地产,22
77,定向,22
78,海南,22
79,采矿权,22
80,给付,21
81,新能源,20
82,供热,20
83,下调,20
84,金融机构,20
85,电费,20
86,陕西,19
87,信用等级,19
88,焦煤,18
89,小时,18
90,燃煤,18
91,污染物,18
92,第四期,18
93,投华,18
94,煤电,17
95,环境保护,17
96,于本,17
97,香港,17
98,沁源,17
99,山西省,16
100,河南省,16
101,用电量,16
102,售电,16
103,事故,16
104,高级人民法院,16
105,监测,16
106,发电量,15
107,三是,15
108,火电,15
109,公司债务,15
110,判决书,15
111,上诉,15
112,养老保险,15
113,第三期,15
114,昇,14
115,收费权,14
116,中民,14
117,出资额,14
118,海德,14
119,物流,13
120,动力,13
121,供需,13
122,水,13
123,广东,13
124,台,13
125,全力,13
126,燃气,13
127,天然气,13
128,泰能,13
129,华鲁,13
130,广汇,13
131,天星,13
132,负担,12
133,数据,12
134,国网,12
135,亿吨,12
136,资源,12
137,南京,12
138,徐州,12
139,金泰,12
140,年利率,12
141,资管,12
142,第项,12
143,徳,12
144,探矿权,12
145,华瀛孙义,12
146,否华熙,12
147,卞,11
148,鹏飞,11
149,华泰,11
150,四是,11
151,运输,11
152,井巷,11
153,材料,11
