,分词排序,词频
0,瑞茂通,220
1,郑州,210
2,煤炭,139
3,永兴,72
4,上海,65
5,银行,60
6,河南,57
7,信息,57
8,大宗,52
9,七十一,47
10,数据,44
11,中瑞,41
12,任瑞茂通,41
13,煤,40
14,期货,34
15,北京,34
16,江苏,33
17,燃料,32
18,保理款,31
19,电力,31
20,山东,31
21,易,29
22,航空港,29
23,九发,28
24,房地产,27
25,刘轶,26
26,食用菌,26
27,深圳,25
28,实业集团,24
29,工程,24
30,浙江,24
31,烟台,23
32,瑞茂,22
33,小额贷款,22
34,瑞昌,21
35,天津,21
36,农村,21
37,区兴瑞,21
38,新余,20
39,能源,20
40,回售,20
41,海瑞,19
42,风控,19
43,晋,19
44,茂通,18
45,运销,18
46,动力,18
47,建设,18
48,那曲,17
49,电子商务,17
50,环境,16
51,新疆,15
52,商业银行,15
53,杭州,15
54,行权期,15
55,嵌入,15
56,略,15
57,资源,14
58,万份,14
59,信托,14
60,增信,14
61,和昌,14
62,宁波,14
63,豫辉,13
64,和辉,13
65,互联网,12
66,煤网,12
67,进口,12
68,金融机构,12
69,授信额度,12
70,混合,12
71,油品,12
72,生物,12
73,广州,12
74,刘建辉,11
75,物流,11
76,中原,11
77,嘉瑞,11
78,金融服务,10
79,端,10
80,信息化,10
81,苏州,10
82,杨爽,9
83,洪泽县,9
84,煤炭行业,9
85,纸货,9
86,对接,9
87,科技,9
88,信用证,9
89,财产保险,9
90,港瑞,9
91,计息,9
92,铁矿石,9
93,退税,9
94,保税区,9
95,烟台市,8
96,配置,8
97,线上,8
98,供给,8
99,消费,8
100,价格指数,8
101,云控,8
102,亿吨,8
103,混改,8
104,山西,8
105,新加坡元,8
106,国际贸易,8
107,节假日,8
108,日为,8
109,中信银行,8
110,怡丰,8
111,南京,8
112,保,8
113,地方税务局,8
114,新加坡,8
115,黄山,8
116,明恒,8
117,网站,7
118,指数,7
119,现货,7
120,线下,7
121,交易平台,7
122,瑞易,7
123,文化,7
124,发运,7
125,经营风险,7
126,合资,7
127,首个,7
128,分拆,7
129,第三个,7
130,腾瑞,7
131,本部,7
132,首批,7
133,瑞通,7
134,其后,7
135,兴业,7
136,人燕刚,7
137,徐州市,7
138,邳州市,7
139,丰源,7
140,印尼盾,7
141,当日,7
142,模型,7
143,德盛瑞茂通,7
144,泰州,7
145,码头,7
146,燕刚,6
147,瑞泰,6
148,石油化工,6
149,智能,6
150,匹配,6
151,业务流程,6
152,搭建,6
153,智能化,6
154,侧,6
155,陕西,6
156,详情请,6
157,结构性,6
158,江西,6
159,通讯,6
160,燃料油,6
161,秦敬富,6
162,任中瑞,6
163,如遇,6
164,休息日,6
165,延至,6
166,第个,6
167,公司债务,6
168,中是,6
169,商品销售,6
170,油气,6
171,次级,6
172,霍尔果斯,6
173,网络科技,6
174,牟瑞,6
175,技术创新,6
176,加工区,6
177,普陀区,6
178,管委会,6
179,物资贸易,6
180,运昌,6
181,济南,6
182,华达,6
183,审众,5
184,环,5
185,商行,5
186,西城区,5
187,大街,5
188,广场,5
189,商业模式,5
190,可视化,5
191,自营,5
192,仓储,5
193,衍生品,5
194,上下游,5
195,长江口,5
196,后台,5
197,引入,5
198,金融业务,5
199,生态,5
200,自动化,5
201,注入,5
202,管理效率,5
203,为瑞茂通,5
204,开具,5
205,民营企业,5
206,保险,5
207,第二十三,5
208,宁夏,5
209,易燃易爆,5
210,曹诗雄,5
211,李群立,5
212,新颜,5
213,男女,5
214,河南省,5
215,地产,5
216,上调,5
217,营运,5
218,中国光大银行,5
219,第六次,5
