,分词排序,词频
0,珠海,278
1,格力,201
2,房地产,156
3,地产,102
4,信息,73
5,上海,66
6,房产,62
7,工程,60
8,建设,49
9,海洋,41
10,土地,40
11,珠海市,38
12,口岸,37
13,海控,34
14,生物,31
15,格地,30
16,服务业,26
17,重庆,26
18,旅游,26
19,起任,24
20,大湾,23
21,苏锡雄,19
22,大桥,19
23,粤港澳,18
24,保联,18
25,鲁君,17
26,港珠澳,17
27,网站,16
28,海投,15
29,西安,15
30,生态,14
31,酒店,14
32,渔港,13
33,督促,13
34,建造,13
35,消耗性,13
36,孙,13
37,国资委,12
38,房地产业,12
39,物业,12
40,数据,11
41,住房,11
42,香港,11
43,洪湾,11
44,环境,11
45,代建,11
46,再融资,11
47,首期,11
48,信托,11
49,划转,11
50,金融业,10
51,回售,10
52,格,10
53,开发成本,10
54,估价,10
55,面积,9
56,海岸,9
57,互联网,9
58,违规行为,9
59,还本,9
60,广东,9
61,当日,9
62,国有资产,8
63,监督管理,8
64,海星,8
65,文化,8
66,资源,8
67,临临,8
68,单利,8
69,按年,8
70,银行,8
71,销售价格,8
72,物业管理,8
73,合联,8
74,联系人,7
75,瑞华,7
76,住宅,7
77,商品房,7
78,游艇,7
79,科技,7
80,竣工,7
81,弘翌,7
82,计息,7
83,信用等级,7
84,油气,7
85,材料,7
86,建筑物,7
87,稳,6
88,共有,6
89,人工岛,6
90,物流,6
91,海岛,6
92,产业布局,6
93,静云,6
94,万海,6
95,滨海,6
96,摘要,6
97,凌云,6
98,阶段性,6
99,农业,6
100,种植,6
101,号文,6
102,西飞,6
103,中国人民大学,6
104,导师,6
105,北京,6
106,准备金,6
107,投出,6
108,嵌入,6
109,对手,6
110,自用,6
111,鼎元,6
112,安徽,6
113,西路,5
114,横琴,5
115,立足,5
116,休闲,5
117,高度,5
118,层面,5
119,港澳,5
120,小额贷款,5
121,营销策划,5
122,可转债,5
123,建筑面积,5
124,商业秘密,5
125,集合,5
126,投向,5
127,每张,5
128,户,5
129,养殖,5
130,最新,5
131,飞机,5
132,工业,5
133,复旦大学,5
134,教育,5
135,承销商,5
136,鹏元,5
137,增信,5
138,西安市,5
139,归类,5
140,公共,5
141,维修,5
142,同类,5
143,万联,5
144,竹洲,5
145,水乡,5
146,粤雅,5
147,传媒,5
148,石花,4
149,代表人,4
150,房价,4
151,珠澳,4
152,填海,4
153,开工,4
154,通车,4
155,用地,4
156,码头,4
157,业态,4
158,精品,4
