,分词排序,词频
0,吉林,278
1,森工,256
2,吉林省,148
3,矿泉水,99
4,森林工业,98
5,林业局,96
6,阳泉,87
7,工程,87
8,上海,79
9,人造板,70
10,泉,69
11,园林,61
12,生物,54
13,信息,52
14,赵志华,47
15,红石,45
16,饮品,42
17,园林绿化,40
18,北京,37
19,长白山,37
20,嘉信,32
21,陈爱莉,32
22,公司公告,32
23,森林,30
24,建造,30
25,泉阳,29
26,赵,28
27,永春,28
28,建设,28
29,林业,26
30,苏州工业园区,23
31,长春市,22
32,数如有,22
33,集虹,21
34,天然,21
35,材料,21
36,抚松县,20
37,食品,20
38,睿德,19
39,天祥,19
40,国开,19
41,土特产,18
42,霍尔茨,18
43,木材,17
44,房地产,16
45,施工,16
46,银行,16
47,木业,16
48,林海雪原,16
49,消耗性,16
50,王尽晖,15
51,姜,15
52,长龙,15
53,园林工程,15
54,门业,15
55,解禁,15
56,苗木,14
57,至本,14
58,工程项目,14
59,岔子,14
60,长春,14
61,天泉,14
62,贡献,13
63,扣减,13
64,采伐,13
65,媒体,12
66,数据,12
67,吉盛,12
68,赵立勋,12
69,绿化,12
70,蜂蜜,12
71,苏州,12
72,饮料,12
73,亚东,11
74,生态,11
75,吉森,11
76,露水河,11
77,碳,11
78,睿,11
79,德,11
80,公益性,11
81,国有资本,10
82,魏方,10
83,永清,10
84,原木,10
85,股占本,10
86,土地,10
87,伐区,10
88,白山市,10
89,白刚,9
90,木门,9
91,乙方,9
92,甲方,9
93,联营公司,9
94,中国建设银行,9
95,西安,9
96,大路,9
97,苏州市,9
98,款元,9
99,园林景观,8
100,种植,8
101,吉,8
102,森林资源,8
103,中石化,8
104,易捷,8
105,化工,8
106,占本,8
107,轮候,8
108,建筑物,8
109,教育费,8
110,资金紧张,8
111,扩建,8
112,永清县,8
113,瑞华,7
114,大街,7
115,东北,7
116,环境,7
117,林化,7
118,结构调整,7
119,人工,7
120,技术改造,7
121,饮用水,7
122,消费,7
123,新泉,7
124,测试报告,7
125,金融服务,7
126,通讯,7
127,单笔,7
128,元为,7
129,矿泉,7
130,补偿金,7
131,工业生产,7
132,规划设计,6
133,养护,6
134,健康,6
135,绿色,6
136,河北,6
137,溯森,6
138,国际贸易,6
139,华亚,6
140,正信,6
141,清理,6
142,林区,6
143,公路,6
144,高新技术,6
145,日为,6
146,科技,6
147,油气,6
148,维修,6
149,嵌入,6
150,付款条件,6
151,尚无,6
152,靖宇县,6
153,长,6
154,白天,6
155,孙颖奇,5
156,会计报表,5
157,青旅,5
158,符合条件,5
159,饮用,5
160,一主一辅,5
161,生态环境,5
162,环保,5
163,康养,5
164,锅炉,5
165,此项,5
166,筹划,5
167,工作量,5
168,爱丽思,5
