,分词排序,词频
0,信息,65
1,华资,62
2,包头,53
3,工程,34
4,糖业,29
5,包头市,27
6,北京,27
7,上海,25
8,草原,24
9,内蒙古,22
10,房地产,19
11,卫东,18
12,糖,16
13,华昆,15
14,信托,14
15,建造,14
16,宋,13
17,数据,13
18,土地,13
19,生物,13
20,张世潮,12
21,科技,12
22,食糖,11
23,华夏银行,11
24,恒泰,10
25,物流,10
26,建设,10
27,杨荣,9
28,实创,9
29,储备库,9
30,网站,9
31,乳泉,9
32,银行,9
33,北湖,9
34,北普,8
35,制糖,8
36,原糖,8
37,奶业,8
38,材料,8
39,潍坊,7
40,创科,7
41,垚,7
42,中准,7
43,环境,7
44,刘英伟,7
45,人宋,7
46,甜菜,6
47,甜菜糖,6
48,黄河,6
49,郁金香,6
50,电子,6
51,于洋,6
52,油气,6
53,法人股,6
54,建筑物,6
55,教育费,6
56,包商,6
57,电子商务,5
58,种植,5
59,张毅,5
60,徐勇,5
61,起任,5
62,深圳,5
63,差,5
64,正年,5
65,公众股,5
66,包装物,5
67,低值易耗品,5
68,媒体,4
69,光,4
70,李,4
71,怀庆,4
72,东河区,4
73,资源,4
74,交通,4
75,运输,4
76,收购人,4
77,排污,4
78,污水,4
79,姜军,4
80,中央银行,4
81,国家股,4
82,嵌入,4
83,混合,4
84,清理,4
85,异,4
86,拆分,4
87,派生,4
88,孳息,4
89,财产保险,4
90,高尔夫,4
91,光电子,3
92,内蒙古自治区,3
93,仓储,3
94,糖价,3
95,大幅度,3
96,承债式,3
97,以承债,3
98,物流业,3
99,多元化,3
100,文化,3
101,法定程序,3
102,年化,3
103,恒新,3
104,集合,3
105,为个,3
106,糖厂,3
107,排放,3
108,户,3
109,公司法人,3
110,伟业,3
111,计算机,3
112,养殖业,3
113,明天科技,3
114,张涛,3
115,吴孟,3
116,璠,3
117,就职,3
118,出生年月,3
119,处长,3
120,副教授,3
121,辞去,3
122,浩泰,3
123,本科,3
124,前海金桐,3
125,教育,3
126,态度,3
127,通讯,3
128,保费,3
129,准备金,3
130,七七,3
131,文,3
132,方对,3
133,承担义务,3
134,购入,3
135,除净,3
136,机器设备,3
137,动力设备,3
138,结果表明,3
139,乘以,3
140,实缴,3
141,税额,3
142,款年,3
143,消耗性,3
144,联营公司,3
145,外汇,3
146,带息,3
147,天安,3
148,同受,3
149,酒店,3
150,寰,3
151,夏,3
152,创意,3
153,四海,3
154,博业,3
155,三家,3
156,准,2
157,主管人员,2
158,查阅,2
159,国有资产,2
160,监督管理,2
161,海华方达,2
162,外文,2
163,人二,2
164,电子信箱,2
165,网址,2
166,高新技术,2
167,连作,2
168,林雪梅,2
169,代表人,2
170,符合国家,2
171,非金融,2
172,自然灾害,2
173,显失,2
174,一次性,2
175,下半年,2
176,配额,2
177,糖企,2
178,定位,2
179,进口,2
180,层面,2
181,行动计划,2
182,比上,2
183,销糖,2
184,安置费,2
185,结余,2
