,分词排序,词频
0,中牧,257
1,生物,89
2,饲料,79
3,兽药,78
4,动物,65
5,信息,50
6,房地产,41
7,南京,38
8,生物制品,36
9,活疫苗,35
10,农发,34
11,疫苗,33
12,北京,30
13,扶贫,30
14,药业,29
15,农业,29
16,工程,28
17,兽用,27
18,灭,26
19,猪,25
20,口蹄疫,25
21,药,25
22,土地,25
23,黄金,24
24,胜利,24
25,上海,23
26,畜牧业,23
27,网站,22
28,科技,22
29,添加剂,22
30,疫病,22
31,建设,22
32,乾元浩,22
33,兰州,21
34,安达,21
35,数据,21
36,牧工商,20
37,排放,20
38,金达威,19
39,鑑,17
40,养殖,17
41,成都,16
42,华罗,16
43,化药,16
44,药品,15
45,保健品,15
46,环境,15
47,病毒,15
48,山东,14
49,生物制药,14
50,车间,14
51,三类,14
52,华农,14
53,中农,14
54,发,14
55,银行,14
56,种业,14
57,内蒙,13
58,生物工程,13
59,厦门,13
60,畜牧,13
61,环保,13
62,争议,13
63,难,13
64,南通,12
65,中普,12
66,指中牧,12
67,湖北,12
68,往来款项,12
69,生字,12
70,刊载,12
71,中亚,12
72,药厂,11
73,动物保健,11
74,资源,11
75,预防,11
76,株,11
77,材料,11
78,审众,10
79,环,10
80,全药,10
81,梅里,10
82,亚,10
83,包装物,10
84,文号,10
85,混合,10
86,治疗,10
87,二联,10
88,中欧,10
89,渔业,10
90,王,9
91,生物科技,9
92,防控,9
93,禽流感,9
94,圆环,9
95,株株,9
96,证,9
97,连锁,8
98,郑州,8
99,内蒙古,8
100,高新技术,8
101,大宗,8
102,水产,8
103,维生素,8
104,抓好,8
105,水,8
106,人王,8
107,嵌入,8
108,中牧智合,7
109,楼,7
110,中央,7
111,防疫,7
112,营养,7
113,复合,7
114,一步,7
115,制剂,7
116,毫升,7
117,公司债,7
118,猪瘟,7
119,产品名称,7
120,传染性,7
121,两种,7
122,总会计师,7
123,回售,7
124,制品,7
125,第一名,7
126,第二名,7
127,第三名,7
128,第四名,7
129,第五名,7
130,生化,7
131,保山,6
132,健康,6
133,食品安全,6
134,饲料行业,6
135,养殖业,6
136,疫情,6
137,菌素,6
138,多家,6
139,原料药,6
140,预混剂,6
141,犬,6
142,新城疫,6
143,年报,6
144,控股公司,6
145,食品,6
146,排污,6
147,污水,6
148,农垦,6
149,油气,6
150,低值易耗品,6
151,类动物,6
152,智能,5
153,药械,5
154,丰台区,5
155,南四环,5
156,西路,5
157,把握,5
158,规模化,5
159,畜禽,5
160,国外,5
161,绿色,5
162,产业布局,5
163,创新能力,5
164,终端,5
165,霉素,5
166,肽,5
167,污染,5
168,二价,5
169,合成,5
170,支原体,5
171,肺炎,5
172,天康,5
173,金河,5
174,鸡,5
175,悬浮,5
176,饲料原料,5
177,态势,5
178,国资委,5
179,脱贫,5
180,定点,5
181,污染物,5
182,制药,5
183,应急,5
184,监测,5
185,薛廷伍,5
186,中水,5
187,学林,5
188,建筑物,5
189,建造,5
190,国税局,5
191,地税局,5
192,所得税率,5
193,小额,5
194,未到,5
195,广汉市,5
196,黄冈,4
197,江苏,4
198,哈工,4
199,宜兴市,4
200,佐剂,4
201,郭亮,4
202,营养品,4
203,工厂,4
204,建立健全,4
205,共建,4
206,免疫,4
207,防治,4
208,市场占有率,4
209,周期性,4
210,成效,4
211,牧,4
212,贡献,4
213,喹,4
214,科研,4
215,荣获,4
216,人力资源,4
217,类产品,4
218,人工,4
219,搬迁,4
220,医药,4
221,非洲,4
222,型型,4
223,著名商标,4
224,商标,4
225,布,4
226,磷,4
227,胃肠炎,4
228,流行性,4
229,腹泻,4
230,来源于,4
231,病,4
232,可溶性,4
233,指导价,4
234,元万,4
235,保险费,4
236,深刻,4
237,工业,4
238,中长期,4
239,商业机会,4
240,注入,4
241,杜绝,4
242,四个,4
243,浓度,4
244,节能,4
245,股年,4
246,混合型,4
247,平安,4
248,人寿,4
249,远洋,4
250,种禽,4
251,吴冬,4
252,马战,4
253,坤,4
254,李,4
255,周紫雨,4
256,纪委书记,4
257,党总支,4
258,广西,4
259,总付,4
260,中信,4
261,日为,4
262,还本,4
263,中央银行,4
264,方对,4
265,当日,4
266,分拆,4
267,届满时,4
268,权日,4
269,工程项目,4
270,厅,4
271,财政厅,4
272,四川,4
273,湖南,4
274,行权期,4
275,获授,4
276,江西,3
277,厂长,3
278,武汉,3
279,联系人,3
280,联系方式,3
281,齐全,3
282,提质,3
283,增效,3
284,配置,3
285,公正,3
286,出口部,3
287,面向,3
288,冲击,3
289,高度重视,3
290,强制,3
291,总产量,3
292,氨基酸,3
293,进程,3
294,高质量,3
295,位势,3
296,稳步,3
297,快,3
298,猪料,3
299,预混料,3
300,烯酮,3
301,泰妙,3
302,品牌优势,3
303,主题,3
304,称号,3
305,干部,3
306,投标,3
307,单价,3
308,带动,3
309,退出,3
310,攻关,3
311,产品成本,3
312,研制,3
313,泰万,3
314,黄,3
315,发酵,3
316,酶制剂,3
317,行情,3
318,物流,3
319,主营,3
320,万头,3
321,招商银行,3
322,意识,3
323,占化药,3
324,更大,3
325,厂家,3
326,监管部门,3
327,牛,3
328,转化,3
329,亚型,3
330,可比,3
331,瑞普,3
332,鲁抗,3
333,上表,3
334,狂犬病,3
335,代谢,3
336,磺胺,3
337,氯,3
338,吡嗪,3
339,二甲,3
340,氧苄,3
341,啶,3
342,混,3
343,悬液,3
344,二类,3
345,盐酸,3
346,粉,3
347,致病性,3
348,农业部,3
349,港口,3
350,仓储,3
351,交通费,3
352,会计核算,3
353,法人股,3
354,生产资料,3
355,变革,3
356,动保,3
357,尽可能,3
358,开放,3
359,对标,3
360,十九,3
361,体现,3
362,思想,3
363,无无年,3
364,签订协议,3
365,交易系统,3
366,中介机构,3
367,贯彻落实,3
368,扶贫县,3
369,萧县,3
370,支部,3
371,氨氮,3
372,排放口,3
373,废气,3
374,竣工,3
375,教育,3
376,潜力,3
377,户,3
378,养老保险,3
379,国际贸易,3
380,股占,3
381,荀,3
382,商务部,3
383,岳虹,3
384,侯士忠,3
385,副经理,3
386,监事长,3
387,退休,3
388,中蜜,3
389,财产保险,3
390,骨干,3
391,房产,3
392,权属,3
393,通讯,3
394,建投,3
395,倍数,3
396,选取,3
397,签收,3
398,保费,3
399,准备金,3
400,鑑年,3
401,付出,3
402,承担义务,3
403,近期,3
404,超出,3
405,指为,3
406,机器设备,3
407,换取,3
408,日以,3
409,清理,3
410,华桂源,3
411,天津,3
412,中牧倍康,3
413,万份,3
414,首个,3
415,新乡,2
416,长春,2
417,指中,2
418,指南,2
419,外文,2
420,电子信箱,2
421,网址,2
422,八区,2
423,号区,2
424,冯建江,2
425,魏国,2
426,偶发性,2
427,非金融,2
428,自然灾害,2
429,显失,2
430,一次性,2
431,畜用,2
432,禽用,2
