,分词排序,词频
0,种子,116
1,安徽,112
2,阜阳市,60
3,白酒,57
4,酒业,55
5,信息,51
6,药业,39
7,工程,33
8,酒,32
9,阜阳,31
10,金太阳,27
11,环境,25
12,生化,24
13,建设,22
14,房地产,18
15,扶贫,18
16,土地,17
17,车间,16
18,银行,15
19,数据,14
20,制造,14
21,酿造,14
22,科技,14
23,酿酒,14
24,颍上县,14
25,是因为,13
26,陈新华,12
27,材料,12
28,脱贫,12
29,中伟,10
30,颍,10
31,消费,10
32,获,10
33,酒类,10
34,千升,10
35,村民,10
36,人宁,10
37,国库,10
38,普天,9
39,健,9
40,宁中伟,9
41,刘,9
42,锡金,9
43,华,9
44,三秋,9
45,称号,9
46,环保,9
47,生,9
48,副经理,9
49,醉,8
50,柔和,8
51,监测,8
52,食品,8
53,省内,8
54,省外,8
55,文化,8
56,电商,8
57,健康,8
58,贫困户,8
59,就业,8
60,工业,8
61,生物,8
62,省,7
63,拆迁,7
64,线上,7
65,户人,7
66,中酒,7
67,合肥,7
68,南区,7
69,指示,7
70,许可证,6
71,恒温,6
72,消费者,6
73,应急,6
74,生态,6
75,促销,6
76,广告费用,6
77,增多,6
78,补偿款,6
79,未到,6
80,向阳,6
81,本科,6
82,种子公司,6
83,基酒,6
84,每次,6
85,缺勤,6
86,上表,6
87,强省,6
88,合肥市,6
89,零售业,6
90,莲花路,5
91,颍州区,5
92,三是,5
93,工作站,5
94,窖藏,5
95,检测,5
96,在线,5
97,高质量,5
98,文明,5
99,中高档,5
100,半成品,5
101,档次,5
102,签收,5
103,医药,5
104,资源,5
105,排污,5
106,灌装,5
107,玻璃,5
108,轻工,5
109,金之晟,5
110,传媒,5
111,集体,5
112,东区,5
113,油气,5
114,依次,5
115,保险费,5
116,带薪,5
117,劳动就业,5
118,管理局,5
119,网站,4
120,自营,4
121,力量,4
122,智能化,4
123,经销,4
124,赊销,4
125,四是,4
126,绿色,4
127,评委,4
128,旅游,4
129,智能,4
130,发酵,4
131,分级,4
132,工厂,4
133,稳步,4
134,传播,4
135,抗,4
136,药品,4
137,竞赛,4
138,爱心,4
139,兑奖,4
140,药,4
141,企业家,4
142,上涨,4
143,价位,4
144,力争,4
145,攻坚战,4
146,药物,4
147,高新技术,4
148,填补,4
149,邢庄村,4
150,村,4
151,增收,4
152,带动,4
153,合作社,4
154,最美,4
155,创业,4
156,乡村,4
157,农村,4
158,环境保护,4
159,制革,4
160,监督管理,4
161,张,4
162,年月生,4
163,工程师,4
164,经济学,4
165,常务理事,4
166,北京,4
167,监盘,4
168,中央银行,4
169,太和县,4
170,国债,4
171,乘以,4
172,建造,4
173,日以,4
174,教育费,4
175,新版,4
176,款年,4
177,会审,3
178,媒体,3
179,第四季度,3
180,包装材料,3
181,采购计划,3
182,自动化,3
183,信息化,3
184,食品安全,3
185,信誉,3
186,态势,3
187,厂商,3
188,名酒,3
189,零售,3
190,上线,3
191,颍州,3
192,佳酿,3
193,四大,3
194,绿色食品,3
195,院士,3
196,自动,3
197,荣誉称号,3
198,抓,3
199,八年,3
200,宣传,3
201,菌种,3
202,保藏,3
203,复审,3
204,排放,3
205,调试,3
206,赔偿款,3
207,定期存单,3
208,计息,3
209,预交,3
210,房产,3
211,主流,3
212,百元,3
213,成品,3
214,淘汰,3
215,退出,3
216,车辆,3
217,中药,3
218,中央,3
219,争先,3
220,贡献,3
221,中间体,3
222,合成,3
223,零,3
224,负数,3
225,中将,3
226,清理,3
227,工程项目,3
228,调整法,3
229,临泉县,3
230,预,3
231,邢庄,3
232,户,3
233,岗个,3
234,介绍,3
235,养殖,3
236,攻坚,3
237,表彰,3
238,党支部,3
239,党员,3
240,美丽,3
241,市级,3
242,变,3
243,种植,3
244,亩,3
245,中药材,3
246,家庭,3
247,紧密结合,3
248,酒精,3
249,制品,3
250,国有资产,3
251,徐三能,3
252,刘志迎,3
253,江海,3
254,书,3
255,劳动模范,3
256,总厂,3
257,副厂长,3
258,执业,3
259,药师,3
260,科长,3
261,博士,3
262,大艺成,3
263,匹配,3
264,重要性,3
265,后备,3
266,通讯,3
267,选取,3
268,协议书,3
269,保费,3
270,准备金,3
271,表时,3
272,相一致,3
273,另一方,3
274,一组,3
275,参照,3
276,参与者,3
277,建筑物,3
278,足以,3
279,医疗保险,3
280,工伤保险,3
281,生育,3
282,住房,3
283,工会,3
284,教育经费,3
285,相匹配,3
286,精算,3
287,上限,3
288,政策性,3
289,应缴,3
290,期年,3
291,无账,3
292,龄,3
293,差,3
294,异,3
295,丙肝,3
296,索菲布,3
297,韦,3
298,若干,3
299,精品,3
300,稳岗,3
301,批,3
302,由本,3
303,主管人员,2
304,拟以,2
305,金元,2
306,至下,2
307,外文,2
308,电子信箱,2
309,金彪,2
310,河滨,2
311,路,2
312,网址,2
313,证券部,2
314,长顺,2
315,俞,2
316,国徽,2
317,陈少侠,2
318,货运,2
319,有效期限,2
320,原辅材料,2
321,香型,2
322,部将,2
323,供应部,2
324,洽谈,2
325,公开性,2
326,公平性,2
327,公正性,2
328,三公,2
329,灵活,2
330,物资供应,2
331,业务流程,2
332,同步,2
333,贮存,2
334,买断式,2
335,现款,2
336,现货,2
337,利好,2
338,释放,2
339,习惯,2
340,抢抓,2
341,几个,2
342,品牌优势,2
343,荣获,2
344,典型,2
345,感官,2
346,质量奖,2
347,酒获,2
348,大赛,2
349,金奖,2
350,百佳,2
351,文创,2
352,江南,2
353,落户,2
354,工程技术,2
355,博士后,2
356,科研,2
357,安大,2
358,杨红文,2
359,国务院,2
360,发明专利,2
361,制订,2
362,传统,2
363,双轮,2
364,行为规范,2
365,工人,2
366,先锋号,2
367,投诉,2
368,卓越,2
369,百强,2
370,奖,2
371,入选,2
372,首批,2
373,市场营销,2
374,美誉度,2
375,稳中求进,2
376,经典,2
377,五颍州,2
378,江苏,2
379,江西,2
380,湖北,2
381,河南,2
382,环,2
383,新台阶,2
384,科研项目,2
385,防控,2
386,中试,2
387,筛选,2
388,机器人,2
389,生产工艺,2
390,夯实,2
391,岗位职责,2
392,六项,2
393,优胜,2
394,成效,2
395,严管,2
396,十年,2
397,粉碎,2
398,企业形象,2
399,博览会,2
400,助学,2
401,圆梦,2
402,太阳,2
403,去年同期,2
404,类产品,2
405,老,2
406,棚户区,2
407,中自,2
408,国家统计局,2
409,呈现出,2
410,带,2
411,瓶,2
412,经营策略,2
413,结构调整,2
414,直销,2
415,团购,2
416,代理商,2
417,消化,2
418,市场运作,2
419,销售价格,2
420,产品价格,2
421,上报,2
422,配置,2
423,人群,2
424,全面提高,2
425,力,2
426,激发,2
427,年份,2
428,步入,2
429,队伍,2
430,新建,2
431,全面落实,2
432,事故,2
433,装备,2
434,挤压,2
435,当年度,2
436,收购人,2
437,再融资,2
438,动用,2
439,侵占,2
440,分拆,2
441,项目管理,2
442,解聘,2
443,长官,2
444,镇,2
445,建档立卡,2
446,集体经济,2
447,致富,2
448,获得好评,2
449,逐户,2
450,种养,2
451,山羊,2
452,出栏,2
453,乡风,2
454,婆婆,2
455,媳妇,2
456,孝子,2
457,之星,2
458,清洁,2
459,文明户,2
460,党建,2
461,协助,2
462,支部,2
463,公益,2
464,包保,2
465,试验田,2
466,大学生,2
467,实践,2
468,外排,2
469,污水处理,2
470,环境影响,2
471,环境保护局,2
472,建有,2
473,试行,2
474,指南,2
475,抽样,2
476,工程进度,2
477,全称,2
478,汇金,2
479,中国银行,2
480,招商,2
481,中证,2
482,指数,2
483,陈浩勤,2
484,刘世祥,2
485,成洪,2
486,江强明,2
487,黄爱红,2
488,吴,2
489,新生,2
490,散装,2
491,皮革制品,2
492,二氧化碳,2
493,塑料制品,2
494,纸制品,2
495,金属包装,2
496,物品,2
497,限定,2
498,凡,2
499,由其子,2
500,信托,2
501,芳泽,2
502,吴宏萍,2
503,厂长,2
504,副会长,2
505,常务,2
506,技术员,2
507,管理学,2
508,研究会,2
509,品酒,2
510,师,2
511,技术能手,2
512,尹宗成,2
513,拟定,2
514,教育,2
515,工资制,2
516,工作人员,2
