,分词排序,词频
0,生物,147
1,疫苗,93
2,金宇,92
3,活疫苗,85
4,信息,59
5,内蒙古,57
6,工程,56
7,灭,54
8,猪,39
9,药品,38
10,益康,37
11,辽宁,35
12,保灵,34
13,兽用,31
14,口蹄疫,29
15,北京,26
16,动物,26
17,房地产,24
18,株,24
19,预防,23
20,张翀,22
21,数据,21
22,病毒,19
23,信托,19
24,宇,18
25,猪瘟,17
26,环境,17
27,毫升,17
28,呼和浩特,17
29,张,16
30,伟业,16
31,呼和浩特市,16
32,养殖,16
33,兽药,16
34,牛,16
35,红梅,15
36,扬州,15
37,生物制品,15
38,禽流感,15
39,生物制药,15
40,株株,15
41,疫病,14
42,病,14
43,黄山市,13
44,检测,13
45,制造,13
46,科技,12
47,防控,12
48,万头,12
49,新城疫,12
50,土地,12
51,优邦,11
52,药,11
53,犬,11
54,病毒性,11
55,排放,11
56,国际化,10
57,非洲,10
58,疫情,10
59,建设,10
60,动保,10
61,二联,10
62,天安,9
63,金禹,9
64,上海,9
65,智能,9
66,产业园,9
67,综合征,9
68,传染性,9
69,监测,9
70,建中,8
71,大酒店,8
72,松涛,8
73,防疫,8
74,二价,8
75,支原体,8
76,三联,8
77,冠状病毒,8
78,临床试验,8
79,研制,8
80,动安,7
81,黄山区,7
82,免疫,7
83,制品,7
84,流感,7
85,腹泻,7
86,布鲁氏菌,7
87,可比,7
88,临床,7
89,中试,7
90,农牧业,7
91,物业,7
92,利民,7
93,环保,7
94,废水,7
95,锅炉,7
96,应急,7
97,红霞,7
98,天职,7
99,中技,7
100,陈建勋,6
101,内蒙古自治区,6
102,网站,6
103,致同,6
104,广场,6
105,强制,6
106,直销,6
107,转化,6
108,活苗,6
109,诊断,6
110,圆环,6
111,银行,6
112,养殖业,6
113,犬瘟热,6
114,细小,6
115,肠炎,6
116,肝炎,6
117,腺病毒,6
118,四联,6
119,细胞,6
120,亚型,6
121,牛羊,6
122,第十三次,6
123,金宇惠泽,6
124,金堃,6
125,永胜,6
126,中融,6
127,污染物,6
128,污水,6
129,日为,6
130,中央银行,6
131,新余市,6
132,元迪,6
133,油气,6
134,西苑,6
135,创业投资,6
136,科技局,6
137,尹,5
138,国家级,5
139,悬浮,5
140,蛋白,5
141,智能化,5
142,生物科技,5
143,车间,5
144,省,5
145,医药,5
146,制造业,5
147,防护,5
148,生猪,5
149,资源,5
150,急性,5
151,病犬,5
152,型型,5
153,鸡,5
154,物料,5
155,工业,5
156,差,5
157,温,5
158,王,5
159,中银国际,5
160,工作日,5
161,扶贫,5
162,工会,5
163,排污,5
164,废气,5
165,工程项目,5
166,社保,5
167,赵,5
168,模型,5
169,准备金,5
170,袁宏年,5
171,高新技术,5
172,项目管理,5
173,款年,5
174,袁宏,4
175,东北,4
176,鄂尔多斯,4
177,西街,4
178,一次性,4
179,宠物,4
180,农业部,4
181,养殖场,4
182,抗体,4
183,试剂,4
184,猪繁殖,4
185,呼吸,4
186,塞内,4
187,卡,4
188,健康,4
189,荣获,4
190,人工,4
191,畜禽,4
192,符合条件,4
193,分工,4
194,基因,4
195,缺失,4
196,羊,4
197,小鹅瘟,4
198,禽,4
199,布病,4
200,年报,4
201,技术推广,4
202,交通,4
203,占益康,4
204,细胞毒,4
205,在线,4
206,中所,4
207,过半数,4
208,魏学峰,4
209,刘国英,4
210,信弘,4
211,天禾,4
212,首个,4
213,分年,4
214,中央,4
215,师,4
216,一组,4
217,当本,4
218,集体,4
219,建筑物,4
220,按规定,4
221,保险费,4
222,退休,4
223,华科,4
224,异,4
225,邗江区,4
226,黄山,4
227,宋,3
228,派送,3
229,大街,3
230,全方位,3
231,分散,3
232,兽医,3
233,纯化,3
234,厂家,3
235,抗原,3
236,含量,3
237,三项,3
238,反刍动物,3
239,技术创新,3
240,道路,3
241,质量标准,3
242,净化,3
243,战略规划,3
244,革新,3
245,伪,3
246,狂犬,3
247,产品品质,3
248,互联网,3
249,科技成果,3
250,合资,3
251,禽苗灭,3
252,蓝耳,3
253,伪狂,3
254,材料,3
255,投标,3
256,户,3
257,高品质,3
258,著名商标,3
259,副流感,3
260,嗜血,3
261,杆菌,3
262,病株,3
263,鸭,3
264,水貂,3
265,马,3
266,文号,3
267,检验,3
268,猪丁型,3
269,会务费,3
270,消耗,3
271,有益,3
272,康,3
273,种植业,3
274,物业管理,3
275,酒店,3
276,生产工艺,3
277,加剧,3
278,变革,3
279,控制系统,3
280,佐剂,3
281,分类管理,3
282,张竞,3
283,立信,3
284,咨询服务,3
285,第十一次,3
286,招商,3
287,恒天,3
288,中岩,3
289,白旗,3
290,农户,3
291,农业,3
292,固体,3
293,危险废物,3
294,处理厂,3
295,水污染,3
296,废物,3
297,防治,3
298,环境影响,3
299,一八,3
300,学峰,3
301,陈永宏,3
302,张晓琳,3
303,社会科学院,3
304,田禾,3
305,表现,3
306,班子,3
307,通讯,3
308,对比,3
309,保费,3
310,对以,3
311,此类,3
312,须用,3
313,可用,3
314,该组,3
315,该种,3
316,开发成本,3
317,中将,3
318,装修,3
319,届满时,3
320,软件,3
321,原先,3
322,批件,3
323,日以,3
324,清理,3
325,定期存款,3
326,汇商,3
327,新天地,3
328,办公楼,3
329,煤,3
330,改气,3
331,基因工程,3
332,减流,3
333,高技术,3
334,职业病,3
335,危害,3
336,燃煤,3
337,脱硫,3
338,除尘,3
339,对手,3
340,当日,3
341,外文,2
342,电子信箱,2
343,技术开发区,2
344,沙尔沁,2
345,工业园区,2
346,网址,2
347,陈志芳,2
348,杨华,2
349,生态,2
350,代表人,2
351,非金融,2
352,自然灾害,2
353,显失,2
354,额年,2
355,定点,2
356,工艺技术,2
357,收集,2
358,主管部门,2
359,流行,2
360,规模化,2
361,差异化,2
362,杂,2
363,缩短,2
364,动力,2
365,践行,2
366,走,2
367,国际型,2
368,定制,2
369,子,2
370,评定,2
371,工厂,2
372,调试,2
373,生命周期,2
374,同步,2
375,运维,2
376,矩阵,2
377,科学性,2
378,齐头并进,2
379,嵌合,2
380,发明专利,2
381,实时,2
382,试剂盒,2
383,临床实验,2
384,三期,2
385,步伐,2
386,抓手,2
387,线上,2
388,档案,2
389,进程,2
390,知名,2
391,交流,2
392,科研机构,2
393,建厂,2
394,信心,2
395,文化,2
396,布,2
397,病疫苗,2
398,禽苗,2
399,万羽份,2
400,猪灭,2
401,包装费,2
402,能源,2
403,相继,2
404,出台,2
405,新发,2
406,促使,2
407,治疗,2
408,氏杆菌,2
409,否年,2
410,禽类,2
411,病猪,2
412,猪类,2
413,立足,2
414,服务行业,2
415,总方针,2
416,四地,2
417,领军,2
418,新品,2
419,杆状病毒,2
420,载体,2
421,肺炎,2
422,轮状病毒,2
423,标记,2
424,布氏菌,2
425,丁型,2
426,三价,2
427,血清型,2
428,亚,2
429,羊布鲁菌,2
430,株型,2
431,群,2
432,免疫抗体,2
433,感染,2
434,鉴别,2
435,诊断检测,2
436,试纸,2
437,小鹅,2
438,瘟灭,2
439,瑞普,2
440,海利,2
441,普莱柯,2
442,来源于,2
443,监管部门,2
444,法氏囊,2
445,支气管炎,2
446,毒血症,2
447,含税元,2
448,运输费,2
449,补偿费,2
450,广告宣传,2
451,其余部分,2
452,细菌,2
453,更为,2
454,集约化,2
455,进一步提高,2
456,统计,2
457,生药,2
458,常态,2
459,智慧,2
460,动态,2
461,稳定性,2
462,数据分析,2
463,市场营销,2
464,协同效应,2
465,第六次,2
466,规章,2
467,同股,2
468,成熟期,2
469,本项,2
470,称,2
471,除以,2
472,论证,2
473,必要性,2
474,应经,2
475,提案,2
476,听取,2
477,收购人,2
478,配股,2
479,增发,2
480,止个,2
481,解聘,2
482,第十次,2
483,客观性,2
484,第十四次,2
485,已达成,2
486,万联,2
487,国融,2
488,西部,2
489,广州,2
490,恒泰,2
491,民生,2
492,北方,2
493,开放日,2
494,村委会,2
495,配备,2
496,窑村,2
497,党员,2
498,米,2
499,氨氮,2
500,排放口,2
501,厂区,2
502,燃气,2
503,生物工程,2
504,物排放,2
505,无无无无无,2
506,固废,2
507,医疗,2
508,厂界,2
509,噪声,2
510,环境保护局,2
511,呼环政批,2
512,负压,2
513,消毒,2
514,达标排放,2
515,齐全,2
516,外资股,2
517,由股,2
518,至股,2
519,流通股东,2
520,香港,2
521,汇金,2
522,魁北克,2
523,储蓄,2
524,淡水,2
525,泉,2
526,精选,2
527,中国农业银行,2
528,中证,2
529,开放式,2
530,指数,2
531,挪威,2
532,详细情况,2
533,股权结构,2
534,男张,2
535,否否否,2
536,宇魏,2
537,竞尹,2
538,陈永宏宋,2
539,首席,2
540,华夏银行,2
541,中国人民大学,2
542,西南政法大学,2
543,院长,2
544,蒙电,2
545,华能,2
546,热电,2
547,研究室,2
548,动物保健,2
549,教育,2
550,公司业绩,2
551,在职,2
552,平等,2
553,态度,2
554,五及,2
555,合同规定,2
556,运,2
557,交货,2
558,买方,2
559,接收,2
560,抽样,2
561,函证,2
562,真实性,2
563,签收,2
564,扩股,2
565,基准日,2
566,评估所,2
567,选用,2
568,金融机构,2
569,金属材料,2
570,号本,2
571,业经,2
572,止本,2
573,为个,2
574,除因,2
575,日新,2
576,除净,2
577,中介,2
578,可变,2
579,内因,2
580,自同,2
581,表中,2
582,很小,2
583,持续时间,2
584,含个,2
585,以摊,2
586,低值易耗品,2
587,停止使用,2
588,一致同意,2
589,指为,2
590,通用设备,2
591,专用设备,2
592,运输设备,2
593,尚可,2
594,带息,2
595,非专利,2
596,职工工资,2
597,医疗保险,2
598,工伤保险,2
599,生育,2
600,住房,2
601,养老保险,2
602,保险,2
603,权日,2
604,商品销售,2
605,房产,2
606,明确规定,2
607,款额,2
608,余值,2
609,鉴定,2
610,扣缴,2
611,平米,2
612,颁发,2
613,进项,2
614,地方税务局,2
615,有效期限,2
616,信用证,2
617,票,2
618,元因,2
619,代收,2
620,代付,2
621,竣工,2
622,溪,2
623,山庄,2
624,建造,2
625,预缴,2
626,软件开发,2
627,期等,2
628,财务预算,2
629,权属,2
630,教育费,2
631,布鲁式,2
632,鼻,2
633,气管炎,2
634,战略性,2
635,新兴产业,2
636,集成,2
637,新支,2
638,蔗糖,2
639,密度,2
640,血清,2
641,课题,2
642,结核病,2
643,经本,2
644,系本,2
645,股元,2
646,折旧费,2
647,苗型,2
648,禽用,2
649,火苗,2
650,奖励性,2
651,苗,2
652,呼市,2
653,援企稳,2
654,岗,2
655,鹅,2
656,星状,2
657,病原学,2
658,价,2
659,高纯度,2
660,配套技术,2
661,券,2
662,双创,2
663,博士,2
664,市级,2
665,稳岗,2
666,绿扬,2
667,金凤,2
668,维扬,2
669,表彰,2
670,资助款,2
671,服务中心,2
672,扬州市,2
673,定期存单,2
674,房屋出租,2
675,堪萨斯州,2
676,曼哈顿,2
677,辽阳,2
678,开办,2
679,注资,2
680,华科创,2
681,审阅,2
682,履行合同,2
683,承受,2
684,五大,2
685,占本,2
686,源于,2
687,使本,2
688,对冲,2
689,外汇,2
690,无以,2
691,限售期,2
692,负数,2
693,一本,1
694,二未,1
695,委托人,1
696,因公,1
697,三致,1
698,主管人员,1
699,五经,1
700,拟以,1
701,登记日,1
702,否八,1
703,违反规定,1
704,否九,1
705,之三,1
706,之四,1
707,文义,1
708,另有所指,1
709,含义,1
710,常用,1
711,指金宇,1
712,中文名称,1
713,中文,1
714,缩写,1
715,人二,1
716,联系人,1
717,联系方式,1
718,联系地址,1
719,电话传真,1
720,田野,1
721,选定,1
722,媒体,1
723,登载,1
724,福田区,1
725,福华,1
726,路北,1
727,深圳,1
728,写字楼,1
729,机构名称,1
730,长春市,1
731,袁志伟,1
732,张玉彪,1
733,第一季度,1
734,第二季度,1
735,第三季度,1
736,第四季度,1
737,十非,1
738,偶发性,1
739,符合国家,1
740,产品种类,1
741,猪禽,1
742,反刍,1
743,四大,1
744,余种,1
745,致病性,1
746,两大,1
747,领先水平,1
748,为辅,1
749,领导,1
750,采购部,1
751,原辅材料,1
752,资源库,1
753,严格把关,1
754,以销定产,1
755,药效,1
756,时限,1
757,两种,1
758,各省,1
759,自治区,1
760,直辖市,1
761,本行政区域,1
762,多发,1
763,春秋,1
764,两季,1
765,意识,1
766,二三,1
767,首家,1
768,浓缩,1
769,牵头,1
770,配苗,1
771,技术升级,1
772,源,1
773,高级别,1
774,设有,1
775,博士后,1
776,科研,1
777,工作站,1
778,制高点,1
779,科研成果,1
780,极大,1
781,竞争能力,1
782,品牌优势,1
783,位居,1
784,知名度,1
785,美誉度,1
786,服务团,1
787,队,1
788,品,1
789,牌,1
790,附加值,1
791,八大,1
792,坚定,1
793,前行,1
794,克服,1
795,蔓延,1
796,对标,1
797,工艺流程,1
798,偏差,1
799,国家认可委员会,1
800,校准,1
801,工信部,1
802,工程建设,1
803,顺利,1
804,弱毒苗,1
805,菌苗,1
806,静态,1
807,两条,1
808,集成系统,1
809,批准文号,1
810,双重,1
811,获,1
812,托珠,1
813,单抗,1
814,顺利完成,1
815,流感疫苗,1
816,新流法,1
817,四个,1
818,梯队,1
819,贡献,1
820,显现,1
821,三以,1
822,网络,1
823,塑造,1
824,打开,1
825,动摇,1
826,专利技术,1
827,国外,1
