,分词排序,词频
0,上海,540
1,紫江,274
2,工业,146
3,饮料,109
4,紫泉,101
5,材料,79
6,环保,77
7,紫江企业,75
8,食品,56
9,排放,53
10,杭州,50
11,科技,49
12,标签,48
13,房地产,44
14,印刷,42
15,信息,40
16,紫丹,39
17,薄膜,37
18,紫,37
19,武汉,34
20,工程,33
21,厂区,30
22,沈阳,30
23,紫华,29
24,土地,29
25,闵行区,27
26,包装材料,26
27,沈雯,25
28,虹桥,24
29,环境,24
30,食品包装,24
31,紫燕,23
32,彩印包装,23
33,瓶,22
34,商务大厦,22
35,建设,21
36,成都,21
37,许评验,21
38,盖,20
39,数据,20
40,高新技术,20
41,紫东,19
42,制造,18
43,颛兴路,18
44,紫日,18
45,郑州,18
46,紫太,18
47,沪,18
48,塑料,17
49,喷,17
50,铝,17
51,印务,17
52,尼龙,17
53,抵押物,17
54,装置,17
55,合金,16
56,创业投资,16
57,饮料包装,15
58,发明专利,15
59,南京,15
60,建筑物,15
61,容器,14
62,皇冠,14
63,证书编号,14
64,膜,13
65,瓶盖,13
66,喷铝纸,13
67,自动化,13
68,银行,13
69,西部,13
70,纸板,12
71,威尔,12
72,泰,12
73,油墨,12
74,技术改造,12
75,路,12
76,防盗,11
77,坯,11
78,彩色纸,11
79,塑料包装,11
80,资源,11
81,污水,11
82,宁波,11
83,排污,11
84,广东,11
85,环评,11
86,外观设计,10
87,面积,10
88,去年同期,10
89,大气污染,10
90,切片,10
91,苏州,10
92,技术开发区,10
93,网站,9
94,立信,9
95,创投,9
96,亿只,9
97,闵行,9
98,物排放,9
99,废气,9
100,桂林,9
101,闵,9
102,秦正余,9
103,重庆,9
104,科学技术委员会,9
105,瓶坯,8
106,消费品,8
107,消费,8
108,瓶及,8
109,建筑面积,8
110,值为,8
111,彩印,8
112,国际贸易,8
113,节能,8
114,佘山,8
115,温州,8
116,特种,8
117,好利,8
118,安徽,8
119,王艳,7
120,注塑,7
121,铝塑,7
122,虹桥路,7
123,检测,7
124,商务,7
125,放缓,7
126,合肥,7
127,用地,7
128,氨氮,7
129,颗粒物,7
130,清洁,7
131,高新区,7
132,宜昌,7
133,绍兴市,7
134,天津,7
135,衢州市,7
136,颛,7
137,国家税务局,7
138,地方税务局,7
139,代垫,7
140,街道,7
141,对策,6
142,工业区,6
143,机械,6
144,集群,6
145,软件,6
146,制造业,6
147,服务业,6
148,盖及,6
149,塑料制品,6
150,锅炉,6
151,全息,6
152,瓶子,6
153,制品,6
154,晶园,6
155,西安,6
156,房产,6
157,污染,6
158,东侧,6
159,中部,6
160,月底,6
161,富润,6
162,南昌,6
163,食品容器,6
164,实,6
165,发紫,6
166,江,6
167,产权证,6
168,职业培训,6
169,工业园,6
170,大道,6
171,灌装,5
172,楼座,5
173,纸包装,5
174,绿色,5
175,网络,5
176,技术创新,5
177,清理,5
178,少,5
179,紫晨,5
180,印刷业,5
181,监测,5
182,定位,5
183,聚乳酸,5
184,成型,5
185,复合,5
186,生物,5
187,仓储,5
188,阳光,5
189,新兴,5
190,装,5
191,建造,5
192,排放口,5
193,排入,5
194,高空,5
195,竣工,5
196,应急,5
197,紫竹,5
198,昆明,5
199,广州,5
200,福州,5
201,瓶业,5
202,济南,5
203,四川,5
204,伊城,5
205,嘉兴市,5
206,扬州,5
207,台州市,5
208,盐城市,5
209,慈溪,5
210,华商,5
211,连云港市,5
212,无锡,5
213,紫乐,5
214,青岛,5
215,期个,5
216,紫新,5
217,就业,5
218,稳岗,5
219,北松路,5
220,室,5
221,同受,5
222,马口铁,4
223,开发新,4
224,江苏,4
225,埃塞俄比亚,4
226,投产,4
227,包装盒,4
228,数码,4
229,能源,4
230,房地产业,4
231,运输业,4
232,动力,4
233,抗,4
234,扩股,4
235,预缴,4
236,中国农业银行,4
237,农村,4
238,商业银行,4
239,记入,4
240,污染物,4
241,挥发性,4
242,有机物,4
243,在线,4
244,中央,4
245,进口,4
246,废水,4
247,石油价格,4
248,拎,4
249,一体式,4
250,复合膜,4
251,镭射,4
252,喷铝,4
253,度,4
254,所用,4
255,大酒店,4
256,互联网,4
257,占据,4
258,国民经济,4
259,文化,4
260,啤酒,4
261,转化,4
262,别墅,4
263,教育,4
264,紫江彩,4
265,紫江印,4
266,城镇,4
267,水质标准,4
268,纳管,4
269,工业废水,4
270,防治,4
271,达标,4
272,科学,4
273,郭峰,4
274,黄亚钧,4
275,刘,4
276,熀,4
277,松,4
278,薛爽,4
279,监事长,4
280,常务董事,4
281,复旦大学,4
282,财务预算,4
283,陕西,4
284,紫海,4
285,鄞州,4
286,兴顺,4
287,明君,4
288,淳润,4
289,优博,4
290,荣盛,4
291,农工商,4
292,紫城,4
293,宝润,4
294,华盛,4
295,润旺,4
296,真旺,4
297,华联,4
