,分词排序,词频
0,航空,786
1,海航,751
2,新华,175
3,天津,158
4,飞机,136
5,海南,129
6,机场,91
7,房地产,72
8,本部,65
9,北京,62
10,香港,59
11,航空公司,57
12,祥鹏,53
13,信息,53
14,客运,49
15,旅游,46
16,发动机,46
17,信托,45
18,银行,44
19,控股公司,41
20,海口,35
21,长安,35
22,天航,35
23,渤海,34
24,航线,33
25,维修,31
26,工程,31
27,云南,30
28,民航,30
29,旅客,30
30,食品,30
31,快运,30
32,货运,29
33,房产,29
34,男否,29
35,首都,28
36,积分,28
37,美兰,27
38,飞行,27
39,西部,27
40,退租,26
41,数据,25
42,金鹏,25
43,北部湾,24
44,航空运输,23
45,机票,23
46,协定,23
47,酒店,22
48,起降,22
49,新生,22
50,包机,22
51,孙栋,21
52,乌鲁木齐,21
53,票款,21
54,飞行员,21
55,金鹿,20
56,检修,20
57,海南省,19
58,运输,19
59,天羽,18
60,长江,18
61,抵押物,18
62,还本,18
63,若干,18
64,山西,17
65,飞翔,17
66,按年,17
67,福州,16
68,网站,16
69,航班,16
70,建设,16
71,航食,16
72,千股,16
73,营运,15
74,土地,15
75,谢皓明,14
76,飞训,14
77,网络,14
78,绿色,14
79,航油,14
80,外汇,14
81,籍贯,14
82,融资券,14
83,建筑物,14
84,通航,13
85,航材,13
86,长短期,13
87,金融机构,13
88,生物,13
89,大修,13
90,三年期,13
91,联系人,12
92,架飞机,12
93,瑞港,12
94,节油,12
95,旅业,12
96,售后,12
97,普华永道,11
98,健康,11
99,机上,11
100,客货运输,11
101,运力,11
102,儿童,11
103,由本,11
104,进口,11
105,定期存款,11
106,上海,10
107,保险,10
108,清欠,10
109,南航,10
110,公务,10
111,美亚,10
112,易生,10
113,剑锋,10
114,联系电话,10
115,科航,9
116,地面,9
117,运输量,9
118,系本,9
119,中国银行,9
120,食,9
121,科技,9
122,财富,9
123,定向,9
124,启发,9
125,予,9
126,储备金,9
127,收益权,9
128,交通运输,9
129,布鲁塞尔,8
130,深圳,8
131,国际航空,8
132,公里,8
133,新疆,8
134,小时,8
135,模型,8
136,评估师,8
137,嘉兴,8
138,环境,8
139,代,8
140,鹏,8
141,创鑫,8
142,中信,8
143,文化,8
144,后本,8
145,承运,8
146,列入,8
147,回租,8
148,民航局,7
149,广西,7
150,海口市,7
151,机队,7
152,三亚,7
153,其于,7
154,持续时间,7
155,零售,7
156,代售,7
157,财产保险,7
158,凯撒,7
159,潍坊,7
160,宜昌,7
161,里程,7
162,物业,7
163,天航金服,7
164,自动,7
165,增发,7
166,张志刚,7
167,首席,7
168,交易商,7
169,七七,7
170,增至,7
171,续借,7
172,展期,7
173,于本,7
174,租回,7
175,注于,7
176,掉期,7
177,银行贷款,6
178,抵,6
179,监督管理,6
180,港澳台,6
181,条,6
182,卓越,6
183,正常率,6
184,品牌形象,6
185,国际化,6
186,公益,6
187,中国民航,6
188,可用,6
189,备用,6
190,电子产品,6
191,航空器,6
192,层面,6
193,间隔,6
194,参照,6
195,地服,6
196,安庆,6
197,天柱山,6
198,航旅,6
199,冷链,6
200,易建,6
201,合资,6
202,顺延,6
203,孙,6
204,徐经,6
205,执行官,6
206,监察部,6
207,新世纪,6
208,高价,6
209,养老保险,6
210,教育费,6
211,神鸟,6
212,远期,6
213,二年,6
214,以本,5
215,国有资产,5
216,李晓峰,5
217,大道,5
218,供应品,5
219,候机楼,5
220,态势,5
221,货邮,5
222,旗下,5
223,面向,5
224,枢纽,5
225,远程,5
226,资源,5
227,西安,5
228,体验,5
229,差异化,5
230,吨公里,5
231,利用率,5
232,消耗,5
233,测算,5
234,滨海,5
235,兴航融,5
236,建信,5
237,利润率,5
238,第十九次,5
239,详请,5
240,始发,5
241,日用百货,5
242,咨询服务,5
243,天津市,5
244,贡献,5
245,现行,5
246,甘肃,5
247,饮品,5
248,内蒙古,5
249,亚航,5
250,凤凰,5
251,满洲里,5
252,唐山,5
253,营口,5
254,人寿,5
255,云端,5
256,信息技术,5
257,第十次,5
258,拟以,5
259,空,5
260,海湾,5
261,徐军,5
262,长,5
263,海燕,5
264,汉族,5
265,处处长,5
266,续期,5
267,大街,5
268,信用等级,5
269,核对,5
270,黔海,5
271,燕山,5
272,常,5
273,兑换,5
274,税项,5
275,关税,5
276,投资人,5
277,不适,5
278,购机,5
279,作价,4
280,减本,4
281,转账,4
