,分词排序,词频
0,昌九,195
1,江西,143
2,农科,136
3,丙烯酰胺,132
4,信息,102
5,化工,69
6,江苏,68
7,工程,45
8,生化,44
9,环保,42
10,文化,41
11,私募,38
12,农资,32
13,北京,31
14,南昌,28
15,搬迁,28
16,排污,28
17,如东,27
18,材料,27
19,环境保护,26
20,南昌市,25
21,建设,24
22,精细化工,23
23,丙烯腈,23
24,晶体,22
25,环境,22
26,江西省,21
27,李季,20
28,生物,19
29,装置,19
30,排放,19
31,航达,18
32,化学,18
33,制造,18
34,污染物,18
35,同美,17
36,水,17
37,许可证,17
38,相较,16
39,西昌,15
40,数据,15
41,杭州,15
42,化肥,15
43,科技,14
44,房地产,14
45,阶段性,14
46,水剂,13
47,化工行业,13
48,应急,13
49,企事业,13
50,废水,12
51,内江,12
52,监测,12
53,银行,12
54,检测,12
55,生物化工,11
56,氨,11
57,李红亚,11
58,昌九昌昱,10
59,南通,10
60,聚,10
61,污水处理,10
62,健康,10
63,运输,10
64,关停,10
65,水合,10
66,反担保,10
67,江,10
68,财,9
69,南,9
70,昌九青苑,9
71,昌九金桥,9
72,上海,9
73,主营,9
74,化学品,9
75,两地,9
76,列入,9
77,环境保护部,9
78,扶贫,9
79,中兴,8
80,光华,8
81,要素,8
82,化学工业,8
83,巴斯夫,8
84,高新技术,8
85,停产,8
86,危险,8
87,土地,8
88,污水,8
89,检测点,8
90,无年,8
91,统计,7
92,监督管理,7
93,热电,7
94,文心,7
95,微生物,7
96,网站,7
97,取,7
98,呈现,7
99,来看,7
100,层面,7
101,缩减,7
102,稳定性,7
103,退出,7
104,污染,7
105,生态,7
106,油气,7
107,工业,7
108,郑倩,6
109,指南,6
110,华策,6
111,法制,6
112,土壤,6
113,以销定产,6
114,供给,6
115,头部,6
116,节能,6
117,少,6
118,下滑,6
119,消耗量,6
120,停业,6
121,金融机构,6
122,发酵,6
123,酶,6
124,生态环境,6
125,水污染,6
126,适时,6
127,环境影响,6
128,门,6
129,姬连强,6
130,嵌入,6
131,拨款,6
132,需氧量,5
133,上游,5
134,中间体,5
135,一体化,5
136,消耗,5
137,减排,5
138,募资,5
139,厅,5
140,生产工艺,5
141,环境污染,5
142,腈,5
143,降低生产,5
144,安全监管,5
145,资源,5
146,核发,5
147,大气,5
148,污染源,5
149,税额,5
150,较长,5
151,高度,5
152,上下游,5
153,赣州,5
154,如东县,5
155,南通市,5
156,氨氮,5
157,废气,5
158,三级,5
159,教育,5
160,陈冠洋,5
161,刘萍,5
162,文,5
163,供销社,5
164,未办理,5
165,薛金洪,4
166,文资办,4
167,基金业,4
168,传媒,4
169,英文,4
170,悬浮物,4
171,青山湖区,4
172,形态,4
173,石油,4
174,开采,4
175,建筑,4
176,造纸,4
177,助剂,4
178,充分利用,4
179,经营策略,4
180,序列,4
181,定制,4
182,差异化,4
183,利润率,4
184,效应,4
185,公司业绩,4
186,节能降耗,4
187,侧,4
188,集约化,4
189,有望,4
190,应用领域,4
191,扩张,4
192,章节,4
193,互联网,4
194,推行,4
195,坚定,4
196,工艺流程,4
197,市场占有率,4
198,奠定,4
199,发酵液,4
200,安全事故,4
201,事故,4
202,组建,4
203,清理,4
204,基建,4
205,中试,4
206,机器设备,4
207,技术规范,4
208,防治,4
209,粉尘,4
210,固体废弃物,4
211,精制,4
212,干燥,4
213,扩建,4
214,积极参与,4
215,试错,4
216,践行,4
217,外排,4
218,表中,4
219,排入,4
220,在线,4
221,环保局,4
222,混合,4
223,限值,4
224,办公厅,4
225,市政府,4
226,国有资产,4
227,本市,4
228,卢岐,4
229,李飞,4
230,忠良,4
231,贺爽,4
232,财务经理,4
233,金桥,4
234,薛镭,4
235,中铁,4
236,明珠,4
237,清华大学,4
238,院长,4
239,辞职,4
240,人次,4
241,中央银行,4
242,山西,4
243,晋城,4
244,蓝焰,4
245,煤业,4
246,运销,4
247,大华,4
248,塑料厂,4
249,衡阳,4
250,方大,4
251,特钢,4
252,建造,4
253,动态,3
254,诸多,3
255,警示,3
256,略有,3
257,指昌九,3
258,航达品,3
259,航美,3
260,康平,3
261,气体,3
262,一号,3
263,物质,3
264,陈明,3
265,尤氨路,3
266,赣州市,3
267,媒体,3
268,自然灾害,3
269,一次性,3
270,絮凝剂,3
271,涂料,3
272,纺织,3
273,医药,3
274,生产型,3
275,专业化,3
276,规模化,3
277,利用率,3
278,一批,3
279,首批,3
280,场景,3
281,高污染,3
282,现象,3
283,转正,3
284,厂商,3
285,有助于,3
286,快,3
287,纷纷,3
288,兴建,3
289,爱森,3
290,起步,3
291,生产能力,3
292,制取,3
293,物流,3
294,同类,3
295,延伸,3
296,化工产品,3
297,纯度,3
298,排放量,3
299,高度重视,3
300,工业用,3
301,高质量,3
302,化工企业,3
303,发明专利,3
304,化工机械,3
305,夯实,3
306,产销,3
307,走,3
308,净现金,3
309,流量,3
310,开工率,3
311,满负荷,3
312,销售策略,3
313,信任,3
314,灵活,3
315,精简,3
316,减员增效,3
317,杠杆,3
318,规模较,3
319,缩小,3
320,东北,3
321,华北,3
322,华东,3
323,西南,3
324,毛,3
325,统计分析,3
326,人工,3
327,菌株,3
328,高活性,3
329,第六次,3
330,健全,3
331,力量,3
332,国务院,3
333,改革方案,3
334,指挥,3
335,建立健全,3
336,判定,3
337,规章,3
338,道路,3
339,颁发,3
340,土壤污染,3
341,省版,3
342,区域性,3
343,限产,3
344,终端,3
345,石油化工,3
346,浓缩,3
347,共享,3
348,动力,3
349,视,3
350,人才培养,3
351,水电,3
352,供电,3
353,协议价,3
354,转账,3
355,转售,3
356,住房,3
357,为准,3
358,现金管理,3
359,滚动,3
360,对接,3
361,行业协会,3
362,列为,3
363,就业,3
364,范畴,3
365,自动,3
366,浓度,3
367,速率,3
368,两江,3
369,户,3
370,周勇,3
371,曹洪波,3
372,曹,3
373,洪涛,3
374,赵海,3
375,十大,3
376,北京市人民政府,3
377,张浩,3
378,钟先平,3
379,清华大学经济管理学院,3
380,莱士,3
381,翠微,3
382,电机,3
383,恒大,3
384,连锁,3
385,考核办法,3
386,通讯,3
387,保费,3
388,准备金,3
389,郑倩年,3
390,公众股,3
391,定向,3
392,发起人,3
393,当本,3
394,投出,3
395,下同,3
396,其摊,3
397,建筑物,3
398,保险费,3
399,生产费,3
400,财政厅,3
401,广州,3
402,否否否,3
403,北大,3
404,环化,3
405,元为,3
406,教育费,3
407,改扩建,3
408,委托人,2
409,可变,2
410,化工集团,2
411,单体,2
412,聚合,2
413,苑昌九,2
414,水中,2
415,外文,2
416,人二,2
417,电子信箱,2
418,网址,2
419,章贡区,2
420,黄屋,2
421,坪,2
422,路,2
423,王亮,2
424,苗,2
425,英华,2
426,明显改善,2
427,非金融,2
428,显失,2
429,国民经济,2
430,有机,2
431,添加剂,2
432,用作,2
433,塑料,2
434,橡胶,2
435,改性,2
436,百业,2
437,产供销,2
438,专注,2
439,最优,2
440,性价比,2
441,主流产品,2
442,缩短,2
443,销售价格,2
444,控制策略,2
445,较强,2
446,知名品牌,2
447,采油,2
448,选矿,2
