,分词排序,词频
0,广西,392
1,大唐,374
2,电力,364
3,桂冠,212
4,水电,200
5,发电,129
6,贵州,99
7,工程,82
8,聚源,69
9,风电,63
10,扶贫,56
11,房地产,54
12,水电站,48
13,北京,42
14,能源,40
15,龙滩,38
16,水力发电,38
17,信息,36
18,电力公司,36
19,合山,34
20,火电,33
21,四川,33
22,白水河,33
23,亿千瓦时,32
24,烟台,31
25,黔南,30
26,朝阳,30
27,山包,30
28,大田,30
29,建设,29
30,发电量,29
31,脱贫,29
32,电厂,28
33,万千瓦,28
34,山东,27
35,东源,27
36,电,26
37,小时,25
38,电价,24
39,科技,24
40,渡河,24
41,风力,23
42,湖北省,23
43,巴东县,23
44,博达,23
45,电业,22
46,大化,21
47,水资源,20
48,开投,20
49,岩滩,20
50,广能,20
51,平班,19
52,河,19
53,莱州,19
54,强源,19
55,工程师,19
56,水利电力,19
57,风电场,19
58,电量,18
59,装机,17
60,清洁,17
61,检修,17
62,新能源,17
63,第十九次,16
64,装机容量,15
65,上网,15
66,环境,15
67,川汇,15
68,燃料,15
69,煤电,15
70,迪庆,15
71,香格里拉,15
72,党组,15
73,六六六,15
74,银行,14
75,攻坚,14
76,江南,14
77,福建,14
78,土地,14
79,王森,13
80,李凯,13
81,南宁市,13
82,云南,13
83,横县,13
84,通讯,13
85,生物,13
86,数据,12
87,电网,12
88,集兴龙,12
89,湘,12
90,机组,12
91,招远,12
92,柳州,12
93,部副,12
94,昭平,12
95,上海,11
96,役,11
97,四格,11
98,工程项目,11
99,材料,11
100,河水,11
101,扶绥,11
102,永福,11
103,总会计师,11
104,湖南,11
105,兴义,11
106,湖北,10
107,环保,10
108,铝业,10
109,滩,10
110,建筑物,10
111,千瓦时,10
112,国电,10
113,卢文忠,9
114,用电量,9
115,流域,9
116,调度,9
117,水火,9
118,降价,9
119,县,9
120,安丰,9
121,副厂长,9
122,广,9
123,西方,9
124,深圳,9
125,遵义,9
126,三聚,9
127,永中,8
128,网站,8
129,核电,8
130,集控,8
131,教育,8
132,降幅,8
133,抵补,8
134,海阳,8
135,聚宝,8
136,坛,8
137,坪,8
138,粮食,8
139,补偿款,8
140,先一,8
141,广西区,7
142,天龙,7
143,银海,7
144,落地,7
145,统借,7
146,统,7
147,香电得荣,7
148,煤炭,7
149,广西壮族自治区,7
150,国有资产,7
151,张晓荣,7
152,厂长,7
153,山东电力,7
154,业绩考核,7
155,昭平县,7
156,保险费,7
157,房产,7
158,往来款项,7
159,物业,7
160,扩建工程,7
161,兴义市,7
162,中联,7
163,民族,6
164,大道,6
165,售电,6
166,持平,6
167,湖,6
168,干部,6
169,公年,6
170,制造,6
171,力量,6
172,水电厂,6
173,唐,6
174,证券期货,6
175,鹿寨,6
176,定点,6
177,就业,6
178,库区,6
179,王小明,6
180,投资部,6
181,工作部,6
182,茂县,6
183,油气,6
184,乐滩,6
185,莱阳,6
186,百花,6
187,用水,6
188,按元,6
