,分词排序,词频
0,椰岛,281
1,海南,277
2,房地产,86
3,信息,72
4,海口市,66
5,酒,63
6,饮料,59
7,酒类,52
8,保健酒,51
9,国资,48
10,阳光,40
11,海口,39
12,工业,39
13,海南省,38
14,酒业,35
15,土地,34
16,工程,33
17,上海,32
18,植物蛋白,30
19,建设,30
20,排放,30
21,健康,27
22,椰林,27
23,建桐,26
24,国有资产,26
25,环境,22
26,数据,21
27,白酒,21
28,冯彪,20
29,东方君,20
30,鹿龟,20
31,淀粉,20
32,扶贫,20
33,盛,19
34,北京,19
35,综合楼,19
36,海王,19
37,裁决,19
38,洋浦,18
39,澄迈,17
40,电商,17
41,消费,16
42,面积,15
43,地产,15
44,我司,15
45,食品饮料,14
46,成品,13
47,车间,13
48,文化,13
49,商品房,13
50,深圳,13
51,农业,13
52,酒精,13
53,科技,12
54,传统,12
55,大宗,12
56,生物,12
57,材料,12
58,银行,12
59,计征,12
60,高晓光,11
61,收储,11
62,物流,11
63,消费者,11
64,杭州,11
65,旅游,11
66,审众,10
67,环,10
68,药谷,10
69,老城,10
70,小城,10
71,发酵,10
72,食品,10
73,广告费,10
74,环境保护,10
75,环保,10
76,国资委,10
77,置,10
78,中石化,10
79,竣工,9
80,新大慧,9
81,自由贸易,9
82,后经,9
83,参与者,9
84,易地,9
85,甲方,9
86,椰汁,8
87,招商,8
88,经销,8
89,定制,8
90,港,8
91,山东,8
92,来看,8
93,养生,8
94,生态,8
95,资源,8
96,曲锋,8
97,石油,8
98,澄迈县,8
99,排污,8
100,监测,8
101,代垫,8
102,方可,8
103,万辰,8
104,多元化,7
105,调控,7
106,开放,7
107,流量,7
108,千升,7
109,油脂,7
110,广东,7
111,热带,7
112,邓亚平,7
113,不服,7
114,中院,7
115,老挝,7
116,仲裁委,7
117,污染物,7
118,需氧量,7
119,建造,7
120,丙方,7
121,秀英区,6
122,国际贸易,6
123,代理商,6
124,库,6
125,儋州,6
126,广场,6
127,复合,6
128,亿升,6
129,在售,6
130,荆州,6
131,金楚,6
132,住房,6
133,因未,6
134,中山,6
135,机器设备,6
136,石化,6
137,乙醇,6
138,内向,6
139,预告,6
140,罗经,6
141,废水,6
142,污水处理,6
143,氮氧化物,6
144,二氧化硫,6
145,扩建,6
146,辞职,6
147,油气,6
148,曲酒,6
149,媒体,5
150,网站,5
151,限购,5
152,酿酒,5
153,储存,5
154,仓储,5
155,农产品,5
156,越来越,5
157,意识,5
158,依然,5
159,降幅,5
160,科学,5
161,配制,5
162,广西,5
163,结构调整,5
164,文旅,5
165,网点,5
166,减幅,5
167,成本增加,5
168,华东地区,5
169,华中地区,5
170,华北地区,5
171,华南地区,5
172,燃料,5
173,浙银渝富,5
174,主导,5
175,数字化,5
176,自动化,5
177,函件,5
178,称,5
179,转来,5
180,省,5
181,复函,5
182,琼国,5
183,主管机关,5
184,发函,5
185,清理,5
186,分拆,5
187,泰牛,5
188,生物科技,5
189,氨氮,5
190,悬浮物,5
191,危险废物,5
192,拍卖,5
193,陈燕,5
194,余唐,5
195,健年,5
196,方对,5
197,嵌入,5
198,混合,5
199,建筑物,5
200,款年,5
201,唐健,4
202,二横路,4
203,存量房,4
204,上下游,4
205,环节,4
206,生产工艺,4
207,配方,4
208,四个,4
209,县级,4
210,地级,4
211,面向,4
212,一瓶,4
213,带,4
214,加剧,4
215,互联网,4
216,产品品质,4
217,扩大内需,4
218,年产量,4
219,诉求,4
220,营养,4
221,人均,4
222,下滑,4
223,外贸,4
224,万亿元,4
225,中央,4
226,框架,4
227,竞技,4
228,体彩,4
229,江西,4
230,河南,4
231,江苏,4
232,会议费,4
233,西南地区,4
234,补偿款,4
235,按揭,4
236,酒厂,4
237,档次,4
238,米酒,4
239,线上,4
240,广告费用,4
241,现房,4
242,西安,4
243,天朗,4
244,南京,4
245,德辰,4
246,退休,4
247,教育,4
248,医疗,4
249,一带,4
250,一路,4
251,积极探索,4
252,稳步,4
253,出让方,4
254,垫付,4
255,受让方,4
256,上诉,4
257,占股,4
258,海仲字,4
259,元及,4
260,广州,4
261,高院,4
262,仲裁庭,4
263,责任人,4
264,谴责,4
265,改正,4
266,村,4
267,废气,4
268,排放口,4
269,超标,4
270,化学,4
271,五日,4
272,生化,4
273,动植物,4
274,油,4
275,应急,4
276,常务,4
277,崔万林,4
278,南,4
279,刘向阳,4
280,人年,4
281,伍绍,4
282,分开,4
283,中央银行,4
284,制品,4
285,物业管理,4
286,届满时,4
287,换取,4
288,教育费,4
289,叁,4
290,圆,4
291,扩产,4
292,信息化,4
293,青浦区,4
294,乙方,4
295,龙昆,3
296,北路,3
297,全岛,3
298,第一季度,3
299,第三季度,3
300,显失,3
301,品控,3
302,大部分,3
303,管理模式,3
304,淘汰,3
305,灌装,3
306,老熟,3
307,天猫,3
308,京东,3
309,分解,3
310,回归,3
311,定位,3
312,国内贸易,3
313,棕榈油,3
314,白糖,3
315,进口,3
316,华东,3
317,信誉,3
318,期货,3
319,放缓,3
320,啤酒,3
321,落地,3
322,体验,3
323,日益,3
324,知名度,3
325,深化,3
326,挑战,3
327,高质量,3
328,长效机制,3
329,消费量,3
330,对比,3
331,形象,3
332,愈发,3
333,强有力,3
334,万平方米,3
335,回落,3
336,呈现,3
337,防范,3
338,三亚,3
339,五指山市,3
340,乐东县,3
341,品牌价值,3
342,酿造,3
343,控,3
344,厂区,3
345,配置,3
346,研究室,3
347,品牌战略,3
348,检测,3
349,糖酒会,3
350,郑州,3
351,湖南,3
352,不断创新,3
353,自营,3
354,专业化,3
355,宣传,3
356,商铺,3
357,售罄,3
358,略有,3
359,大楼,3
360,运输费,3
361,椰昌,3
362,恒鑫,3
363,群体,3
364,海南岛,3
365,服务业,3
366,高新技术,3
367,文,3
368,攻关,3
369,椰子,3
370,合作方,3
371,三是,3
372,顺利,3
373,四是,3
374,五是,3
375,力,3
376,卫视,3
377,爱心,3
378,人力,3
379,借助,3
380,良性,3
381,政治,3
382,规章,3
383,报批,3
384,非流通股,3
385,五蕴,3
386,许若威,3
387,工程项目,3
388,冰锐,3
389,履行义务,3
390,赔偿金,3
391,维持原判,3
392,二审,3
393,吉醇,3
394,浙商,3
395,专属,3
396,脱贫,3
397,镇,3
398,两户,3
399,低保,3
400,危房改造,3
401,限值,3
402,颗粒物,3
403,许可证,3
404,汇翔,3
405,服务中心,3
406,依其,3
407,支配,3
408,足以,3
409,集中管理,3
410,中介,3
411,张健,3
412,陈曦,3
413,锦江,3
414,苗苗,3
415,刘德杰,3
416,林伟,3
417,奇林伟,3
418,财智,3
419,华夏,3
420,汽车,3
421,人力资源部,3
422,雷立,3
423,监管局,3
424,此类,3
425,召集,3
426,通讯,3
427,此次,3
428,保费,3
429,准备金,3
430,金融机构,3
431,等于,3
432,付出,3
433,承担义务,3
434,近期,3
435,低值易耗品,3
436,开发成本,3
437,原子,3
438,指为,3
439,实物,3
440,日以,3
441,房款,3
442,政策性,3
443,余值,3
444,粮油,3
445,缴费,3
446,补贴款,3
447,椰鹏,3
448,丁方,3
449,退出,3
450,在于,3
451,被上诉人,3
452,商道,3
453,上诉人,3
454,应自本,3
455,征集,3
456,现阶段,2
457,至下,2
458,阐述,2
459,外文,2
460,电子信箱,2
461,网址,2
462,江南,2
463,李慧,2
464,董宏磊,2
465,专业人才,2
466,扭亏为盈,2
467,符合国家,2
468,非金融,2
469,自然灾害,2
470,一次性,2
471,产销,2
472,中药材,2
473,辅料,2
474,竞标,2
475,采购部,2
476,询价,2
