,分词排序,词频
0,城,188
1,吉林市,86
2,吉林,80
3,鼎盛,71
4,武汉,69
5,深圳,68
6,泰盈,59
7,绿科,51
8,伯乐,48
9,房地产,46
10,信息,44
11,晋昌源,44
12,北京,43
13,绿科伯创,40
14,赛,39
15,科技,37
16,孙,34
17,能源,34
18,交通银行,33
19,吉林省,32
20,湖北,32
21,天津,31
22,房产,30
23,中技,30
24,信托,29
25,成城,28
26,工程,28
27,拍卖,27
28,上海,22
29,哈尔滨,22
30,物华,22
31,东升,21
32,和解,20
33,江西,19
34,判决书,18
35,土地,17
36,湖北省,17
37,中国农业银行,17
38,银行,16
39,保险,16
40,贵州,16
41,商业地产,15
42,商城,15
43,方项,14
44,农业,14
45,晟,14
46,普祥,14
47,数据,13
48,中能建,13
49,海南,13
50,九易通,13
51,君,13
52,安华,13
53,高级人民法院,13
54,长春,13
55,成清波,12
56,办事处,12
57,国联,12
58,网站,11
59,商港,11
60,抵押物,11
61,经贸,10
62,贵聚,10
63,实业集团,10
64,委托人,10
65,曹峰,9
66,绿科伯,9
67,富源,9
68,生物,9
69,瀚翼瑞虎,9
70,亚太,8
71,华科技,8
72,中能,8
73,农行,8
74,纳百川,8
75,远信,8
76,甲方,8
77,裁定书,8
78,中国建设银行,8
79,公司法人,8
80,人方项,8
81,房,8
82,权证,8
83,大道,7
84,物资供应,7
85,陈保华,7
86,寻求,7
87,智木润,7
88,沣,7
89,一案,7
90,给付,7
91,交行,7
92,技术咨询,7
93,重庆,7
94,投资银行,7
95,哈尔滨市,7
96,后本,7
97,独资,7
98,国际贸易,7
99,建造,7
100,楼层,7
101,吉市国,7
102,用字,7
103,罚息,6
104,销售业务,6
105,物业管理,6
106,成域,6
107,再次,6
108,名下,6
109,此后,6
110,天津市,6
111,唐山,6
112,裕成,6
113,户,6
114,广东,6
115,田地,6
116,扣划,6
117,买受人,6
118,油气,6
119,瀚翼,6
120,爱客,6
121,建筑物,6
122,教育费,6
123,船字,6
124,用地,6
125,资金不足,6
126,九届,5
127,同日,5
128,出资额,5
129,投资总额,5
130,无需,5
131,建设,5
132,江西省,5
133,中国长城资产管理公司,5
134,民事裁定,5
135,淘宝网,5
136,金元,5
137,反担保,5
138,路,5
139,汪名,5
140,骕,5
141,划拨,5
142,执字,5
143,咨询服务,5
144,技术转让,5
145,电脑城,5
146,资金紧张,5
147,服务业,4
148,邮电费,4
149,其他费用,4
150,为元本,4
151,兴办,4
152,变为,4
153,创为,4
154,易明超,4
155,陈保华户,4
156,代付,4
157,南昌,4
158,清理,4
159,乙方,4
160,立项,4
161,批文,4
162,提醒,4
163,疑虑,4
164,晋昌,4
165,代为,4
166,连带保证,4
167,高院,4
168,呈,4
169,中泰业,4
170,应诉,4
171,担保人,4
172,润德,4
173,武汉市,4
174,环境,4
175,北京东方,4
176,常务,4
177,宋子雄,4
178,专职,4
179,通科技,4
180,通讯,4
181,道里区,4
182,中央银行,4
183,扬子,4
184,低值易耗品,4
185,面积,4
186,三楼,4
187,一家,4
188,公司地址,4
189,法人代表,4
190,孙天伟,4
191,计算机,4
192,软硬件,4
193,批零兼营,4
194,展览,4
195,文化,4
196,营销策划,4
197,形象设计,4
198,翻译,4
199,计算机系统,4
200,集成,4
201,福田区,3
202,深南,3
203,特区,3
204,报业,3
205,大街,3
206,大会,3
207,投票表决,3
208,收益分配,3
209,生产总值,3
210,人均,3
211,冲回,3
212,已达,3
213,妥善解决,3
214,经营项目,3
215,停滞,3
216,商品销售,3
217,保险费,3
218,顾问,3
219,减轻,3
220,负担,3
221,寻找,3
222,业务范围,3
223,送红,3
224,报批,3
225,核实,3
226,终结,3
227,安全性,3
228,源于,3
229,应于,3
230,被执行人,3
231,建行,3
232,称,3
233,书,3
234,矿产,3
235,新疆,3
236,分院,3
237,深圳市中级人民法院,3
238,回复,3
239,追偿,3
240,汉南区,3
241,环保,3
242,武昌区,3
243,丙方,3
244,朝阳区,3
245,彩虹,3
246,完,3
247,排污,3
248,李冬,3
249,中关村,3
250,刘书锦,3
251,俞建鹰,3
252,吴洪霏,3
253,徐伟,3
254,海民,3
255,否否否,3
256,镇,3
257,大连,3
258,广州,3
259,通信,3
260,电子,3
261,国创,3
262,住房,3
263,账务,3
264,街号,3
265,进行拍卖,3
266,案外人,3
267,吉中,3
268,拆迁,3
269,保费,3
270,准备金,3
271,七年,3
272,两笔,3
273,指令,3
274,受益权,3
275,数为,3
276,零售,3
277,睿,3
278,泰富,3
279,方对,3
280,承担义务,3
281,公共,3
282,除净,3
283,时该,3
284,原先,3
285,竣工,3
286,税项,3
287,应纳,3
288,材料,3
289,二层,3
290,三层,3
291,吉中民二初,3
292,民事判决,3
293,款元,3
294,赔偿款,3
295,盛京,3
296,受让人,3
297,外文,2
298,电子信箱,2
299,赖淑婷,2
300,怀德街,2
301,王庆华,2
302,周方奇,2
303,自然灾害,2
304,显失,2
305,租赁经营,2
306,妥善,2
307,解决办法,2
308,筹措,2
309,以此,2
310,比比,2
311,增,2
312,上海地区,2
313,加剧,2
314,水电费,2
315,取暖费,2
316,交通费,2
317,广告费,2
318,附加费,2
319,社会保障,2
320,修理费,2
321,折旧费,2
322,办公用品,2
323,宣传,2
324,律师费,2
325,受限制,2
326,轮候,2
327,近期内,2
328,已为,2
329,合年,2
330,另行,2
331,主持,2
332,公司财务,2
333,探寻,2
334,道路,2
335,增长点,2
336,长远,2
337,战略目标,2
338,对此,2
339,收购人,2
340,如绿科伯,2
341,尽可能减少,2
342,若有,2
343,不可避免,2
344,公正,2
345,公平合理,2
346,亚,2
347,会审,2
348,外后,2
349,挂,2
350,求证,2
351,达于,2
352,招商银行,2
353,网上银行,2
354,如前所述,2
355,是否是,2
356,延伸,2
357,城于,2
358,借给,2
359,第二条,2
360,齐,2
361,洛瓦,2
362,电器,2
363,整备,2
364,启动资金,2
365,第三条,2
366,时中能,2
367,南昌市,2
368,宿松,2
369,万方,2
370,矿业,2
371,倪超,2
372,阐述,2
373,守则,2
374,缺乏,2
375,尚有,2
376,代,2
377,年月代,2
378,尊重,2
379,非金融,2
380,可比,2
381,解聘,2
382,催收,2
383,约元,2
384,四处,2
385,厚发,2
386,天工,2
387,天成,2
388,建筑工程,2
389,万兴,2
390,中融,2
391,盛源,2
392,四家,2
393,胡伟云,2
394,倍,2
395,亿路,2
396,万源,2
397,元于,2
398,新疆维吾尔自治区,2
399,伊犁哈萨克自治州,2
400,郑秀,2
401,事后,2
402,不良,2
403,本部,2
404,贸有,2
405,限公,2
406,三项,2
407,创赛,2
408,丁方,2
409,之内,2
410,乙丙,2
411,丁,2
412,三方,2
413,原欠,2
414,签发,2
415,易于,2
416,全称,2
417,金惠明,2
418,曹元峰,2
419,麦志勇,2
420,唐逦,2
421,王建飞,2
422,钱小霖,2
423,张国伟,2
424,技术推广,2
425,黄薇,2
426,斑彩,2
427,螺,2
428,华阳,2
429,副总,2
430,杭州,2
431,珠江,2
432,法务部,2
433,专员,2
434,新东方,2
435,甘肃,2
436,项目经理,2
437,部副,2
438,华林,2
439,陕西,2
440,金叶,2
441,科教,2
442,惠州,2
443,中京,2
444,硕融博,2
445,讯利,2
446,于力,2
447,许,2
448,富盛,2
449,教育,2
450,基本工资,2
451,绩效奖金,2
452,专业培训,2
453,平等,2
454,由人,2
455,实施细则,2
456,相关者,2
457,健康,2
458,终审,2
459,现状,2
460,法官,2
461,访谈,2
462,房屋产权,2
463,询问,2
464,分析程序,2
465,并非,2
466,备付,2
467,拆出,2
468,股年,2
469,文,2
470,股股,2
471,非流通股,2
472,江苏,2
473,造船,2
474,借款人,2
475,上海浦东新区,2
476,强行,2
477,抵偿,2
478,危险,2
479,化学品,2
480,经销,2
481,非法,2
482,民间,2
483,借贷,2
484,败诉,2
485,尚无,2
486,付出,2
487,以本,2
488,由本,2
489,投出,2
490,因该,2
491,很小,2
492,对以,2
493,签定,2
494,一般而言,2
495,开发成本,2
496,商品房,2
497,有偿转让,2
498,一致同意,2
499,或应,2
500,顺序,2
501,指为,2
502,赚取,2
503,率年,2
504,自用,2
505,时自,2
506,机器设备,2
507,应予,2
508,工程项目,2
509,生育,2
510,工会,2
511,教育经费,2
512,裁减,2
513,具体方法,2
514,汇至,2
515,票,2
516,萎缩,2
517,湖南,2
518,花垣县,2
519,通华,2
520,锰,2
521,合金,2
522,冶炼厂,2
523,华润,2
524,中创,2
525,正拓,2
526,保全,2
527,以赣,2
528,仍为,2
529,位置,2
530,中吉大,2
531,船证,2
532,大楼,2
533,三处,2
534,据此,2
535,洪都,2
536,划入,2
537,上浮,2
538,延迟,2
539,姚得州,2
540,展期,2
541,国恒,2
542,省,2
543,稳岗,2
544,第七次,2
545,秦园,2
546,九坤,2
547,秦南,2
548,汇栋,2
549,层室,2
550,广告设计,2
551,艺术,2
552,图文,2
553,工艺品,2
554,第八次,2
555,重庆市,2
556,渝北区,2
557,龙兴,2
558,两江,2
559,承办,2
560,艺术交流,2
561,工艺美术品,2
562,象牙,2
563,制品,2
564,海淀区,2
565,号层,2
566,根据上述,2
567,江阴,2
568,顺元,2
569,停牌,2
570,七届,2
571,张雪,2
572,唐珊,2
573,扩股,2
574,向平,2
575,黄俊翔,2
576,泰熙,2
577,晋昌源赛,2
578,该笔,2
579,两位,2
580,一本,1
581,三亚,1
582,已有,1
583,四一,1
584,主管人员,1
585,五经,1
586,否八,1
587,违反规定,1
588,否九,1
589,详细描述,1
590,查阅,1
591,中四,1
592,文义,1
593,另有所指,1
594,含义,1
595,常用,1
596,创绿科,1
597,中文名称,1
598,中文,1
599,缩写,1
600,人二,1
601,联系人,1
602,联系方式,1
603,联系地址,1
604,电话传真,1
605,选定,1
606,媒体,1
607,证,1
608,劵,1
609,登载,1
610,网址,1
611,西城区,1
612,车公庄,1
613,座室,1
