,分词排序,词频
0,南京,460
1,纺织品,196
2,诗,67
3,南纺,54
4,朗,53
5,南京旅游,51
6,信息,45
7,南京市,43
8,南泰,40
9,经纬,35
10,建设,33
11,旅游,32
12,电气,30
13,服装,25
14,高新,24
15,绿色,24
16,金旅,24
17,建纺,22
18,银行,22
19,斯菲尔德,21
20,香港,20
21,广业,20
22,上海,19
23,江阴,18
24,英致,18
25,网站,17
26,外贸,17
27,房地产,17
28,徐德健,16
29,南纺诺,16
30,工程,16
31,生,15
32,受让方,14
33,排放,14
34,纺织,13
35,环境,13
36,照明,13
37,国际展览中心,13
38,土地,13
39,马焕栋,12
40,数据,12
41,国内贸易,12
42,征集,12
43,弘业,12
44,水务,12
45,排污,12
46,煤炭,11
47,国资,11
48,文化,11
49,江苏,11
50,生物,11
51,融租,10
52,环保,10
53,最高人民法院,10
54,李程,10
55,紫金,10
56,徐业,9
57,香,9
58,南泰家纺,9
59,用品,9
60,控股权,9
61,新达,9
62,津华,9
63,未果,9
64,安佰盈,8
65,大信,8
66,进口,8
67,上诉,8
68,再审,8
69,金斯,8
70,国有资产,8
71,商厦,8
72,百业,7
73,温泉,7
74,度假村,7
75,新疆,7
76,云南,7
77,北路,7
78,第二批,7
79,稳,7
80,消费,7
81,资源,7
82,业务员,7
83,党建,7
84,地产,7
85,意向,7
86,参考价,7
87,沈颖,7
88,苏强,7
89,本科,7
90,建筑物,7
91,专人,7
92,清收,7
93,金源,6
94,机电产品,6
95,去年同期,6
96,对朗,6
97,化工原料,6
98,材料,6
99,腾邦,6
100,票务,6
101,公共资源,6
102,交易中心,6
103,涉案,6
104,罚息,6
105,二审,6
106,幕燕,6
107,污染物,6
108,排,6
109,气筒,6
110,污水,6
111,水,6
112,斯亚,6
113,樊晔,6
114,王源,6
115,博士生,6
116,导师,6
117,东南大学,6
118,油气,6
119,建造,6
120,汤,5
121,山东,5
122,湖,5
123,鼓楼区,5
124,防范,5
125,化工产品,5
126,健康,5
127,严控,5
128,审慎,5
129,深化,5
130,国资委,5
131,二次,5
132,要约,5
133,民事诉讼,5
134,常务,5
135,划转,5
136,城建,5
137,科技,5
138,深圳,5
139,豁免,5
140,召集,5
141,胡汉辉,5
142,陈益平,5
143,陈超,5
144,周晓兵,5
145,许俊虎,5
146,党群,5
147,主持,5
148,发展部,5
149,部副,5
150,包装物,5
151,低值易耗品,5
152,蒙古,5
153,制衣,5
154,建设工程,4
155,连诺,4
156,张,4
157,传统,4
158,欧盟,4
159,南亚,4
160,摩擦,4
161,国际贸易,4
162,高质量,4
163,零,4
164,制造业,4
165,商业银行,4
166,清理,4
167,和谐,4
168,营造,4
169,项本,4
170,十一次,4
171,第一批,4
172,商务,4
173,底价,4
174,水秀苑,4
175,大酒店,4
176,会展,4
177,严峻,4
178,对此,4
179,示,4
180,岭南,4
181,燃料,4
182,天津开发区,4
183,运销,4
184,不服,4
185,移送,4
186,公安机关,4
187,侦查,4
188,单笔,4
189,丁益兵,4
190,湖南路,4
191,转租,4
192,相关者,4
193,应急,4
194,间断,4
195,汞,4
196,装置,4
197,监测,4
198,北京,4
199,运营部,4
200,科长,4
201,王磊,4
202,辞职,4
203,计算方法,4
204,结果表明,4
205,教育费,4
206,河北,4
207,启发,4
208,催收,4
209,可偿还,4
210,较小年,4
211,服饰,4
212,杰夫,4
213,家具用品,4
214,源于,4
215,室,3
216,三家,3
217,服装出口,3
218,加拿大,3
219,澳新,3
220,经济体,3
221,加剧,3
222,创,3
223,统计,3
224,万亿美元,3
225,亿美元,3
226,稳步,3
227,万亿元,3
228,增加值,3
229,东盟,3
230,入选,3
231,低效,3
232,梳理,3
233,经营层,3
234,呈,3
235,挖潜,3
236,并举,3
237,态势,3
238,存量,3
239,首期,3
240,协作,3
241,党组织,3
242,生产力,3
243,三是,3
244,金属材料,3
245,预估,3
246,投资额,3
247,原名,3
248,被动,3
249,景谷,3
250,二手,3
251,车辆,3
252,下行,3
253,增长点,3
254,三级,3
255,走势,3
256,余万元,3
257,险,3
258,依赖,3
259,刑事,3
260,裁定书,3
261,华夏银行,3
262,南京城,3
263,教育,3
264,泰然,3
265,高新技术,3
266,新科,3
267,二路,3
268,房产,3
269,停牌,3
270,公正,3
271,尊重,3
272,标准表,3
273,工序,3
274,吸附,3
275,在线,3
276,高压,3
277,钠灯,3
278,石英,3
279,金卤灯,3
280,搬迁,3
281,户,3
282,代行,3
283,万敏,3
284,钟山,3
285,项目经理,3
286,南,3
287,广播电视,3
288,办公会,3
289,高层,3
290,回避,3
291,法定程序,3
292,通讯,3
293,样本,3
294,核对,3
295,保费,3
296,准备金,3
297,中央银行,3
298,文,3
299,量化,3
300,待运,3
301,保险费,3
302,政策性,3
303,税额,3
304,六朝,3
305,镇江市,3
306,销售款,3
307,超额,3
308,佳事达,3
309,虹云,3
310,大丰市,3
311,减资,3
312,展,3
313,二一,2
314,四月,2
315,负数,2
316,指朗,2
317,南纺安佰盈,2
318,东湖,2
319,外文,2
320,电子信箱,2
321,网址,2
322,王敏康,2
323,狄香雨,2
324,化工品,2
325,手段,2
326,延续,2
327,放缓,2
328,新高,2
329,一带,2
330,一路,2
331,海关,2
332,快,2
333,生产总值,2
334,消费品,2
335,驱动力,2
336,外贸企业,2
337,近,2
338,队伍,2
339,网络,2
340,多家,2
341,资金回笼,2
342,切入点,2
343,内外部,2
344,信息化,2
345,双向,2
346,战略方针,2
347,回升,2
348,挖掘,2
349,增量,2
350,显现,2
351,收放,2
352,再创新高,2
353,盘活,2
354,供给,2
355,侧,2
356,顺利完成,2
357,贡献,2
358,多方,2
359,论证,2
360,萎缩,2
361,微薄,2
362,国务院,2
363,国企改革,2
364,双百,2
365,契机,2
366,节约,2
367,降本增效,2
368,效能,2
369,贬值,2
370,风清气,2
371,学习型,2
372,领导力,2
373,力,2
374,党工,2
375,团,2
376,积极开展,2
377,成入,2
378,美加地区,2
379,面料,2
380,服装类,2
381,已报关,2
382,国外,2
383,二非,2
384,赔偿款,2
385,退税,2
386,改良,2
387,出口商品,2
388,进项税额,2
389,中介机构,2
390,总价,2
391,联营公司,2
392,因朗,2
393,批次,2
394,四次,2
395,以元,2
396,后新达,2
397,工商登记,2
398,资本金,2
399,到位,2
400,十八次,2
401,贵儒,2
402,产权交易,2
403,业已,2
404,金谷,2
405,退出,2
406,挑战,2
407,来看,2
408,有望,2
409,外部环境,2
410,增大,2
411,保护主义,2
412,威胁,2
413,稳定增长,2
414,四是,2
415,增长速度,2
416,减慢,2
417,防控,2
418,稳中,2
419,步伐,2
420,兑现,2
421,力争,2
422,抓手,2
423,单证,2
424,储运,2
425,统筹,2
426,切实做好,2
427,收购人,2
428,筹划,2
429,起个,2
430,并列,2
431,解聘,2
432,续聘,2
433,强制执行,2
434,递交,2
435,终结,2
436,审查,2
437,诈骗罪,2
438,判处,2
439,有期徒刑,2
440,责令,2
441,退赔,2
442,经济损失,2
443,漏洞,2
444,合同诈骗,2
445,起到,2
446,可向,2
447,山,2
448,煤,2
449,能源,2
450,买卖合同,2
451,山煤,2
452,有效期限,2
453,交易类型,2
454,价,2
455,水电,2
456,水费,2
457,灯具,2
458,之内,2
459,月底,2
460,前英致,2
461,上表,2
462,内因,2
463,评估价,2
464,十七次,2
465,年化,2
466,二十次,2
467,金融机构,2
468,附加条件,2
469,中国光大银行,2
470,中国建设银行,2
471,农村,2
472,兴业银行,2
473,鼓楼,2
474,门,2
475,苍松,2
476,镇,2
477,市属,2
478,独资,2
479,精细,2
480,列为,2
481,排口,2
482,废气,2
483,废水,2
484,浓度,2
485,氟化物,2
486,化合物,2
487,甲烷,2
488,总烃,2
489,清洗,2
490,车间,2
491,收集,2
492,活性炭,2
493,达标排放,2
494,环境影响,2
495,环境保护,2
496,行政许可,2
497,环保局,2
498,宁高管,2
499,胡志炜,2
500,胡志剑,2
501,雷立军,2
502,杨贤连,2
503,贵州,2
504,汇新,2
505,盛德,2
506,酒店,2
507,产品开发,2
508,景区,2
509,综合体,2
510,小镇,2
511,赛事,2
512,策划,2
513,中央,2
514,商场,2
515,监督管理,2
516,百分之十,2
517,男女,2
518,投资部,2
519,经济学,2
520,监察,2
521,人力资源部,2
