,分词排序,词频
0,梦舟,204
1,安徽,72
2,铜业,72
3,信息,62
4,影视,61
5,文化,60
6,梦幻,60
7,上海,60
8,工厂,57
9,西安,49
10,船山,48
11,工程,48
12,铜,47
13,鑫科,46
14,影视文化,44
15,芜湖,40
16,飞尚,38
17,鑫晟,36
18,霍尔果斯,33
19,材料,33
20,电工,30
21,芜湖市,28
22,嘉兴,28
23,传播,26
24,环保,25
25,环境,25
26,古河,25
27,瑞金,24
28,李,23
29,北京,23
30,鑫,22
31,文化传媒,21
32,巴彦淖尔,20
33,大昀,19
34,电缆,18
35,金属,18
36,男否,18
37,辞去,18
38,宋志刚,17
39,天津,17
40,银行,17
41,摄制,17
42,网站,16
43,发起,16
44,电视剧,16
45,排放,16
46,电影,15
47,生物,15
48,市飞尚,14
49,电气,14
50,拍摄,14
51,数据,13
52,香港,13
53,被套,13
54,普天,12
55,健,12
56,胡基荣,12
57,房地产,12
58,影视作品,12
59,土地,12
60,建设,11
61,冯,11
62,青青,11
63,科虹,11
64,七届,10
65,铜合金,10
66,影业,10
67,制造业,10
68,舟山,10
69,信托,10
70,电视,10
71,华,9
72,电工材料,9
73,清理,9
74,南北湖,9
75,浙江,9
76,污染物,9
77,金属材料,9
78,影视片,9
79,辐照,8
80,特种,8
81,影视剧,8
82,播放,8
83,院线,8
84,科技,8
85,鑫瑞,8
86,传媒,8
87,东莞市,8
88,铜带,8
89,排污,8
90,实业集团,8
91,财政拨款,8
92,天津市,8
93,起诉状,8
94,连续剧,8
95,张龙,7
96,恒鑫,7
97,技术开发区,7
98,带材,7
99,铜杆,7
100,创业投资,7
101,环境保护,7
102,污水,7
103,许可证,7
104,承诺书,7
105,张,7
106,汪献忠,7
107,业经,7
108,制片,7
109,罗慧,6
110,电线电缆,6
111,期货,6
112,版权,6
113,制造,6
114,未定,6
115,深圳,6
116,分拆,6
117,王继,6
118,本部,6
119,排口,6
120,废水,6
121,环境影响,6
122,策划,6
123,佳佳,6
124,李克明,6
125,大学本科,6
126,原名,6
127,誉洲,6
128,昱,6
129,油气,6
130,验资,6
131,据此,6
132,每次,6
133,缺勤,6
134,免租,6
135,高新技术,6
136,宝贝,6
137,珠江路,5
138,铜基,5
139,作品,5
140,铜材,5
141,落后,5
142,消费,5
143,创意,5
144,负有,5
145,补足,5
146,影片,5
147,档,5
148,财富,5
149,退出,5
150,机,5
151,咖,5
152,日元,5
153,集体,5
154,宣传,5
155,高度,5
156,中将,5
157,工程项目,5
158,案,5
159,动漫,5
160,鑫权,5
161,山西,5
162,鼎耀千翔,5
163,鸿,5
164,宽,5
165,王英,5
166,谭,5
167,贺建虎,5
168,教育,5
169,科新,5
170,宁波,5
171,依次,5
172,影视业,5
173,建造,5
174,带薪,5
175,灵思,5
176,汉森,5
177,已有,4
178,晏,4
179,玲玲,4
180,媒体,4
181,一次性,4
182,线材,4
183,制品,4
184,淘汰,4
185,影视制作,4
186,商标,4
187,应以,4
188,未达标,4
189,广州,4
190,此基础,4
191,合金材料,4
192,种,4
193,国外,4
194,基合金,4
195,价,4
196,信用证,4
197,合作方,4
198,有色金属,4
199,废旧,4
200,连铸,4
201,精,4
202,轧机,4
203,研磨机,4
204,刷洗,4
205,金蝶,4
206,软件系统,4
207,零星,4
208,文化产业,4
209,资源,4
210,高质量,4
211,扩张,4
212,名录,4
213,人及,4
214,很大,4
215,中水,4
216,致远,4
217,画,4
218,国人,4
219,张家港市,4
220,华发,4
221,电工器材,4
222,华策,4
223,仓城润,4
224,电汇,4
225,污染,4
226,厂区,4
227,处理厂,4
228,工业,4
229,标准表,4
230,应急,4
231,环保局,4
232,全称,4
233,利国,4
234,登科,4
235,王益,4
236,周永才,4
237,副经理,4
238,三十七,4
239,期后,4
240,选取,4
241,中央银行,4
242,华普,4
243,华普验,4
244,晟,4
245,相一致,4
246,国债,4
247,乘以,4
248,一组,4
249,参照,4
250,电影片,4
251,入库,4
252,建筑物,4
253,机器设备,4
254,保险费,4
255,第一名,4
256,第二名,4
257,第三名,4
258,第四名,4
259,科汇,4
260,商业银行,4
261,教育费,4
262,额较,4
263,香港特别行政区,4
264,行政区,4
265,开曼,4
266,外汇,4
267,原被告,4
268,发来,4
269,浙,4
270,集,4
271,该剧,4
272,一家,3
273,双,3
274,加工费,3
275,国民经济,3
276,缓慢,3
277,保持高速,3
278,加工能力,3
279,新兴产业,3
280,国际化,3
281,专业化,3
282,片酬,3
283,恒乐,3
284,特,3
285,科学,3
286,增,3
287,下文,3
288,红,3
289,再生资源,3
290,机械设备,3
291,另行,3
292,筱滢,3
293,化学品,3
294,阳明,3
295,君道,3
296,豪欣,3
297,国际贸易,3
298,协议书,3
299,无锡,3
300,政策法规,3
301,董监,3
302,收缩,3
303,寻找,3
304,锌,3
305,操作,3
306,剧本,3
307,防治,3
308,及恒鑫,3
309,承接,3
310,账,3
311,调整法,3
312,临梦舟,3
313,下发,3
314,杨,3
315,回复,3
316,使用费,3
317,否年,3
318,红鹫,3
319,扩股,3
320,环境保护部,3
321,达标排放,3
322,废气,3
323,烟尘,3
324,达标,3
325,物排放,3
326,超标,3
327,废水处理,3
328,竣工,3
329,户,3
330,李娜,3
331,汪,3
332,兴海,3
333,刘世明,3
334,杜,3
335,卫东,3
336,常务,3
337,杨政,3
338,钱敬,3
339,工程师,3
340,陈锡龙,3
341,合肥工业大学,3
342,精密度,3
343,林国,3
344,湖南,3
345,群,3
346,王梓谦,3
347,通讯,3
348,缺席,3
349,审查,3
350,年梦舟,3
351,东莞,3
352,订立,3
353,对梦舟,3
354,疑虑,3
355,访谈,3
356,核对,3
357,保费,3
358,准备金,3
359,金融机构,3
360,罗慧年,3
361,鑫源物,3
362,龙影,3
363,表时,3
364,中本,3
365,近似,3
366,两种,3
367,另一方,3
368,参与者,3
369,公映,3
370,分账,3
371,法将,3
372,运输工具,3
373,届满时,3
374,存入,3
375,医疗保险,3
376,工伤保险,3
377,生育,3
378,住房,3
379,工会,3
380,教育经费,3
381,相匹配,3
382,精算,3
383,上限,3
384,政策性,3
385,第五名,3
386,委派,3
387,本利,3
388,吉姆,3
389,给付,3
390,开具,3
391,鸠江区,3
392,对账,3
393,尚欠,3
394,催告,3
395,联投,3
396,银博,3
397,于本,2
398,主管人员,2
399,四十,2
400,查阅,2
401,证监会,2
402,外文,2
403,电子信箱,2
404,网址,2
405,鹏飞,2
406,非金融,2
407,自然灾害,2
408,显失,2
409,规避,2
410,交货,2
411,公司业绩,2
412,衍生品,2
413,中间环节,2
414,低端,2
415,装备,2
416,应用领域,2
417,国产化,2
418,规模化,2
419,中小型,2
420,特色化,2
421,不断进步,2
422,缩小,2
423,显现,2
424,稳步,2
425,明星,2
426,层面,2
427,较强,2
428,铜板,2
429,多家,2
430,摩擦,2
431,加剧,2
432,下滑,2
433,去年同期,2
434,人工,2
435,生产成本,2
436,补助款,2
437,二非,2
438,滞纳金,2
439,系套,2
440,影院,2
441,放映,2
442,上映,2
443,小子,2
444,和尚,2
445,德鲁,2
446,梅西,2
447,朱丽,2
448,安布,2
449,舍,2
450,尔,2
451,爱丽丝,2
452,马丁,2
453,低氧,2
454,开展业务,2
455,嘉兴市,2
456,石文旅,2
457,家电,2
458,通讯器材,2
459,前海嘉泓,2
460,创业,2
461,顾问,2
462,院,2
463,网络,2
464,器材,2
465,文旅,2
466,三方,2
467,主导,2
468,郑轶波,2
469,袁柱,2
470,康正,2
471,显信,2
472,工程进度,2
473,汽车,2
474,电子,2
475,附加值,2
476,非正常,2
477,弘扬,2
478,主旋律,2
479,时刻,2
480,引来,2
481,新生,2
482,在内,2
483,高度重视,2
484,健康,2
485,健全,2
486,审视,2
487,追究,2
488,态势,2
489,人员构成,2
490,一步,2
491,改良,2
492,引入,2
493,横向,2
494,纵向,2
495,存量,2
496,线缆,2
497,产销,2
498,杜绝,2
499,大宗,2
500,商品价格,2
501,题材,2
502,音乐,2
503,侵犯,2
504,水污染,2
505,陆续,2
506,不定期,2
507,现状,2
508,一线,2
509,意识,2
510,预防,2
511,备忘录,2
512,清晰,2
513,收购人,2
514,市场经济,2
515,签订协议,2
516,筹划,2
517,停牌,2
518,复牌,2
519,顺延,2
520,评报,2
521,测试项目,2
522,方与,2
523,接受方,2
524,四项,2
525,解聘,2
526,函号,2
527,交易类型,2
528,详细情况,2
529,追认,2
530,关涛,2
531,徐亚楠,2
532,股权结构,2
533,提示性,2
534,详式,2
535,仍为,2
536,清洁,2
537,排放口,2
538,无量,2
539,纲,2
540,化学,2
541,需氧量,2
542,石油,2
543,后经,2
544,烟囱,2
545,总排,2
546,口,2
547,三级,2
548,朱家,2
549,桥,2
550,接管,2
551,炉窑,2
552,大气污染,2
553,二级标准,2
554,天门山,2
555,除尘器,2
556,噪声,2
557,隔声,2
558,烟气,2
559,监测,2
560,行政许可,2
561,车间,2
562,搬迁,2
563,污染源,2
564,分类管理,2
565,检测,2
566,信息内容,2
567,李绍君,2
568,钱勇,2
569,黄毓,2
570,中央,2
571,高晓莉,2
572,王绍林,2
573,钱成,2
574,女否,2
575,男是,2
576,王毓,2
577,杨春泰,2
578,王生,2
579,工商管理,2
580,广东,2
581,化工,2
582,业务部,2
583,王毓杨政,2
584,珠海,2
585,资管,2
586,鸿炼,2
587,格,2
588,南京审计学院,2
589,康缘,2
590,药业,2
591,君悦,2
592,异型,2
593,专员,2
594,哲,2
595,建筑,2
596,江苏,2
597,项目管理,2
598,董监事,2
599,张志,2
600,程,2
601,代表大会,2
602,协作,2
603,三十八,2
604,此次,2
605,前梦舟,2
606,元及,2
607,查看,2
608,样本,2
609,函证,2
610,逐笔,2
611,单价,2
612,作价,2
613,支持性,2
614,额年,2
615,以年,2
616,文,2
617,股票交易,2
618,会验,2
619,回鑫,2
620,灿鑫远,2
621,远,2
622,梦舟鑫科,2
623,上述情况,2
624,日止,2
625,重要性,2
626,相互之间,2
627,分配比例,2
628,项下,2
629,中未,2
630,原子,2
631,很小,2
632,这类,2
633,适合,2
634,使该,2
635,须用,2
636,可用,2
637,合同规定,2
