,分词排序,词频
0,通信,299
1,凯乐,155
2,信息,115
3,专网,114
4,科技,112
5,荆州市,112
6,量子,103
7,科达,99
8,上海,94
9,房地产,81
10,湖北,76
11,长沙,66
12,通讯,64
13,保密,64
14,长信,63
15,北京,59
16,畅中,57
17,梧桐树,50
18,智能,50
19,武汉,49
20,工程,48
21,长沙市,42
22,凡卓,40
23,应急,39
24,荆州,36
25,武汉市,33
26,信托,33
27,三级,32
28,天弘,31
29,光纤,31
30,终端,31
31,卫星,30
32,黄山,30
33,制造,29
34,数据,28
35,银行,28
36,头,28
37,建业,27
38,公安县,27
39,光缆,27
40,软件,27
41,网络,27
42,光电,27
43,材料,24
44,大地,23
45,信合,22
46,民用,22
47,信息技术,21
48,江机民科,21
49,湖北省,21
50,信息安全,21
51,建设,21
52,长安,21
53,天运,20
54,湖南,20
55,网站,20
56,信号,20
57,电缆,20
58,盛,20
59,年期,20
60,朱弟,19
61,侦测,19
62,军用,19
63,数据链,19
64,服务业,19
65,卓凡,18
66,新一卓,18
67,斯耐浦,18
68,终端产品,18
69,酒业,18
70,扶贫,18
71,雄,17
72,可回收,17
73,比兴,15
74,云南,15
75,信息化,14
76,公安,14
77,教育,14
78,高新技术,14
79,建造,14
80,端,13
81,环节,13
82,集成,13
83,选取,13
84,广泛应用,13
85,电子,13
86,计算机,13
87,房购,12
88,德雅,12
89,华兴,12
90,军工,12
91,环境,12
92,卫星通信,12
93,互联网,12
94,技术转让,12
95,云信,12
96,智兴,12
97,商务,12
98,零零,12
99,装备,11
100,电子商务,11
101,光,11
102,存储,11
103,文化,11
104,医疗,11
105,英迈,11
106,瑞孚,11
107,中联,11
108,创投,11
109,生物,11
110,所得税法,11
111,犹他,11
112,融军,10
113,军民,10
114,通信产业,10
115,运营商,10
116,可控,10
117,塑料,10
118,软硬件,10
119,策划,10
120,聚,10
121,产品设计,10
122,新凯,10
123,乐业,10
124,月经,10
125,张健,10
126,吉林,10
127,财务预算,10
128,土地,10
129,克,9
130,干线,9
131,国防,9
132,迎来,9
133,经营项目,9
134,技术咨询,9
135,第一个,9
136,坊,9
137,数为,9
138,注注,9
139,双林,9
140,保持稳定,9
141,平均值,9
142,科技推广,9
143,吉林市,8
144,积极参与,8
145,签订合同,8
146,无线,8
147,部署,8
148,电力,8
149,管材,8
150,宏图,8
151,电子产品,8
152,集成电路,8
153,咨询服务,8
154,软件技术,8
155,计算机软件,8
156,安防,8
157,解禁,8
158,浦发银行,8
159,梧之桐,8
160,杭州,7
161,越来越,7
162,组网,7
163,广阔,7
164,信息系统,7
165,一体化,7
166,救灾,7
167,硅管,7
168,加工成本,7
169,建筑,7
170,补偿款,7
171,海盛,7
172,顿,7
173,零售,7
174,软件开发,7
175,产业政策,7
176,摘要,7
177,刘莲春年,7
178,重庆,7
179,教育费,7
180,稳岗,7
181,往来款项,7
182,蓝金,6
183,金融信息,6
184,自然灾害,6
185,雀客,6
186,红外,6
187,检测,6
188,加密,6
189,一周,6
190,各国,6
191,态势,6
192,网,6
193,基础设施,6
194,政务,6
195,消费,6
196,阶段性,6
197,银承,6
198,钢构,6
199,传输,6
200,商品房,6
201,建筑材料,6
202,数据处理,6
203,工程施工,6
204,修订稿,6
205,审字,6
206,华大,6
207,博雅,6
208,电子设备,6
209,油气,6
210,舜源,6
211,率经,6
212,外汇,6
213,否凡卓,6
214,刘莲春,5
215,香港,5
216,天津,5
217,久,5
218,承接,5
219,深圳,5
220,成都,5
221,服务网络,5
222,无线通信,5
223,密钥,5
224,分发,5
225,端到,5
226,抗震救灾,5
227,消防,5
228,森林草原,5
229,防火,5
230,矿山,5
231,量产,5
232,对讲机,5
233,音箱,5
234,运输,5
235,致,5
236,公司债,5
237,计算机系统,5
238,蓝海,5
239,营销策划,5
240,子,5
241,通讯设备,5
242,本市,5
243,器材,5
244,装修,5
245,交流,5
246,清理,5
247,第二个,5
248,脱贫,5
249,绩效评价,5
250,至股,5
251,刘俊明,5
252,中南财经政法大学,5
253,朱俊霖,5
254,投票,5
255,凯乐债,5
256,博睿,5
257,民科,5
258,汇价,5
259,退,5
260,换取,5
261,免征,5
262,比本,5
263,解散,5
264,拟以,4
265,博,4
266,泰雅,4
267,灵琰,4
268,海汇润,4
269,网络科技,4
270,镇,4
271,申万,4
272,宏源证券,4
273,两种,4
274,调试,4
275,元器件,4
276,队伍,4
277,灵活,4
278,链路,4
279,场景,4
280,景气,4
281,军事,4
282,高度,4
283,电子政务,4
284,京沪,4
285,对接,4
286,高度重视,4
287,亿美元,4
288,国务院,4
289,研制,4
290,地面,4
291,灾害,4
292,不断扩大,4
293,卫星电话,4
294,宽带,4
295,时期,4
296,南拳,4
297,北腿,4
298,通信卫星,4
299,博士,4
300,生产成本,4
301,硅芯管,4
302,芯,4
303,成本增加,4
304,传统,4
305,工程师,4
306,芯片,4
307,工程项目,4
308,年薪,4
309,职工股,4
310,联网,4
311,物业管理,4
312,食品,4
313,展览,4
314,健康,4
315,军队,4
316,两用,4
317,畅,4
318,向名,4
319,贫困,4
320,中汇,4
321,以年,4
322,日为,4
323,顺延,4
324,股则,4
325,黄忠,4
326,顾问,4
327,管委会,4
328,信用证,4
329,中央银行,4
330,工商行政管理局,4
331,酒信,4
332,盛世,4
333,鑫海,4
334,合肥,4
335,桐天,4
336,苏州,4
337,付出,4
338,当日,4
339,建筑物,4
340,住房,4
341,保险,4
342,即征,4
343,无年,4
344,罚款,4
345,海湾,4
346,年省,4
347,巨人,4
348,重庆市,4
349,技,4
350,畅中否,4
351,等级,4
352,众享,3
353,联系人,3
354,联系方式,3
355,陈杰,3
356,洪山区,3
357,桂园,3
358,韩平,3
359,城关,3
360,专业化,3
361,制订,3
362,上游,3
363,以销定产,3
364,办事处,3
365,日益,3
366,紧张,3
367,看好,3
368,猛增,3
369,权威机构,3
370,复合,3
371,中专,3
372,光纤通信,3
373,长期投资,3
374,关键时期,3
375,武器装备,3
376,武器化,3
377,现代化,3
378,国防工业,3
379,伴随,3
380,计算技术,3
381,稳步增长,3
382,相继,3
383,出台,3
384,骨干,3
385,发射,3
386,并于,3
387,已有,3
388,日益完善,3
389,贯彻,3
390,党中央,3
391,防灾,3
392,减灾,3
393,调度,3
394,快速增长,3
395,发展前景,3
396,行业标准,3
397,接连,3
398,上天,3
399,航空航天,3
400,发展壮大,3
401,高速,3
402,推行,3
403,到户,3
404,提速,3
405,降费,3
406,工信部,3
407,发改委,3
408,行动计划,3
409,万亿,3
410,黄金,3
411,即将来临,3
412,前列,3
413,近年,3
414,规模化,3
415,北邮,3
416,中科院,3
417,组建,3
418,严苛,3
419,讲,3
420,微机,3
421,销售价格,3
422,数上,3
423,期数,3
424,广告宣传,3
425,业务费,3
426,材料费,3
427,检验费,3
428,工行,3
429,华融,3
430,生产费,3
431,简单,3
432,工业生产,3
433,室内外,3
434,合成,3
435,装饰,3
436,预,3
437,艺术交流,3
438,展示,3
439,许可证,3
440,方可,3
441,建材,3
442,接收,3
443,环保,3
444,电气,3
445,机械,3
446,钢结构,3
447,通信工程,3
448,确立,3
449,剥离,3
450,形态,3
451,经营风险,3
452,期以,3
453,可比,3
454,第八次,3
455,意见书,3
456,广西,3
457,立项,3
458,多方,3
459,创元,3
460,额外,3
461,排污,3
462,还本,3
463,户,3
464,阮煜明,3
465,否张,3
466,志军,3
467,和平,3
468,拥军,3
469,肖,3
470,赵小明,3
471,赵晓城,3
472,市场营销部,3
473,中共湖北省委,3
474,院长,3
475,赵曼,3
476,相关者,3
477,信用等级,3
478,倍数,3
479,银承及,3
480,来源于,3
481,保费,3
482,准备金,3
483,鄂,3
484,票面价值,3
485,化学,3
486,级次,3
487,京,3
488,创腾峰,3
489,郑州,3
490,萍乡市,3
491,阿尔法,3
492,金保,3
493,璟,3
494,翀,3
495,熙源,3
496,美地,3
497,同睿,3
498,山西,3
499,视拓,3
500,日以,3
501,中将,3
502,原子,3
503,表时,3
504,表中,3
505,长期负债,3
506,包装物,3
507,低值易耗品,3
508,开发成本,3
509,除净,3
510,两者之间,3
511,合同规定,3
512,续约,3
513,资源,3
514,保险费,3
515,税额,3
516,软件产品,3
517,湖南省,3
518,征收率,3
519,受限制,3
520,开福区,3
521,城,3
522,基准日,3
523,大楼,3
524,其他支出,3
525,江机民,3
526,科比,3
527,兴,3
528,赊销,3
529,恒通,3
530,首个,3
531,尚需,2
532,享石,2
533,天万丰,2
534,曾用名,2
535,畅中斯耐浦,2
536,外文,2
537,电子信箱,2
538,虎泉,2
539,街,2
540,网址,2
541,斗湖,2
542,堤,2
543,常熟路,2
544,代表人,2
545,第一季度,2
546,非金融,2
547,显失,2
548,一次性,2
549,侦听,2
550,灌装,2
551,电汇,2
552,交付给,2
553,此类,2
554,大幅度降低,2
555,资金投入,2
556,起到,2
557,如年,2
558,九个,2
559,元器,2
560,配件,2
561,采购部,2
562,主导,2
563,物料,2
564,定向,2
565,入库,2
566,月度,2
567,构织,2
568,遍布全国,2
569,愈合,2
570,简便,2
571,拓扑,2
572,抗干扰,2
573,集群,2
574,便捷,2
575,很多,2
576,有线,2
577,起步,2
578,较晚,2
579,我军,2
580,升级换代,2
581,军费,2
582,武合,2
583,宁苏,2
584,首颗,2
585,科学实验,2
586,墨子,2
587,地面站,2
588,奥地利,2
589,洲际,2
590,新思界,2
591,可行性研究,2
592,面向,2
593,尺度,2
594,恶劣,2
595,轻便型,2
596,实时,2
597,交互,2
598,指挥,2
599,积极开展,2
600,科研单位,2
601,反恐,2
602,唯一,2
603,专业人才,2
604,产品升级,2
605,迭代,2
606,技术创新,2
607,体现,2
608,射频,2
609,生产能力,2
610,市场营销,2
611,择业,2
612,产品成本,2
613,清华大学,2
614,创为,2
615,国防科,2
616,完备,2
617,军品,2
618,陆续,2
619,军种,2
620,多款,2
621,试用,2
622,投标,2
623,去年同期,2
624,致力于,2
625,四证,2
626,公里,2
627,科工,2
628,装卸,2
629,促销,2
630,低耗,2
631,品,2
632,燃料,2
633,动力,2
634,设计费,2
635,专利技术,2
636,核心技术,2
637,以上学历,2
638,护套,2
639,各大,2
640,带到,2
641,公安消防,2
642,交通,2
643,海关,2
644,安全策略,2
645,数据通信,2
646,安全性,2
647,不易,2
648,破解,2
649,快捷,2
650,经典,2
651,无缝,2
652,操作系统,2
653,长,2
654,抓住,2
655,及物,2
656,土工,2
657,施工,2
658,物业,2
659,化工,2
660,文化传媒,2
661,广告设计,2
662,企业形象,2
663,酒类,2
664,凯乐华,2
665,经纪,2
666,商业活动,2
667,三类,2
668,医疗器械,2
669,机械设备,2
670,行政许可,2
671,应用软件,2
672,动画设计,2
673,承办,2
674,不得公开,2
675,证券类,2
676,衍生品,2
677,技术推广,2
678,钢材,2
679,工,2
680,网络设备,2
681,数据中心,2
682,科技领域,2
683,防范,2
684,转化,2
685,技术培训,2
686,人脸识别,2
687,自营,2
688,负,2
689,盈利模式,2
690,资不抵债,2
691,不佳,2
692,熟悉,2
693,广电,2
694,三大,2
695,中国移动,2
696,产业结构,2
697,感知,2
698,每一,2
699,物品,2
700,产业布局,2
701,加剧,2
702,负面影响,2
703,规避,2
704,传递,2
705,多样化,2
706,技术实力,2
707,一支,2
708,难度,2
709,信息产业,2
710,运转,2
711,科学合理,2
712,人力资源,2
713,收购人,2
714,售与,2
715,陈立平,2
716,斯耐浦年,2
717,对斯耐浦,2
718,中年,2
719,谨慎,2
720,调整法,2
721,解聘,2
722,对此,2
723,正信,2
724,第十次,2
725,验资,2
726,验字,2
727,基层,2
728,专家组,2
729,竣工,2
730,较长,2
731,度,2
732,超出,2
733,联创,2
734,投向,2
735,补足,2
736,内分次,2
737,无需,2
738,尚欠,2
739,资助金,2
740,公益事业,2
741,贫困户,2
742,定点,2
743,贫困学生,2
744,残疾人,2
745,捐助,2
746,历次,2
747,外资股,2
748,石天,2
749,陈清,2
750,金娅,2
751,财通,2
752,广东,2
753,粤财,2
754,菁英,2
755,金锐,2
756,金锐定,2
757,增期,2
758,私募,2
759,第三十一次,2
760,如遇,2
761,节假日,2
762,休息日,2
763,其后,2
764,第个,2
765,工作日,2
766,另计,2
767,江海,2
768,中银,2
769,中行,2
770,中国银行,2
771,李葛卫,2
772,中国农业银行,2
773,中证,2
774,开放式,2
775,指数,2
776,四十八个,2
777,内其,2
778,如有注,2
779,凯乐塑,2
780,管厂,2
781,自主经营,2
782,邹祖学,2
783,兵,2
784,圣竣,2
785,否年,2
786,胡振红,2
787,邹勇,2
788,大全,2
789,永光,2
790,剑锋,2
791,人大代表,2
792,龙旗,2
793,王政,2
794,周新林,2
795,杨克华,2
796,杨宏林,2
797,科长,2
798,副厂长,2
799,许平,2
800,职,2
801,副教授,2
802,博士生,2
803,导师,2
804,学术,2
805,学会,2
806,常务理事,2
807,社会保险,2
808,企管,2
809,毛传金,2
810,副科长,2
811,张奋勤,2
812,罗飞,2
813,张样,2
814,王纪,2
815,常务,2
816,张,2
817,刘炎发,2
818,参谋,2
819,樊志良,2
820,隗凯,2
821,实施办法,2
822,专业技能,2
823,提案,2
824,见证,2
825,订立,2
826,忠实,2
827,雄否,2
828,同日,2
829,银德,2
830,为凯乐,2
831,核对,2
832,单据,2
833,模型,2
834,拆出,2
835,金融机构,2
836,为元股,2
837,危险品,2
838,业经,2
839,电子科技,2
840,萍乡,2
841,华芯,2
842,斯耐普,2
843,公历,2
844,日止,2
845,购入,2
846,按原,2
847,内因,2
848,很小,2
849,在短期内,2
850,以摊,2
851,减计,2
852,领用,2
853,受让方,2
854,逐项,2
855,指为,2
856,机器设备,2
857,试运行,2
858,结果表明,2
859,每期,2
860,医疗保险,2
861,生育,2
862,工伤保险,2
863,工会,2
864,教育经费,2
865,养老保险,2
866,裁减,2
867,退休,2
868,最新,2
869,维修,2
870,工作量,2
871,凭证,2
872,时冲减,2
873,款额,2
874,余值,2
875,推开,2
876,改征,2
877,纳税人,2
878,资源税,2
879,畅中于,2
880,软件产业,2
881,减半,2
882,省,2
883,办公厅,2
884,政办发,2
885,票,2
886,雨花区,2
887,消耗性,2
888,含有,2
889,预交,2
890,幼儿园,2
891,徐春英,2
892,经营权,2
893,益,2
894,聚和斯耐浦,2
895,均匀,2
896,股票市场,2
897,房款,2
898,中原,2
899,更新改造,2
900,创新奖,2
901,服务局,2
902,大学生,2
903,见习,2
904,财政补贴,2
905,燃煤,2
906,锅炉,2
907,高新,2
908,高新区,2
909,大会,2
910,管理局,2
911,新文化,2
912,创意,2
913,产业园,2
914,莘庄镇,2
915,第六批,2
916,第七批,2
917,吉林省,2
918,财产权,2
919,交接,2
920,清算组,2
921,郑州市,2
922,天津市,2
923,太原市,2
924,合肥市,2
925,苏州市,2
926,制造业,2
927,审阅,2
928,控制系统,2
929,使本,2
930,营运,2
931,九缘,2
932,朱惠玲,2
933,丁贵鹏,2
934,张兰,2
935,天数,2
936,收购价格,2
937,所示,2
938,止自,2
939,为级,2
940,业绩考核,2
941,承购,2
942,股占本,2
943,正本,2
944,一本,1
945,三中,1
946,张健及,1
947,主管人员,1
948,五经,1
949,第三十九,1
950,否八,1
951,违反规定,1
952,否九,1
953,文义,1
954,另有所指,1
955,含义,1
956,常用,1
957,凡卓指,1
958,一卓新,1
959,一卓,1
960,指蓝金,1
961,石天众,1
962,指众,1
963,房子,1
964,合江,1
965,机民科,1
966,中文名称,1
967,中文,1
968,缩写,1
969,人二,1
970,联系地址,1
971,电话传真,1
972,楼室,1
973,字楼,1
974,室,1
975,选定,1
976,媒体,1
977,登载,1
978,证券部,1
979,西城区,1
980,车公庄,1
981,大街,1
982,五栋,1
983,楼层,1
984,张敬,1
