,分词排序,词频
0,景谷,91
1,景谷林业,79
2,云南,65
3,林地,63
4,小康,61
5,周大福,56
6,扶贫,52
7,信息,51
8,林业,50
9,林木,43
10,生物,41
11,重庆,31
12,林化,28
13,北京,25
14,环保,25
15,车间,25
16,木材,22
17,农户,22
18,土地,21
19,要约,21
20,森达,20
21,脱贫,20
22,木业,19
23,人造板,19
24,工程,19
25,造林,18
26,春林,17
27,建设,17
28,环境,17
29,贫困户,17
30,景谷傣族彝族自治县,16
31,云南省,16
32,林板,16
33,银行,16
34,澜峰,15
35,松香,14
36,模板,14
37,江城,14
38,资源,13
39,采伐,13
40,亩,13
41,科技,13
42,高产,13
43,脂,13
44,能源,13
45,群众,13
46,昆明市,12
47,户,12
48,永恒,11
49,数据,11
50,三是,11
51,纤维板,11
52,建档立卡,11
53,思茅松,11
54,部门规章,11
55,许强,10
56,网站,10
57,种植,10
58,铝,10
59,天然林,10
60,县,10
61,茂源,10
62,挂包,10
63,邵琳,9
64,森力,9
65,林威林化,9
66,杭州,9
67,营林,9
68,板,9
69,普洱,9
70,脱贫致富,9
71,活立木,9
72,黄,9
73,消耗性,9
74,程霄,8
75,磁晅沛曈,8
76,国有资产,8
77,上海,8
78,森林资源,8
79,林下,8
80,四是,8
81,生态,8
82,农民,8
83,中密度,8
84,附着物,8
85,工业,8
86,合作经营,8
87,桉树,8
88,附属,8
89,稳,8
90,浙江,8
91,房地产,8
92,永中,7
93,林之海,7
94,投融资,7
95,制造,7
96,细木工板,7
97,航天,7
98,管护,7
99,带动,7
100,森林,7
101,地上,7
102,原料林,7
103,成效,7
104,许可证,7
105,夯实,7
106,中院,7
107,受过,7
108,惩戒,7
109,人程霄,7
110,炭业,6
111,松节油,6
112,农村,6
113,增长点,6
114,打包,6
115,五是,6
116,松脂,6
117,县委,6
118,村,6
119,直销,6
120,详情,6
121,和解,6
122,劳动力,6
123,致贫,6
124,油气,6
125,吊销,6
126,胶合板,5
127,就业,5
128,总价,5
129,机器设备,5
130,综合利用,5
131,口碑,5
132,林产,5
133,制胶,5
134,绿色,5
135,挑战,5
136,带领,5
137,攻坚,5
138,威远,5
139,该村,5
140,款年,5
141,板材,5
142,集体,5
143,养殖,5
144,六是,5
145,给春林,5
146,舟山,5
147,动态,5
148,义务人,5
149,混合,5
150,协议书,5
