,分词排序,词频
0,中央,312
1,南京,183
2,雨润,134
3,百货,127
4,徐州,116
5,商场,98
6,房地产,94
7,零售,89
8,南京市,80
9,江苏,62
10,购物广场,57
11,百货大楼,48
12,广场,47
13,信息,46
14,物业,35
15,济宁,34
16,淄博,31
17,房产,29
18,徐州市,27
19,地产,25
20,白云,25
21,工程,24
22,土地,24
23,店,23
24,超市,23
25,济宁市,23
26,淮安,22
27,句容,21
28,新亚,21
29,盱眙,20
30,秦淮区,19
31,业态,19
32,泗阳,19
33,物业管理,19
34,中商,18
35,商,18
36,沭阳,17
37,百大,16
38,吴晓国,15
39,数据,14
40,安徽,14
41,建设,14
42,苏州,14
43,中商置,14
44,地华,14
45,消费,13
46,大楼,13
47,蓝天,13
48,徐,13
49,宿迁,12
50,银行,12
51,秦执异,12
52,宿迁市,12
53,财,11
54,招商,11
55,海安,11
56,开发成本,11
57,长江,11
58,华实业,11
59,拆迁,11
60,鑫,10
61,优隆,10
62,陈飞,9
63,新开,9
64,湖北,9
65,铜陵,9
66,新沂,9
67,昇,9
68,是因为,9
69,成本增加,8
70,新地产,8
71,星雨,8
72,华府,8
73,商住,8
74,便利店,8
75,轻,8
76,资源,8
77,奥莱,8
78,裁定书,8
79,复议,8
80,肉类,8
81,金福,8
82,建筑物,8
83,第一名,8
84,无需,8
85,淮安市,8
86,任城区,8
87,祝义,7
88,网站,7
89,大信,7
90,新街口,7
91,连云港,7
92,电子商务,7
93,餐饮,7
94,金城,7
95,高级人民法院,7
96,拍卖,7
97,购物,7
98,不服,7
99,经营场所,7
100,生物,7
101,第二名,7
102,第三名,7
103,第四名,7
104,第五名,7
105,句容市,7
106,合作社,7
107,上海,6
108,综合体,6
109,寻求,6
110,扬中,6
111,百货商场,6
112,营运,6
113,猩猩,6
114,线下,6
115,稳步,6
116,环境,6
117,参照,6
118,搬迁,6
119,面积,6
120,仓储,6
121,镇江,6
122,挖掘,6
123,改制,6
124,食品,6
125,中国农业银行,6
126,信托,6
127,金鹰,6
128,建造,6
129,路,5
130,商业地产,5
131,连锁,5
132,中心店,5
133,商圈,5
134,开业,5
135,竣工,5
136,定位,5
137,促销,5
138,松多,5
139,文化,5
140,消费品,5
141,快,5
142,便利,5
143,活力,5
144,零售额,5
145,场地,5
146,潜力,5
147,调解,5
148,同类,5
149,遗留问题,5
150,诉讼费,5
151,再审,5
152,异议,5
153,上诉,5
154,人祝义,5
155,相关者,5
156,新生,5
157,稳定期,5
158,刘宇袖,4
159,建邺区,4
160,四新,4
161,营,4
162,商业街,4
163,洛阳,4
164,购物中心,4
165,自营,4
166,二三期,4
167,门,4
168,上线,4
169,尚润,4
170,抓,4
171,去化,4
172,推行,4
173,量化,4
174,建筑面积,4
175,企划,4
176,徐百,4
177,撤场,4
178,合同规定,4
179,补足,4
180,补偿款,4
181,判决书,4
182,协议书,4
183,别克,4
184,商务车,4
185,秦,4
186,执异,4
187,秦淮,4
188,调解书,4
189,代,4
190,救济,4
191,环球,4
192,瑞华,4
193,商厦,4
194,排污,4
195,李心合,4
196,苏峻,4
197,沈晔,4
198,滕洁,4
199,常务,4
200,彭纪生,4
201,陈,4
202,酒店,4
203,南京大学,4
204,工会,4
205,预售,4
206,北京,4
207,公共,4
208,结果表明,4
209,油气,4
210,保险费,4
211,清理,4
212,途,4
213,缩减,4
214,盛德,4
215,镇江市,4
216,服务业,4
217,润地,4
218,否年,3
219,中山南路,3
220,室,3
221,停工,3
222,住宅,3
223,河南,3
224,大冶,3
225,代销,3
226,经营方式,3
227,条线,3
228,投资总额,3
229,开设,3
230,撒娇,3
231,软件,3
232,助力,3
233,牌照,3
234,老字号,3
235,传统,3
236,线上,3
237,落地,3
238,梳理,3
239,原创,3
240,轮,3
241,云妆,3
242,投研,3
243,出表,3
244,折旧费,3
245,交房,3
246,装修,3
247,孕婴童,3
248,用品,3
249,科技,3
250,存量,3
251,低线,3
252,流量,3
253,道路,3
254,转化,3
255,国有土地,3
256,大为,3
257,连带保证,3
258,追偿,3
259,美容,3
260,终审判决,3
261,强制执行,3
262,审查,3
263,途径,3
264,农产品,3
265,如皋,3
266,滁州,3
267,街号,3
268,列入,3
269,男女,3
270,卓石平,3
271,刘梦婕,3
272,王胜玲,3
273,涵月楼,3
274,新百,3
275,百货商店,3
276,商学院,3
277,工资制,3
278,明确规定,3
279,通讯,3
280,定向,3
281,法人股,3
282,公众股,3
283,材料,3
284,快佳惠,3
285,赢,3
286,撒蕉,3
287,奥优,3
288,期后,3
289,计算方法,3
290,支票,3
291,低值易耗品,3
292,现行,3
293,专用设备,3
294,金润发,3
295,对此,3
296,利润率,3
297,连云港市,3
298,金融机构,3
299,授信额度,3
300,包装材料,3
301,淮东,3
302,工行,3
303,华融,3
304,安庆,3
305,三四,2
306,外文,2
307,人二,2
308,电子信箱,2
309,网址,2
310,证券部,2
311,梅林,2
312,借助,2
313,资本运作,2
314,同行,2
315,筹备,2
316,河西,2
317,山东,2
318,经销,2
319,扣率,2
320,思路,2
321,难度,2
322,组建,2
323,开工,2
324,亿亿亿,2
325,店家,2
326,顾客,2
327,私募,2
328,位置,2
329,地理位置,2
330,优越,2
331,龙头企业,2
332,标杆,2
333,大力发展,2
334,态势,2
335,实物,2
336,体现,2
337,紧紧围绕,2
338,调改,2
339,单店,2
340,思维,2
341,调控,2
342,按揭,2
343,难题,2
344,事前,2
345,保,2
346,强势,2
347,罗森,2
348,已有,2
349,店铺,2
350,商业模式,2
351,值得,2
352,上下游,2
353,夯实,2
354,协管,2
355,并举,2
356,全员,2
357,考核办法,2
358,梯队,2
359,变动率,2
360,二非,2
361,售房,2
362,零星,2
363,平米,2
364,以元,2
365,快佳,2
366,减税,2
367,降费,2
368,短期内,2
369,消费者,2
370,渗透,2
371,龙头,2
372,零售商,2
373,入口,2
374,经营机制,2
375,积极探索,2
376,走,2
377,输出,2
378,管理模式,2
379,风险投资,2
380,合作伙伴,2
381,由重,2
382,激发,2
383,贡献,2
384,关停并转,2
385,扩充,2
386,寻找,2
387,变革,2
388,激活,2
389,要约,2
390,收购人,2
391,解聘,2
392,中建,2
393,三局,2
394,银行贷款,2
395,淮海,2
396,他项权证,2
397,巴巴多斯,2
398,鼓楼区,2
399,停业,2
400,最低工资,2
401,上浮,2
402,履行合同,2
403,可用,2
404,宁民终,2
405,延期付款,2
406,接收,2
407,鉴定,2
408,列,2
409,价元,2
410,社会保险,2
411,二审,2
412,苏审二民,2
413,申字,2
414,民事裁定,2
415,书,2
416,无效,2
417,一辆,2
418,交至,2
419,车辆,2
420,主持,2
421,和解,2
422,秦商,2
423,初字,2
424,执行款,2
425,已依,2
426,被执行人,2
427,宁执复,2
428,发回,2
429,终审,2
430,原审,2
431,告知,2
432,不当,2
433,日该,2
434,大同,2
435,地下,2
436,一层,2
437,地上,2
438,一至,2
439,七层,2
440,及楼,2
441,塔楼,2
442,万平方米,2
443,状况不佳,2
444,两家,2
445,互保,2
446,资不抵债,2
447,尊重,2
448,社会公众,2
449,健康,2
450,环保,2
451,担保人,2
452,职工股,2
453,中信证券,2
454,成少明,2
455,中证,2
456,开放式,2
457,指数,2
458,许,2
459,昊天,2
460,吴娟玲,2
461,陈美蓉,2
462,倪昊,2
463,国内贸易,2
464,纳米技术,2
465,建筑材料,2
466,首席,2
467,执行官,2
468,王锦秋,2
469,胡伟金福,2
470,中意,2
471,合资,2
472,北京工商大学,2
473,系主任,2
474,职工代表,2
475,纺织,2
476,分析师,2
477,旅游,2
478,相符,2
479,教育,2
480,讲授,2
481,公司法人,2
482,平等,2
483,召集,2
484,自觉,2
485,人员构成,2
486,计划书,2
487,计发,2
488,薪金,2
489,同日,2
490,请参阅,2
491,权证,2
492,支持性,2
493,周边,2
494,七一年,2
495,七非,2
496,七年,2
497,月经,2
498,文,2
499,配股,2
500,增至,2
501,发红,2
502,股股,2
503,装饰,2
504,方以,2
505,母子公司,2
506,下以,2
507,当有,2
508,反弹,2
509,维修,2
510,包装物,2
511,在内,2
512,其余部分,2
513,通用设备,2
514,运输设备,2
515,试运行,2
516,每一,2
517,来源于,2
518,医疗保险,2
519,工伤保险,2
520,生育,2
521,住房,2
522,教育经费,2
523,票,2
524,原子,2
525,花园,2
526,商业银行,2
527,用房,2
528,附属,2
529,中京,2
530,民信,2
531,以京信,2
532,评报,2
533,为元本,2
534,工程项目,2
535,可回收,2
536,及经,2
537,年期,2
538,财务预算,2
539,基本一致,2
540,历年,2
541,往后,2
542,缓慢,2
543,积分,2
544,自用,2
545,层面,2
546,教育费,2
547,代扣代缴,2
548,代收,2
549,代付款,2
550,安置费,2
551,成交,2
552,邮电通讯,2
553,其他费用,2
554,洛阳市,2
555,泰州市,2
556,苏州市,2
557,大冶市,2
558,淄博市,2
559,铜陵市,2
560,南通市,2
561,合肥市,2
562,游乐,2
563,不致,2
564,桐城市,2
565,福润,2
566,标的额,2
567,案由,2
568,农村信用,2
569,分社,2
570,结欠,2
571,办事处,2
572,于本,2
573,二十日,2
574,内向,2
575,河南省,2
576,国兴,2
577,轮候,2
578,一本,1
579,三大信,1
580,金福及,1
