,分词排序,词频
0,亿阳信通,139
1,亿阳,99
2,北京,93
3,信息,54
4,科技,49
5,数据,37
6,上海,34
7,交通,30
8,网络,30
9,工程,26
10,人工智能,25
11,智能,25
12,软件,23
13,信息技术,22
14,智通,20
15,通信,18
16,智慧,17
17,王龙声,14
18,网站,14
19,建设,14
20,亿阳汇,14
21,医疗,12
22,微,12
23,软件开发,12
24,深圳,12
25,恒通,12
26,安联,12
27,款年,12
28,财政拨款,12
29,计算机,11
30,邓伟,11
31,电信,10
32,下一代,10
33,高速公路,10
34,清欠,10
35,高新技术,9
36,环境,9
37,涉诉,9
38,银行,9
39,对此,9
40,通讯,9
41,联网,8
42,尽快,8
43,自动化,8
44,智能化,8
45,广州,8
46,西安,8
47,涉嫌,8
48,唯家佳,8
49,刘蓓,7
50,哈尔滨市,7
51,传统,7
52,云化,7
53,信息安全,7
54,学会,7
55,软硬件,7
56,人曲飞,7
57,新疆,7
58,天津,7
59,信通,6
60,方圆,6
61,信息化,6
62,数字化,6
63,面向,6
64,产品线,6
65,产品开发,6
66,运维,6
67,医院,6
68,网管,6
69,编排,6
70,合作伙伴,6
71,电子商务,6
72,集成,6
73,立项,6
74,笔,6
75,中本,6
76,武汉,6
77,开发软件,6
78,互联,6
79,房产,6
80,生物,6
81,嵌入,6
82,保险费,6
83,健康,5
84,曲飞,5
85,此类,5
86,路,5
87,致同,5
88,增长点,5
89,尽力,5
90,落地,5
91,户,5
92,投标,5
93,信息系统,5
94,资源,5
95,引发,5
96,商用,5
97,骨干,5
98,环保,5
99,北邮,5
100,李鹏,5
101,周春楠,5
102,北京邮电大学,5
103,易联达,5
104,商务,5
105,沈阳,5
106,中山,5
107,核对,5
108,油气,5
109,材料,5
110,未决,5
111,集成电路,5
112,预缴,5
113,普天,5
114,戴,4
115,建平,4
116,已有,4
117,债务纠纷,4
118,海淀区,4
119,运营商,4
120,对以,4
121,成熟,4
122,奠定,4
123,上线,4
124,故障,4
125,著作权,4
126,阶段性,4
127,影像,4
128,在内,4
129,硬件,4
130,中有,4
131,已决,4
132,拍卖,4
133,工业,4
134,万物,4
135,感知,4
136,攻防,4
137,供货商,4
138,铺垫,4
139,贷,4
140,诉亿阳,4
141,露,4
142,北京华,4
143,睿,4
144,创业投资,4
145,哈尔滨,4
146,排污,4
147,方略,4
148,放射,4
149,孙,4
150,天龙,4
151,房地产,4
152,中央银行,4
153,黑龙江省,4
154,山东,4
155,客户关系,4
156,集体,4
157,退休,4
158,款额,4
159,余值,4
160,荣成,4
161,对手,4
162,使本,4
163,查阅,3
164,法律手段,3
165,杏石口,3
166,座,3
167,承建,3
168,裁减,3
169,部署,3
170,数据安全,3
171,连接,3
172,互联网,3
173,大会,3
174,案例,3
175,奖,3
176,挖掘,3
177,广东,3
178,框架,3
179,延伸,3
180,中国联通,3
181,联通,3
182,中国移动,3
183,联创,3
184,系统集成,3
185,在技术上,3
186,有用,3
187,可行性研究,3
188,法律文书,3
189,终审判决,3
190,需承担,3
191,担保责任,3
192,有起,3
193,赔偿金,3
194,工贸,3
195,案号,3
196,陆续,3
197,技术转让,3
198,计算机软件,3
199,咨询服务,3
200,电子产品,3
201,终端,3
202,网络安全,3
203,汽车,3
204,近期,3
205,系统工程,3
206,展开,3
207,恢复正常,3
208,正轨,3
209,并未,3
210,报及,3
211,合肥市公安局,3
212,交通警察,3
213,支队,3
214,核定,3
215,机电,3
216,技术咨询,3
217,宋俊德,3
218,碧玉,3
219,杨放春,3
220,陈晋蓉,3
221,曹星,3
222,服务业,3
223,潘阳发,3
224,安徽,3
225,光电,3
226,计算机技术,3
227,教育,3
228,询证,3
229,中介机构,3
230,保费,3
231,准备金,3
232,文,3
233,须用,3
234,可用,3
235,混合,3
236,一组,3
237,该组,3
238,当本,3
239,该种,3
