,分词排序,词频
0,西水股份,199
1,天安,197
2,准备金,167
3,保险,164
4,财险,138
5,保费,125
6,信息,81
7,房地产,75
8,上海,70
9,赔款,68
10,内蒙古,64
11,北京,60
12,险,57
13,西,47
14,水,47
15,未决,46
16,保险业务,45
17,定期存款,44
18,财产保险,43
19,创业,41
20,乌海市,41
21,建设,40
22,包头市,38
23,兴业银行,38
24,深圳,36
25,工程,36
26,数据,33
27,扶贫,33
28,理赔,30
29,岩华,29
30,车险,28
31,郭予,24
32,包头,24
33,银行,24
34,承保,23
35,农业,22
36,保险公司,21
37,山东,21
38,上表,21
39,险种,19
40,保户,19
41,换届选举,19
42,不动产,18
43,信托,18
44,丰,17
45,裕,17
46,昌盛,17
47,责任险,17
48,意外,17
49,环境,17
50,储金,17
51,科技,17
52,农行,17
53,房产,16
54,佰盈,16
55,收益权,16
56,边际,16
57,网站,14
58,天津,14
59,一年期,14
60,宏伟,13
61,健康险,13
62,田鑫,13
63,建筑物,13
64,中汇,12
65,机动车辆,12
66,分出,12
67,精算,12
68,模型,12
69,充足,12
70,创豪,11
71,大灾,11
72,绵世方达,11
73,土地,11
74,吴振平,11
75,寿险,11
76,回,11
77,赚,10
78,赔付率,10
79,健康,10
80,防范,10
81,三家,10
82,新天地,10
83,人及,10
84,伤害,10
85,杜业勤,10
86,次级,10
87,报案,10
88,地产,10
89,信泰,10
90,金融城,10
91,银信,10
92,卢晓霞,9
93,偿付能力,9
94,摊回,9
95,再保险,9
96,匹配,9
97,高质量,9
98,配置,9
99,武汉,9
100,金融风险,9
101,互联网,9
102,度量衡,9
103,城建,9
104,平安,9
105,营业部,9
106,南京,9
107,库,9
108,幢,8
109,保险资金,8
110,船舶,8
111,专业化,8
112,家财险,8
113,事故,8
114,职场,8
115,监测,8
116,机器设备,8
117,环保,8
118,多媒体技术,8
119,苗文,8
120,水泥,8
121,表现,8
122,摘要,8
123,第三层,8
124,杭州,8
125,可比,8
126,系指,8
127,五年期,8
128,海河,8
129,支,8
130,稳岗,8
131,坏帐,8
132,奥凯,7
133,保险行业,7
134,环球,7
135,贸易中心,7
136,分散,7
137,操作,7
138,声誉,7
139,解读,7
140,江西,7
141,脱贫,7
142,投融资,7
143,德莱,7
144,李少华,7
145,吴丽娟,7
146,马俊峰,7
147,王红英,7
148,中将,7
149,企,7
150,第三者,7
151,货物运输,7
152,险交,7
153,强险,7
154,重庆,7
155,青秀,7
156,万达,7
157,广场,7
158,金融中心,7
159,首汽,7
160,元系,7
161,前海金,6
162,海国,6
163,亚,6
164,前海恒锦宇盛,6
165,苏,6
166,一次性,6
167,非机动车,6
168,辆,6
169,产险,6
170,保,6
171,网络,6
172,场外,6
173,第八次,6
174,足额,6
175,银炬,6
176,助学,6
177,明天科技,6
178,华资,6
179,潍坊,6
180,正源,6
181,意见书,6
182,还本,6
183,追偿,6
184,减摊,6
185,材料,6
186,物业,6
187,建行,6
188,广西南宁,6
189,栋层,6
190,海宁,6
191,桥路层,6
192,中年,6
193,德,6
194,经世,5
195,中国银行,5
196,多元化,5
197,传统,5
198,稳中求进,5
199,财产险,5
200,客户服务,5
201,体验,5
202,防控,5
203,河南省,5
204,款净,5
205,定位,5
206,资源,5
207,负面,5
208,肖卫华,5
209,德景,5
210,提案,5
211,爱心,5
212,排污,5
213,限售期,5
214,财富,5
215,政,5
216,西卓子,5
217,山,5
218,住房,5
219,广州,5
220,青岛,5
221,参照,5
222,投票,5
223,三十,5
224,二十四,5
225,三十三,5
226,三十一,5
227,代位,5
228,金融机构,5
229,交易市场,5
230,自用,5
231,运输工具,5
232,保险费,5
233,保险人,5
234,概率,5
235,首日,5
236,英镑,5
237,河南,5
238,鲁正信,5
239,评报,5
240,张江,5
241,小计续,5
242,数第页,5
243,车船税,5
244,数为,5
245,本节,5
246,所列,5
247,索赔,5
248,金奥凯,4
249,积极开展,4
250,私募,4
251,煤炭,4
252,保险业,4
253,保险产品,4
254,强力,4
255,快,4
256,呈现,4
257,交房,4
258,赔,4
259,全力,4
260,到位,4
261,动态,4
262,意外险,4
263,投资人,4
264,此类,4
265,装修,4
266,竣工,4
267,付,4
268,抵押金,4
269,未上市,4
270,十九,4
271,三大,4
272,资金运用,4
273,联动,4
274,前置,4
275,贡献,4
276,意识,4
277,再保,4
278,收集,4
279,对手,4
280,公正,4
281,扣缴,4
282,贵州,4
283,教育,4
284,月经,4
285,策划,4
286,北普,4
287,草原,4
288,红英,4
289,赵晓光,4
290,达军,4
291,执法,4
292,主任委员,4
293,选用,4
294,召集,4
295,事后,4
296,问询,4
297,定向,4
298,次级债,4
299,信托投资,4
300,赔案,4
301,存出,4
302,退保,4
303,发起,4
304,参与者,4
305,三十五,4
306,当本,4
307,投出,4
308,移除,4
309,以换,4
310,建造,4
311,毁损,4
312,使用费,4
313,原币,4
314,日元,4
315,五六十,4
316,企业债券,4
317,南昌,4
318,后该,4
319,丽都,4
320,上海浦东,4
321,三年期,4
322,国策,4
323,计算机软件,4
324,股票证券,4
325,注本,4
326,办公用房,4
327,将重,4
328,辽宁省,4
329,房租,4
330,新建,4
331,浦东新区,4
332,一本,3
333,保监会,3
334,达国亚,3
335,恒锦宇盛,3
336,监督管理,3
337,联系人,3
338,联系方式,3
339,海勃湾,3
340,世景苑,3
341,西号,3
342,证券部,3
343,室,3
344,自然灾害,3
345,显失,3
346,充足率,3
347,家庭,3
348,货运,3
349,速度,3
350,三是,3
351,基调,3
352,满期,3
353,滞后,3
354,房款,3
355,新兴,3
356,高速,3
357,体现,3
358,优于,3
359,亿股,3
360,净现金,3
361,共保,3
362,伯乐,3
363,灵,3
364,平均水平,3
365,化解,3
366,中介,3
367,非车,3
368,分支机构,3
369,端,3
370,增量,3
371,应急,3
372,整体而言,3
373,可控,3
374,公众,3
375,后本,3
376,签订协议,3
377,法定程序,3
378,三本,3
379,或本,3
380,一在,3
381,非法,3
382,表时,3
383,表述,3
384,很小,3
385,慈善,3
386,助,3
387,贫困,3
388,贫困学生,3
389,学生,3
390,荣获,3
391,湖北,3
392,建档立卡,3
393,医疗保险,3
394,攻坚,3
395,乌海,3
396,环境保护,3
397,户,3
398,长信,3
399,浦发银行,3
400,聚富,3
401,实创,3
402,李君,3
403,化工,3
404,叶志鸿,3
405,党组,3
406,张翮,3
407,戴富斌,3
408,杜业,3
409,付薪,3
410,素质,3
411,上以,3
412,专题,3
413,会议室,3
414,事务所律师,3
415,见证,3
416,通讯,3
417,第九次,3
418,候选人,3
419,展期,3
420,大公,3
421,中债,3
422,安全性,3
423,惯例,3
424,五十七,3
425,二十二,3
426,六合,3
427,编报,3
428,付出,3
429,值外,3
430,起个,3
431,二十五,3
432,二十七,3
433,订立,3
434,表中,3
435,下同,3
436,外汇,3
437,该组,3
438,期后,3
439,回升,3
440,该批,3
441,超出,3
442,组时,3
443,除净,3
444,不足以,3
445,赚取,3
446,同类,3
447,届满时,3
448,款额,3
449,抵债,3
450,二十三,3
451,工会,3
452,教育经费,3
453,分入,3
454,人摊,3
455,超额,3
456,种植业,3
457,养殖业,3
458,二十六,3
459,补助款,3
460,余值,3
461,情景,3
462,责任人,3
463,税额,3
464,教育费,3
465,故未,3
466,协信,3
467,世博,3
468,地块,3
469,创智,3
470,园,3
471,购房款,3
472,金融债券,3
473,成都,3
474,西拉,3
475,子,3
476,德阳,3
477,阿维斯,3
478,组与,3
479,日及,3
480,市净率,3
481,招商,3
482,车船,3
483,末期,3
484,期为,3
485,瑞福,3
486,锂业,3
487,江汉区,3
488,中牟县,3
489,支公司,3
490,上饶,3
491,法库,3
492,月数,3
493,伙注,3
494,大陆,3
495,奚星华,3
496,水险,3
497,第一层,3
498,第二层,3
499,需经,2
500,查阅,2
501,第十三,2
502,外文,2
503,电子信箱,2
504,网址,2
505,媒体,2
506,刘元锁,2
507,第一季度,2
508,第三季度,2
509,非金融,2
510,金及,2
511,最新,2
512,两大,2
513,四个,2
514,国民经济,2
515,中等,2
516,常态,2
517,差异化,2
518,新车,2
519,负增长,2
520,四是,2
521,回归,2
522,本源,2
523,系统性,2
524,因营,2
525,改增,2
526,巨灾,2
527,定期存单,2
528,客户资源,2
529,大中型,2
530,国有企业,2
531,资源配置,2
532,完备,2
533,领会,2
534,正确,2
535,深化,2
536,减损,2
