,分词排序,词频
0,潍坊,157
1,亚星,115
2,山东,85
3,化学,83
4,成泰,72
5,信息,64
6,化工,57
7,环保,48
8,水合肼,46
9,烧碱,34
10,乐星,33
11,银行,32
12,深圳,31
13,氯化,29
14,聚乙烯,27
15,工程,25
16,潍坊市,24
17,北京,23
18,装置,23
19,土地,22
20,发泡剂,21
21,环境,21
22,光耀,20
23,节能,20
24,材料,19
25,房地产,19
26,汇理,18
27,文斌,17
28,韩,16
29,海滨,16
30,排放,16
31,邓秀花,13
32,锅炉,13
33,废气,13
34,氮,13
35,星兴,13
36,盐酸,12
37,孙岩,12
38,赵琳琳,11
39,一橡塑,11
40,废水,11
41,应急,11
42,数据,10
43,液氯,10
44,主导产品,10
45,化工行业,10
46,搬迁,10
47,警示,10
48,拨款,10
49,寒亭区,9
50,耀通,9
51,按规定,9
52,脱硫,9
53,品汇,9
54,次氯酸钠,8
55,外汇,8
56,达标,8
57,酮,8
58,生成,8
59,候选人,8
60,污染,8
61,监测,8
62,流通股东,8
63,生物,8
64,物流,8
65,证监局,7
66,赛林,7
67,上海,7
68,开工率,7
69,氯气,7
70,运输,7
71,动力,7
72,离子,7
73,膜,7
74,罚款,7
75,责任人,7
76,在线,7
77,建设,7
78,燃烧,7
79,温德成,7
80,建筑物,7
81,精算,7
82,瑞华,6
83,蒸汽,6
84,德国,6
85,满负荷,6
86,电解槽,6
87,电子商务,6
88,鲁,6
89,时任,6
90,跃,6
91,第条,6
92,户,6
93,常务,6
94,海化,6
95,教育费,6
96,奎文区,5
97,氢气,5
98,规避,5
99,信用证,5
100,日趋,5
101,态势,5
102,应用领域,5
103,氯碱,5
104,自然,5
105,液氨,5
106,升高,5
107,成本增加,5
108,降低成本,5
109,牌号,5
110,电,5
111,潍环验,5
112,塔,5
113,检测,5
114,信托,5
115,张巍,5
116,青松,5
117,事务所律师,5
118,海关,5
119,油气,5
120,股权结构,5
121,机器设备,5
122,退休,5
123,亚,4
124,星湖,4
125,网站,4
126,差异化,4
127,塑料,4
128,工业,4
129,自用,4
130,合成,4
131,农药,4
132,开工,4
133,产销,4
134,青岛,4
135,年底,4
136,燃料,4
137,存入,4
138,石化,4
139,呈现,4
140,局面,4
141,氮法,4
142,生产工艺,4
143,洗涤器,4
144,中试,4
145,下同,4
146,询,4
147,比价,4
148,回落,4
149,污水,4
150,决定书,4
151,由本,4
152,优,4
153,精益,4
154,市场占有率,4
155,釜,4
156,营运,4
157,疑虑,4
158,粒料,4
159,健康,4
160,清理,4
161,强力,4
162,开庭审理,4
163,换届选举,4
164,记入,4
165,证券期货,4
166,档案,4
167,苏从,4
168,纪律处分,4
169,通报批评,4
170,向亚星,4
171,排污,4
172,烟气,4
173,热电,4
174,环境保护,4
175,环评,4
176,潍环审,4
177,鲁环验,4
178,寒环验,4
179,表字,4
180,希波,4
181,朱益林,4
182,丁敏,4
183,吴,4
184,部副,4
185,召集,4
186,香港,4
187,嘉耀,4
188,大宗,4
189,盐业,4
190,人文,4
191,斌,4
192,建造,4
193,保险费,4
194,保险,4
195,归类,4
196,估价,4
197,较长,4
198,帐龄,4
199,损失率,4
200,现实情况,4
201,无锡市,4
202,电线厂,4
203,手册,4
204,保全,4
205,诉讼费,4
206,备品备件,4
207,辅料,4
208,已有,3
209,石,3
210,李文青,3
211,北宫,3
212,东街,3
213,副产品,3
214,适合,3
215,改性,3
216,阻燃,3
217,造纸,3
218,中间体,3
219,停产,3
220,商务部,3
221,产品成本,3
222,注注,3
223,开具,3
224,定期存款,3
225,来看,3
226,不断加强,3
227,自动化,3
228,主,3
229,水解,3
230,浓缩,3
231,缩合,3
232,尿素,3
233,初步,3
234,通氯管,3
235,酸,3
236,干燥,3
237,电解,3
238,搭建,3
239,氧化铝,3
240,下行,3
241,厂家,3
242,环保局,3
243,污染物,3
244,氨氮,3
245,浓度,3
246,改正,3
247,上诉,3
248,光亚,3
249,新天,3
250,夯实,3
251,高附加值,3
252,危险源,3
253,杜绝,3
254,安稳,3
255,长满,3
256,一户,3
257,一策,3
258,细化,3
259,新兴,3
260,成长性,3
261,个性,3
262,定制,3
263,继续加强,3
264,金融机构,3
265,进口,3
266,起个,3
267,交易系统,3
268,法定期限,3
269,异议,3
270,欠,3
271,对亚星,3
272,环境影响,3
273,制品,3
274,工程项目,3
275,科技,3
276,当事人,3
277,意识,3
278,此类,3
279,每月,3
280,忠实,3
281,水,3
282,交易额,3
283,排污口,3
284,防治,3
285,设置,3
286,除尘,3
287,储罐,3
288,用房,3
289,曹,3
290,刘忠庆,3
291,卫东,3
292,山东海化集团,3
293,韩都,3
294,衣舍,3
295,贵州,3
296,无年,3
297,通讯,3
298,青年,3
299,公寓,3
300,交接,3
301,函证,3
302,选取,3
303,样本,3
304,外经贸,3
305,指为,3
306,中介,3
307,表中,3
308,数在,3
309,很小,3
310,公平交易,3
311,模型,3
312,中除,3
313,电子设备,3
314,养老保险,3
315,内销,3
316,退养,3
317,进项税额,3
318,潍国用,3
319,带,2
320,外文,2
321,电子信箱,2
322,民主,2
323,街号,2
324,网址,2
325,证券部,2
326,王夕贤,2
327,李满,2
328,额年,2
329,伴随,2
330,高浓度,2
331,产品型号,2
332,传统,2
333,电线电缆,2
334,胶管,2
335,石油,2
336,精制,2
337,提纯,2
338,高位,2
339,主要用途,2
340,医药,2
341,负荷,2
342,橡胶,2
343,发泡,2
344,激烈,2
345,奠定,2
346,贡献,2
347,此基础,2
348,直销,2
349,国外,2
350,加工量,2
351,内退,2
352,顾问费,2
353,注注注,2
354,掉期,2
355,大气,2
356,出台,2
357,淘汰,2
358,良性,2
359,制约,2
360,供需,2
361,供应量,2
362,上涨,2
363,震荡,2
364,相关性,2
365,投产,2
366,能耗,2
367,成套,2
368,朗盛,2
369,得克萨斯州,2
370,该法,2
371,丙酮,2
372,氨,2
373,生产能力,2
374,硫酸,2
375,自旋,2
376,洗涤,2
377,制造,2
378,透明性,2
379,相法,2
380,磨碎,2
381,成品,2
382,年台,2
383,每台个,2
384,单元,2
385,槽,2
386,伍德,2
387,氧化,2
388,甲酮,2
389,厂区,2
390,非正常,2
391,参照,2
392,低位,2
393,高水平,2
394,压价,2
395,走低,2
396,半成品,2
397,溶液,2
398,事故,2
399,排入,2
400,处理厂,2
401,陆续,2
402,超出,2
403,移交,2
404,再次,2
405,二审,2
406,撤回,2
407,加剧,2
408,寻求,2
409,定位,2
410,并举,2
411,立体,2
412,树立,2
413,响应,2
414,三级,2
415,一步,2
416,增大,2
417,过剩,2
418,挑战,2
419,并存,2
420,再融资,2
421,选址,2
422,收购人,2
423,公正,2
424,提醒,2
425,紧抓,2
426,全力,2
427,占有,2
428,配合,2
429,协作,2
430,发货,2
431,环节,2
432,逐一,2
433,动态平衡,2
434,知名度,2
435,扩充,2
436,门类,2
437,品牌效应,2
438,抓住,2
439,打开,2
440,契机,2
441,技术储备,2
442,地板,2
443,布,2
444,磁性,2
445,密封材料,2
446,防水,2
447,卷,2
448,矿用,2
449,重型,2
450,输送带,2
451,实验,2
452,力争,2
453,金融风险,2
454,多家,2
455,接触,2
456,稳步,2
457,本地,2
458,接洽,2
459,探讨,2
460,链,2
461,中将,2
462,分拆,2
463,会计报表,2
464,解聘,2
465,负担,2
466,判决书,2
467,不服,2
468,案二审,2
469,上午,2
470,湖石,2
471,诉至,2
472,下发,2
473,中称,2
474,证监会,2
475,第二条,2
476,第五十九,2
477,条,2
478,对苏,2
479,交给,2
480,增补,2
481,议题,2
482,如期,2
483,顺利完成,2
484,换届,2
485,以此为戒,2
486,再次发生,2
487,违规行为,2
488,揭示,2
489,情节,2
490,实施办法,2
491,引以为戒,2
492,促使,2
493,贷款额度,2
494,烟尘,2
495,二氧化硫,2
496,氮氧化物,2
497,因子,2
498,收集,2
499,限度,2
500,文号,2
501,鲁环,2
502,审号,2
503,脱硝,2
504,潍环,2
505,寒审,2
506,寒环审,2
507,源,2
508,演练,2
509,余振冀,2
510,梁旋,2
511,云南,2
512,协,2
513,信号,2
514,集合,2
515,邵明权,2
516,张鑫,2
517,徐开东,2
518,许可证,2
519,物业管理,2
520,崔焕义,2
521,杨雷,2
522,王晓辉,2
523,乙烯,2
524,寿光市,2
525,园林绿化,2
526,大成,2
527,中伦,2
528,山东大学,2
529,博士生,2
530,导师,2
531,理事长,2
532,副会长,2
533,报业,2
534,成泰新,2
535,副科长,2
536,金陵,2
537,机动,2
538,副处长,2
539,处长,2
540,项目管理,2
541,辞去,2
542,宝光,2
543,纯碱厂,2
544,辞职,2
545,教育,2
546,健全,2
547,平等,2
548,回避,2
549,权限,2
550,清晰,2
551,认真负责,2
552,任职期间,2
553,订立,2
554,绩效评价,2
555,领导,2
556,否否否,2
557,同日,2
558,收货,2
559,同类,2
560,化工产品,2
561,出库,2
562,拆出,2
563,准备金,2
564,七七年,2
565,对外贸易经济合作部,2
566,山东省人民政府,2
567,外商投资,2
568,企股,2
569,企业法人,2
570,文,2
571,业经,2
572,增至,2
573,置,2
574,二号,2
575,四号,2
576,四家,2
577,编报,2
578,权责,2
579,多方,2
580,并非,2
581,付出,2
582,各段,2
583,可变,2
584,对比,2
585,视,2
586,易于,2
587,兑换,2
588,示,2
589,近期内,2
