,分词排序,词频
0,宏达,256
1,四川,228
2,金鼎锌业,111
3,云南,105
4,锌,99
5,金鼎,78
6,化工,65
7,最高人民法院,57
8,信息,53
9,磷,52
10,云南省,50
11,环保,50
12,工程,50
13,信托,48
14,高级人民法院,44
15,房地产,42
16,终审判决,41
17,有色金属,41
18,冶炼,39
19,无效,38
20,成都,36
21,废气,31
22,锌合金,30
23,磷酸,29
24,被套,29
25,判决书,28
26,锌锭,28
27,排放,28
28,银行,27
29,装置,27
30,川润,26
31,环境,25
32,设置,25
33,复合肥,24
34,硫酸,24
35,剑川,23
36,法民终,22
37,加工费,21
38,益云,21
39,精矿,21
40,建设,21
41,资源,21
42,土地,21
43,污染物,21
44,什邡市,20
45,尾气,19
46,矿业,18
47,工业,18
48,石膏,18
49,磷酸盐,17
50,期货,17
51,江南,17
52,达标,16
53,危废,16
54,建军,15
55,网站,15
56,磷铵,15
57,房产,15
58,达标排放,15
59,废水,15
60,天健,14
61,帅巍,14
62,本部,14
63,一铵,14
64,负担,14
65,物业管理,14
66,什邡,14
67,媒体,13
68,氧化锌,13
69,化合物,13
70,有色,12
71,酒店,12
72,冶炼厂,12
73,德阳市,12
74,带有,11
75,段落,11
76,该案,11
77,多龙,11
78,数据,11
79,系列产品,11
80,层面,11
81,电解,11
82,化肥,11
83,香港,11
84,建筑物,11
85,颗粒物,11
86,除尘,11
87,硬化,11
88,存储,11
89,生物,11
90,上诉,10
91,综合利用,10
92,磷矿石,10
93,内资,10
94,铜,10
95,工程技术,10
96,危险废物,10
97,标志牌,10
98,地面,10
99,搬迁,10
100,化工产品,9
101,华磷,9
102,绵竹,9
103,西藏,9
104,二审,9
105,需向,9
106,面积,9
107,进口,9
108,冶金,9
109,裁定书,9
110,节能,9
111,钼,9
112,水电费,9
113,环境保护,9
114,风机,9
115,库房,9
116,防渗,9
117,新华联,9
118,精制,8
119,废渣,8
120,矿山,8
121,湿法,8
122,钒,8
123,金桥,8
124,排污,8
125,铅,8
126,污水处理,8
127,油气,8
128,人黄,8
129,建造,8
130,同受,8
131,理解,7
132,金融机构,7
133,科技,7
134,磷矿,7
135,不服,7
136,保全费,7
137,化工行业,7
138,材料,7
139,粉状,7
140,执保号,7
141,执号,7
142,扣划,7
143,清理,7
144,外汇,7
145,钛,7
146,刘沧龙,7
147,环境污染,7
148,洗涤,7
149,应急,7
150,监测,7
151,就职,7
152,物业公司,7
153,供货,7
154,黄,6
155,拓宽,6
156,走强,6
157,消费,6
158,高附加值,6
159,终端,6
160,工程设计,6
161,成本费,6
162,住房,6
163,扣押,6
164,清单,6
165,房,6
166,权证,6
167,中央,6
168,矿产,6
169,华宏,6
170,异议,6
171,汞,6
172,回,6
173,废,6
174,防火,6
175,环境影响,6
176,工商管理,6
177,什化,6
178,培训期,6
179,德,6
180,月数,6
181,尚需,5
182,创新能力,5
183,上调,5
184,授信额度,5
185,采选,5
186,金属,5
187,建筑,5
188,败诉,5
189,剔除,5
190,指数,5
191,高度,5
192,技术创新,5
193,肥,5
194,经济效益,5
195,消耗,5
196,锌粉,5
197,储存,5
198,净化,5
199,低值易耗品,5
200,怒江州,5
201,国有资产,5
202,兰坪白族普米族自治县,5
203,云南铜业,5
204,款元后,5
205,产业结构,5
206,矿产资源,5
207,绿色,5
208,最初,5
209,石膏粉,5
210,炉,5
211,铅锌,5
212,复产,5
213,磷肥,5
214,方与,5
215,接受方,5
216,解读,5
217,民事裁定,5
218,管辖权,5
219,龙腾,5
220,烟尘,5
221,雾,5
222,排放口,5
223,水膜,5
224,应缴,5
225,王仁平,5
226,南开大学,5
227,副经理,5
228,五一,5
229,饲料,5
230,兰坪,5
231,换取,5
232,商业银行,5
233,源于,5
234,刘军,4
235,稳步,4
236,尽快,4
237,削减,4
238,开支,4
239,冶化,4
240,现状,4
241,经营层,4
242,网址,4
243,非金融,4
244,汽车,4
245,制造,4
246,结构调整,4
247,淘汰,4
248,争端,4
249,宏观,4
250,震荡,4
251,放缓,4
252,释放,4
253,生产能力,4
254,偏紧,4
255,适时,4
256,农产品,4
257,传统,4
258,水溶,4
259,产销,4
260,回转窑,4
261,多渠道,4
262,整治,4
263,二铵,4
264,利用率,4
265,包装物,4
266,名下,4
267,压延,4
268,督查,4
269,来看,4
270,合金,4
271,运输,4
272,地质,4
273,粉尘,4
274,化学,4
275,清洗,4
276,大酒店,4
277,刺激,4
278,遗留问题,4
279,期数,4
280,表中,4
281,送达,4
282,众成,4
283,南充市,4
284,泰合,4
285,污染,4
286,减排,4
287,环保部门,4
288,氨氮,4
289,停产,4
290,沱江,4
291,流域,4
292,防治,4
293,脱硫,4
294,麻石,4
295,建有,4
