,分词排序,词频
0,汽车,440
1,国机,170
2,中进,78
3,零售,76
4,天津,70
5,工程,63
6,北京,61
7,进口,55
8,工业,53
9,天津市,51
10,汽贸,50
11,机械,48
12,中汽,47
13,汽车贸易,47
14,信息,46
15,建设,43
16,车辆,32
17,上海,30
18,新能源,28
19,物业,26
20,零部件,25
21,制造,23
22,牌照,23
23,整车,21
24,瑕疵,21
25,宁波,21
26,土地,19
27,宁兴,19
28,机智,18
29,骏,18
30,陈,17
31,批售,17
32,天工,16
33,数据,16
34,汽车产业,15
35,权属,15
36,运输设备,15
37,鼎盛,14
38,汇益,14
39,网站,14
40,资源,13
41,科技,13
42,银行,13
43,海南,12
44,国际化,12
45,平行,12
46,完备,12
47,国,12
48,房地产,12
49,唐山市,12
50,陆一舟,11
51,督促,11
52,足额,11
53,滨海,10
54,科学,10
55,一路,9
56,万辆,9
57,园,9
58,工程机械,8
59,环境,8
60,拆迁,8
61,刊载,8
62,李雪红年,8
63,期未到,8
64,空港,8
65,盛世,8
66,可变,8
67,传统,7
68,一带,7
69,一体化,7
70,汽车集团,7
71,顺利,7
72,汽车出口,7
73,进口车,7
74,装备,7
75,全力,7
76,落地,7
77,华汽,7
78,划转,7
79,机械设备,7
80,国汽,7
81,建筑物,7
82,易卡智行,7
83,天健,6
84,多家,6
85,倡议,6
86,自贸区,6
87,摩擦,6
88,深化,6
89,尽快,6
90,商业模式,6
91,金融机构,6
92,终端,6
93,外延,6
94,迪拜,6
95,防控,6
96,搬迁,6
97,促使,6
98,建,6
99,王璞,6
100,李明,6
101,软件,6
102,法人股,6
103,赣州,6
104,象山,6
105,重型机械,6
106,经年,5
107,路,5
108,物流,5
109,挑战,5
110,贸工,5
111,技金,5
112,消费,5
113,资本运作,5
114,注入,5
115,党建,5
116,服务平台,5
117,车,5
118,延伸,5
119,兼并,5
120,干部,5
121,海口,5
122,金融服务,5
123,文化,5
124,商业机会,5
125,副会长,5
126,江苏,5
127,工资总额,5
128,期后,5
129,核对,5
130,中外,5
131,占本,5
132,渤海,5
133,机器设备,5
134,精算,5
135,香港,5
136,唐山,5
137,零配件,5
138,源于,5
139,外汇,5
140,农业,5
141,机械化,5
142,夏闻迪,4
143,机,4
144,海淀区,4
145,中科,4
146,华苑,4
147,产业区,4
148,克莱斯勒,4
149,福特,4
150,玛莎拉蒂,4
151,协助,4
152,链条,4
153,高速,4
154,高质量,4
155,精细化,4
156,变革,4
157,下滑,4
158,排放,4
159,快,4
160,新一轮,4
161,中央,4
162,多元化,4
163,环保,4
164,证券化,4
165,指数,4
166,政治,4
167,工程项目,4
168,深化改革,4
169,梦想,4
170,稳步,4
171,双轮,4
172,抓住,4
173,资源配置,4
174,融资券,4
175,广州,4
176,盈盛,4
177,百亿,4
178,当地政府,4
179,六个月,4
180,开支,4
181,对国机,4
182,房产,4
183,日月,4
184,国务院,4
185,合肥,4
186,通用机械,4
187,国有资产,4
188,刁建申,4
189,谢恩,4
190,廷,4
191,方竹,4
192,机床,4
193,辞职,4
194,换届,4
195,带息,4
196,向国机,4
197,办公设备,4
198,晶耀,4
199,未到,4
200,经纪,4
201,店,4
202,丰田,4
203,贵州,4
204,唐,4
205,山中,4
206,众旺,4
207,江阴市,4
208,海口市,4
209,配件,4
210,贵阳市,4
211,行使权力,4
212,江西,4
213,物业管理,4
214,地质,4
215,德阳,4
216,万路,4
217,运业,4
218,自控,4
219,中机,4
220,莱州,4
221,联系人,3
222,联系方式,3
223,中关村,3
224,南三街,3
225,北楼,3
226,高新区,3
227,榕苑,3
228,大众,3
229,沃尔沃,3
230,阿尔法,3
231,罗密欧,3
232,车型,3
233,分销,3
234,中长期,3
235,智能化,3
