,分词排序,词频
0,青岛,420
1,澳柯玛,335
2,山东,73
3,信息,58
4,电器,45
5,工程,41
6,科技,39
7,商用,38
8,冷链,38
9,青岛市,38
10,建设,37
11,智能,32
12,专用车,32
13,华通,32
14,制造,31
15,起任,30
16,房地产,27
17,制冷,26
18,电动车,25
19,智慧,24
20,李蔚,23
21,土地,22
22,智能化,20
23,自动售货机,19
24,上海,18
25,全冷链,18
26,张斌,17
27,物流,16
28,环境,16
29,徐玉翠,15
30,工业,15
31,产业园,15
32,七届,15
33,智联,15
34,数据,14
35,生物,14
36,精品工程,14
37,创赢,14
38,张,14
39,兴起,14
40,房产,14
41,总会计师,13
42,资源,13
43,银行,13
44,建筑物,13
45,澳海,13
46,国有资本,12
47,建造,12
48,兴华,11
49,冷柜,11
50,互联网,11
51,高创,11
52,益佳,11
53,河南,11
54,挂账,11
55,冰箱,10
56,洗衣机,10
57,家电,10
58,家居,10
59,推行,10
60,企划,10
61,家用电器,10
62,王英,9
63,家用,9
64,电动,9
65,消费,9
66,环保,9
67,价值链,9
68,落地,9
69,创业投资,9
70,材料,9
71,一至,9
72,全祥,9
73,研制,9
74,电冰箱,9
75,澳科嘉,9
76,前湾,8
77,港路,8
78,超低温,8
79,智能家居,8
80,技术创新,8
81,科学,8
82,柜,8
83,系本,8
84,沂南,8
85,技术开发区,7
86,空调,7
87,新能源,7
88,节能,7
89,人力,7
90,产品升级,7
91,温区,7
92,变频,7
93,峰,7
94,国际贸易,7
95,网站,6
96,展示柜,6
97,冷冻,6
98,人才队伍,6
99,文化,6
100,网络,6
101,精益,6
102,家电行业,6
103,专用汽车,6
104,工业园,6
105,院士,6
106,退伙,6
107,企发,6
108,正奇,6
109,刘金彬,6
110,城投,6
111,赵,6
112,风雷,6
113,李方林,6
114,油气,6
115,维修,6
116,投出,6
117,嵌入,6
118,多媒体,6
119,冷冻箱,6
120,技术改造,6
121,协议书,6
122,自然资源,6
123,李,5
124,装备,5
125,生态圈,5
126,店,5
127,模组,5
128,速冻,5
129,入选,5
130,品牌形象,5
131,资源管理,5
132,自动化,5
133,产销,5
134,精品,5
135,体验,5
136,信息化,5
137,服务平台,5
138,统筹,5
139,意识,5
140,中长期,5
141,数字化,5
142,顾客,5
143,再融资,5
144,港,5
145,到位,5
146,排污,5
147,郑培伟,5
148,国有资产,5
149,市直,5
150,信诚,5
151,文红宁,5
152,澳,5
153,住房,5
154,归类,5
155,全屋,5
156,商务,5
157,世贸,5
158,云商,5
159,崂山区,5
160,收储,5
161,杭州,5
162,宗盛,5
163,专注,4
164,冰柜,4
165,小家电,4
166,赢商汇,4
167,跨境,4
168,电商,4
169,口碑,4
170,战略目标,4
171,从严,4
172,激发,4
173,迭代,4
174,厨,4
175,研,4
176,进口,4
177,宣传,4
178,选用,4
179,人才培养,4
180,全员,4
181,运输,4
182,清理,4
183,户,4
184,监督管理,4
185,青,4
186,王,4
187,爱华,4
188,王炬香,4
189,黄,4
190,卫东,4
191,刘成,4
192,东华,4
193,倾向,4
194,中央银行,4
195,十四次,4
196,成分,4
197,缴,4
198,教育费,4
199,香港,4
200,两至,4
201,物联,4
202,抵债,4
203,代偿,4
204,洁净,4
205,民权,4
206,中国香港,4
207,青房,4
208,国有土地,4
209,芜湖,4
210,智佳,4
211,媒体,3
212,知名,3
213,致力于,3
214,工厂,3
215,上线,3
216,赢,3
217,自行车,3
218,一体,3
219,家电产品,3
220,交互,3
221,乏力,3
222,零售额,3
223,侧,3
224,追求,3
225,结构调整,3
226,高端化,3
227,零售,3
228,科研,3
229,低温,3
230,知名度,3
231,卓越,3
232,再次,3
233,加剧,3
234,治企,3
235,狠抓,3
236,领先水平,3
237,发明专利,3
238,新品,3
239,零晶恒鲜,3
240,差异化,3
241,电热水器,3
242,保鲜,3
243,产品线,3
244,冷库,3
245,促销,3
246,品牌价值,3
247,传播,3
248,权责,3
249,层面,3
250,活力,3
251,健全,3
252,共向名,3
