,分词排序,词频
0,资源,107
1,珠峰,92
2,西藏,83
3,矿业,83
4,塔中,69
5,上海,66
6,锂,53
7,铅,48
8,精矿,47
9,金属,46
10,信息,45
11,锌,35
12,扶贫,35
13,塔城,34
14,新疆,33
15,盐湖,33
16,房地产,31
17,黄建荣,27
18,塔国,26
19,矿山,26
20,阿根廷,25
21,储量,25
22,碳酸锂,25
23,工程,25
24,青海,24
25,有色金属,20
26,张树祥,19
27,摩托车,19
28,数据,18
29,信托,17
30,土地,17
31,工业,16
32,矿产资源,15
33,文化,15
34,海成,14
35,品位,14
36,塔吉克斯坦共和国,13
37,采矿,13
38,建设,13
39,当量,13
40,材料,13
41,环球,13
42,西部,13
43,盐,12
44,采选,12
45,选矿,12
46,铜精矿,11
47,冶炼,11
48,矿石,11
49,加拿大,10
50,期货,10
51,铅锌,10
52,过剩,10
53,捷财,10
54,索莫尼,10
55,脱贫,10
56,起任,10
57,生物,10
58,建筑物,10
59,国际贸易,9
60,西藏自治区,9
61,网站,9
62,安,9
63,赫莱斯,9
64,投产,9
65,塔吉克斯坦,9
66,亿美元,9
67,决策者,9
68,教育,9
69,铟,9
70,拆,9
71,新能源,8
72,环境,8
73,安泰,8
74,资源量,8
75,资助款,8
76,需求量,8
77,歌石祥金,8
78,就职,8
79,确信,8
80,中钜,8
81,众华,7
82,海通,7
83,消费,7
84,阿尔登,7
85,托普,7
86,一带,7
87,一路,7
88,科技,7
89,银行,7
90,江苏,7
91,海燕,7
92,国贸,6
93,勘探,6
94,开采,6
95,冶炼厂,6
96,度,6
97,评审,6
98,萨尔塔,6
99,道路,6
100,供需平衡,6
101,外汇,6
102,垫付,6
103,就业,6
104,刘美宝,6
105,金融机构,6
106,贫困,6
107,集合,6
108,亚平,6
109,工程师,6
110,教育费,6
111,拉萨市,5
112,北京,5
113,铅锌矿,5
114,扩产,5
115,月均,5
116,矿产品,5
117,价,5
118,已有,5
119,粗,5
120,澳大利亚,5
121,缺口,5
122,国外,5
123,矿产,5
124,坎,5
125,保有,5
126,采矿权,5
127,面积,5
128,上游,5
129,倡议,5
130,环保,5
131,运输,5
132,所在国,5
133,孔子,5
134,中塔,5
135,抵消,5
136,共管,5
137,金融信息,5
138,九州,5
139,证券交易,5
140,唐,5
141,守林,5
142,九鼎,5
143,邯,5
144,价格调整,5
145,选取,5
146,样本,5
147,称,5
148,油气,5
149,代理人,5
150,即可,5
151,缺勤,5
152,残疾,5
153,毋须,5
154,机械厂,5
155,理解,5
156,派元,4
157,提议,4
158,留待,4
159,胡晗,4
160,东,4
161,路,4
162,楼,4
163,选定,4
164,媒体,4
165,采掘,4
166,环评,4
167,扩建,4
168,卖方,4
169,加工费,4
170,效应,4
171,远期,4
172,供给,4
173,增量,4
174,精,4
175,释放,4
176,新建,4
177,供需,4
178,卤水,4
179,南美洲,4
180,省,4
181,米,4
182,约合,4
183,两家,4
184,贡献,4
185,汉办,4
186,属地化,4
187,学生,4
188,优秀人才,4
