,分词排序,词频
0,吉林,142
1,华微电子,137
2,信息,57
3,半导体,50
4,吉林省,47
5,电子,43
6,上海,39
7,吉林市,35
8,深圳,33
9,工程,29
10,斯帕克,28
11,功率,26
12,半导体器件,23
13,器件,22
14,网站,21
15,建筑物,21
16,制造,20
17,科技,20
18,电气,19
19,银行,19
20,夏增文,18
21,华微,18
22,建设,18
23,鹏,18
24,盛,18
25,科技实业,18
26,土地,18
27,广州,17
28,微特,17
29,集成电路,17
30,吉华,16
31,麦吉柯,15
32,汽车,15
33,王晓林,14
34,数据,14
35,数较,13
36,分立,13
37,材料,13
38,达标,13
39,房地产,13
40,高新技术,13
41,中原,13
42,值为,13
43,微电子,12
44,众华,12
45,工业,12
46,能源,12
47,换届,12
48,配股,11
49,战略性,11
50,抵押物,11
51,环境,11
52,若干,11
53,稳先,10
54,损失率,10
55,据此,10
56,信息产业,10
57,电机,9
58,新能源,9
59,获授,9
60,污染物,9
61,资源,8
62,电力,8
63,排放,8
64,决策者,8
65,二极管,7
66,聂嘉宏,7
67,高新区,7
68,新兴产业,7
69,计算机,7
70,电子产品,7
71,代理人,7
72,环保,7
73,生物,7
74,拨款,7
75,肖特基,6
76,街号,6
77,新兴,6
78,元器件,6
79,机械设备,6
80,日为,6
81,排放口,6
82,防治,6
83,污染,6
84,经济师,6
85,公司债,6
86,东北,6
87,高技术,6
88,技术改造,6
89,民营,6
90,朱晓丽,5
91,电子器件,5
92,变频,5
93,光伏,5
94,模块,5
95,将要,5
96,瑞能,5
97,软件,5
98,通讯,5
99,投票,5
100,成就,5
101,赵东军,5
102,于胜东,5
103,天津,5
104,永恒,5
105,沈波,5
106,油气,5
107,保险费,5
108,缺勤,5
109,残疾,5
110,业经,5
111,验资,5
112,终端,4
113,芯片,4
114,封装,4
115,家电,4
116,创新型,4
117,技术创新,4
118,缩短,4
119,结构调整,4
120,超结,4
121,业务流程,4
122,产线,4
123,服务业,4
124,进项,4
125,仪表,4
126,召集人,4
127,反担保,4
128,排污,4
129,浓度,4
130,大气污染,4
131,曾涛,4
132,电子科技,4
133,男否,4
134,杜义,4
135,姜,4
136,人力资源部,4
137,北京大学,4
138,授信额度,4
139,中央银行,4
140,朱晓丽年,4
141,股年,4
142,股股,4
143,为元股,4
144,款元,4
145,决策权,4
146,自制,4
147,半成品,4
148,领用,4
149,其他费用,4
150,带薪,4
151,教育费,4
152,含元,4
153,补助费,4
154,市立,4
155,审验,4
156,证监会,3
157,晶体管,3
158,电流,3
159,博士,3
160,联系人,3
161,联系方式,3
162,伴随,3
163,工艺技术,3
164,英寸,3
165,竞争能力,3
166,防范,3
167,逐步完善,3
168,网络,3
169,服务器,3
170,单价,3
171,参照,3
172,信用证,3
173,自动化,3
174,咨询服务,3
175,软硬件,3
176,和谐,3
177,系列化,3
178,超高压,3
179,应由,3
180,第五次,3
181,大气,3
182,监测,3
183,第六次,3
184,户,3
185,华汉,3
186,王英,3
187,欧小霞,3
188,胜东,3
189,飞安洪滨,3
190,副所长,3
191,博士生,3
192,导师,3
193,瑞华,3
194,物理,3
195,长春,3
196,教育,3
197,公正,3
198,此基础,3
199,最新,3
200,尊重,3
201,监管部门,3
202,否否否,3
203,众会,3
204,华融,3
205,鹏元,3
206,倍数,3
207,率年,3
208,期后,3
209,保费,3
210,准备金,3
211,号文,3
212,月经,3
213,号本,3
214,表及,3
215,下以,3
216,表时,3
217,取决于,3
218,表中,3
219,以非,3
220,低值易耗品,3
221,包装物,3
222,组时,3
223,政策性,3
224,清理,3
225,应纳,3
226,税额,3
227,款及,3
228,费及,3
229,电子行业,3
230,中央,3
231,扩大内需,3
232,基金项目,3
233,振兴,3
234,减排,3
235,用电,3
236,增量,3
237,充足,3
238,拟向,2
239,势垒,2
240,金属,2
241,输入阻抗,2
242,电压,2
243,双极型,2
244,外文,2
245,电子信箱,2
246,网址,2
247,秘书处,2
248,楼,2
249,莫旭巍,2
250,款期,2
251,应用领域,2
252,产品设计,2
253,可控硅,2
254,系列产品,2
255,齐全,2
256,奠定,2
257,崛起,2
258,深化,2
259,迎来,2
260,产品种类,2
261,评为,2
262,成熟,2
263,迅捷,2
264,高压,2
265,高可靠性,2
266,晶圆,2
267,生产能力,2
268,建厂,2
269,人力资源,2
270,产业政策,2
271,紧紧抓住,2
272,产业结构,2
273,契机,2
274,步伐,2
275,规模化,2
276,三项,2
277,信息技术,2
278,率及,2
279,经营风险,2
280,梳理,2
281,数据库,2
282,公司业绩,2
283,协作,2
284,实时,2
285,资源管理,2
286,加剧,2
287,高度,2
288,共享,2
289,业务范围,2
290,跟随,2
291,快,2
292,对此,2
293,我司,2
294,水电,2
295,房租,2
296,产品成本,2
297,工程项目,2
298,待缴,2
299,电子元件,2
300,通信,2
301,电子设备,2
302,许可证,2
303,技术咨询,2
304,技术转让,2
305,光电,2
306,制冷,2
307,交流,2
308,轨道交通,2
309,国产化,2
310,第三代,2
311,关键时期,2
312,弯道,2
313,超车,2
314,民族,2
315,集成,2
316,同步,2
317,夯实,2
318,制订,2
319,两名,2
320,签发,2
321,计票,2
322,真实性,2
323,充分性,2
324,送红,2
325,收购人,2
326,解聘,2
327,态度,2
328,信誉,2
329,名单,2
330,追求,2
331,健康,2
332,水,2
333,限值,2
334,二级标准,2
335,达标排放,2
336,检出,2
337,环境影响,2
338,行政许可,2
339,应急,2
340,外资股,2
341,李彦庆,2
342,张树龙,2
343,全称,2
344,姚颖臻,2
345,任忠唐,2
346,刘伟,2
347,袁斌,2
348,彭博,2
349,彭秀芝,2
350,通讯器材,2
351,亿兴,2
352,飞,2
353,安洪滨,2
354,禹彤,2
355,女否,2
356,实践,2
357,讲师,2
358,副教授,2
359,安达,2
360,所长,2
361,日本东京大学,2
362,物理系,2
363,获,2
364,教育部,2
365,江苏,2
366,霞禹彤,2
367,中国科学院,2
368,分院,2
369,管理员,2
370,职工代表,2
371,何进,2
372,月度,2
373,职位,2
374,专业技能,2
375,文化,2
376,全方位,2
377,理论,2
378,课程,2
379,在线,2
380,全员,2
381,平等,2
382,自主经营,2
383,四个,2
384,聘免,2
385,在内,2
386,华微债,2
387,信用等级,2
388,一个月,2
389,增信,2
390,怀疑,2
391,持续性,2
392,北京,2
393,限定,2
394,储存,2
395,日年,2
396,多方,2
397,方以,2
398,中介,2
399,可变,2
400,以本,2
401,分配比例,2
402,投出,2
403,因该,2
404,借入,2
405,于本,2
406,模型,2
407,得以,2
408,项当,2
409,超出,2
410,核算成本,2
411,一致同意,2
412,以换,2
413,或应,2
414,专用设备,2
415,通用设备,2
416,应予,2
417,乘以,2
418,专利权,2
419,并作,2
420,医疗保险,2
421,工伤保险,2
422,生育,2
423,住房,2
424,工会,2
425,教育经费,2
426,早日,2
427,长短,2
428,修正,2
429,后须,2
430,日以,2
431,工程进度,2
432,票,2
433,耀攀,2
434,上杭,2
435,祥辉,2
436,浪潮,2
437,众晶,2
438,无锡,2
439,建造,2
440,厂区,2
441,国债,2
442,转贷,2
443,差,2
444,异,2
445,巨人,2
446,营运,2
447,财务部门,2
448,外汇,2
449,源于,2
450,法人代表,2
451,摘要,2
452,一本,1
453,三众华,1
454,主管人员,1
455,五经,1
456,否八,1
457,违反规定,1
458,否九,1
459,详细描述,1
460,查阅,1
461,对策,1
462,文义,1
463,另有所指,1
464,含义,1
465,常用,1
466,稳先吉华,1
467,三极管,1
468,氧化,1
469,场效,1
470,绝缘,1
471,栅,1
472,复合,1
473,全控型,1
474,称,1
475,发明人,1
476,命名,1
477,中文名称,1
478,中文,1
479,缩写,1
480,人二,1
481,联系地址,1
482,电话传真,1
483,李铁,1
484,岩,1
485,选定,1
486,媒体,1
487,登载,1
488,中山南路,1
489,外滩,1
490,广场,1
491,奚晓茵年,1
492,第一季度,1
493,第二季度,1
494,第三季度,1
495,第四季度,1
496,十非,1
497,符合国家,1
498,双向,1
499,第六代,1
500,最具,1
501,初步,1
502,坚实,1
503,技术水平,1
504,汽车行业,1
505,军民,1
506,速度,1
507,难得,1
508,五十多年,1
509,五十,1
510,高品质,1
511,赢得,1
512,口碑,1
513,深耕细作,1
514,控制技术,1
515,深槽,1
516,刻蚀,1
517,薄片,1
518,推行,1
519,中发力,1
520,多条,1
521,尺寸,1
522,万片,1
523,亿只,1
524,领先地位,1
525,地处,1
526,适宜,1
527,充沛,1
528,水力,1
529,宝贵,1
530,资源优势,1
531,国产,1
532,集,1
533,一体,1
534,以新,1
535,重点项目,1
536,带动,1
537,稳步增长,1
538,事业,1
539,部级,1
540,两级,1
541,突出重点,1
542,全力,1
543,五项,1
544,顺利,1
545,方针,1
546,组建,1
547,产品开发,1
548,响应速度,1
549,华为,1
550,物料,1
551,筛选,1
552,不定期,1
553,抽样,1
554,检验,1
555,稽核,1
556,稳定性,1
557,互联网,1
558,整合营销,1
559,一对一,1
560,满意度,1
561,友好合作,1
562,全过程,1
563,查找,1
564,控制措施,1
565,关键点,1
566,固化,1
567,化解,1
568,防控,1
569,管理模式,1
570,战略规划,1
571,权限,1
572,分工,1
573,明晰,1
574,市场动态,1
575,市场占有率,1
576,项目管理,1
577,更新改造,1
578,提效,1
579,联动,1
580,扩展,1
581,延伸,1
582,物流,1
583,人流,1
584,财流,1
585,信息流,1
586,讯息,1
587,传输数据,1
588,担负,1
589,集中管理,1
590,流转,1
591,收集,1
592,传统,1
593,消费类,1
594,增长点,1
595,努力做到,1
596,满意,1
597,系年,1
598,详情,1
599,华东地区,1
600,华南地区,1
601,制成,1
602,环节,1
603,附加值,1
604,盈利模式,1
605,促进作用,1
606,赚取,1
607,差价,1
608,承租,1
609,气,1
610,销售业务,1
611,使用量,1
612,保安,1
613,保洁,1
614,较长,1
615,高年,1
616,人工工资,1
617,二非,1
618,请见,1
619,制造业,1
620,经营项目,1
621,登录,1
622,商事,1
623,公示,1
624,计算机信息,1
625,系统安全,1
626,技术培训,1
627,太阳能,1
628,配件,1
629,数字电视,1
630,播放,1
631,干燥机,1
632,除湿机,1
633,净化,1
634,机电,1
635,机械,1
636,智能,1
637,交通,1
638,道路交通,1
639,公共广播,1
640,航空,1
641,元八,1
642,纲要,1
643,注入,1
644,投资规模,1
645,增势,1
646,迫使,1
647,传动,1
648,机车,1
649,动车组,1
650,国家电网,1
651,国民经济,1
652,支柱性,1
653,纷纷,1
654,功年,1
655,除去,1
656,新机遇,1
657,来看,1
658,领先水平,1
659,尚有,1
660,差距,1
661,发展势头,1
662,强劲,1
663,依然,1
664,几年,1
665,必争之地,1
666,中长期,1
667,借助,1
668,深厚,1
669,力争,1
670,末期,1
671,率先,1
672,行列,1
673,树立,1
674,变革,1
675,迅猛发展,1
