,分词排序,词频
0,五矿,811
1,信托,220
2,期货,164
3,经易,106
4,外贸,80
5,信息,48
6,北京,47
7,财政拨款,47
8,工程,45
9,材料,41
10,矿业,38
11,长沙,36
12,上海,36
13,有色金属,33
14,商行,32
15,资管,32
16,银行,30
17,矿冶,29
18,绵,29
19,房地产,29
20,建设,29
21,湖南,28
22,数据,28
23,扶贫,28
24,金瑞,26
25,保险,25
26,金瑞锰业,24
27,证券公司,23
28,环境,22
29,集合,22
30,电子,20
31,金融服务,20
32,备付,20
33,中冶,20
34,金泰,18
35,金融机构,18
36,脱贫,18
37,贵州,17
38,经纪,17
39,院,17
40,资源,17
41,融出,17
42,一号,17
43,钢铁,17
44,工银安盛,16
45,深圳,16
46,融券,16
47,担保物,16
48,土地,16
49,珠峰,15
50,青海,15
51,五资,15
52,建筑物,15
53,招商,14
54,期货经纪,14
55,锰,14
56,冶,14
57,生物,14
58,金驰,13
59,松桃,13
60,挑战,13
61,净收入,13
62,敦行,13
63,混合,13
64,安信,12
65,金融业务,12
66,信托公司,12
67,新规,12
68,电解锰,12
69,云南,12
70,金牛,11
71,证券市场,11
72,万亿元,11
73,对手,11
74,拆出,11
75,高院,11
76,户,11
77,樊玉雯,10
78,西宁,10
79,可比,10
80,私募,10
81,信托业,10
82,最新,10
83,青海省,10
84,该案,10
85,株洲,10
86,冶炼,10
87,商业银行,9
88,华宝,9
89,深化改革,9
90,防范,9
91,期货市场,9
92,文化,9
93,可变,9
94,科技,9
95,工业,9
96,上诉,9
97,振戎润德,9
98,重庆,9
99,贫困户,9
100,准备金,9
101,铜仁,8
102,金通,8
103,金业,8
104,平安,8
105,能源,8
106,绵阳市,8
107,场外,8
108,长远,8
109,金拓,8
110,矿产,8
111,供给,8
112,定,8
113,二号,8
114,实业集团,8
115,高级人民法院,8
116,裁定书,8
117,发起,8
118,二十三,8
119,纪委,8
120,人任,8
121,国华,7
122,城投,7
123,青海华鼎,7
124,财富,7
125,保监会,7
126,湖南省,7
127,网站,7
128,致同,7
129,广场,7
130,牌照,7
131,仓单,7
132,本部,7
133,侧,7
134,中央,7
135,化解,7
136,限额,7
137,出台,7
138,平仓,7
139,会计核算,7
140,相符,7
141,国债,7
142,收益权,7
143,和解,7
144,星探,7
145,哈尔滨,7
