,分词排序,词频
0,海润,915
1,光伏,871
2,太阳能,367
3,奥特斯,301
4,发电,289
5,太仓,273
6,维,223
7,电力,209
8,合肥,173
9,电站,160
10,江阴,151
11,上海,145
12,科技,127
13,中国银行,118
14,工程,117
15,建设,97
16,江苏,90
17,能源,86
18,鑫辉,85
19,圣莹,79
20,武安,78
21,江阴市,77
22,营口,76
23,浙江,75
24,拍卖,72
25,新能源,71
26,电力公司,68
27,华君,67
28,组件,60
29,受偿,60
30,律师费,57
31,变卖,57
32,鑫,56
33,光电,55
34,新润,54
35,拖欠,54
36,精,50
37,河海,50
38,北京,47
39,扬州,45
40,信用证,45
41,国电,44
42,太仓市,43
43,海鑫,42
44,信息,40
45,元及,40
46,不动产,38
47,无锡,37
48,辽宁,37
49,电池,36
50,苏州,36
51,后经,36
52,房地产,35
53,武威,35
54,银行,35
55,国物,35
56,抵押物,33
57,施工,32
58,和田,32
59,香港,32
60,环境,30
61,土地,30
62,电池组,29
63,材料,29
64,集成,29
65,连带保证,29
66,多晶硅,28
67,印度,27
68,杭州,27
69,制造,26
70,机器设备,26
71,保加利亚,25
72,甘肃,25
73,孟广宝,25
74,顺风,25
75,光大银行,25
76,给付,25
77,君,25
78,中安,25
79,单晶硅,24
80,红河,24
81,咨询服务,23
82,河头,23
83,矩阵,23
84,十日,23
85,付清,23
86,金元,23
87,新疆,22
88,贺兰,22
89,隔,22
90,建水,22
91,聚鑫,22
92,孟广,22
93,宝华,22
94,柯坪,21
95,邢台,21
96,香溢,21
97,面积,21
98,年利率,21
99,调解,21
100,电光,21
101,河北,20
102,宁夏,20
103,自营,20
104,本部,20
105,南京,20
106,润,20
107,科誉,20
108,高瞻,20
109,承包合同,20
110,阮君,19
111,工程施工,19
112,罚息,19
113,一份,19
114,岳普湖,19
115,安徽,19
116,瑞光,19
117,限定,19
118,银星,19
119,蒙自,19
120,复利,19
121,补贴款,19
122,管委会,19
123,电站设备,19
124,建材,19
125,徐霞客,18
126,月底,18
127,苏州市,18
128,合肥市,18
129,分布式,17
130,罗马尼亚,17
131,润兴,17
132,房产,17
133,项下,17
134,动产,17
135,赛华,17
136,授信额度,17
137,第条,16
138,格尔木,16
139,泗阳,16
140,建水县,16
141,晶晶,16
142,金铭,16
143,阳光集团,16
144,新加坡,16
145,减半,16
146,太仓港,16
147,中恒,16
148,水电,15
149,配额,15
150,郎溪,15
151,莱芜,15
152,友,15
153,同日,15
154,启运,15
155,天津,15
156,建造,15
157,昆山,15
158,金太阳,15
159,电气,15
160,国,15
161,深圳,14
162,陕县,14
163,环保,14
164,内蒙古,14
165,商行,14
166,南通,14
167,开庭审理,14
168,迟延,14
169,维不,14
170,塘,13
171,涉县,13
172,发电设备,13
173,武安市,13
174,精河县,13
175,建筑物,13
176,酒泉,13
177,农,13
178,元后,13
179,协议书,13
180,未付,13
