,分词排序,词频
0,南瑞,609
1,电力,357
2,南京,299
3,国电,298
4,国网,197
5,电气,186
6,科学,163
7,上海,150
8,自动化,143
9,电网,129
10,第版,128
11,北京,117
12,江苏,107
13,科技,102
14,信息,102
15,工程,99
16,网站,95
17,置信,82
18,建设,78
19,能源,76
20,材料,72
21,南瑞继保,69
22,国家电网,59
23,市场价,54
24,银行,50
25,控制系统,50
26,智能,49
27,电科院,44
28,通信,43
29,环保,42
30,数据,38
31,武汉,38
32,院长,38
33,制造,37
34,轨道交通,36
35,江宁,34
36,党组,34
37,输电,33
38,新能源,33
39,房地产,32
40,房产,31
41,特高压,30
42,工业,30
43,发电,30
44,兼国网,30
45,节能,29
46,普瑞,28
47,装备,28
48,五五,28
49,高新技术,28
50,柔性,27
51,职,27
52,电力设备,27
53,电,25
54,光伏,24
55,巴西,24
56,硕士学位,24
57,工程师,24
58,安徽,23
59,电力公司,22
60,继电保护,21
61,直流,21
62,互联网,20
63,电子,20
64,电气控制,20
65,检测,20
66,国网公司,19
67,调度,19
68,总会计师,18
69,副所长,18
70,集成,17
71,重庆,17
72,变压器,17
73,研究员级,17
74,党支部,17
75,水利,16
76,常州,16
77,太阳能,16
78,土地,16
79,所长,16
80,建造,16
81,南京市,15
82,变电站,15
83,沈国荣,15
84,南瑞恒驰,15
85,恒驰,15
86,技术创新,14
87,电力工程,14
88,智慧,14
89,博瑞,14
90,富,14
91,通科技,14
92,同受,14
93,飞龙,13
94,信息化,13
95,电力系统,13
96,风电,13
97,南瑞吉电,13
98,电缆,13
99,微电子,13
100,宏源,13
101,党总支,13
102,中电普瑞,12
103,信息技术,12
104,系统集成,12
105,开关,12
106,公司员工,12
107,软件,12
108,南瑞帕,12
109,威尔,12
110,刊载,12
111,环境,12
112,德,12
113,小型,12
114,微利,12
115,智能化,11
116,联网,11
117,电动汽车,11
118,新一代,11
119,高压,11
120,苏州,11
121,继保,11
122,实缴,11
123,航天,11
124,河北,11
125,中天,11
126,申请专利,11
127,无锡市,11
128,副总,11
129,人力资源部,11
130,工会主席,11
131,建筑物,11
132,专利权,11
133,南瑞年,10
134,结构性,10
135,人工智能,10
136,变革,10
137,配电网,10
138,交直流,10
139,重庆市,10
140,中铁二局,10
141,南瑞三能,10
142,仪表,10
143,科东,10
144,广州,10
145,南瑞泰事,10
146,无锡,10
147,福建,10
148,雷亚尔,10
149,专利申请,10
150,书,10
151,永中,9
152,许少,9
153,蕖,9
154,配电,9
155,二次,9
156,输变电,9
157,基础设施,9
158,关键技术,9
159,调控,9
160,山东,9
161,怡和,9
162,增至,9
163,第二十八,9
164,南瑞捷,9
165,鸿,9
166,工程技术,9
167,南,9
168,南瑞博瑞,9
169,中兴,9
170,黑龙江省,9
171,首席,9
172,国务院,8
173,代扣,8
174,控制技术,8
175,深化,8
176,电站,8
177,量子,8
178,投运,8
179,网,8
180,网络,8
181,水利水电,8
182,获,8
183,资本金,8
184,工商登记,8
185,南瑞继远,8
186,南瑞电研,8
187,华源,8
188,系统控制,8
189,瑞中,8
190,国际化,8
191,天津,8
192,浙江,8
193,腾云,8
194,能效,8
195,测评,8
196,襄阳,8
197,合成,8
198,绝缘子,8
199,亚,8
200,东亚,8
201,中国银行,8
202,审计部,8
203,人冷俊,8
204,西安,8
205,项及,8
206,所得税率,8
207,续表,8
208,泰铢,8
209,云南,7
210,技术开发区,7
211,路,7
212,解读,7
213,一体化,7
214,供电,7
215,充换,7
216,核心技术,7
217,示意图,7
218,监测,7
219,泛,7
220,电工,7
221,调试,7
222,华能,7
223,摘要,7
224,雄,7
225,安南,7
226,瑞,7
227,业主,7
228,城乡,7
229,瑕疵,7
230,承租,7
231,泰达,7
232,宏利,7
233,第十七次,7
234,瑞银,7
235,龙,7
236,山西晋,7
237,非晶,7
238,招商银行,7
239,张建伟,7
240,东北,7
241,纪委书记,7
242,印尼,7
243,沈阳,7
244,济南,7
245,养老保险,7
246,研在,7
247,马来西亚,7
248,印度尼西亚盾,7
249,江建,7
250,大道,6
251,水务,6
252,面向,6
253,用电,6
254,同源,6
255,铁路,6
256,交通,6
257,海上,6
258,开工,6
259,制造业,6
260,火电,6
261,高质量,6
262,充电,6
263,中央,6
264,其他费用,6
265,终端,6
266,通信业,6
267,科研,6
268,义务人,6
269,结构调整,6
270,新华,6
271,人寿保险,6
272,团体,6
273,南瑞淮胜,6
274,技术装备,6
275,信通,6
276,光大银行,6
277,松林,6
278,张宁,6
279,农村,6
280,纪检组,6
281,纪委,6
282,乌鲁木齐,6
283,成都,6
284,缴费,6
285,进项税额,6
286,管委会,6
287,国家科技部,6
288,英镑,6
289,冷俊,5
290,对策,5
291,第一季度,5
292,一次性,5
293,软硬件,5
294,基建,5
295,绿色,5
296,电气化,5
297,传统,5
298,千伏,5
299,鉴定,5
300,总包,5
301,第二十三,5
302,长耀售,5
303,铜川,5
304,汽车,5
305,年经,5
306,子,5
307,新兴,5
308,服务业,5
309,高科技,5
310,配网,5
311,成套设备,5
312,起个,5
313,权属,5
314,重阳,5
315,国有企业,5
316,清理,5
317,股份有限,5
318,盛,5
319,碳,5
320,益能,5
321,电器,5
322,贷款额度,5
323,交通银行,5
324,香港,5
325,奚,5
326,国富,5
327,胡江溢,5
328,汗青,5
329,高宗,5
330,工作部,5
331,成员国,5
332,副处长,5
333,大坝,5
334,监察部,5
335,通讯,5
336,除净,5
337,划归,5
338,自用,5
339,退休,5
340,计征,5
341,销项,5
342,企业资质,5
343,复审,5
344,集成电路,5
345,实验,5
346,令吉,5
347,理解,4
348,国资委,4
349,电南瑞,4
350,国有资产,4
351,监督管理,4
352,中信证券,4
353,表时,4
354,元元,4
355,市政,4
356,电能,4
357,并网,4
358,最新,4
359,交流,4
360,可控,4
361,成套,4
362,装置,4
363,电压,4
364,电气设备,4
365,一批,4
366,雄安,4
367,服务化,4
368,城际,4
369,里程,4
370,第二条,4
371,主管部门,4
372,科技进步,4
373,二等奖,4
374,人才队伍,4
375,研制,4
376,承接,4
377,混合,4
378,消防,4
379,深圳,4
380,新兴产业,4
381,思想,4
382,教育,4
383,和谐,4
384,年底,4
385,网络安全,4
386,有轨电车,4
387,许继,4
388,第十三次,4
389,电务,4
390,工程项目,4
391,试运行,4
392,运维,4
393,三型,4
394,两网,4
395,交通运输,4
396,强国,4
397,把握,4
398,文化,4
399,技术改造,4
400,内及,4
401,沪,4
402,源融,4
403,第二十一次,4
404,基石,4
405,菲尼克斯,4
406,斯特斯,4
407,复合材料,4
408,电财,4
409,扩股,4
410,新街口,4
411,报刊,4
412,版面,4
413,检索,4
414,路径,4
415,排污,4
416,郑宗强,4
417,郑垂勇,4
418,刘向明,4
419,刘振强,4
420,党组书记,4
421,学士学位,4
422,科技部,4
423,陈,4
424,导师,4
425,华北电力大学,4
426,副教授,4
427,英大,4
428,山东鲁能,4
429,主持,4
430,水情,4
431,水调,4
432,环境监测,4
433,刘观标,4
434,副组长,4
435,监审,4
436,施工,4
437,职工代表,4
438,中央银行,4
439,南瑞国盾,4
440,制品,4
441,两者之间,4
442,归类,4
443,按应,4
444,仓库,4
445,楼,4
446,机房,4
447,期未到,4
448,合肥,4
449,席位,4
450,责,4
451,湛蓝,4
452,阐述,3
453,云南省,3
454,荣正,3
455,可比,3
456,无论是,3
457,注年,3
458,中年,3
459,第二季度,3
460,第三季度,3
461,拨款,3
462,提供商,3
463,领军,3
464,互联,3
465,变电,3
466,自动,3
467,唯一,3
468,工矿企业,3
469,侧,3
470,视频,3
471,支持系统,3
472,广泛应用,3
473,环节,3
474,灵活,3
475,换流,3
476,断路器,3
477,领先水平,3
478,主,3
479,信息安全,3
480,防护,3
481,无线通信,3
482,招投标,3
483,商业模式,3
484,增长点,3
485,接入,3
486,物理,3
487,快速增长,3
488,公里,3
489,万公里,3
490,健康,3
491,测控,3
492,一大批,3
493,科技成果,3
494,水电,3
495,可靠性,3
496,售后服务,3
497,岸电,3
498,省部级,3
499,储能,3
500,重大项目,3
501,港口,3
502,服务器,3
