,分词排序,词频
0,江淮,339
1,汽车,335
2,合肥,210
3,安徽,194
4,排放,188
5,废气,140
6,新能源,135
7,合肥市,107
8,污水,106
9,污染物,103
10,安凯,98
11,废水,91
12,车间,86
13,乘用车,75
14,江汽,74
15,客车,71
16,污水处理,69
17,涂装,61
18,动力,59
19,环境,59
20,信息,57
21,监测,52
22,银行,51
23,工程,51
24,商用车,48
25,万辆,48
26,材料,46
27,喷漆,46
28,环境影响,45
29,发动机,42
30,应急,42
31,环保,41
32,兴业,40
33,和行,37
34,厂区,36
35,零部件,35
36,制造,35
37,二甲苯,35
38,环境保护,35
39,甲烷,34
40,总烃,34
41,废,33
42,总装,32
43,颗粒物,31
44,固废,31
45,处理厂,31
46,轿车,30
47,氨氮,30
48,烘干,30
49,制造业,29
50,过滤,29
51,建设,28
52,装置,28
53,室,28
54,轻型,27
55,烟尘,27
56,浓度,27
57,噪声,27
58,危险废物,26
59,深圳,25
60,设置,25
61,竣工,25
62,渣,24
63,函号,24
64,科技,23
65,四川,23
66,北京,23
67,生,23
68,燃烧,23
69,车桥,22
70,达标排放,22
71,电泳,22
72,汽车集团,21
73,房地产,21
74,整车,21
75,焊接,21
76,管网,21
77,环境保护局,21
78,康明斯,20
79,重型,20
80,氮氧化物,20
81,污泥,20
82,检测,20
83,口,20
84,美桥,19
85,废液,19
86,总排,19
87,安驰,18
88,专用车,18
89,重工,18
90,二氧化硫,18
91,生化,18
92,预处理,18
93,市政,18
94,排入,18
95,达标,18
96,气筒,18
97,环保局,18
98,环评,18
99,数据,17
100,镍,17
101,焊装,17
102,收集,17
103,吸附,17
104,土地,16
105,排污,16
106,磷化,16
107,接管,16
108,净化,16
109,高空,16
110,选用,16
111,审号,16
112,安进,15
113,齿轮,15
114,云鹤安道,15
115,延锋,15
116,马钢,15
117,黄山,15
118,多功能,15
119,化工,15
120,石油,15
121,污染,15
122,物化,15
123,技术开发区,15
124,冲压,15
125,环建,15
126,万台,15
127,生物,15
128,铸造,14
129,香港,14
130,华北,14
131,毅昌,14
132,拓,14
133,工贸,14
134,排放口,14
135,设有,14
136,星瑞,13
137,扬州,13
138,广州,13
139,安庆,13
140,大众,13
141,车型,13
142,下线,13
143,车,13
144,配件,13
145,总站,13
146,盛景,12
147,振风,12
148,底盘,12
149,比克,12
150,电池,12
151,松芝,12
152,轻卡,12
153,包装桶,12
154,活性炭,12
155,漆雾,12
156,脱脂,12
157,烟囱,12
158,米,12
159,大气,12
160,排放量,12
161,低噪声,12
162,分厂,12
163,平安,12
164,车体,11
165,意大利,11
166,朝柴,11
167,餐饮,11
168,华夏,11
169,瑞福德,11
170,网站,11
171,货车,11
172,商务车,11
173,工厂,11
174,磷酸盐,11
175,总磷,11
176,生产废水,11
177,尾气,11
178,一处,11
179,环境监测,11
180,自动,11
181,换届选举,11
182,推广应用,11
183,项兴初,10
184,越南,10
185,车身,10
186,汽车配件,10
187,华霆,10
188,马,10
189,瑞利,10
190,轮胎,10
191,建投,10
192,系本,10
193,准备金,10
194,全厂,10
195,高排,10
196,文号,10
197,文,10
198,扩建,10
199,事故,10
200,高新技术,10
201,财建号,10
202,物流,9
203,汇凌,9
204,元丰,9
205,帝宝,9
206,中安,9
207,印刷,9
208,银联,9
209,医院,9
210,冀东,9
211,万力,9
212,工业,9
213,电动,9
214,需氧量,9
215,交由,9
216,汽油,9
217,清洗,9
218,水,9
219,小型,9
220,一厂,9
221,排,9
222,公示,9
223,减振,9
224,工序,9
225,下发,9
226,陶伟,9
227,天津,8
228,特瑞捷,8
229,哈尔滨,8
230,凯,8
231,太航,8
232,常青,8
233,汇众,8
234,物业,8
235,安,8
236,希,8
237,辆,8
238,额较,8
239,变速器,8
240,资源,8
241,清理,8
242,有机溶剂,8
243,棉,8
244,风机,8
245,三级,8
246,污染源,8
