,分词排序,词频
0,润泰,219
1,深圳,117
2,九有,69
3,银行,67
4,寿宁,67
5,博立信,64
6,北京,60
7,科技,51
8,信息,46
9,春晓,30
10,剔除,30
11,对润泰,28
12,上海,21
13,徐莹泱,19
14,模组,18
15,韩越,18
16,汉诺,17
17,天津,17
18,摄像头,17
19,网站,16
20,盛鑫,16
21,元通,16
22,睿雅,16
23,润宏茂,16
24,工程,16
25,大信,15
26,手机,15
27,材料,15
28,润坤德,15
29,润丰,15
30,恒业,15
31,润源,15
32,飞,15
33,金控,14
34,房地产,14
35,高伟,13
36,分局,13
37,粤,12
38,公关,11
39,致信,11
40,宁波,11
41,福田区,11
42,香港,11
43,案号,11
44,涉诉,11
45,李艳娟,10
46,担保责任,10
47,因润泰,10
48,生物,10
49,方冠霞,9
50,数据,9
51,高欣,9
52,博立,8
53,顾问,8
54,钟化,8
55,担保人,8
56,基业,8
57,浙商,8
58,建造,8
59,代付,8
60,银行贷款,7
61,为润泰,7
62,公安局,7
63,普元,7
64,南山区,6
65,摄像,6
66,刘健君,6
67,杨学强,6
68,蔡昌富,6
69,协议书,6
70,占贵,6
71,杭州,6
72,上海市公安局,6
73,奉贤,6
74,郭君磊,6
75,油气,6
76,教育费,6
77,数码科技,6
78,建行,6
79,指纹,5
80,准备金,5
81,停业,5
82,传播,5
83,健康,5
84,知情权,5
85,与润泰,5
86,润,5
87,泰,5
88,汇商,5
89,朱莲美,5
90,法务,5
91,通讯,5
92,清理,5
93,建设,5
94,含个,5
95,信用证,5
96,放入,5
97,物流,5
98,保全,5
99,建设银行,5
100,李楠,4
101,崔文根,4
102,粤海,4
103,街道,4
104,广场,4
105,楼室,4
106,孙,4
107,制造,4
108,下滑,4
109,停顿,4
110,惯常,4
111,配合,4
112,服务行业,4
113,进项,4
114,软件,4
115,超薄,4
116,高清,4
117,智能化,4
118,装备,4
119,第十四次,4
120,应诉,4
121,反,4
122,追究,4
123,从业,4
124,陷于,4
125,停滞,4
126,名下,4
127,因涉嫌,4
128,非法,4
129,公众,4
130,罪,4
131,乾,4
132,汽车,4
133,齐鲁,4
134,信息技术,4
135,否定,4
136,中央银行,4
137,服务收入,4
138,土地,4
139,艳萍,3
140,一路,3
141,销售业务,3
142,中京,3
143,民信,3
144,未归,3
145,危机,3
146,开展业务,3
147,江苏,3
148,并表,3
149,项较,3
150,重于,3
151,终端,3
152,公共关系,3
153,互补,3
154,妥善处理,3
155,尽量减少,3
156,民事诉讼,3
157,预警,3
158,资源,3
159,义务人,3
160,途径,3
161,督促,3
162,对贵,3
163,尽快,3
164,中国光大银行,3
165,户,3
166,环境,3
167,排污,3
168,就职,3
169,公无司,3
170,盛杰民,3
171,任教,3
172,博士生,3
173,导师,3
174,王北,3
175,财务主管,3
176,延边,3
177,整改措施,3
178,保费,3
179,计算机软件,3
180,在内,3
181,建筑物,3
182,机器设备,3
183,电子设备,3
184,办公设备,3
185,结果表明,3
186,政策性,3
187,高新技术,3
188,微电子,3
189,保险费,3
190,快递费,3
191,因未,3
192,配偶,3
193,光大银行,3
194,深圳市中级人民法院,3
195,农业银行,3
196,查阅,2
197,外文,2
198,电子信箱,2
199,网址,2
200,深港,2
201,前湾,2
202,号栋室,2
203,媒体,2
204,证券部,2
205,杨昕,2
206,肖祖光,2
207,非金融,2
208,自然灾害,2
209,显失,2
210,一次性,2
211,电子行业,2
212,上游,2
213,影像,2
214,贬值,2
215,人工成本,2
216,芯片,2
217,价格上涨,2
218,经大信,2
219,金融机构,2
220,趋于,2
221,谨慎,2
222,化解,2
223,陷入,2
224,多家,2
225,浙江,2
226,人工,2
227,动力,2
228,信待,2
229,交付使用,2
230,款因,2
231,这一,2
232,中未,2
233,将润泰,2
234,概况,2
235,短缺,2
236,日益,2
237,资金投入,2
238,网络,2
239,新兴,2
240,定位,2
241,最大化,2
242,防范,2
243,以此,2
244,契机,2
245,维续,2
246,经营风险,2
247,人力资源,2
248,收购人,2
249,策划,2
250,签署日,2
251,出国,2
252,不归,2
253,资金紧张,2
254,手段,2
255,表该,2
256,净现金,2
257,流量,2
258,及润泰,2
259,未向,2
260,会计凭证,2
261,真实性,2
262,性及,2
263,完整性,2
264,偿付能力,2
265,性贵,2
266,赴美,2
267,及贵,2
268,股占贵,2
269,示,2
270,解聘,2
271,会计报表,2
272,中介,2
273,英锐,2
274,恩,2
275,艾邦微,2
276,中国建设银行,2
277,刑事拘留,2
278,奉贤区,2
279,人民检察院,2
280,执行逮捕,2
281,江干区,2
282,大连市,2
283,高新,2
284,余杭区,2
285,轮候,2
286,金元,2
287,环保,2
288,共青城,2
289,卓越,2
290,私募,2
291,王斌,2
292,崔弘,2
293,胡俊娥,2
294,廖闻剑,2
295,徐绅,2
296,钱桂英,2
297,软硬件,2
298,无年,2
299,人为,2
300,男女,2
301,徐雪晶,2
302,消费者,2
303,反垄断法,2
304,晓程,2
305,内蒙古,2
306,君正,2
307,能源,2
308,化工集团,2
309,中国矿业大学,2
310,会计学,2
311,动力源,2
312,数知,2
313,京能,2
314,稳盛,2
315,安理,2
316,华夏,2
317,京南,2
318,法务部,2
319,谱城,2
320,项目经理,2
321,天运,2
322,石,2
323,岘,2
324,白麓,2
325,纸业,2
326,第九次,2
327,暂行规定,2
328,教育,2
329,来访,2
330,年报,2
331,致使,2
332,失效,2
333,必要性,2
334,有待,2
335,论证,2
336,异议,2
337,第十五次,2
338,方以,2
339,母子公司,2
340,日及,2
341,下以,2
342,表时,2
343,时如,2
344,日有,2
345,若干,2
346,运输工具,2
347,届满时,2
348,尚可,2
349,试运行,2
350,存入,2
351,抵债,2
352,以换,2
353,住房,2
354,工会,2
355,教育经费,2
356,养老保险,2
357,收货,2
358,委托方,2
359,元元元,2
360,条例,2
361,之孙,2
362,票,2
363,注本,2
364,传音,2
365,锐嘉科,2
366,格科,2
367,款个,2
368,消耗性,2
369,多交,2
370,京信,2
371,评报,2
372,办公用房,2
373,物业,2
374,运输,2
375,交通,2
376,折旧费,2
377,明,2
378,细故,2
379,维修费,2
380,电商,2
381,稳岗,2
382,罚款,2
383,仓储,2
384,电子,2
385,海贸云商,2
386,退税,2
387,押汇,2
388,责任人,2
389,文书,2
390,财保,2
391,管理局,2
392,准予,2
393,扣押,2
394,清单,2
395,账号,2
396,中国银行,2
397,招商银行,2
398,兴业银行,2
399,元因,2
400,代扣代缴,2
401,一本,1
402,二未,1
403,委托人,1
404,三大信,1
405,已有,1
406,同日,1
407,高欣及,1
408,主管人员,1
409,五经,1
410,否八,1
411,违反规定,1
412,否九,1
413,章节,1
414,不利因素,1
415,详细描述,1
416,文义,1
417,另有所指,1
418,含义,1
419,常用,1
420,信九有,1
421,睿雅元,1
422,中文名称,1
423,中文,1
424,缩写,1
425,人二,1
426,联系人,1
427,联系方式,1
428,联系地址,1
429,电话传真,1
430,选定,1
431,登载,1
432,海淀区,1
433,知春路,1
434,第一季度,1
435,第二季度,1
436,十非,1
437,第三季度,1
438,第四季度,1
439,偶发性,1
440,符合国家,1
441,制造业,1
442,厂商,1
443,定制,1
444,跨境,1
445,专注,1
446,互移,1
447,网,1
448,集成系统,1
449,指纹识别,1
450,项目管理,1
451,信受,1
452,存量,1
453,良品率,1
454,大幅度,1
455,保守,1
456,收贷,1
457,前往,1
458,国外,1
459,各家,1
460,广东,1
461,江西,1
462,港台,1
463,类个,1
464,产品成本,1
465,信及,1
466,退税款,1
467,薪金,1
