,分词排序,词频
0,凌云,439
1,汽车,295
2,工业,206
3,零部件,150
4,亚,137
5,塑料制品,94
6,上海,88
7,科技,85
8,兵工,84
9,北方,78
10,河北,70
11,北京,60
12,塑料管道,50
13,信息,44
14,高新技术,43
15,西南,40
16,中兵,38
17,房地产,38
18,工程,38
19,部委,38
20,哈尔滨,35
21,制造,33
22,河北省,32
23,沈阳,32
24,建设,29
25,柳州,28
26,瓦达,27
27,沙夫,27
28,信字,26
29,海宁,24
30,新能源,23
31,贷,22
32,资源,21
33,吉恩,21
34,斯,21
35,配股,20
36,涿州,20
37,材料,20
38,深圳,20
39,耐世特,20
40,为于,20
41,证书编号,20
42,电池,19
43,成型,19
44,赵延成,18
45,中国兵器工业集团,18
46,长春,18
47,银行,18
48,塑料管,18
49,芜湖,17
50,车辆,17
51,环境,17
52,乔治,17
53,费歇尔,17
54,网站,16
55,印尼,16
56,机器人,16
57,智能,16
58,贷内,16
59,国家税务局,16
60,金属,15
61,轻量化,15
62,辊,15
63,机械,15
64,光电,15
65,制品,15
66,模具,14
67,环保,14
68,扶贫,14
69,中国银行,14
70,翟斌,13
71,涿州市,13
72,宝马,13
73,自动化,13
74,土地,13
75,厅,13
76,财政厅,13
77,地方税务局,13
78,江苏,12
79,恒晋,12
80,热,12
81,焊接,12
82,壳,12
83,燕兴,12
84,仪器,12
85,预提,12
86,胶管,11
87,管道,11
88,机械厂,11
89,建筑物,11
90,广州,10
91,数据,10
92,工装,10
93,市政工程,10
94,对标,10
95,信息化,10
96,塑料,10
97,干部,10
98,机电,10
99,工程师,10
100,生物,10
101,王永良,9
102,供货,9
103,兵器,9
104,制造业,9
105,万辆,9
106,世东,9
107,工程设计,9
108,奔驰,8
109,保险杠,8
110,区域化,8
111,一体化,8
112,烟台,8
113,定点,8
114,铝合金,8
115,重庆,8
116,北奔,8
117,重型汽车,8
118,太行,8
119,样本,8
120,卢比,8
121,成都,8
122,信贷,8
123,顺利,7
124,德国,7
125,瑞华,7
126,阔丹,7
127,高强度,7
128,国家级,7
129,精益,7
130,文化,7
131,满意,7
132,总成,7
133,工作站,7
134,当日,7
135,兵器工业,7
136,企业法人,7
137,税务局,7
138,科学技术委员会,7
139,汽车零件,7
140,东园,7
141,标的物,7
142,授信额度,7
143,青浦,7
144,法兰克福,7
145,注本,7
146,技术改造,7
147,松林,6
148,主机厂,6
149,排放,6
