,分词排序,词频
0,信威,444
1,北京,394
2,通信,226
3,王靖,139
4,柬埔寨,78
5,重庆,75
6,网络,65
7,运营商,65
8,银行,63
9,科技,62
10,香港,62
11,宽带,59
12,信息,58
13,买方,55
14,智慧,51
15,电信,49
16,无线,49
17,专网,46
18,信贷,45
19,天骄,43
20,建设,42
21,中创,39
22,互联网,38
23,金华,36
24,北京分行,36
25,数据,35
26,大唐,34
27,房地产,32
28,融信,31
29,信测,30
30,财政拨款,30
31,信息技术,29
32,监测,29
33,工程,29
34,开立,29
35,公网,26
36,信威亚辰,25
37,养老,25
38,提款,25
39,无线通信,24
40,乌克兰,24
41,航空,24
42,华达,22
43,尼加拉瓜,22
44,基站,21
45,核心网,21
46,集群,21
47,政务网,21
48,特种,21
49,高鸿,20
50,终端,19
51,蒋伯峰,19
52,蒋宁,18
53,海淀区,17
54,数比,17
55,数洋,16
56,演进,16
57,医疗,16
58,安徽,16
59,天津,16
60,深圳,16
61,刘昀,16
62,涿鹿,15
63,应急,15
64,地产,15
65,俄罗斯,15
66,联网,15
67,江西,15
68,跨境,15
69,信威以,15
70,恒丰,15
71,创腾锐,14
72,通讯,14
73,环境,14
74,王庆辉,14
75,建行,14
76,直贷,14
77,亿美元,14
78,空天,13
79,坦桑尼亚,13
80,系统集成,13
81,山东,13
82,材料,13
83,金融机构,13
84,西安,13
85,许德怀,13
86,周葆华,13
87,网站,12
88,大唐电信,12
89,新兴,12
90,通信网,12
91,卫星,12
92,信友,12
93,填补,12
94,总行,12
95,信息化,11
96,电信业务,11
97,面向,11
98,定制,11
99,永胜,11
100,买卖合同,11
101,多媒体,10
102,上海,10
103,数据分析,10
104,电力,10
105,社区,10
106,河北,10
107,湖北,10
108,瑞平,10
109,巴拿马,10
110,吕,10
111,刘辛越,10
112,郑路,10
113,华融,10
114,余睿,10
115,新创,10
116,国开行,10
117,上海银行,10
118,北分,10
119,张智斌,9
120,信令,9
121,智能,9
122,轨道交通,9
123,资源,9
124,京津冀,9
125,技术转让,9
126,广辰,9
127,信贷业务,9
128,宗智程,9
129,广发,9
130,营业部,9
131,离岸,9
132,德信,9
133,接入,8
134,组网,8
135,政企,8
136,电子,8
137,空地,8
138,动力,8
139,寻求,8
140,非银行,8
141,徐州,8
142,格里夫,8
143,授信额度,8
144,土地,8
145,高新技术,8
146,公司债,8
147,招商银行,8
148,职称,8
149,生物,8
150,退税,8
151,威信,8
152,民生银行,8
153,信道,7
154,接口,7
155,中关村,7
156,软件,7
157,传统,7
158,硬件,7
159,频率,7
160,直销,7
161,海南,7
162,水利,7
163,星座,7
164,涿鹿县,7
165,平米,7
166,仪器仪表,7
167,注注,7
168,多巴,7
169,光纤,7
170,王勇萍,7
171,东风,7
172,法庭,7
173,段茂忠,7
174,工程师,7
175,证书编号,7
176,反向,7
177,平安,7
178,中国民生银行,7
179,工行,7
180,致同,6
181,东北,6
182,旺,6
183,西路,6
184,软件园,6
185,号楼,6
186,一层,6
187,乌干达,6
188,渗透率,6
189,新一代,6
190,健康,6
191,网络设备,6
192,终端产品,6
193,关键技术,6
194,一批,6
195,数据通信,6
196,共网,6
197,成君,6
198,软件开发,6
199,华兰,6
200,视讯,6
201,技术咨询,6
202,佳信,6
203,中所作,6
204,王涌,6
205,可比,6
206,异议,6
207,拉远,6
208,浦发银行,6
209,开放日,6
210,信托,6
211,博,6
212,明确规定,6
213,油气,6
214,合肥,6
215,亚辰,6
216,入伙,6
217,集信,6
218,威,6
219,拨款,6
220,中国建设银行,6
221,之保函,6
222,交通银行,6
223,存单,6
224,欠付,6
225,之二,6
226,不开,6
227,威亚辰,5
228,塞信威,5
229,科技产业,5
230,语音,5
231,无线电,5
232,工业,5
233,行业标准,5
234,王铮,5
235,响应,5
236,集成,5
237,公安,5
238,一体化,5
239,稳步,5
240,石油,5
241,采集,5
242,面积,5
243,人工,5
244,售后,5
245,青岛,5
246,武汉,5
247,工程项目,5
248,计算机系统,5
249,沃泰丰,5
250,反担保,5
251,银行贷款,5
252,准备金,5
253,元及,5
254,管辖权,5
255,一中院,5
256,硬件平台,5
257,金元,5
258,使用费,5
259,业务部,5
260,光大,5
261,塞浦路斯,5
262,物业,5
263,系统工程,5
264,建筑物,5
265,预缴,5
266,盛世,5
267,纳,5
268,半导体,5
269,中国进出口银行,5
270,澳门,5
271,保函为,5
272,中信银行,5
273,银团,5
274,折,5
275,亚洲,5
276,阿布扎比,5
277,爱尔兰,5
278,北爱尔兰,5
279,于本,4
280,创信,4
281,国际电信联盟,4
282,集合,4
283,本地,4
284,合作伙伴,4
285,技术标准,4
286,调度,4
287,可用,4
288,一次性,4
289,宽带数据,4
290,把握,4
291,广泛应用,4
292,便携式,4
293,人民,4
294,精,4
295,教育,4
296,窄带,4
297,推进物,4
298,开发成本,4
299,留抵,4
300,税额,4
301,定向,4
302,回租,4
303,基础设施,4
304,唯一,4
305,铁路,4
306,工信部,4
307,集,4
308,经贸,4
309,汇通,4
310,技术推广,4
311,医合,4
312,巴西,4
313,大龙,4
314,杨全玉,4
315,张冀湘,4
316,扣缴,4
317,鼎元,4
318,信广,4
319,驳回上诉,4
320,维持原判,4
321,邮电,4
322,山后,4
323,威金,4
324,信否否,4
325,计息,4
326,博士,4
327,湖南省,4
328,日止,4
329,中央银行,4
330,数通,4
331,信威瑞平,4
332,可变,4
333,集体,4
334,退休,4
335,西部,4
336,利特,4
337,差,4
338,异,4
339,系本,4
340,期未到,4
341,信集信,4
342,补偿金,4
343,万兆级,4
344,大容量,4
345,负载,4
346,均衡器,4
347,科技推广,4
348,应用服务,4
349,外汇,4
350,盛耀,4
351,定期存单,4
352,国家开发银行,4
353,代理行,4
354,鼎昆,4
355,等值,4
356,德胜,4
357,工银,4
358,迪拜,4
359,保函注,4
360,已有,3
361,证监会,3
362,卓创众,3
363,第三代,3
364,高速,3
365,码分多址,3
366,双工,3
367,称为,3
368,通用,3
369,立项,3
370,网络安全,3
371,空中,3
372,指挥,3
373,共用,3
374,传输,3
375,更为,3
376,服务公司,3
377,年报,3
378,新锐,3
379,不高,3
380,一带,3
381,一路,3
382,群体,3
383,以较,3
384,视频,3
385,集成商,3
386,服务提供商,3
387,消费者,3
388,赢,3
389,多地,3
390,电网,3
391,技术创新,3
392,扎实,3
393,低成本,3
394,专注,3
395,石化,3
396,民航,3
397,部署,3
398,端,3
399,长远,3
400,力争,3
401,军民,3
402,前沿,3
403,人防,3
404,跟进,3
405,层面,3
406,引入,3
407,不良,3
408,位置,3
409,低轨,3
410,平滑,3
411,路线,3
412,开工,3
413,节约,3
414,开支,3
415,年数,3
416,欧美,3
417,政务,3
418,公共安全,3
419,成熟,3
420,领先地位,3
421,带动,3
422,旗下,3
423,旅游,3
424,农业,3
425,制造业,3
426,网络系统,3
427,数据处理,3
428,国际贸易,3
429,投融资,3
430,卢森堡,3
431,消费,3
432,天地,3
433,筹划,3
434,国防,3
435,担保物,3
436,尝试,3
437,促成,3
438,人应,3
439,蔡常富,3
440,张捷,3
441,玫,3
442,包学军,3
443,郝,3
444,杨骏,3
445,新中创,3
446,期为,3
447,余睿程,3
448,清理,3
449,上诉,3
450,子,3
451,责否否,3
452,意向,3
453,排污,3
454,信威于,3
455,回售,3
456,上调,3
457,北京华,3
458,刘力,3
459,导师,3
460,研究员,3
461,科学,3
462,纪审监,3
463,威海,3
464,保费,3
465,新疆,3
466,光,3
467,华清,3
468,第九十,3
469,智信,3
470,故本,3
471,近似,3
472,对以,3
473,须用,3
474,一组,3
475,该组,3
476,低值易耗品,3
477,包装物,3
478,届满时,3
479,存入,3
480,专利权,3
481,非专利,3
482,运营权,3
483,保险费,3
484,住房,3
485,担保责任,3
486,核定,3
487,保函费,3
488,射频,3
489,创新能力,3
490,零星,3
491,备用,3
492,一所,3
493,金融中心,3
494,项下,3
495,尼,3
496,性保函,3
497,贷款额,3
498,已提,3
499,吉林省,2
500,数据网络,2
501,出口国,2
502,数据传输,2
503,蜂窝,2
504,各大,2
505,时分,2
506,频分,2
507,版本,2
508,空口,2
509,国际标准,2
510,缩写,2
511,移动电话,2
512,公众,2
513,定位,2
514,外文,2
515,人二,2
516,电子信箱,2
517,网址,2
518,媒体,2
519,放款,2
520,发货,2
521,非金融,2
522,自然灾害,2
523,显失,2
524,依然,2
525,无线网络,2
526,管理系统,2
527,统计,2
528,数据业务,2
529,薄弱,2
530,倡议,2
531,体验,2
532,生态,2
533,应用软件,2
534,分成,2
535,商,2
536,服务平台,2
537,拉动,2
538,系列产品,2
539,致力于,2
540,制造,2
541,加剧,2
542,通信产业,2
543,越来越,2
544,网络资源,2
545,灵活,2
546,信息安全,2
547,强大,2
548,技术储备,2
549,一等奖,2
550,信息产业,2
551,产品线,2
552,时期,2
553,现状,2
554,战略目标,2
555,速度,2
556,端到,2
557,端的,2
558,厂商,2
559,深,2
560,海关,2
561,宽窄,2
562,带,2
563,多元化,2
564,既定,2
565,战略规划,2
566,挑战,2
567,注入,2
568,增长点,2
569,保密,2
570,配合,2
571,车载,2
572,体制改革,2
573,警用,2
574,训练,2
575,挖掘,2
576,防空,2
577,阶段性,2
578,立足于,2
579,市场走势,2
580,既有,2
581,深耕,2
582,大规模,2
583,监测数据,2
584,欺诈,2
585,深化,2
586,内外部,2
587,载荷,2
588,产品开发,2
589,克服困难,2
590,需型,2
591,竣工,2
592,顺利进行,2
593,施工,2
594,建筑面积,2
595,宏观调控,2
596,进一步提高,2
597,缩减,2
598,暂未,2
599,系重,2
600,技术产业,2
601,关口,2
602,人口,2
603,耕耘,2
604,欠发达,2
605,粘性,2
606,频谱,2
607,自用,2
608,迎来,2
609,建设期,2
610,厂家,2
611,机场,2
612,占有率,2
613,抓住,2
614,新机遇,2
615,国务院,2
616,纲要,2
617,着眼,2
618,互利,2
619,对接,2
620,健全,2
621,计算机,2
622,电子设备,2
623,智信数,2
624,通科技,2
625,咨询服务,2
626,多种形式,2
627,动产,2
628,不动产,2
629,再次,2
630,统一标准,2
631,产业结构,2
632,适时,2
633,助力,2
634,契机,2
635,重点项目,2
636,建筑,2
637,军工,2
638,审查,2
639,国防科技,2
640,工业局,2
641,科工,2
642,原则同意,2
643,协同效应,2
644,牌照,2
645,协助,2
646,有望,2
647,初步,2
648,自由,2
649,抵,2
650,存量,2
651,竞争对手,2
652,人才流失,2
653,大部分,2
654,在技术上,2
655,收购人,2
656,无条件,2
657,法定程序,2
658,现未,2
659,行为准则,2
660,尽量避免,2
661,规章,2
662,非法,2
663,回避,2
664,或本,2
665,张祖洪付,2
666,家良,2
667,吴健,2
668,孙光,2
669,李鑫,2
670,潘,2
671,颖慧,2
672,沙广新,2
673,王国良,2
674,杨,2
675,卫东,2
676,索,2
677,光华,2
678,陶怡敏,2
679,朱建杰,2
680,刘涛,2
681,投年,2
682,利民,2
683,高晓红,2
684,李维诚,2
685,时若,2
686,三十六个,2
687,对此,2
688,拒不履行,2
689,动用,2
690,提议,2
691,制订,2
692,投票,2
693,投票权,2
694,赞成,2
695,宗智,2
696,程宗智,2
697,号本,2
698,从原,2
699,分拆,2
700,号文,2
701,解读,2
702,义务人,2
703,个人所得税法,2
704,无论是,2
705,表时,2
706,此次,2
707,解聘,2
708,民事诉讼,2
709,决现,2
710,再审,2
711,可研,2
712,合同书,2
713,撤回,2
714,第十四次,2
715,台,2
716,两份,2
717,控股权,2
718,中介机构,2
719,相关者,2
720,环保,2
721,外资股,2
722,创业投资,2
723,信集,2
724,赛大有,2
725,唐海,2
726,蓉,2
727,信达,2
728,澳银,2
729,光大银行,2
730,中航,2
731,天启号,2
732,增,2
733,财通,2
734,中国长城资产管理公司,2
735,男女,2
736,涌,2
737,宗智高,2
738,全治王,2
739,教授级,2
740,建设工程,2
741,中国政法大学,2
742,财政厅,2
743,研究室,2
744,创原,2
745,人力资源部,2
746,副经理,2
747,创信测,2
748,法务部,2
749,冠威,2
750,天冠,2
751,重天,2
752,航动,2
753,罗建,2
754,叶翠叶翠,2
755,专科,2
756,市场供应,2
757,充足,2
758,权责,2
759,系信威,2
760,有息,2
761,月经,2
762,更名,2
763,塞信,2
764,美国公司,2
765,鸟,2
766,英国公司,2
767,疑虑,2
768,无意,2
769,确信,2
770,被迫,2
771,除因,2
772,日新,2
773,除净,2
774,内因,2
775,自同,2
776,表中,2
777,很小,2
778,此类,2
779,恶化,2
780,投资人,2
781,持续时间,2
782,含个,2
783,以摊,2
784,一致同意,2
785,当本,2
786,该种,2
787,机器设备,2
788,尚可,2
789,带息,2
790,职工工资,2
791,医疗保险,2
792,工伤保险,2
793,生育,2
794,养老保险,2
795,退,2
796,方对,2
797,政策性,2
798,款额,2
799,余值,2
800,税收政策,2
801,鼓励类,2
802,软件产品,2
803,证券公司,2
804,票,2
805,代付,2
806,建造,2
807,信托业,2
808,科技园,2
809,置,2
810,出资额,2
811,无需,2
812,期等,2
813,两江,2
814,房产,2
815,教育费,2
816,孙,2
817,宏亮,2
818,溢,2
819,借入,2
820,为信,2
821,信威及,2
822,扩展,2
823,仪表,2
824,北斗,2
825,时空,2
826,蔬菜,2
827,广域,2
828,宽带接入,2
829,安全监控,2
830,输电,2
831,交互,2
832,传感器,2
833,科技成果,2
834,转化,2
835,科委,2
836,灾害,2
837,变频,2
838,芯片,2
839,网络接口,2
840,分析仪,2
841,航空器,2
