,分词排序,词频
0,海航,1032
1,机场,610
2,海南,606
3,房地产,305
4,海口,269
5,三亚,229
6,海口市,220
7,临空,185
8,建设,183
9,工程,165
10,海岛,150
11,航空,143
12,凤凰,133
13,秀英区,99
14,望海,96
15,土地,82
16,物业管理,80
17,旅游,78
18,实业集团,76
19,酒店,74
20,基础设施,72
21,北京,72
22,基础产业,72
23,物业,71
24,天津,69
25,信息,67
26,美兰,66
27,亿城,58
28,地产,49
29,香港,49
30,南航,47
31,扶贫,47
32,免税,45
33,商业广场,45
34,海南省,44
35,美兰区,44
36,住宅,43
37,上海,42
38,广州,41
39,银行,41
40,信托,40
41,南海,38
42,商务酒店,38
43,物流,37
44,豪庭,36
45,儋州,35
46,广场,35
47,面积,34
48,地块,32
49,房产,32
50,产业园,31
51,通航,28
52,博鳌,28
53,深圳,28
54,迎宾馆,27
55,工作调动,27
56,数据,26
57,岛,26
58,民航,26
59,免税店,25
60,营口,24
61,李润江,24
62,建,23
63,苏州,23
64,大通,23
65,国兴,23
66,代建及,22
67,工程建设,21
68,本部,21
69,新华,21
70,武汉,20
71,宜昌,20
72,资源,20
73,湖北,19
74,航线,19
75,重庆,19
76,琼山区,19
77,三亚市,19
78,城,19
79,琼海,18
80,旗下,18
81,交通,18
82,广东,18
83,洋浦,18
84,一卡通,18
85,不动产,18
86,兴业,18
87,建筑设计,18
88,满洲里,17
89,工程项目,17
90,信用等级,17
91,福州,17
92,国用,17
93,装饰,17
94,兴华,16
95,康乐,16
96,湖南,16
97,男岁,16
98,安庆,15
99,江苏,15
100,英山,15
101,竣工,15
102,消费,15
103,琼中,15
104,万宁,15
105,旅,15
106,科技,15
107,集合,15
108,郑知求,15
109,土房,15
110,易建,15
111,策划,15
112,蓝海,14
113,成都,14
114,天津市,14
115,休闲,14
116,用地,14
117,龙华区,14
118,日月,14
119,草堂,14
120,董监,14
121,生物,14
122,建造,14
123,审众,13
124,旅客,13
125,写字楼,13
126,餐饮,13
127,环境,13
128,公益,13
129,华府,13
130,长春,13
131,宝源,13
132,创建,13
133,农业,13
134,教育,13
135,海基,13
136,哈尔滨,13
137,自由贸易,12
138,南苑,12
139,西郊,12
140,西安,12
141,唐山,12
142,代建,12
143,地面,12
144,航站楼,12
145,天涯,12
146,慈航,12
147,宁河,12
148,海阔天空,12
149,汇,12
150,计息,12
151,张志泉,12
