,分词排序,词频
0,炭素,317
1,方大,218
2,银行,157
3,材料,133
4,科技,80
5,沈阳,69
6,成都,64
7,抚顺,63
8,上海,56
9,土地,48
10,信息,46
11,辽宁,45
12,合肥,43
13,光,41
14,石墨,40
15,蓉,39
16,石墨电极,38
17,碳纤维,35
18,搬迁,34
19,兰州,32
20,广发,32
21,工程,31
22,房地产,28
23,地产,26
24,吉林,26
25,制品,25
26,功率,25
27,结构性,24
28,民生银行,23
29,建设,22
30,超高,22
31,环保,21
32,四川,21
33,兰州市,19
34,针状,19
35,江城,19
36,工业,18
37,焦,18
38,海龙,18
39,大喜,18
40,科墨,18
41,江苏,18
42,甘肃省,17
43,红古区,17
44,环境,17
45,特钢,17
46,邱宗元,16
47,宝方炭,16
48,第一个,16
49,辽宁抚顺,16
50,生物,15
51,化工,15
52,莱河,15
53,矿业,15
54,北京,15
55,权属,14
56,爱建,14
57,网站,13
58,党锡江,12
59,宝钢,12
60,拨款,12
61,高新,11
62,资源,11
63,行权期,11
64,萍钢,11
65,国贸,11
66,文波,11
67,钢铁,11
68,特种,10
69,电极,10
70,烯,10
71,第六次,10
72,碳,10
73,成就,10
74,张天军,10
75,赵尔琴,9
76,数据,9
77,权证,9
78,合肥市,9
79,改制,9
80,恒昌,9
81,惠能,9
82,资本金,9
83,信托公司,9
84,舒,9
85,甘肃,9
86,天职,8
87,炭,8
88,能源,8
89,电弧炉,8
90,所有权证,8
91,解聘,8
92,符合条件,8
93,营业部,8
94,闫奎兴,8
95,杨远继,8
96,扶贫,8
97,排放,8
98,敖,8
99,新华,8
100,预提,8
101,第十次,8
102,人党锡江,8
103,建造,8
104,外经贸,8
105,万份,8
106,路,7
107,复合材料,7
108,制造,7
109,新建,7
110,应急,7
111,三门峡,7
112,绥芬河,7
113,国际贸易,7
114,胡建忠,7
115,袁,7
116,建新,7
117,青岛,7
118,商品销售,7
119,规格,6
120,延伸,6
121,铭源,6
122,第五次,6
123,污染物,6
124,铝业,6
125,抚顺市,6
126,判决书,6
127,信托,6
128,热电,6
129,江西,6
130,不含税,6
131,杨光,6
132,李晓慧,6
133,魏彦珩,6
134,江,6
135,马之旺,6
136,排污,6
137,中央,6
138,吴粒,6
139,油气,6
140,催收,6
141,石湾镇,5
142,炭砖,5
143,负极,5
144,冶金,5
145,健康,5
146,装备,5
147,铁精粉,5
148,国外,5
149,框架,5
150,开工,5
151,龙泉驿区,5
152,实缴,5
153,方泰,5
154,精密,5
155,达标排放,5
156,由本,5
157,政策性,5
158,房产,5
159,中国人民银行,5
160,为元股,5
161,薪,5
162,加薪,5
163,侍乐媛,5
164,晋华,5
165,国利,5
166,孙,5
167,宝安,5
168,陈立勤,5
169,养老保险,5
170,刘一,5
171,徐鹏,5
172,常务,5
173,任方大,5
174,九江,5
175,推荐,5
176,建筑物,5
177,换取,5
178,到货,5
179,吉林市,5
180,追偿,5
181,萍乡,5
182,安源,5
183,富达,5
184,安民,4
185,阴极,4
186,高温,4
187,气冷,4
188,堆,4
189,东北,4
190,医疗,4
191,供给,4
192,发货,4
193,价格上涨,4
194,研制,4
195,工厂,4
196,眉山,4
197,大蓉,4
198,甘眉,4
199,工业园区,4
200,第九次,4
201,签定,4
202,化工产品,4
203,碳素,4
204,节能,4
205,文化,4
206,抓好,4
207,绿色,4
208,石,4
209,商业机会,4
210,按原,4
211,城区,4
212,未办理,4
213,沈抚,4
214,同城化,4
215,列入,4
216,清理,4
217,相当于,4
218,北京市高级人民法院,4
219,由元股,4
220,共人,4
221,第八次,4
222,为份,4
223,何忠华,4
224,李新,4
225,海军,4
226,苟,4
227,艳丽,4
228,王博,4
229,衷金勇,4
230,方威,4
231,子女,4
232,废水,4
233,废气,4
234,厂区,4
235,社保,4
236,部副,4
237,人力资源部,4
238,参照,4
239,相匹配,4
240,中是,4
241,发票,4
242,箱单,4
243,提单,4
244,中央银行,4
245,餐饮,4
246,山东,4
247,安徽,4
248,新设,4
249,日有,4
250,西部,4
251,工程项目,4
252,科技局,4
253,株式会社,4
254,煤炭,4
255,化学,4
256,出席会议,4
257,炼焦煤,4
258,气,4
259,海鸥,4
260,陕县,4
261,北京四中,4
262,院,4
263,时如,3
264,登记日,3
265,分配比例,3
266,网址,3
267,铁矿,3
268,石墨制品,3
269,核电,3
270,锂离子,3
271,炭炭,3
272,科研,3
273,售后服务,3
274,同期相比,3
275,焙烧,3
276,接头,3
277,技术水平,3
278,获,3
279,高质量,3
280,紧盯,3
281,衔接,3
282,人工,3
283,开具,3
284,建成投产,3
285,概算,3
286,伍仟,3
287,蜀昊,3
288,等家,3
289,机械设备,3
290,零配件,3
291,原辅材料,3
292,仪器仪表,3
293,锅炉,3
294,前置,3
295,钢,3
296,污染,3
297,精细化,3
298,汽车,3
299,贡献,3
300,信息化,3
301,营造,3
302,增产,3
303,降,3
304,干部,3
305,共享,3
306,为方大,3
307,答复,3
308,土地证,3
309,房产证,3
310,拟定,3
311,省政府,3
312,尚无,3
313,回避,3
314,清欠,3
315,给付,3
316,金钱,3
317,诉讼法,3
318,加倍,3
319,迟延,3
320,收已,3
321,收是,3
322,益率,3
323,回,3
324,换届选举,3
325,教育,3
326,配偶,3
327,退休,3
328,交流,3
329,科学,3
330,环境保护,3
331,出资额,3
332,制药,3
333,奖励金,3
334,李晶孙,3
335,马杰,3
336,尚需,3
337,曾任兰,3
338,党总支,3
339,通讯,3
340,期后,3
341,保费,3
342,准备金,3
343,龙诚,3
344,电源,3
345,原子,3
346,项可供,3
347,低值易耗品,3
348,包装物,3
349,专用设备,3
350,通用设备,3
351,款额,3
352,竣工,3
353,征林,3
354,征地,3
355,社区,3
356,教育费,3
357,即征,3
358,退,3
359,消耗性,3
360,补偿费,3
361,机器,3
362,工期,3
363,保险费,3
364,补偿款,3
365,新兴产业,3
366,保险,3
367,财政拨款,3
368,龙泉,3
369,稳岗,3
370,补助款,3
371,下称,3
372,失效,3
373,向名,3
374,农行,3
375,连带保证,3
376,电力公司,3
377,泛域,3
378,河南省高级人民法院,3
379,拍卖,3
380,二一,2
381,四月,2
382,职,2
383,长远利益,2
384,查阅,2
385,电子信箱,2
386,媒体,2
387,大街,2
388,光大,2
389,瑞信,2
390,方正,2
391,代表人,2
392,符合国家,2
393,非金融,2
394,自然灾害,2
395,显失,2
396,项年,2
397,一次性,2
398,粉,2
399,砖,2
400,主导产品,2
401,微孔,2
402,阳极,2
403,构件,2
404,电池,2
405,前列,2
406,广泛应用,2
407,机械,2
408,高科技,2
409,供产销,2
410,工艺流程,2
411,车间,2
412,业务经理,2
413,细化,2
414,反馈,2
415,询,2
416,比价,2
417,电子,2
418,航空航天,2
419,新能源,2
420,上涨,2
421,开工率,2
422,释放,2
423,核用炭,2
424,唯一,2
425,德国,2
426,电热,2
427,二次,2
428,清理机,2
429,浸渍,2
430,化炉,2
431,多家,2
432,互补,2
433,中科院,2
434,产品开发,2
435,西方,2
436,产业结构,2
437,侧,2
438,杠杆,2
439,调控,2
440,全方位,2
441,挖潜,2
442,增效,2
443,赛马,2
444,花园式,2
445,再次,2
446,矿石,2
447,电费,2
448,装卸,2
449,二非,2
450,高品质,2
451,认股,2
452,钢材,2
453,系列产品,2
454,石油焦,2
455,石油,2
456,技术咨询,2
457,利润率,2
458,电炉,2
459,供需,2
460,强大,2
461,达标,2
462,传统,2
463,电流,2
464,取决于,2
465,炼钢,2
466,需求量,2
467,振兴,2
468,民族,2
