,分词排序,词频
0,浙江,201
1,华海,195
2,药业,168
3,原料药,112
4,制剂,109
5,医药,103
6,治疗,90
7,药,85
8,化学药品,81
9,药品,75
10,上海,68
11,信息,63
12,制药,60
13,科技,59
14,临海市,52
15,化工,52
16,缬沙坦,49
17,临床,47
18,工程,46
19,排放,45
20,仿制,43
21,生物,43
22,文,37
23,台州,36
24,药物,34
25,数据,34
26,第四类,32
27,高血压,31
28,杭州,31
29,召回,31
30,制造,30
31,批件,29
32,环境,27
33,车间,27
34,环保,26
35,银行,26
36,陈保华,25
37,中间体,25
38,适应症,24
39,新药,23
40,长兴,23
41,建设,22
42,中尚,21
43,废气,20
44,网站,19
45,污染物,19
46,健康,18
47,盐酸,18
48,医保,18
49,第类,18
50,厂区,18
51,生物科技,18
52,强生,17
53,高新技术,17
54,华南,17
55,抗,16
56,患者,16
57,川南,16
58,生物医药,16
59,化学,15
60,普霖,15
61,信息化,15
62,江苏,15
63,去年同期,15
64,症状,15
65,临海,15
66,氨氮,15
67,汛桥,14
68,成品,14
69,欧洲,14
70,数比,14
71,乙类,14
72,北京,14
73,科研开发,14
74,长兴县,14
75,氮氧化物,14
76,人力资源,14
77,中年,13
78,元片,13
79,版及,13
80,杂质,13
81,二氧化硫,13
82,生物制药,12
83,缓释片,12
84,有机,12
85,本品,12
86,审,12
87,普利,11
88,房地产,11
89,抑郁症,11
90,原发性,11
91,癫痫,11
92,南通,11
93,排放口,11
94,月数,11
95,氯沙坦,10
96,沙坦,10
97,工业,10
98,检测,10
99,厄,10
100,贝沙坦,10
101,人工成本,10
102,精神分裂症,10
103,昌邑,10
104,华普,10
105,废水,10
106,全厂,10
107,多禧,10
108,周娟,9
109,医疗,9
110,疗效,9
111,制造业,9
112,医药企业,9
113,资源,9
114,来源于,9
115,香港,9
116,障碍,9
117,发作,9
118,终端,9
119,华,9
120,消费者,9
121,核定,9
122,污水,9
123,张美,9
124,土地,9
125,临床试验,8
126,全球化,8
127,帕罗西,8
128,新兴,8
129,医药行业,8
130,文号,8
131,审评,8
132,依非,8
133,远期,8
134,材料,8
135,感染,8
136,伴有,8
137,社交,8
138,韦伦片,8
139,注射液,8
140,成人,8
141,生物制品,8
142,华奥泰,8
143,商务,8
144,美阳,8
145,号文,8
146,建造,8
147,局临,8
148,天健,7
149,钾片,7
150,汀片,7
151,仓库,7
152,转报,7
153,队伍,7
154,进口,7
155,预估,7
156,人工,7
157,国外,7
158,万片,7
159,医药包装,7
160,退税,7
161,糖尿病,7
162,溴,7
163,铵,7
164,韩国,7
165,自营,7
166,亿片,7
167,粒,7
168,外汇,7
169,华宇,7
170,末端,7
171,排放量,7
172,工程设计,7
173,台州市,7
174,分厂,7
175,财政厅,7
176,财企号,7
177,非专利,6
178,用药,6
179,解读,6
180,酮,6
181,分子,6
182,大部分,6
183,国际化,6
184,工厂,6
185,稳步,6
186,禁令,6
187,神经,6
188,韦拉,6
189,信用证,6
190,广场,6
191,急性,6
192,慢性,6
193,噻嗪,6
194,拉西,6
195,上表,6
196,医院,6
197,南京,6
198,科胜,6
199,保健食品,6
200,教育,6
201,海天,6
202,诚,6
203,致诚,6
204,文化,6
205,意识,6
206,源于,6
207,大气,6
208,附属,6
209,排污,6
210,达标,6
211,高空,6
212,山东,6
213,应急,6
214,就职,6
215,小镇,6
216,海盛,6
217,丹阳,6
218,企号,6
219,拆,6
220,产品开发,5
221,活性,5
222,卫生,5
223,处方,5
224,医疗机构,5
225,原研,5
226,华润,5
227,步伐,5
228,抗病毒,5
229,胶囊,5
230,拉莫,5
231,三嗪,5
