,分词排序,词频
0,莫高,169
1,葡萄酒,127
2,甘肃省,91
3,甘肃,88
4,信息,57
5,生物,51
6,农垦,49
7,建设,36
8,材料,36
9,环保,36
10,房地产,34
11,葡萄,34
12,科技,30
13,酒堡,27
14,兰州,26
15,工程,26
16,挂账,26
17,种植,25
18,收购人,25
19,北京,21
20,武威,19
21,阳光,19
22,黄羊,19
23,河,18
24,广发,18
25,干红,16
26,千升,16
27,赵国,15
28,有机,15
29,银行,15
30,农工商,15
31,深圳,14
32,金昌,14
33,土地,14
34,柱,13
35,酒庄,13
36,河西走廊,13
37,建筑物,13
38,数据,12
39,品牌价值,12
40,药品,12
41,消耗性,12
42,公益性,12
43,宝山,11
44,文化,11
45,酒类,11
46,酒,11
47,酿酒,10
48,网络,10
49,西安,9
50,农业,9
51,黑比诺,9
52,抓好,9
53,生物降解,9
54,包装材料,9
55,多添富,9
56,天期,9
57,扶贫,9
58,司晓红,9
59,生态,8
60,品鉴,8
61,消费,8
62,冰酒,8
63,环境,8
64,聚,8
65,制造业,8
66,锅炉,8
67,营销中心,8
68,瑞华,7
69,进口,7
70,电商,7
71,品牌形象,7
72,葡萄酒业,7
73,西藏,7
74,华富,7
75,国有资产,7
76,日元,7
77,第四季度,6
78,集,6
79,一体,6
80,直销,6
81,传播,6
82,消费市场,6
83,武威市,6
84,爵士,6
85,张掖,6
86,西宁,6
87,银川,6
88,排污,6
89,油气,6
90,投出,6
91,经济林木,6
92,李开斌,5
93,魏国,5
94,斌,5
95,姚革显,5
96,牛,5
97,彬彬,5
98,兰州市,5
99,城关区,5
100,网站,5
101,兑现,5
102,庄园,5
103,旅游,5
104,发酵,5
105,消费者,5
106,成熟,5
107,荣获,5
108,招商,5
109,促销,5
110,知名度,5
111,落地,5
112,制品,5
113,比上,5
114,物流,5
115,线上,5
116,澳洲,5
117,电力,5
118,户,5
119,亚盛,5
120,实业集团,5
121,毁损,5
122,折股,5
123,指为,5
124,推迟,4
125,展示,4
126,单品,4
127,纯度,4
128,工业,4
129,国产,4
130,葡萄园,4
131,大赛,4
132,放缓,4
133,宣传,4
134,美誉度,4
135,订制,4
136,产区,4
137,聚酯,4
138,永昌县,4
139,加工品,4
140,人工,4
141,葡萄酒厂,4
142,档次,4
143,广告费用,4
144,凉州,4
145,酒业,4
146,西部,4
147,下同,4
148,国营,4
149,建筑工程,4
150,排放,4
151,环境保护,4
152,宁波,4
153,宏创,4
154,华软,4
155,永新,4
156,华韵,4
157,文化产业,4
158,粮油,4
159,运营部,4
160,导师,4
161,核对,4
162,中央银行,4
163,降解,4
164,收获,4
165,建造,4
166,归类,4
167,项目区,4
168,机械化,4
169,外汇,4
170,朱晓宇,3
171,东岗,3
172,西路,3
173,财富,3
174,多万元,3
175,一次性,3
176,参观,3
177,压榨,3
178,一代,3
179,干白,3
180,经销,3
181,朝阳产业,3
182,市场潜力,3
183,健康,3
184,零关税,3
185,激烈,3
186,理性,3
187,传统,3
188,三是,3
189,体验,3
190,凉州区,3
191,重要性,3
192,起到,3
193,终端,3
194,走,3
195,品评,3
196,定期存款,3
197,成品,3
198,万片,3
199,原料药,3
200,制造,3
201,升,3
202,中高档,3
203,销售价,3
204,辅料,3
205,采购供应,3
206,专卖店,3
207,团购,3
208,扩张,3
209,运输费,3
210,鼓励类,3
211,人均,3
212,高地,3
213,第次,3
214,第十七次,3
215,资金投入,3
216,劳动人事,3
217,行使职权,3
218,商业机会,3
219,饮马,3
220,是否是,3
221,职权,3
222,第十二次,3
223,贫困户,3
224,教育,3
225,种植业,3
226,共户,3
227,对待,3
228,清洗,3
229,达标排放,3
230,生产废水,3
231,电子设备,3
232,股占本,3
233,张金虎,3
234,兴学,3
235,刘顺仙,3
236,吴伯成,3
237,总会计师,3
238,公司党委,3
239,储运,3
240,副处长,3
241,会计学,3
242,每人,3
243,小时,3
244,权责,3
245,科学决策,3
246,通讯,3
247,保费,3
248,准备金,3
249,以经,3
250,企业法人,3
251,表中,3
252,数在,3
253,公平交易,3
254,下述,3
255,除此以外,3
256,机器设备,3
257,栽培,3
258,营造,3
259,保险费,3
260,养老保险,3
261,商品销售,3
262,补助款,3
263,每一,3
264,未成熟,3
265,教育费,3
266,江阴,3
267,岛,3
268,委托人,2
269,公未,2
270,章节,2
271,外文,2
272,电子信箱,2
273,高新技术,2
274,一号,2
275,网址,2
276,媒体,2
277,海波,2
278,第一季度,2
279,非金融,2
280,自然灾害,2
281,显失,2
282,酿造,2
283,采摘,2
284,双引擎,2
285,白兰地,2
286,绿色食品,2
287,产品认证,2
288,公认,2
289,绿色,2
290,服务业,2
291,得以,2
292,不断扩大,2
293,大众,2
294,利润率,2
295,一步,2
296,增大,2
297,迅猛发展,2
298,互联网,2
299,定制,2
300,双双,2
301,荣膺,2
302,华樽杯,2
303,评议,2
304,六年,2
305,升至,2
306,八强,2
307,特种,2
308,起泡,2
309,金奖,2
310,冲击,2
311,低迷,2
312,开发新,2
313,环节,2
314,拓宽,2
315,细密,2
316,性价比,2
317,产品开发,2
318,等款,2
319,树龄,2
320,两大,2
321,支点,2
322,奖,2
323,领袖,2
324,甘肃河西走廊,2
325,抗寒,2
326,母粒,2
327,东部,2
328,转存,2
329,医药,2
330,本节,2
331,双,2
332,万千,2
333,烈酒,2
334,工厂,2
335,不含,2
336,采购计划,2
337,分子,2
338,代理制,2
339,商超,2
340,开设,2
341,项中,2
342,广告宣传,2
343,发展壮大,2
344,陕西,2
345,宏观,2
346,多元化,2
347,消费量,2
348,越来越,2
349,吸引,2
350,关税,2
351,涌入,2
352,开放,2
353,药业,2
354,稳固,2
355,体量,2
356,上涨,2
357,健全,2
358,产供销,2
359,人事,2
360,公司财务,2
361,自主经营,2
362,业务范围,2
363,答复,2
364,损害赔偿,2
365,八一,2
366,农场,2
367,祁连山,2
368,制药厂,2
369,实业公司,2
370,有损,2
371,协助,2
372,下本,2
373,解聘,2
374,烟台,2
375,入户,2
376,建档立卡,2
377,群众,2
378,最大化,2
379,三废,2
380,烟尘,2
381,水,2
382,环保局,2
383,检测,2
384,监测,2
385,排入,2
386,管网,2
387,甘,2
388,许可证,2
389,药厂,2
390,废气,2
391,刚乾腾旭,2
392,四家,2
393,分支机构,2
394,监督管理,2
395,信托,2
396,建筑材料,2
397,公众,2
398,王,2
399,贾明琪,2
400,钟付,2
401,严,2
402,爱民,2
403,杜广真,2
404,柱张,2
405,金虎,2
406,处处长,2
407,财务处,2
408,企管,2
409,部副,2
410,兰州大学,2
411,党建,2
412,调研员,2
413,建筑,2
414,光彩,2
415,人力资源部,2
416,企划,2
417,要素,2
418,第一项,2
419,初中,2
420,公司员工,2
421,公司法人,2
422,议事,2
423,平等,2
424,党委会,2
425,职能,2
426,绩效评价,2
427,公正,2
428,否否否,2
429,会计核算,2
430,正确,2
431,选取,2
432,样本,2
433,大型超市,2
434,为净,2
435,假设会,2
436,文,2
437,甘政函,2
438,增至,2
439,信托投资,2
440,孙子,2
441,苗木,2
442,编报,2
443,多方,2
444,付出,2
445,中介,2
446,各段,2
447,对比,2
448,视,2
449,当本,2
450,由本,2
451,易于,2
452,兑换,2
453,示,2
