,分词排序,词频
0,九龙山,313
1,海航,241
2,旅游,216
3,平湖,166
4,上海,159
5,游艇,100
6,浙江,96
7,香港,88
8,信息,70
9,湾,68
10,房地产,68
11,票数,66
12,俱乐部,62
13,网站,58
14,商报,57
15,海南,53
16,景区,53
17,土地,53
18,工程,53
19,度假,51
20,高尔夫,50
21,建设,48
22,度假区,44
23,航空,42
24,南海,36
25,创,31
26,嘉兴市,31
27,股股,29
28,海洋,28
29,花园,27
30,李忠,26
31,保全,26
32,浙,25
33,信托,24
34,撤诉,24
35,广发,24
36,平湖市,23
37,景运,22
38,管委会,22
39,反对,22
40,弃权,22
41,未决,22
42,新华,21
43,港龙,20
44,嘉兴,20
45,酒店,20
46,宁波,19
47,民事裁定,19
48,高级人民法院,19
49,短线交易,19
50,光大,19
51,休闲,18
52,书浙,18
53,出席会议,18
54,四四,18
55,城,17
56,文化,17
57,普华永道,16
58,旅业,16
59,建造,16
60,由本,16
61,一到,16
62,海湾,15
63,华龙,15
64,沪,15
65,一案,15
66,倶,15
67,乐部,15
68,上海市第一中级人民法院,15
69,金融服务,15
70,地块,14
71,出资额,14
72,总裁兼,14
73,湖南,14
74,沙湾,14
75,二年,13
76,余欢,12
77,环境,12
78,判决书,12
79,郭,12
80,亚军,12
81,首席,12
82,英明,12
83,物流,12
84,投票,12
85,建筑物,12
86,旅游业,11
87,商务,11
88,基础设施,11
89,国用,11
90,上诉,11
91,补偿款,11
92,杨,11
93,金鹿,11
94,海南省,10
95,数据,10
96,开发成本,10
97,赛车,10
98,赛马,10
99,围垦,10
100,贝斌,10
101,深圳,10
102,广田,10
103,二到,10
104,清理,9
105,运动,9
106,半岛,9
107,乐满地,9
108,水上运动,9
109,准许,9
110,和解,9
111,祝捷,9
112,生物,9
113,不适,9
114,公务,8
115,乾首直,8
116,对海,8
117,消费,8
118,马会,8
119,家居装饰,8
120,网络,8
121,保全申请,8
122,扣押,8
123,中止,8
124,物业,8
125,冯俊,8
126,执行官,8
127,李铁,8
128,李强,8
129,尚多旭,8
130,王佳,8
131,海旅,8
132,刘淼,8
133,林先生,8
134,借入,8
135,西,8
136,宁夏,8
137,路,7
138,资源,7
139,健康,7
140,解聘,7
141,海岸,7
142,监事长,7
143,北京,7
144,业务部,7
145,张鹏,7
146,扩股,7
147,该笔,7
148,湖南省,7
149,可回收,7
150,北方,7
151,睿,7
152,外汇,7
153,潘熙,6
154,一笔,6
155,银行,6
156,原名,6
157,三亚市,6
158,天涯,6
159,办公区,6
160,引入,6
161,遗留问题,6
162,房亿,6
163,房尔,6
164,公寓,6
165,佳源,6
166,民事判决,6
167,浙民终,6
168,李勤夫,6
169,该案,6
170,回转,6
171,会展,6
172,一次性,6
173,案,6
174,二审,6
175,排污,6
176,徐麟祥,6
177,权栋,6
178,常务,6
179,舒伟东,6
180,人力资源,6
181,代理人,6
182,共人,6
183,人股,6
184,数占,6
185,见证,6
186,列席,6
187,审,6
188,油气,6
189,元于,6
190,养老保险,6
191,注于,6
192,兰州,6
193,折旧费,6
194,围堤,6
195,国旅,5
196,彭见兴,5
197,机场,5
198,饮食,5
199,杭州湾,5
200,时间表,5
201,游客,5
202,教育,5
203,圣马可,5
204,茂麓,5
205,龙佑,5
206,旅行社,5
207,咨询服务,5
208,义务人,5
209,提议,5
210,之二,5
211,之三,5
212,元及,5
