,分词排序,词频
0,中珠,551
1,医疗,516
2,一体,259
3,医院,216
4,珠海,200
5,科技,158
6,信息,112
7,横琴,99
8,房地产,94
9,药品,79
10,医药,75
11,珠海市,69
12,桂南,68
13,新药,59
14,治疗,57
15,潜江,56
16,银行,55
17,医疗器械,52
18,感染,52
19,信托,51
20,正泰,50
21,北京,49
22,健康,49
23,药,46
24,玉林市,46
25,肿瘤医院,45
26,广西,43
27,滴眼液,42
28,深圳,38
29,益信,37
30,临床试验,37
31,急性,37
32,广元,36
33,工程,35
34,建设,34
35,药物,34
36,医保,34
37,许德来,33
38,化学药品,33
39,中珠俊天,32
40,肿瘤,32
41,临床,31
42,爱德,30
43,上海,30
44,潜江市,29
45,住宅,29
46,制药,28
47,西安,28
48,益母草,27
49,商铺,27
50,车库,27
51,湖北,26
52,数据,26
53,丹宁,26
54,云南,25
55,正润,25
56,刘,25
57,立信,24
58,纳沙,24
59,医疗机构,24
60,民事诉讼,24
61,土地,23
62,换届,23
63,湖北省,22
64,碱,21
65,广州,20
66,浙江,20
67,注射液,19
68,盒,19
69,国家级,19
70,法人股,19
71,忠诚,18
72,化学,18
73,郡,18
74,竣工,18
75,敏感,18
76,杭州,18
77,调解,18
78,正润金,17
79,富盈,17
80,菌,17
81,浙商,16
82,监督管理,16
83,审评,16
84,染料,16
85,木素,16
86,批件,16
87,面积,16
88,霉素,16
89,广东,16
90,报字,15
91,红旗,15
92,超声,15
93,金湾区,15
94,预防,15
95,高新技术,15
96,注射用,15
97,发作,15
98,支气管炎,15
99,肺炎,15
100,定金,15
101,药业,14
102,胶囊,14
103,阿昔洛韦,14
104,利巴韦,14
105,资源,14
106,医药行业,14
107,出台,14
108,慢性,14
109,类否,14
110,恒泰,13
111,人民,13
112,抗肿瘤,13
113,林,13
114,两票,13
115,国务院,13
116,调控,13
117,抗感染,13
118,生物,13
119,成像,13
120,第四类,13
121,支支,13
122,武汉,13
123,投票,13
124,今朝,13
125,会师,12
126,本草,12
127,浩晖,12
128,盐酸,12
129,网络,12
130,春晓,12
131,环境,12
132,中药,12
133,睿,12
134,增发,12
135,五官,12
136,粤财,12
137,担保人,12
138,天水,12
139,机电,12
140,村镇,12
141,刘志坚,11
142,泰达,11
143,网站,11
144,山海,11
145,零售,11
146,诊疗,11
147,呈现,11
148,材料,11
149,制剂,11
150,中医药,11
151,颗粒,11
152,免疫,11
153,疼痛,11
154,售后,11
155,平安,11
156,西海,11
157,第条,11
158,乔宝龙,10
159,督促,10
160,慈象,10
161,画仓,10
162,祁县,10
163,日大,10
164,研,10
165,眼科,10
166,酸钠,10
167,氧氟沙星,10
168,肝硬化,10
169,民营,10
170,放疗,10
171,悦居,10
172,用药,10
173,办医,10
174,益民,10
175,杆菌,10
176,清欠,10
177,存入,10
178,股股,10
179,常务,10
180,公众股,10
181,换取,10
182,开发成本,10
183,谭亮,9
184,自查,9
185,生物科技,9
186,阳江市,9
187,抑素,9
188,腺病毒,9
189,骨质疏松症,9
190,明目,9
191,检测,9
192,分成,9
193,卫生,9
194,医改,9
195,房产,9
196,疾病,9
197,阿奇,9
198,单纯,9
199,皮肤,9
200,软组织,9
201,链球菌,9
202,单纯性,9
203,人为,9
204,代偿,9
205,户,9
206,开具,9
207,吉大,9
208,中国人民解放军,9
209,因军,9
210,制药厂,9
211,否中珠,9
212,西藏,8
213,厦门,8
214,内皮,8
215,合作项目,8
216,六安,8
217,终端,8
218,处方,8
219,获,8
220,医用,8
221,更好,8
222,大湾,8
223,课题,8
224,成都,8
225,建筑面积,8
226,清理,8
227,结膜炎,8
228,带状疱疹,8
229,角膜炎,8
230,感染性,8
231,鼻窦炎,8
232,淋球菌,8
233,嗜血,8
234,奈瑟,8
235,药用,8
236,该笔,8
237,已达成,8
238,调解书,8
239,物业管理,8
240,由本,8
241,责任人,7
242,煤业,7
243,总局,7
244,食品,7
245,拱北,7
246,迎宾,7
247,南路,7
248,降血脂,7
249,防治,7
250,功效,7
251,珍珠,7
252,全身,7
253,斗门区,7
254,分销,7
255,国家药监局,7
256,住房,7
257,抗病毒,7
258,张俊廷,7
259,发明专利,7
260,全力,7
261,病例,7
262,教育,7
263,镇,7
264,定向,7
265,医学,7
266,疱疹,7
267,细菌,7
268,年报,7
269,广升,7
270,恒业,7
271,物流,7
272,回租,7
273,国有资产,7
274,远程,7
275,忆上,7
276,上枫,7
277,框架,7
278,收益权,7
279,众邦,7
280,兴业银行,7
281,东盛,7
282,叶继革,7
283,陈小峥,7
284,控制措施,7
285,失效,7
286,建筑物,7
287,建造,7
288,基建,7
289,艺斌,6
290,铜川市,6
291,鸿润丰,6
292,国家药品监督管理局,6
293,人用,6
294,蒋春,6
295,黔,6
296,中风,6
297,检测仪,6
298,制造,6
299,战略目标,6
300,办,6
301,深化,6
302,楼市,6
303,颁发,6
304,事业,6
305,力量,6
306,基因,6
307,盈,6
308,手术,6
309,弹性,6
310,乳腺,6
311,克林,6
312,磷酸酯,6
313,去年同期,6
314,监管部门,6
315,仿制,6
316,进一步提高,6
317,疱疹病毒,6
318,中耳炎,6
319,本品,6
320,加替,6
321,尿道炎,6
322,败血症,6
323,女性,6
324,流感,6
325,复杂性,6
326,淋病,6
327,尿路感染,6
328,感冒,6
329,消化,6
330,专利权,6
331,软件,6
332,德来,6
333,第个,6
334,珠,6
335,中珠仁安,6
336,合同书,6
337,宏业,6
338,兴业,6
339,私募,6
340,杨振新,6
341,副所长,6
342,开立,6
343,油气,6
344,号文,6
345,风华,6
346,业经,6
347,验资,6
348,故需,6
349,张明华,5
350,金金,5
351,已有,5
352,蔚达,5
353,卫嘉,5
354,协调会,5
355,药品监督管理局,5
356,色甘,5
357,林可霉素,5
358,武警,5
359,地产,5
360,在售,5
361,定,5
362,配置,5
363,专科,5
364,同质化,5
365,规范化,5
366,医药企业,5
367,处方药,5
368,落地,5
369,互联网,5
370,降价,5
371,居民,5
372,放缓,5
373,技术创新,5
374,降温,5
375,澳门,5
376,人口,5
377,树立,5
378,科学,5
379,海大,5
380,志川,5
381,白彬,5
382,徐卫军,5
383,胡,5
384,建平,5
385,魏,5
386,海林,5
387,中科,5
388,耐药,5
389,关键技术,5
390,无创,5
391,立项,5
392,业态,5
393,创制,5
394,人才培养,5
395,分散片,5
396,装修,5
397,商品房,5
398,促使,5
399,章节,5
400,早期,5
401,缴费,5
402,监测,5
403,特片,5
404,产品名称,5
405,扁桃体炎,5
406,肾盂肾炎,5
407,社区,5
408,第一类,5
409,宫颈炎,5
410,保险,5
411,绝经,5
412,中年,5
413,咨询服务,5
414,轮候,5
415,资金周转,5
416,分级,5
417,项目风险,5
418,郴州,5
419,高视,5
420,伟业,5
421,深圳市中级人民法院,5
422,抵债,5
423,所欠,5
424,若干,5
425,正泰向,5
426,中山市,5
427,西区,5
428,博铸,5
429,建材,5
430,经营部,5
431,死亡,5
432,风险金,5
433,易号,5
434,增号,5
435,金鹰,5
436,浦发银行,5
437,限售期,5
438,文,5
439,陈德全,5
440,徐勤,5
441,姜峰,5
442,税务师,5
443,按规定,5
444,宝生,5
445,主,5
446,七七,5
447,塑料包装,5
