,分词排序,词频
0,科技,275
1,长电,220
2,新潮,202
3,江苏,194
4,封装,175
5,集成电路,166
6,江阴,159
7,半导体,114
8,星科,79
9,金朋,60
10,上海,51
11,封测,50
12,信息,49
13,芯片,44
14,工程,44
15,扩能,43
16,制造,41
17,材料,41
18,电子,40
19,电,39
20,王,38
21,中芯,34
22,芯电,32
23,微电子,32
24,苏州,31
25,新顺,30
26,韩国,28
27,首席,28
28,江阴市,27
29,工业,27
30,滁州,26
31,宿迁,26
32,进口设备,26
33,芯,25
34,新加坡,25
35,银行,25
36,废气,25
37,环境,24
38,高密度,24
39,电子科技,23
40,远期,23
41,通信用,23
42,芯鑫,22
43,香港,21
44,新朋,21
45,科金朋,21
46,器件,20
47,亿美元,20
48,房地产,20
49,高永岗,20
50,混合,20
51,新科,19
52,分立,19
53,数据,19
54,建设,19
55,深圳,18
56,智联,18
57,装备,18
58,废水,18
59,华进,16
60,通讯,16
61,城东,15
62,排放,15
63,信息产业,15
64,浩平,14
65,联网,14
66,王元甫,14
67,长,13
68,达标,13
69,高新技术,13
70,穆,12
71,达仕,12
72,无锡,12
73,环保,12
74,百万只,12
75,模块,12
76,危险废物,12
77,检测,12
78,永华,11
79,芯长,11
80,新基,11
81,电子设备,11
82,先导,11
83,长江,11
84,台湾,11
85,新能源,11
86,正义,11
87,进口,11
88,电气,11
89,领航,11
90,任凯,11
91,宏伟,11
92,中芯长,11
93,生物,11
94,土地,11
95,商务,11
96,韩元,11
97,剥离,10
98,朱,10
99,网站,10
100,系本,10
101,射频,10
102,保险,10
103,污染物,10
104,北京,10
105,此类,10
106,售后,10
107,奚诚,9
108,电器,9
109,科林,9
110,安,9
111,智能,9
112,汽车,9
113,产线,9
114,量产,9
115,集成,9
116,金投,9
117,电镀,9
118,租回,9
119,康强,9
120,斯菲尔,9
121,明,8
122,阵列,8
123,倒装,8
124,终端,8
125,主营,8
126,环境保护,8
127,污水处理,8
128,月否,8
129,刘铭,8
130,范晓宁,8
131,罗,8
132,模型,8
133,人王,8
134,被套,8
135,新建,8
136,拨款,8
137,技术改造,8
138,本部,7
139,台星科,7
140,新加坡元,7
141,中道,7
142,下滑,7
143,智能手机,7
144,资源,7
145,结售汇,7
146,合称,7
147,普莱克斯,7
148,分工会,7
149,筒,7
150,永明,7
151,宁波,7
152,赖志明,7
153,受同,7
154,外汇,7
155,省,7
156,科技局,7
157,华芯,6
158,天津,6
159,间距,6
160,引线,6
161,凸块,6
162,传感器,6
163,前三大,6
164,营收,6
165,文化,6
166,补偿款,6
167,建筑物,6
168,与物,6
169,优先级,6
170,比赛,6
171,教育,6
172,合肥,6
173,图迅,6
174,单元,6
175,油气,6
176,金融机构,6
177,除净,6
178,精算,6
179,装修,6
180,填平补齐,6
181,信息化,6
182,款年,6
183,泰国,6
184,贬值,6
185,升值,6
186,文义,5
187,电路,5
188,芯片尺寸,5
189,缩写,5
190,第四季度,5
191,传统,5
192,智能化,5
193,高度,5
194,外包,5
195,晶圆,5
196,排名,5
197,李春兴,5
198,人力资源,5
199,自销,5
200,搬迁,5
201,万片,5
202,功率,5
203,亿块,5
204,过渡期,5
205,相符,5
206,监管部门,5
207,后本,5
208,证券市场,5
209,限售期,5
210,工程项目,5
211,受托人,5
212,工会,5
213,节能,5
214,废,5
215,应急,5
216,混合型,5
217,配置,5
218,泰康人寿,5
219,执行长,5
220,私人,5
221,机器设备,5
222,多媒体,5
223,创新型,5
224,高新区,5
225,技术创新,5
226,长晶,5
227,计息,5
228,华海诚,5
229,科新,5
230,新洁能,5
231,博通,5
232,申弘达,4
233,指星,4
234,布线,4
235,外型,4
236,片式,4
237,嵌入式,4
238,晶圆级,4
239,中银国际,4
240,自动化,4
241,电源,4
242,统计,4
243,高脚,4
244,转化,4
245,思想,4
246,年长,4
247,下半年,4
248,注入,4
249,国际化,4
250,资深,4
251,系星,4
252,硅,4
253,下称,4
254,要约,4
255,最新,4
256,自该,4
257,解读,4
258,气体,4
259,新币,4
260,由股,4
261,替换,4
262,健康,4
263,大学生,4
264,奖,4
265,达标排放,4
266,排污,4
267,下表年,4
268,危废,4
269,污染,4
270,事故,4
271,少量,4
272,至股,4
273,兴全,4
274,中央,4
275,沪,4
276,张春生,4
277,蒋守雷,4
278,法务,4
279,否年,4
280,联席,4
281,无锡市,4
282,绍兴,4
283,范,4
284,辞职,4
285,协助,4
286,元为,4
287,退休金,4
288,参与者,4
289,按应,4
290,再次,4
291,留购,4
292,南区,4
293,净化,4
294,测试项目,4
295,图像,4
296,新工艺,4
297,涉外,4
298,圆片级,4
299,高容量,4
300,闪存,4
301,细,4
302,球栅,4
303,财政厅,4
304,集群,4
305,稳岗,4
306,英属维尔京群岛,4
307,苏州市,4
308,中鹏,4
309,厂区,3
310,整机,3
311,晶体管,3
312,指小,3
313,方形,3
314,扁平,3
315,东路,3
316,山路,3
317,四个,3
318,行业协会,3
319,设计业,3
320,制造业,3
321,制造商,3
322,演进,3
323,原件,3
324,集成商,3
325,塑封,3
326,国产,3
327,低功耗,3
328,应用领域,3
329,出货量,3
330,矽品,3
331,加深,3
332,导入,3
333,持平,3
334,接近,3
335,多方,3
336,星科金,3
337,起到,3
338,下表,3
339,拟于,3
340,到位,3
341,如长,3
342,对长,3
343,审,3
344,第十八次,3
345,基准日,3
346,工厂,3
347,研制开发,3
348,半导体芯片,3
349,高阶,3
350,高度重视,3
351,取决于,3
352,对星,3
353,自动,3
354,以非,3
355,如本,3
356,控股权,3
357,主管部门,3
358,清理,3
359,表中,3
360,撤回,3
361,签约,3
362,养老保险,3
363,生育,3
364,人均,3
365,电工,3
366,余万元,3
367,动力,3
368,废机油,3
369,有机溶剂,3
370,重金属,3
371,污泥,3
372,防治,3
373,环境影响,3
374,监测,3
375,液,3
376,宿迁市,3
377,兴业银行,3
378,灵活,3
379,人前,3
380,三大,3
381,股可,3
382,三家,3
383,张,3
384,沈阳,3
385,长男年,3
386,俞红,3
387,徐良辉,3
388,沈一权,3
389,战略规划,3
390,官,3
391,监事长,3
392,长星,3
393,新晟,3
394,中是,3
395,将星,3
396,评估师,3
397,保费,3
398,准备金,3
399,中央银行,3
400,业经,3
401,外均,3
402,当日,3
403,领用,3
404,分开,3
405,使用费,3
406,专利技术,3
407,票,3
408,开具,3
409,不适,3
410,拆迁,3
411,凸点,3
412,所用,3
413,差,3
414,异,3
415,下表为,3
416,年省,3
417,奖补省,3
418,专项经费,3
419,担保费,3
420,创新能力,3
421,引智,3
422,日元,3
423,泰铢,3
424,工薪,3
425,能源,3
426,华泰,3
427,舒心,3
428,物件,3
429,三安,2
430,不派,2
431,事业,2
432,长电新申,2
433,指芯鑫,2
434,指台,2
435,中国台湾,2
436,金朋原,2
437,现已,2
438,管壳,2
439,焊接,2
440,微型,2
441,电子器件,2
442,二极管,2
443,电阻,2
444,电容,2
445,互连,2
446,凸,2
447,扁平封装,2
448,网络,2
449,薄型,2
450,栅,2
451,指微,2
452,金属,2
453,框架,2
454,委外,2
455,外文,2
456,电子信箱,2
457,网址,2
458,澄江,2
459,澄江镇,2
460,赵国,2
461,上海市浦东新区,2
462,城中路,2
463,中银,2
464,俞露,2
465,第三季度,2
466,符合国家,2
467,海内外,2
468,焊锡,2
469,针探,2
470,组装,2
471,配送,2
472,一整套,2
473,计算机网络,2
474,消费,2
475,光,2
476,专业化,2
477,子,2
478,存储器,2
479,大力支持,2
480,年均,2
481,复合,2
482,放缓,2
483,定制,2
484,小型化,2
485,第三阶段,2
486,第四阶段,2
487,大规模,2
488,上下游,2
489,环节,2
490,基板,2
491,带动,2
492,消费市场,2
493,拉动,2
494,多样化,2
495,促使,2
496,封测业,2
497,亿台,2
498,新旧,2
499,动能,2
500,尚需,2
501,消化,2
502,故自,2
503,领先水平,2
504,占据,2
505,月光,2
506,位列,2
507,发明专利,2
508,多家,2
509,迭代,2
510,摩擦,2
511,不利因素,2
512,队伍,2
513,超额完成,2
514,贡献,2
515,产品开发,2
516,试,2
517,批量生产,2
518,业内,2
519,首个,2
520,无人化,2
521,贯彻,2
522,强长,2
523,动员,2
524,宣誓,2
525,汇报,2
526,减年,2
527,元器件,2
528,产品成本,2
529,多元化,2
530,存储,2
531,二非,2
532,之二,2
533,科研项目,2
534,筹措,2
535,第六次,2
536,等值,2
537,保税区,2
538,称为,2
539,层面,2
540,专注,2
541,第二十二次,2
542,三项,2
543,交割日,2
544,针测,2
545,利用率,2
546,电子原件,2
547,装置,2
548,中外合资,2
549,诸多,2
550,科学,2
551,科金朋在,2
552,第十六次,2
553,完备,2
554,应有,2
555,收购人,2
556,行应,2
557,无无年,2
558,退出,2
559,谋求,2
