,分词排序,词频
0,金晶,168
1,玻璃,139
2,山东,131
3,淄博,41
4,信息,38
5,节能,35
6,北京,33
7,工程,29
8,纯碱,27
9,王刚,25
10,科技,24
11,滕州,23
12,环境,22
13,廊坊,21
14,圣戈班,20
15,金彪,19
16,匹兹堡,19
17,汽车玻璃,19
18,宁夏,18
19,海天,17
20,金星,17
21,马来西亚,16
22,环保,16
23,信托,16
24,智慧,15
25,建设,15
26,房地产,14
27,生物,14
28,材料,11
29,生物化工,11
30,浮法玻璃,11
31,深加工,11
32,达标,11
33,曹廷发,11
34,建材,10
35,上海,9
36,数据,9
37,平板玻璃,9
38,高新技术,9
39,中材,9
40,栾尚运,8
41,银行,8
42,监测,8
43,朱永强,8
44,建造,8
45,建材行业,8
46,网站,7
47,化工,7
48,能源,7
49,临沂,7
50,晶格,7
51,林,7
52,防火,7
53,登记日,6
54,商业银行,6
55,小苏打,6
56,原辅材料,6
57,人工成本,6
58,供给,6
59,集合,6
60,华鑫,6
61,经贸,6
62,油气,6
63,教育费,6
64,新疆,6
65,外汇,6
66,宝石,5
67,镇,5
68,王庄,5
69,原片,5
70,河北,5
71,寻求,5
72,差异化,5
73,青岛,5
74,小幅,5
75,检修,5
76,操作,5
77,排污,5
78,烟气,5
79,余热,5
80,发电,5
81,脱硫,5
82,除尘,5
83,在线,5
84,张明,5
85,晶卓,5
86,土地,5
87,元元元,5
88,亚虹,5
89,玻纤,5
90,高新区,4
91,大信,4
92,超白,4
93,终端,4
94,高附加值,4
95,一带,4
96,一路,4
97,消耗,4
98,下行,4
99,资源,4
100,最大化,4
101,镀膜,4
102,脱硝,4
103,淄博市,4
104,应急,4
105,流通股东,4
106,西南,4
107,中信,4
108,邓伟,4
109,孙明,4
110,董保森,4
111,兵舰,4
112,文波,4
113,工程师,4
114,生人,4
115,职工代表,4
116,职代会,4
117,入,4
118,报关,4
119,中央银行,4
120,包装物,4
121,低值易耗品,4
122,结果表明,4
123,保险费,4
124,锡液,4
125,智联,4
126,利泰,4
127,款注,4
128,元注,4
129,以未,3
130,博山,3
131,农村,3
132,登载,3
133,石嘴山,3
134,重量,3
135,箱,3
136,光伏,3
137,充分利用,3
138,塔,3
139,昌邑,3
140,大兴,3
141,产业园,3
142,奠定,3
143,结构调整,3
144,自动化,3
145,技术创新,3
146,高位,3
147,行情,3
148,下滑,3
149,呈,3
150,态势,3
151,来看,3
152,走势,3
153,反弹,3
154,长时间,3
155,企业家,3
156,出版,3
157,登录,3
158,亦可,3
159,过剩,3
160,降温,3
161,侧,3
162,健康,3
163,主导,3
164,放大,3
165,深化,3
166,达标排放,3
167,窑炉,3
168,浓度,3
169,检测,3
170,下发,3
171,户,3
172,海卓,3
173,张家,3
174,姚明,3
175,舒,3
176,崔,3
177,文传,3
178,李勇,3
179,厂长,3
180,经济师,3
181,二等奖,3
182,换届选举,3
183,基薪,3
184,详情,3
185,通讯,3
186,对贵,3
187,保费,3
188,准备金,3
189,栾尚,3
190,运年,3
191,金融机构,3
192,量化,3
193,计算方法,3
194,建筑物,3
195,模型,3
196,最新,3
197,政策性,3
198,应纳,3
199,香港,3
200,票,3
201,折旧费,3
202,金泰,3
203,带息,3
204,重大损失,3
205,一到,3
206,二年,3
207,二到,3
208,曹廷,2
209,经大信,2
210,元加,2
211,送,2
212,股及,2
213,太阳能,2
214,建信,2
215,村镇,2
216,电子信箱,2
217,网址,2
218,董秘,2
219,杨春强,2
220,郭俊军,2
221,非金融,2
222,自然灾害,2
223,显失,2
224,一次性,2
225,化工行业,2
226,汽车,2
227,产业基地,2
228,环节,2
229,系列产品,2
230,玻璃产品,2
231,成熟,2
232,增长点,2
233,板,2
234,定,2
235,建筑,2
236,广泛应用,2
237,冶金,2
238,省份,2
239,家商,2
240,家门,2
241,店铺,2
242,货,2
243,上架,2
244,合作伙伴,2
245,开启,2
246,招才,2
247,引智,2
248,开辟,2
249,规模化,2
250,华东地区,2
251,华北,2
252,本部,2
253,凸显,2
254,单价,2
255,超大,2
256,拓宽,2
257,新高,2
258,智能化,2
259,工厂,2
260,稳定性,2
261,深入开展,2
262,双零,2
263,泛恩,2
264,计量单位,2
265,润,2
266,表现,2
267,攀升,2
268,收缩,2
269,一季度,2
270,稳中,2
271,四季度,2
272,上涨,2
273,华北地区,2
274,华南地区,2
275,低迷,2
276,到达,2
277,停产,2
278,限产,2
279,率为,2
280,借力,2
281,公司业绩,2
282,下载,2
283,配置,2
284,放缓,2
285,诸多,2
286,诉求,2
287,速度,2
288,遏制,2
289,逐步提高,2
290,高质量,2
291,贯彻,2
292,服务业,2
293,卤水,2
294,海水,2
295,一条,2
296,劳动生产率,2
297,工业,2
298,贡献,2
299,成本增加,2
300,为此,2
301,负面影响,2
302,文化,2
303,熟悉,2
304,表中,2
305,收购人,2
306,解聘,2
307,污染物,2
