,分词排序,词频
0,旅游,321
1,大连,215
2,白鲸,149
3,圣亚,139
4,海洋,110
5,文化,106
6,哈尔滨,79
7,建设,75
8,景区,67
9,营口,58
10,城,58
11,信息,56
12,镇江,50
13,工程,50
14,北京,47
15,生物,47
16,鲸,46
17,海湾,44
18,海岸,44
19,极地,43
20,星,38
21,房地产,38
22,繁育,38
23,企鹅,35
24,大连市,34
25,动物,34
26,淳安,33
27,天下,33
28,土地,31
29,公园,30
30,场馆,28
31,银行,26
32,游客,25
33,芜湖,23
34,门票,23
35,海洋馆,22
36,消费,21
37,输出,20
38,新华联,20
39,极地馆,19
40,角色,19
41,辽宁,19
42,项目管理,18
43,深圳,17
44,商务区,17
45,资本运作,17
46,换届选举,17
47,主题公园,16
48,主题,16
49,迈克,16
50,奥美,15
51,数据,15
52,体验,15
53,肖峰,14
54,三山,14
55,岛,14
56,全域,14
57,本部,14
58,施工,14
59,三亚,13
60,媒体,13
61,旅游业,13
62,资源,13
63,星海,13
64,信息化,12
65,浙江,12
66,蓝色,12
67,大华,11
68,异地,11
69,生活化,11
70,轻,11
71,科普,11
72,科学,11
73,馆,11
74,西安,11
75,重庆,11
76,倍,11
77,孙湘,10
78,场地,10
79,魔幻,10
80,饲养,10
81,控股公司,10
82,文旅,10
83,杭州,10
84,神洲,10
85,游艺,10
86,基准日,10
87,广场,10
88,经营权,9
89,健康,9
90,休闲,9
91,斑海豹,9
92,驯养,9
93,人力,9
94,资源管理,9
95,搭建,9
96,环境,9
97,机器设备,9
98,孙彤,9
99,六届,9
100,新世界,9
101,会展,9
102,舟山,9
103,建筑物,9
104,建造,9
105,王双宏,8
106,双宏,8
107,网站,8
108,船舶,8
109,模型,8
110,业态,8
111,进项,8
112,娱乐,8
113,巴布亚,8
114,海洋公园,8
115,口碑,8
116,集团化,8
117,厦门,8
118,青岛,8
119,重庆市,8
120,变为,8
121,职工代表,8
122,展示,8
123,圣亚大,8
124,丁霞,7
125,上海,7
126,水族馆,7
127,传奇,7
128,深化,7
129,目的地,7
130,鲅鱼圈,7
131,表演,7
132,合作伙伴,7
133,儿童,7
134,研学,7
135,陆续,7
136,教育,7
137,原创,7
138,封顶,7
139,派出,7
140,东北财经大学,7
141,人王,7
142,顾问,7
143,额较,7
144,世界博览,7
145,沙河口区,6
146,中山路,6
147,回,6
148,景观,6
149,开业,6
150,既定,6
151,拉动,6
152,智慧,6
153,大连旅游,6
154,千岛湖,6
155,水下,6
156,文化产业,6
157,本地,6
158,黑龙江,6
159,导游,6
160,免费,6
161,法国,6
162,文化周,6
163,孤独症,6
164,网络,6
165,借助,6
166,设置,6
167,人力资源,6
168,测评,6
169,建筑,6
170,开工,6
171,邮轮,6
172,多媒体,6
173,月经,6
174,鲸典,6
175,物流,6
176,实缴,6
177,意向,6
178,材料,6
179,教育费,6
180,智库,6
181,海洋生物,5
182,陈列馆,5
183,风景区,5
184,复合,5
185,开放式,5
186,建设期,5
187,主题乐园,5
188,营运,5
189,多样化,5
190,消费者,5
191,专业化,5
192,各异,5
193,持平,5
194,效应,5
195,集合,5
196,奖,5
197,拓宽,5
198,全员,5
199,旺季,5
200,智能化,5
201,水族,5
202,数字化,5
203,人工,5
204,数据管理,5
205,昆明,5
206,酒店,5
207,合作方,5
208,出资额,5
209,进口,5
210,特效,5
211,蒙银,5
212,村镇,5
213,退出,5
214,竣工,5
215,杨子平,5
216,城达,5
217,沈阳,5
218,奔腾,5
219,天津,5
220,投资人,5
221,原则上,4
222,辽宁省,4
223,自然灾害,4
224,首批,4
225,国家级,4
226,专注,4
227,贡献,4
228,战略性,4
229,群体,4
230,整理,4
231,垫付,4
232,开具,4
233,工程进度,4
234,山区,4
235,优质服务,4
236,推行,4
237,四季,4
238,常态,4
239,多方面,4
240,深耕,4
241,综合体,4
242,南极,4
243,顺利,4
244,淮安,4
245,认同,4
246,竞争对手,4
247,价格战,4
248,极大,4
249,迭代,4
250,报道,4
251,卫视,4
252,承办,4
253,邀请,4
254,游圣亚,4
255,欢乐,4
256,严峻,4
257,顺应,4
258,王国,4
259,黑龙江省,4
260,淘学,4
261,框架,4
262,管理系统,4
263,流失,4
264,招聘,4
265,引入,4
266,度,4
267,造价,4
268,管线,4
269,秀场,4
270,土建工程,4
271,许可证,4
272,施工图,4
273,金泰,4
274,招商,4
275,上半年,4
276,我方,4
277,凤仪,4
278,工程建设,4
279,定期存单,4
280,服务业,4
281,收费权,4
282,证券化,4
283,大幅度,4
284,取决于,4
285,软件,4
286,体育,4
287,博合,4
288,吴健,4
289,刘德义,4
290,监事长,4
291,李丽娟,4
292,陈荣辉,4
293,路,4
294,经理助理,4
295,部副,4
296,刘志良,4
297,补选,4
298,绩效奖金,4
299,油气,4
300,中央银行,4
301,金融机构,4
302,外经贸,4
303,承租,4
304,订立,4
305,嵌入,4
306,混合,4
307,或重,4
308,低值易耗品,4
309,以换,4
310,毁损,4
311,带息,4
312,保险费,4
313,退休,4
314,保险,4
315,内退,4
316,退,4
317,税额,4
318,定期存款,4
319,金创,4
320,广告费,4
321,年均,3
322,证券部,3
323,一次性,3
324,人造,3
325,标本,3
326,餐饮,3
327,恐龙,3
328,太阳岛,3
329,一条,3
330,三条,3
331,产品线,3
332,传统,3
333,客群,3
