,分词排序,词频
0,贵州,356
1,益佰,343
2,制药,320
3,医疗,200
4,医院,119
5,药品,93
6,医药,88
7,上海,75
8,工程,71
9,生物,61
10,信息,53
11,药,41
12,朝阳医院,39
13,富临,39
14,华謇,39
15,中药,39
16,建设,38
17,药业,38
18,肿瘤,38
19,北京,37
20,长沙,37
21,贵阳市,37
22,健康,36
23,长安,35
24,科技,35
25,啟玲,34
26,注射液,30
27,胶囊,30
28,海南,28
29,淮南,28
30,窦,27
31,数据,26
32,银行,26
33,绵阳,25
34,医生,25
35,终端,25
36,乙方,24
37,睿科,23
38,建,22
39,艾迪,22
40,环境,22
41,环保,21
42,稳定期,21
43,注是,21
44,中盛,20
45,天津,20
46,人民,20
47,贵阳,20
48,灌南县,18
49,肿瘤医院,18
50,益佰艾康,18
51,南京,18
52,亿人次,18
53,窦雅琪,18
54,期为,18
55,女子,17
56,民族,17
57,海天,17
58,化学,17
59,安徽,17
60,药厂,16
61,治疗,16
62,颗粒,16
63,医药行业,16
64,排放,16
65,率为,16
66,紫冠,15
67,医药工业,15
68,中成药,15
69,工业,15
70,注年,15
71,土地,15
72,南京市,14
73,止血,14
74,制剂,14
75,用药,14
76,医保,14
77,临床,14
78,中证,13
79,爱德,13
80,德曜,13
81,抗肿瘤,13
82,制造,13
83,医疗保险,13
84,医疗机构,13
85,污染物,13
86,毕节市,13
87,出资额,13
88,郎洪平,12
89,心脑血管,12
90,滴丸,12
91,种植,12
92,注射剂,12
93,技术转让,12
94,达标排放,12
95,监测,12
96,李刚,12
97,天通,11
98,药材,11
99,药物,11
100,生产能力,11
101,仿制,11
102,医疗器械,11
103,许可证,11
104,消耗性,11
105,苗,10
106,曼迪科,10
107,辽阳市,10
108,妇科,10
109,银杏,10
110,莫,10
111,复方,10
112,万人,10
113,中药材,10
114,安全性,10
115,翟江涛,10
116,人窦,10
117,咨询服务,10
118,国务院,10
119,公益性,10
120,更好,9
121,哈尔滨,9
122,西安,9
123,精湛,9
124,贵州省,9
125,网站,9
126,注射用,9
127,斑蝥,9
128,葆,9
129,宫,9
130,胶囊剂,9
131,材料,9
132,临床试验,9
133,房地产,9
134,排放口,9
135,华澳,9
136,剔除,9
137,基准日,9
138,确切,9
139,期后,9
140,外对,9
141,表现,9
142,依次,9
143,反诉,9
144,汪志伟,8
145,新华,8
146,代远富,8
147,福州,8
148,光辉,8
149,和徽,8
150,资源,8
151,诊疗,8
152,专业化,8
153,颗粒剂,8
154,限定,8
155,核定,8
156,环境保护,8
157,废水,8
158,交由,8
159,固废,8
160,工商管理,8
161,洪平郎,8
162,佰,8
163,农,8
164,益佰大,8
165,黑龙江,8
166,非营利性,8
167,福州市,8
168,丙方,8
169,辽阳,7
170,鸿,7
171,云岩区,7
172,洛铂,7
173,新药,7
174,苗药,7
175,废气,7
176,排污,7
177,污水处理,7
178,油烟,7
179,应急,7
180,信托,7
181,孙,7
182,年增长率,7
183,装修,7
184,长沙市,7
185,沈阳市,7
186,司法鉴定,7
187,人本诉,7
188,南诏,6
189,四川,6
190,中奥,6
191,飞,6
192,医学,6
193,环节,6
194,医疗卫生,6
195,结存,6
196,生物制剂,6
197,出台,6
198,夯实,6
199,万支,6
200,中医药,6
201,可比,6
202,污染,6
203,防治,6
204,教育,6
205,氮氧化物,6
206,二氧化硫,6
207,车间,6
208,海口市,6
209,学士学位,6
210,合肥,6
211,电子,6
212,食材,6
213,油气,6
214,农产品,6
215,技术咨询,6
216,大恒,6
217,机器设备,6
218,房产,6
219,国药,6
220,机房,6
221,增长期,6
222,徐州,6
223,毅文,6
224,院,6
225,保全,6
226,书,6
227,仲裁委,6
228,造价,6
229,鉴定,6
230,科利华,6
231,彭,5
232,文宗,5
233,云南,5
234,建达,5
235,白云,5
236,大道,5
237,儿科,5
238,活血,5
239,县级,5
240,妇儿,5
241,学术,5
242,片剂,5
243,联动,5
244,深化,5
245,适应症,5
246,万盒,5
247,预防,5
248,著名商标,5
249,批件,5
250,珍珠,5
251,科研,5
252,教学,5
253,相关性,5
254,为准,5
255,锅炉,5
256,粉尘,5
257,淮南市,5
258,能源,5
259,甘宁,5
260,龚,5
261,丹青,5
262,特佳,5
263,王,5
264,日益,5
265,七七,5
266,投资额,5
267,展览,5
268,展示,5
269,宋士,5
270,徽,5
271,资金额,5
272,自动化,5
273,建筑物,5
274,建造,5
275,郁闭,5
276,产品价格,5
277,到位,5
278,征求意见,5
279,辽宁省,5
280,蒲纺,5
281,原件,5
282,战略规划,4
283,建昌,4
284,处方药,4
285,执业,4
286,处方,4
287,许淼,4
288,理气,4
289,专人,4
290,专线,4
291,下滑,4
292,人次,4
293,参保,4
294,职工基本,4
295,比上,4
296,百强,4
297,前列,4
298,糖浆剂,4
299,扁平化,4
300,新版,4
301,基药,4
302,控费,4
303,方针,4
304,积极开展,4
305,尝试,4
306,秉承,4
307,激发,4
308,潜力,4
309,干部,4
310,人工,4
311,放缓,4
312,竣工,4
313,类产品,4
314,人口老龄化,4
315,种,4
316,来源于,4
317,患者,4
318,降价,4
319,经营项目,4
320,自主经营,4
321,绿色,4
322,公正,4
323,节能,4
324,天然气,4
325,危险废物,4
326,氨氮,4
327,污水,4
328,清洁,4
329,暂存,4
330,间座,4
331,生态,4
332,检测,4
333,渤海,4
334,广州,4
335,珠江,4
336,实业集团,4
337,洪平,4
338,联席,4
339,办,4
340,大区,4
341,周弋,4
342,辞职,4
343,办公会,4
344,详情请,4
345,银行贷款,4
346,中央银行,4
347,由元,4
348,机关,4
349,无需,4
350,机电设备,4
351,互联网,4
352,软件,4
353,同济,4
354,黄生科,4
355,翟小霞,4
356,绵阳市,4
357,协议书,4
358,中介,4
359,福建,4
360,除净,4
361,改扩建,4
362,湖南,4
363,加速器,4
364,专有,4
365,投放,4
366,明基,4
367,发改委,4
368,天津市,4
369,哈尔滨市,4
370,合肥市,4
371,外汇,4
372,倍,4
373,民事裁定,4
374,桦利,4
375,质证,4
376,稿,4
377,判决书,4
378,晋安区,4
379,翰博瑞得,3
380,消费者,3
381,联系人,3
382,联系方式,3
383,西城区,3
384,艾愈,3
385,清热,3
386,金骨莲,3
387,控,3
388,燃料,3
389,运输,3
390,监督管理,3
391,专注,3
392,县上,3
393,持续增长,3
394,服务业,3
395,民营,3
396,基层,3
397,社区卫生,3
398,服务中心,3
399,网络,3
400,新品种,3
401,恶性肿瘤,3
402,疾病,3
403,药为,3
404,年底,3
405,队伍,3
406,品牌优势,3
407,冻干粉,3
408,端,3
409,带量,3
410,扩展,3
411,挖潜,3
412,认真执行,3
413,老,3
414,科学,3
415,资源整合,3
416,客户服务,3
417,药店,3
418,内在,3
419,驱动力,3
420,铂,3
421,人口,3
422,岁,3
423,态势,3
424,引入,3
425,生物医药,3
426,肺癌,3
427,慢性,3
428,白血病,3
429,本品,3
430,淋巴瘤,3
431,药类,3
432,否否否,3
433,退出,3
434,年版,3
435,工伤保险,3
436,生育,3
437,保险,3
438,商标,3
439,梯队,3
440,二次,3
441,审评,3
442,溴,3
443,铵,3
444,试验室,3
445,补血,3
446,当归,3
447,麦味,3
448,地黄,3
449,护肝宁,3
450,舒更片,3
451,中医,3
452,科研所,3
453,机械设备,3
454,零配件,3
455,硬,3
456,医疗保健,3
457,以卫,3
458,计委,3
459,谈判,3
460,挑战,3
461,独家,3
462,现代化,3
463,倡导,3
464,减排,3
465,总磷,3
466,垃圾,3
467,药渣,3
468,废物,3
469,医废,3
470,座,3
471,危废,3
472,结果显示,3
473,户,3
474,安达,3
475,技术员,3
476,香港,3
477,公司财务,3
478,营销中心,3
479,广西,3
480,百洋益,3
481,易,3
482,复诊,3
483,新疆,3
484,平等,3
485,通讯,3
486,异议,3
487,还本,3
488,中诚信,3
489,信用等级,3
490,倍数,3
491,会计报表,3
492,选取,3
493,保费,3
494,准备金,3
495,股东会,3
496,策划,3
497,一类,3
498,市场主体,3
499,维修,3
500,数字影像,3
501,计算机软件,3
502,由本,3
503,郭和净,3
504,吴春明,3
505,高科,3
506,注本,3
507,杨,3
508,奇文,3
509,多方,3
510,营利性,3
511,远程,3
512,商务信息,3
513,工程技术,3
514,以元,3
515,慈心,3
516,等于,3
517,因购买,3
518,自然灾害,3
519,低值易耗品,3
520,领用,3
521,毁损,3
522,或换,3
523,以换,3
524,额外,3
525,运输工具,3
526,借入,3
527,营造,3
528,管护,3
529,饲养,3
530,防护,3
531,按规定,3
532,税额,3
533,高新技术,3
534,西部,3
535,服务收入,3
536,免征,3
537,车船,3
538,化工,3
539,楼,3
540,库,3
541,江汉,3
542,油田,3
543,结算价,3
544,建设工程,3
545,净化,3
546,大果,3
547,木姜子,3
548,教育费,3
549,风险金,3
550,分成,3
551,放射治疗,3
552,医用,3
553,等额,3
554,陈勇,3
555,黄建湘,3
556,谢丹,3
557,收费权,3
558,高技术,3
559,低碳,3
560,科研项目,3
561,江苏,3
562,年收入,3
563,兑现,3
564,移交,3
565,工程造价,3
566,工程量,3
567,大东区,3
568,案号,3
569,案由,3
570,送达,3
571,上诉,3
572,芙蓉区,3
573,湘,3
574,诉讼费,3
575,宝塔,3
576,宁夏,3
577,奋毅,3
578,张玲,3
579,首期,3
580,委托人,2
581,会计制度,2
582,顺利,2
583,事业,2
584,灌南,2
585,毕节,2
586,医师,2
587,外文,2
588,电子信箱,2
589,网址,2
590,平安,2
591,李朝辉,2
592,涂建芳,2
593,骨科,2
594,呼吸,2
595,心脉,2
596,调经,2
597,金莲,2
598,泡腾片,2
599,克咳,2
600,家族,2
601,普酶,2
602,科博肽,2
603,综合性,2
604,专科医院,2
605,物料,2
606,配置,2
607,卫生,2
608,半成品,2
609,成就,2
610,助力,2
611,两大,2
612,施行,2
613,呈现,2
614,制造业,2
615,利润率,2
616,国家统计局,2
617,尤为,2
618,米,2
619,内网,2
620,公立医院,2
621,乡镇,2
622,卫生院,2
623,村,2
624,卫生室,2
625,卫健委年,2
626,城乡居民,2
627,新型农村,2
628,比较完善,2
629,康,2
630,赛迪,2
631,扩容,2
632,三是,2
633,放量,2
634,稳步,2
635,群,2
636,呼吸系统,2
637,病种,2
638,甲类,2
639,化药,2
640,生化,2
641,心血管,2
642,男科,2
643,妇炎,2
644,疏肝,2
645,益阳,2
646,不断创新,2
647,思路,2
648,致力于,2
649,逐步形成,2
650,容量,2
651,针剂,2
652,合剂,2
653,自动,2
654,联用,2
655,较强,2
656,衔接,2
657,信息化,2
658,业务流程,2
659,进口,2
660,抗癌药,2
661,加剧,2
662,价格上涨,2
663,深化改革,2
664,动力,2
665,更优,2
666,扎实,2
667,几个,2
668,时效,2
669,数据管理,2
670,顺利开展,2
671,合理配置,2
672,宣传,2
673,各省,2
674,人才培养,2
675,作战,2
676,充分运用,2
677,链接,2
678,六字,2
679,供需,2
680,信息沟通,2
681,动向,2
682,高质量,2
683,供货,2
684,质量体系,2
685,晋升,2
686,全方位,2
687,抓好,2
688,人才队伍,2
689,事物,2
690,计量单位,2
691,情较,2
692,同况,2
693,比说,2
694,例明,2
695,购房款,2
696,系孙,2
697,近几年,2
698,始终保持,2
699,意识,2
700,稳步发展,2
701,化学药品,2
702,快速增长,2
703,重塑,2
704,壁垒,2
705,纲要,2
706,展开,2
707,剂型,2
708,产品线,2
709,细胞,2
710,粒细胞,2
711,血栓,2
712,栓塞,2
713,消瘀,2
714,原发性,2
715,肝癌,2
716,直肠癌,2
717,恶性,2
718,经期,2
719,月经,2
720,子宫出血,2
721,产品名称,2
722,洛铂葆宫,2
723,驰名商标,2
724,不适,2
725,甲磺酸,2
726,达比加,2
727,群酯,2
728,昆药,2
729,济川,2
730,凯宝,2
731,康缘,2
732,丽珠集团,2
733,仅指,2
734,厂家,2
735,成人,2
736,拮抗,2
737,罗库,2
738,诱导,2
739,阻滞,2
740,异常,2
741,骨髓,2
742,免,2
743,排毒,2
744,清脂片,2
745,癃闭,2
746,胡,2
747,止痛,2
748,布洛芬,2
749,口腔,2
750,崩解,2
751,国家药品监督管理局,2
752,跟进,2
753,天麻,2
754,零售,2
755,保健,2
756,康复,2
757,内外,2
758,五官,2
759,护理,2
760,医药原料,2
761,原辅料,2
762,仪器,2
763,建筑材料,2
764,农林,2
765,专营,2
766,居民,2
767,原辅材料,2
768,并存,2
769,局面,2
770,理论,2
771,主流,2
772,主导,2
773,药企,2
774,为辅,2
775,分子,2
776,高风险,2
777,议价,2
778,最低价,2
779,频出,2
780,新规,2
781,可控,2
782,元含,2
783,税共派,2
784,日为,2
785,要约,2
786,收购人,2
787,解聘,2
788,健全,2
789,公司法人,2
790,尊重,2
791,节日,2
792,企业形象,2
793,全程,2
794,公益事业,2
795,动植物,2
796,厂区,2
797,食堂,2
798,固体废物,2
799,环卫,2
800,三级,2
801,无无无无,2
802,无无无无无,2
803,无无无无无无,2
804,工贸,2
805,浙江,2
806,无无无,2
807,气,2
808,燃气,2
809,大大降低,2
810,固废间,2
811,间间,2
812,环境影响,2
813,行政许可,2
814,施工,2
815,备案号,2
816,环境保护局,2
817,上传,2
818,海南省,2
819,污染源,2
820,监测数据,2
821,管理系统,2
822,贯彻,2
823,公司员工,2
824,历次,2
825,中央,2
826,汇金,2
827,金元,2
828,顺安,2
829,海通,2
830,恒利,2
831,丰号,2
832,一号,2
833,集合,2
834,中国农业银行,2
835,开放式,2
836,指数,2
837,信泰,2
838,人寿保险,2
839,万能,2
840,保险产品,2
841,邓海根,2
842,男王,2
843,岳华,2
844,召集,2
845,黄彩河,2
846,崇勤,2
847,创始人,2
848,无锡,2
849,华瑞,2
850,常务,2
851,财务处,2
852,处长,2
853,投资部,2
854,王岳华,2
855,张林,2
856,生代远,2
857,深圳,2
858,创业投资,2
859,绿亿,2
860,种业,2
861,创展,2
862,广,2
863,印堂,2
864,工程师,2
865,药师,2
866,无锡市,2
867,无菌,2
868,胜利油田,2
869,久联,2
870,泰,2
871,石油,2
872,中烟,2
873,湖南省,2
874,基建,2
875,物流,2
876,区域经理,2
877,商务,2
878,肿瘤科,2
879,药理,2
880,北大,2
881,啟玲郎,2
882,黔劲,2
883,机械,2
884,生物科技,2
885,富代远,2
886,大部分,2
887,因原,2
888,素质,2
889,基本工资,2
890,旨在,2
891,附属,2
892,长效机制,2
893,选任,2
894,人员构成,2
895,态度,2
896,透明度,2
897,对待,2
898,息,2
899,说明会,2
900,同日,2
901,还本付息,2
902,国泰君安证券股份有限公司,2
903,大街,2
904,途,2
905,增信,2
906,述及,2
907,六合,2
908,所示,2
909,对益佰,2
910,样本,2
911,发票,2
912,内部单位,2
913,列,2
914,填,2
915,金融机构,2
916,代远,2
917,富贵,2
918,州益佰,2
919,改制,2
920,第十一次,2
921,核发,2
922,仪器仪表,2
923,养殖,2
924,保健食品,2
925,转让技术,2
926,前置,2
927,维修服务,2
928,实习,2
929,名下,2
930,张,2
931,新军,2
932,陶,2
933,建国,2
934,徐闽翊,2
935,徐黔俊,2
936,师红毅,2
937,王艳,2
938,宜正,2
939,李民,2
940,扩股,2
941,变为,2
942,刘小霞,2
943,将德曜,2
944,后德曜,2
945,本本,2
946,宋,2
947,长文,2
948,刘静,2
949,非营利,2
950,专利技术,2
951,二类,2
952,三类,2
953,后勤,2
954,自营,2
955,方可,2
956,技术推广,2
957,注注,2
958,杨晓彤,2
959,陈,2
960,大志,2
961,资至,2
962,后本,2
963,益诺,2
964,自本,2
965,日止,2
966,日应,2
967,日新,2
968,付出,2
969,日以,2
970,购入,2
971,应予,2
972,或应,2
973,订立,2
974,时如,2
975,大幅度,2
976,包装物,2
977,购进,2
978,顺序,2
979,运输设备,2
980,率年,2
981,相当于,2
982,建筑,2
983,新建,2
984,工程项目,2
985,交付使用,2
986,超出,2
987,一笔,2
988,指为,2
989,收获,2
990,繁殖,2
991,盘亏,2
992,死亡,2
993,住房,2
994,工会,2
995,教育经费,2
996,养老保险,2
997,管理权,2
998,租赁经营,2
999,应缴,2
1000,鼓励类,2
1001,税收政策,2
1002,机,2
1003,分离,2
1004,票,2
1005,分销,2
1006,上药,2
1007,乐仁堂,2
1008,柳州,2
1009,零星,2
1010,美安新厂,2
1011,总医院,2
1012,润喉,2
1013,糖,2
1014,化验室,2
1015,酒精,2
1016,清镇,2
1017,荭,2
1018,法除,2
1019,科室,2
1020,诊所,2
1021,装修费,2
1022,连云港,2
1023,放射,2
1024,罗甸,2
1025,地块,2
1026,出让金,2
1027,黔,2
1028,保险费,2
1029,权证,2
1030,营业部,2
1031,中医院,2
1032,还款额,2
1033,熊湘平,2
1034,燃煤,2
1035,元因,2
1036,进项,2
1037,加计,2
1038,扣除额,2
1039,罚款,2
1040,集资款,2
1041,无现金,2
1042,日子,2
1043,受限制,2
1044,大理市,2
1045,西安市,2
1046,翰博,2
1047,徐州市,2
1048,见本,2
1049,赊销,2
1050,限额,2
1051,零售价格,2
1052,充足,2
1053,甲方,2
1054,期期,2
1055,水,2
1056,任何理由,2
1057,拒绝,2
1058,公式,2
1059,第一步,2
1060,第二步,2
1061,年化,2
1062,工程施工,2
1063,第号案,2
1064,贵仲字,2
1065,意见书,2
1066,贰,2
1067,缔约过失,2
1068,机场,2
1069,称,2
1070,辽,2
1071,诉讼费用,2
1072,开庭审理,2
1073,不服,2
1074,维持原判,2
1075,请求事项,2
1076,主审,2
1077,法官,2
1078,调解书,2
1079,追索权,2
1080,宝山区,2
1081,叁,2
1082,拾,2
1083,玻璃,2
1084,传票,2
1085,该案,2
1086,诉求,2
1087,诉前,2
1088,二审,2
1089,一次性,2
1090,张玲于,2
1091,房屋交易,2
1092,第十六次,2
1093,拟向,2
1094,一本,1
1095,二未,1
1096,啟玲王,1
1097,主管人员,1
1098,五经,1
1099,否八,1
1100,违反规定,1
1101,否九,1
1102,详细描述,1
1103,查阅,1
1104,中四,1
1105,文义,1
1106,另有所指,1
1107,含义,1
1108,常用,1
1109,益佰指,1
1110,睿,1
1111,科指,1
1112,飞指,1
1113,方才,1
1114,调配,1
1115,指经,1
1116,不需,1
1117,即可,1
1118,中文名称,1
1119,中文,1
1120,缩写,1
1121,人二,1
1122,联系地址,1
1123,电话传真,1
1124,周光欣,1
1125,选定,1
1126,媒体,1
1127,登载,1
1128,金融街,1
1129,室,1
1130,第一季度,1
1131,第二季度,1
1132,第三季度,1
1133,第四季度,1
1134,十非,1
1135,符合国家,1
1136,丹灯,1
1137,通脑,1
1138,类妇,1
1139,炎消,1
1140,岩鹿,1
1141,乳康片,1
1142,瑞替,1
1143,科学管理,1
1144,筛选,1
1145,辅料,1
1146,包装材料,1
1147,督促,1
1148,纪律,1
1149,检验,1
1150,调整布局,1
1151,经验教训,1
1152,病患,1
1153,覆盖面,1
1154,合作医疗,1
1155,在职,1
1156,退休,1
1157,总支出,1
1158,个人账户,1
1159,统筹,1
1160,保障局,1
1161,医疗保障,1
1162,统计,1
1163,快报,1
1164,集,1
1165,一体,1
1166,双百,1
1167,十佳,1
1168,民营企业,1
1169,市级,1
1170,守,1
1171,市长,1
1172,质量奖,1
1173,荣誉,1
1174,最具,1
1175,成长性,1
1176,杏丁葆宫,1
1177,市场占有率,1
1178,位居,1
1179,五个,1
1180,分级,1
1181,新机遇,1
1182,四是,1
1183,精益求精,1
1184,智能,1
1185,五是,1
1186,公司业绩,1
1187,市场营销,1
1188,死亡率,1
1189,批准文号,1
1190,乙类,1
1191,个个,1
1192,原研,1
1193,列入,1
1194,药组内,1
1195,契合,1
1196,度高,1
1197,铬泊,1
1198,慢病,1
1199,组以,1
1200,以杏丁瑞替,1
1201,妇,1
1202,消葆宫,1
1203,泌淋,1
1204,镇,1
1205,咳类,1
1206,一支,1
1207,高素质,1
1208,复合,1
1209,质量第一,1
1210,知名度,1
1211,大容量,1
1212,栓剂,1
1213,二十多条,1
1214,配备,1
1215,灯检机,1
1216,液相,1
1217,色谱,1
1218,质谱,1
1219,仪,1
1220,近红外,1
1221,检测仪,1
1222,尖端,1
1223,协作,1
1224,外界,1
1225,合作伙伴,1
1226,管理模式,1
1227,运转,1
1228,集中管理,1
1229,统筹规划,1
1230,资源共享,1
1231,职能,1
1232,体现,1
1233,效应,1
1234,优势互补,1
1235,零关税,1
1236,中药饮片,1
1237,整治,1
1238,多变,1
1239,升高,1
1240,精耕细作,1
1241,以下几点,1
1242,攻关,1
1243,速度,1
1244,县下,1
1245,资金周转,1
1246,生产成本,1
1247,收率,1
1248,入比上,1
1249,华北,1
1250,东北,1
1251,华东地区,1
1252,华南地区,1
1253,华西,1
1254,华中地区,1
1255,深耕,1
1256,产品成本,1
1257,资金回笼,1
1258,二非,1
1259,负,1
1260,派出,1
1261,转固,1
1262,税负,1
1263,改为,1
1264,简易,1
1265,颁发,1
1266,周岁,1
1267,总人口,1
1268,人类,1
1269,患病,1
1270,概率,1
1271,住院,1
1272,年龄段,1
1273,扩张,1
1274,加重,1
1275,民众,1
1276,增涨,1
1277,万亿元,1
1278,保持稳定,1
1279,有望,1
1280,短时间,1
1281,居,1
1282,不断丰富,1
1283,陆续,1
1284,提取物,1
1285,首部,1
1286,立法,1
1287,迎来,1
1288,时期,1
1289,两票,1
1290,制等,1
1291,用量,1
1292,疗效,1
1293,集群,1
1294,量价,1
1295,双降,1
1296,销,1
1297,承压,1
1298,口服,1
1299,继续加强,1
1300,顺应,1
1301,快,1
1302,依赖性,1
1303,密集度,1
1304,专一性,1
1305,涉足,1
1306,分子生物,1
1307,就诊,1
1308,逐步提高,1
1309,服务行业,1
1310,功能主治,1
1311,发明专利,1
1312,起止,1
1313,乳腺癌,1
1314,冠心病,1
1315,性疾病,1
1316,清热解毒,1
1317,散结,1
1318,破血,1
1319,攻毒蚀,1
1320,疮,1
1321,固经,1
1322,滋阴,1
1323,冲任,1
1324,不固,1
1325,阴虚,1
1326,血热,1
1327,月经过多,1
1328,症见,1
1329,经色,1
1330,深红,1
1331,质稠,1
1332,血块,1
1333,腰膝,1
1334,酸软,1
1335,咽,1
1336,干口燥,1
1337,潮热,1
1338,心烦,1
1339,舌,1
1340,红少津,1
1341,苔少,1
1342,苔,1
1343,脉细数,1
1344,功能性,1
1345,环后,1
1346,证候,1
1347,是否是,1
1348,洛铂化,1
1349,版本,1
1350,驰名,1
1351,二四,1
1352,下辖,1
1353,奠定,1
1354,坚实,1
1355,立项,1
1356,择机,1
1357,变,1
1358,动,1
1359,国产,1
1360,危险,1
1361,等效,1
1362,非瓣性,1
1363,房颤,1
1364,卒,1
1365,全身性,1
1366,髋,1
1367,膝关节,1
