,分词排序,词频
0,方正,320
1,北京,151
2,方正科技,130
3,珠海,96
4,信息,79
5,宽带,75
6,北大方正集团,73
7,北大方正,70
8,北大,70
9,电子,63
10,方正集团,48
11,电路板,47
12,信息技术,45
13,上海,44
14,医疗,44
15,信息产业,43
16,数据,43
17,高密,42
18,科技,39
19,互联网,39
20,多层,38
21,工程,35
22,软件,32
23,建设,32
24,苏州,31
25,排放,31
26,制造,29
27,房地产,28
28,智慧,27
29,信息系统,27
30,银行,26
31,印刷,25
32,资源,25
33,网络服务,24
34,系统集成,24
35,宽带接入,22
36,智能,22
37,信产,22
38,废气,22
39,重庆,21
40,通信,21
41,环境,21
42,珠海市,21
43,暴楠,20
44,接入,20
45,刘建,16
46,装置,16
47,环保,16
48,污染物,16
49,土地,15
50,半导体,14
51,网络,14
52,材料,14
53,集成,14
54,物业,14
55,越亚,13
56,商品销售,13
57,家园,12
58,网络科技,12
59,信息化,12
60,开立,12
61,计算机系统,12
62,扶贫,12
63,废水,12
64,数据系统,11
65,排污,11
66,医院,11
67,第一名,11
68,第二名,11
69,第三名,11
70,第四名,11
71,第五名,11
72,数码,11
73,计算机,10
74,智能化,10
75,服务收入,10
76,硬件,10
77,软件产品,10
78,计算机软件,10
79,环境保护部,10
80,门,10
81,香港,10
82,方宽,9
83,中国高科,9
84,运营商,9
85,定制,9
86,办公用品,9
87,技术咨询,9
88,商标,9
89,路,9
90,终验,9
91,安徽,9
92,高新技术,9
93,河南,9
94,产业园,9
95,网站,8
96,延,8
97,中信,8
98,联网,8
99,软硬件,8
100,快,8
101,信用证,8
102,外汇,8
103,使用费,8
104,排放口,8
105,废水处理,8
106,应急,8
107,未决,8
108,生物,8
109,水电费,8
110,医信,7
111,建投,7
112,新兴,7
113,元器件,7
114,通讯,7
115,社区,7
116,传输,7
117,政务,7
118,宽带用户,7
119,推荐,7
120,软件系统,7
121,人工成本,7
122,标准表,7
123,达标排放,7
124,保险费,7
125,华金,7
126,淮北,7
127,阿帕比,7
128,通用,7
129,康复,7
130,人寿保险,6
131,楼,6
132,一次性,6
133,电子产品,6
134,私有,6
135,统计,6
136,复合,6
137,工信部,6
138,亿户,6
139,自产,6
140,健康,6
141,斗门区,6
142,决定书,6
143,化学,6
144,农业银行,6
145,中证,6
146,法务部,6
147,油气,6
148,建筑物,6
149,免租,6
150,北斗,6
151,电子科技,6
152,票,6
153,技术改造,6
154,成都,6
155,海淀区,6
156,科技园,6
157,电脑系统,5
158,浦东南路,5
159,西路,5
160,以大,5
161,生态,5
162,消费,5
163,电信,5
164,公安交通,5
165,应用软件,5
166,基础设施,5
167,亿美元,5
168,万户,5
169,数据处理,5
170,公安,5
171,终端,5
172,中国移动,5
173,实践,5
174,层面,5
175,电脑,5
176,双面,5
177,刚性,5
178,柔性,5
179,保险,5
180,结构性,5
181,对口,5
182,协作,5
183,福贡县,5
184,无年,5
185,电镀,5
186,重庆市,5
187,大成,5
188,刘坚,5
189,副教授,5
190,购入,5
191,机器设备,5
192,科学技术委员会,5
193,挂账,5
194,创业,5
195,华夏,5
196,智城,5
197,注已,5
198,地证,5
199,房地产权证,5
200,出口商,5
201,代收,5
202,代付,5
203,苏州市,5
204,大道,5
205,室,5
206,怡健殿,5
207,数据中心,4
208,自然灾害,4
209,申万,4
210,宏源,4
211,上海银行,4
212,顶层,4
213,垂直,4
214,汽车,4
215,机房,4
216,呼叫,4
217,人工智能,4
218,三家,4
219,三大,4
220,国际化,4
221,提速,4
222,减亏,4
223,可控,4
224,存储,4
225,北京大学,4
226,注入,4
227,东西部,4
228,车间,4
229,喷淋,4
230,操作,4
231,环境影响,4
232,南方,4
233,中介,4
234,崔运涛,4
235,吴,4
236,武清,4
237,黎明,4
238,朱震宇,4
239,财务经理,4
240,武汉,4
241,带薪,4
242,选聘,4
243,施工,4
244,低值易耗品,4
245,集体,4
246,改良,4
247,归类,4
248,改为,4
249,教育费,4
250,预缴,4
251,停产,4
252,粤房,4
253,赛易思,4
254,艾普,4
255,新加坡,4
256,街道,4
257,长春市,4
258,授信额度,4
259,印捷,4
260,数码技术,4
261,物产,4
262,方诚,4
263,结清,4
264,板,3
265,互连,3
266,地铁,3
267,网址,3
268,工业,3
269,知名度,3
270,面向,3
271,企事业,3
272,金融机构,3
273,光纤,3
274,手段,3
275,场景,3
276,力量,3
277,通信业,3
278,公报,3
279,农村,3
280,教育,3
281,交通,3
282,服务业,3
283,流失,3
284,稳步,3
285,降费,3
286,激烈,3
287,降价,3
288,服务化,3
289,信息安全,3
290,去年同期,3
291,定期存单,3
292,新建,3
293,产业基地,3
294,广告业务,3
295,外设,3
296,机电,3
297,一体化,3
298,数据库,3
299,战略目标,3
300,商业模式,3
301,第十一届,3
302,无限期,3
303,此项,3
304,罚款,3
305,索赔,3
306,考量,3
307,公用设施,3
308,房屋出租,3
309,借入,3
310,浓度,3
311,需氧量,3
312,雾,3
313,核定,3
314,物排放,3
315,限值,3
316,楼顶,3
317,栋,3
318,总排,3
319,口个,3
320,污水,3
321,危废,3
322,储存,3
323,碱性,3
324,活性炭,3
325,吸附,3
326,整套,3
327,部门规章,3
328,行业标准,3
329,环评,3
330,许可证,3
331,渝,3
332,配置,3
333,监测,3
334,户,3
335,丹棱,3
336,街,3
337,营业部,3
338,孙敏,3
339,左进,3
340,胡滨,3
341,马建斌,3
342,董,3
343,男女,3
344,总裁兼,3
345,普华永道,3
346,医药,3
347,事业,3
348,群,3
349,吴建英,3
350,电子计算机,3
351,奥德,3
352,王雪莉,3
353,首席,3
354,辞职,3
355,按规定,3
356,保费,3
357,准备金,3
358,中央银行,3
359,中国人民银行,3
360,配件,3
361,消耗,3
362,此类,3
363,退税,3
364,先进先出,3
365,一组,3
366,毁损,3
367,专用设备,3
368,非专利,3
369,著作权,3
370,两者之间,3
371,缺勤,3
372,指除,3
373,第项,3
374,清理,3
375,进项,3
376,厅,3
377,抵消,3
378,社保,3
379,传媒,3
380,杭州,3
381,速能,3
382,专用权,3
383,存储介质,3
384,预提,3
385,华夏银行,3
386,北三环,3
387,未到,3
388,售后,3
389,租回,3
390,第年,3
391,服务平台,3
392,线路板,3
393,控,3
394,文化产业,3
395,高速,3
396,物业费,3
397,北四环,3
398,苏州工业园区,3
399,高新区,3
400,号栋,3
401,电信业务,3
402,技术推广,3
403,因特网,3
404,单元,3
405,众邦,3
406,医疗系统,3
407,手迹,3
408,互联,3
409,智家,3
410,诊所,3
411,富邦,3
412,期货,3
413,嘉信,3
414,脑,3
415,电路,3
416,经上,2
417,人寿,2
418,中华人民共和国教育部,2
419,元指,2
420,高密度,2
421,警用,2
422,自动,2
423,外文,2
424,电子信箱,2
425,南京,2
426,嘉里,2
427,商务中心,2
428,选定,2
429,媒体,2
430,张晓荣,2
431,冯,2
432,婷婷,2
433,符合国家,2
434,非金融,2
435,显失,2
436,紧密,2
437,排名,2
438,厂商,2
439,家庭,2
440,住宅,2
441,终端设备,2
442,上网,2
443,带宽,2
444,运维,2
445,切入点,2
446,基板,2
447,连接,2
448,共享,2
449,增长速度,2
450,净增,2
451,速率,2
452,图,2
453,视频,2
454,步伐,2
455,增长点,2
456,不断涌现,2
457,强国,2
458,演进,2
459,品牌优势,2
460,数字化,2
461,前列,2
462,产品线,2
463,引入,2
464,链路,2
465,商,2
466,预警,2
467,奖,2
468,科研,2
469,市场占有率,2
470,业内,2
471,弱电,2
472,安防,2
473,谋求,2
474,中国联通,2
475,终端产品,2
476,席位,2
477,亚太,2
478,冲击,2
479,省份,2
480,地理信息,2
481,拉动,2
482,毕节市,2
483,评审,2
484,走,2
485,产学研,2
486,研制,2
487,国产化,2
488,大幅度,2
489,国外,2
490,工程建设,2
491,零配件,2
492,零售,2
493,文体,2
494,承接,2
495,计算机网络,2
496,销售业务,2
497,大陆,2
498,产值,2
499,深化,2
500,绿色,2
501,工厂,2
502,融入,2
503,思路,2
504,梯队,2
505,文化,2
506,物流,2
507,变革,2
508,技术储备,2
509,服务质量,2
510,人力资源,2
511,透明度,2
512,拟以,2
513,收购人,2
514,唯一,2
515,年底,2
516,上限,2
517,另行,2
518,未向,2
519,可比,2
