,分词排序,词频
0,中毅,338
1,上海,117
2,厦门,109
3,新疆,69
4,信息,60
5,沪,52
6,贵州,51
7,深圳,47
8,银行,36
9,鹰潭,36
10,工程,34
11,生物,33
12,失信,32
13,苗木,29
14,建设,28
15,决定书,26
16,建筑,26
17,景观,25
18,河,25
19,证监会,24
20,证监局,24
21,被执行人,22
22,中观,21
23,辞职,21
24,财务会计,21
25,反对,21
26,钱云花,20
27,大申,20
28,时任,19
29,文盛案,18
30,房地产,18
31,罚款,17
32,数据,17
33,弃权,17
34,立,16
35,公章,16
36,执号,16
37,失联,15
38,安保,15
39,名单,15
40,张伟,15
41,弃权票,15
42,消耗性,15
43,第三季度,14
44,和解,14
45,陈云,14
46,营业部,14
47,资管,13
48,开具,13
49,西藏,13
50,机械,13
51,二中院,13
52,农广高科,13
53,证照,12
54,喀什,12
55,纪律处分,12
56,涉嫌,12
57,虚增,12
58,太平洋,12
59,中纺,12
60,徐汇区,12
61,网站,12
62,并未,12
63,建造,12
64,中喜,11
65,前任,11
66,警告,11
67,乌鲁木齐,11
68,年报,11
69,肖学军,10
70,印章,10
71,农,10
72,商行,10
73,责任人,10
74,益,10
75,环境,10
76,文盛,10
77,兴,10
78,警示,10
79,材料,10
80,李臻峻,10
81,张培,10
82,起任,10
83,多方,9
84,弋阳,9
85,泰,9
86,中院,9
87,贵阳,9
88,理,9
89,停滞,9
90,罚息,9
91,第条,9
92,刘晓桥,9
93,党悦栋,9
94,退出,9
95,票,9
96,人肖学军,9
97,毅达,8
98,民事诉讼,8
99,第一季度,8
100,下发,8
101,万源,8
102,一乙,8
103,海伦,8
104,施工,8
105,新任,8
106,寻求,8
107,园林绿化,8
108,案,8
109,担保责任,8
110,张秋霞,8
111,马建国,8
112,免去,8
113,第四十七,8
114,亿股,7
115,信达,7
116,处以,7
117,无力,7
118,至本,7
119,盘活,7
120,遴选,7
121,中国银行,7
122,退市,7
123,华信,7
124,授信额度,7
125,案号,7
126,任一,7
127,厚泽,7
128,第四十六,7
129,为票,7
130,反对票,7
131,未获,7
132,述职,7
133,下落不明,6
134,上河,6
135,机,6
136,湖,6
137,该案,6
138,路,6
139,沈,6
140,大道,6
141,市政工程,6
142,第六次,6
143,列入,6
144,未决,6
145,工程施工,6
146,四川,6
147,条,6
148,首个,6
149,停牌,6
150,电子,6
151,杨,6
152,永华,6
153,李宝江,6
154,刘名旭,6
155,董监,6
156,若干,6
157,晶晶,6
158,郑明,6
159,李,6
160,代,6
161,北京,6
162,杨世峰,6
163,摘要,6
164,财务决算,6
165,对立,6
166,移交,6
167,缺失,6
168,油气,6
169,投出,6
170,追索权,6
171,嵌入,6
172,现状,6
173,名下,5
174,交接,5
175,账簿,5
176,列为,5
177,配合,5
178,商票,5
179,中毅达,5
180,一中院,5
181,艺术,5
182,谨慎,5
183,化解,5
184,危机,5
185,负面影响,5
186,复利,5
187,律师费,5
188,民事裁定,5
189,书,5
190,原已,5
191,观山,5
192,频繁,5
193,该笔,5
194,上交,5
195,异议,5
196,撤诉,5
197,杨世锋,5
198,马文彪,5
199,孔令勇,5
200,常务,5
201,耿昱,5
202,适合,5
203,户,5
204,外资股,5
205,何晓阳,5
206,核实,5
207,程小兰,5
208,黄皓辉,5
209,新民,5
210,回复,5
211,问询,5
212,熟悉,5
213,自用,5
214,彼岸,5
215,拾,5
216,捌,5
217,外汇,5
218,已有,4
219,查明,4
220,工作人员,4
221,法定期限,4
222,谴责,4
223,沪证,4
224,钱峰,4
225,福建,4
226,科技,4
227,建设工程,4
228,二中,4
229,虹口区,4
230,金融街,4
231,园林工程,4
232,链断裂,4
233,失控,4
234,了结,4
235,会计凭证,4
236,对大申,4
237,作价,4
238,抵偿,4
239,尽快,4
240,公司债务,4
241,开源节流,4
242,妥善处置,4
243,洽谈,4
244,元较,4
245,闽,4
246,以元,4
247,保全费,4
248,判决书,4
249,开庭审理,4
250,应诉,4
251,最高人民法院,4
252,负,4
253,可比,4
254,送达,4
255,副本,4
256,下以,4
257,李春蓉,4
258,文革,4
259,为大申,4
260,法律顾问,4
261,男代,4
262,黄峰,4
263,令勇,4
264,在职,4
265,稽核,4
266,审计部,4
267,财务经理,4
268,王乐栋,4
269,郭学,4
270,教育,4
271,对此,4
272,当日,4
273,十次,4
274,过于,4
275,第五十,4
276,中仅,4
277,胜任,4
278,中央银行,4
279,近似,4
280,土地,4
281,保险费,4
282,乘以,4
283,率以,4
284,正安县,4
285,锦朗,4
286,兴辽,4
287,三季度,4
288,汇票,4
289,庭审,4
290,瘫痪,3
291,报案,3
292,按规定,3
293,高院,3
294,产业园,3
295,达源,3
296,前海,3
297,江西,3
298,农村,3
299,商业银行,3
300,弋阳县,3
301,香港,3
302,文汇报,3
303,座层,3
304,公司总部,3
305,陆续,3
306,员工工资,3
307,账册,3
308,园林,3
309,公安机关,3
310,章,3
311,印鉴,3
312,新刻,3
313,寻找,3
314,增长点,3
315,健康,3
316,存量,3
317,能力差,3
318,低效,3
319,而本,3
320,多笔,3
321,长期贷款,3
322,负担,3
323,达本,3
324,争议,3
325,违法行为,3
326,驳回上诉,3
327,维持原判,3
328,至此,3
329,接获,3
330,被诉,3
331,共起,3
332,竣工,3
333,三案,3
334,执恢号,3
335,移出,3
336,再审,3
337,触及,3
338,第四项,3
339,股票交易,3
340,否定,3
341,自本,3
342,十五个,3
343,起诉状,3
344,决号,3
345,井冈山,3
346,山地,3
347,自行车赛,3
348,庞森友,3
349,排污,3
350,之二,3
351,裁定书,3
352,完,3
353,至该,3
354,倪赣,3
355,受让方,3
356,严荣,3
357,文彦,3
358,黄新浩,3
359,邓将军,3
360,永亮,3
361,周志军,3
362,鹏飞,3
363,汉唐,3
364,南京,3
365,闫东夜,3
366,本科,3
367,侯庆路,3
368,宋欣燃,3
369,混乱,3
370,瑕疵,3
371,未说明,3
372,此种,3
373,第五次,3
374,通讯,3
375,整改措施,3
376,人选,3
377,免职,3
378,擅自,3
379,一季度,3
380,常年,3
381,亿多,3
382,失效,3
383,独董,3
384,故投,3
385,简单,3
386,阐述,3
387,述,3
388,追偿,3
389,真实性,3
390,借支,3
391,领导,3
392,绝大部分,3
393,保费,3
394,准备金,3
395,指为,3
396,可变,3
397,视,3
398,混合,3
399,苗圃,3
400,工程项目,3
401,耗用,3
402,除净,3
403,如本,3
404,中除,3
405,建筑物,3
406,造价,3
407,权日,3
408,政策性,3
409,款额,3
410,无年,3
411,一至,3
412,检索,3
413,原审,3
414,遂,3
415,供货,3
416,代理律师,3
417,元案,3
418,尊重,2
419,表示同意,2
420,尽力,2
421,采取相应,2
422,尽早,2
423,查阅,2
424,投资人,2
425,上海市第一中级人民法院,2
426,换发,2
427,刻制,2
428,涉诉,2
429,我会,2
430,并处,2
431,宝利盛,2
432,天佑,2
433,监管局,2
434,建筑工程,2
435,达观山,2
436,指信,2
437,机电,2
438,纺织机械,2
439,执字,2
440,人因,2
441,人为,2
442,外文,2
443,电子信箱,2
444,网址,2
445,座,2
446,单元,2
447,淮海中路,2
448,嘉华,2
449,室,2
450,媒体,2
451,大街,2
452,股改,2
453,非金融,2
454,自然灾害,2
455,显失,2
456,土木工程,2
457,建筑业,2
458,刚性,2
459,未有,2
460,接收,2
461,派遣,2
462,第七次,2
463,追回,2
464,隐匿,2
465,遗失,2
466,补发,2
467,在内,2
468,管理局,2
469,非正常,2
470,死亡,2
471,票面价值,2
472,纸质,2
473,新乌,2
474,证内字,2
475,法律文书,2
476,终结,2
477,后极,2
478,欠,2
479,元及,2
480,暂计,2
481,年利率,2
