,分词排序,词频
0,神奇,333
1,贵州,157
2,制药,154
3,医药,145
4,药业,96
5,药品,96
6,斑蝥,77
7,酸钠,70
8,上海,66
9,胶囊,59
10,贵阳,58
11,龙里,53
12,信息,53
13,工程,49
14,环保,49
15,分厂,43
16,中药,43
17,建设,40
18,数据,39
19,柏强,38
20,抗肿瘤,36
21,药,36
22,广东,35
23,注射液,35
24,用药,35
25,止咳,32
26,贵州省,32
27,维生素,30
28,治疗,29
29,枇杷,29
30,医保,29
31,金桥,28
32,生物,27
33,质量标准,26
34,民族,25
35,疗效,25
36,药店,25
37,永生,24
38,颗粒,24
39,健康,24
40,复方,24
41,制造,22
42,医药行业,21
43,临床,21
44,药材,19
45,滨州,18
46,珊瑚,18
47,基层,18
48,系列产品,18
49,污水处理,18
50,张涛涛,17
51,中药材,17
52,终端,17
53,万瓶,15
54,药房,14
55,制剂,14
56,癣,14
57,潜力,14
58,迈,14
59,吉斯,14
60,房地产,14
61,处方药,13
62,医疗,13
63,感冒,13
64,天麻,13
65,滴丸,13
66,中成药,13
67,化学,13
68,类药物,13
69,小儿,13
70,连锁,13
71,排放,13
72,医生,13
73,都匀,13
74,沙文,12
75,重庆,12
76,医疗机构,12
77,心脑血管,12
78,金乌,12
79,骨通,12
80,精乌,12
81,淄博,12
82,农业用地,12
83,盛世,11
84,龙方,11
85,制造业,11
86,补益,11
87,资源,11
88,车间,11
89,刚冲霞,10
90,得利,10
91,丹心,10
92,泰,10
93,医院,10
94,工业,10
95,新药,10
96,荣誉称号,10
97,独家,10
98,污水,10
99,衍生物,10
100,张芝庭,10
101,银行,10
102,宏仁,10
103,王霞娟,9
104,广,9
105,大酒店,9
106,两票,9
107,号楼,9
108,强力,9
109,控费,9
110,药物,9
111,荣获,9
112,教育,9
113,氨基酸,9
114,龙里县,9
115,万盒,9
116,类否,9
117,氨酚,9
118,甲基,9
119,贵阳市,9
120,土地,9
121,西部,9
122,康正,8
123,立信,8
124,网站,8
125,露,8
126,新版,8
127,零售,8
128,保险,8
129,审评,8
130,文化,8
131,肿瘤,8
132,环境,8
133,症,8
134,星岛,8
135,乌蛸,8
136,蛇,8
137,君之堂,7
138,香港,7
139,商报,7
140,安神,7
141,孙,7
142,配送,7
143,生产工艺,7
144,网络,7
145,医疗保险,7
146,带量,7
147,驰名商标,7
148,著名商标,7
149,患者,7
150,管网,7
151,在线,7
152,监测,7
153,环境影响,7
154,高新技术,7
155,液,7
156,仿制,7
157,中医药,7
158,交流,7
159,酸,7
160,制备,7
161,来源于,7
162,盒元盒,7
163,主导产品,7
164,新柏强,7
165,张沛,7
166,医学院,7
167,消耗性,7
168,山东,6
169,医科大学,6
170,监督管理,6
171,总局,6
172,卫生,6
173,原料药,6
174,非处方药,6
175,抗真菌,6
176,统筹,6
177,物流,6
178,意识,6
179,出台,6
180,统计,6
181,方针,6
182,动态,6
183,葡萄糖,6
184,路径,6
185,环保部门,6
186,停产,6
187,污染,6
188,市场准入,6
189,万支,6
190,滴注,6
191,烷胺,6
192,油气,6
193,材料,6
194,建造,6
195,堂,6
196,拨,6
197,医改,5
198,深化,5
199,体制改革,5
200,国务院,5
201,威海路,5
202,长发,5
203,室,5
204,妇科,5
205,骨科,5
206,技术创新,5
207,学术,5
208,全面实施,5
209,生育,5
210,呈现,5
211,此次,5
212,动力,5
213,以期,5
214,知名度,5
215,实时,5
216,发明专利,5
217,二次开发,5
218,梯队,5
219,西南,5
220,黄芩,5
221,水飞,5
222,蓟素,5
223,苦丁茶,5
224,大蠊,5
225,良好基础,5
226,丹香,5
227,对比,5
228,环境保护,5
229,整治,5
230,督促,5
231,污水排放,5
232,新建,5
233,工业园区,5
234,助力,5
235,四川,5
236,减幅,5
237,角度,5
238,炔雌醇,5
239,甲,5
240,羟,5
241,孕酮,5
242,丸,5
243,信息化,5
244,九州,5
245,柏,5
246,清理,5
247,锅炉,5
248,印务,5
249,金笔,5
250,飞天,5
251,竞晖,4
252,王强,4
253,用品,4
254,成品,4
255,广发,4
256,覆盖全国,4
257,大部分,4
258,大宗,4
259,招投标,4
260,剂型,4
261,绿色,4
262,一套,4
263,促销,4
264,直营,4
265,应急,4
266,检验,4
267,长江,4
268,退出,4
269,来看,4
270,美誉度,4
271,市场占有率,4
272,化痰,4
273,定位,4
274,挖掘,4
275,产品线,4
276,顺利,4
277,增,4
278,知名,4
279,肺癌,4
280,原辅,4
281,接到,4
282,责令,4
283,排入,4
284,污染物,4
285,中央,4
286,上报,4
287,队伍,4
288,更好,4
289,践行,4
290,联合会,4
291,百强,4
292,脱贫,4
293,攻坚,4
294,配合,4
295,售后,4
296,回租,4
297,放缓,4
298,化药,4
299,激烈,4
300,肝肾,4
301,肢体,4
302,麻木,4
303,症候,4
304,支气管炎,4
305,原发性,4
306,肝癌,4
307,白细胞,4
308,低下,4
309,亦可,4
310,肝炎,4
311,肝硬化,4
312,乙型肝炎,4
313,携带者,4
314,基药,4
315,喷雾剂,4
316,杜仲,4
317,糖浆,4
318,类类,4
319,粒盒,4
320,粒瓶元,4
321,瓶元瓶,4
322,无年,4
323,价格下降,4
324,夯实,4
325,民众,4
326,输出,4
327,一批,4
328,户,4
329,康强,4
330,文邦英,4
331,排污,4
332,佳佳,4
333,酒店,4
334,徐丹,4
335,陈劲,4
336,清华大学,4
337,黔南,4
338,中央银行,4
339,包装物,4
340,养老保险,4
341,缴费,4
342,华信,4
343,净化,4
344,嘉合,4
345,金芳,4
346,圣济堂,4
347,教育费,4
348,高新,4
349,需求量,3
350,医药卫生,3
351,处方,3
352,开,3
353,发票,3
354,环节,3
355,克兢,3
356,广场,3
357,符合国家,3
358,交通银行,3
359,申万,3
360,宏源,3
361,风湿,3
362,骨病,3
363,成熟,3
364,二次,3
365,清晰,3
366,采购部,3
367,谈判,3
368,原辅材料,3
369,生产能力,3
370,智能,3
371,专业化,3
372,管理模式,3
373,分销,3
374,高度,3
375,颁发,3
376,降价,3
377,利润率,3
378,医疗卫生,3
379,供给,3
380,侧,3
381,拟订,3
382,政策措施,3
383,检测,3
384,结构性,3
385,医疗器械,3
386,细,3
387,分子,3
388,主流,3
389,激发,3
390,活力,3
391,在内,3
392,中选,3
393,独特,3
394,旗下,3
395,注射剂,3
396,位列,3
397,第名,3
398,十大,3
399,艾易,3
400,线条,3
401,监管部门,3
402,外观,3
403,紧紧围绕,3
404,姜,3
405,苗药,3
406,中心医院,3
407,癌症,3
408,银盏,3
409,心脉,3
410,抓,3
411,高度重视,3
412,健全,3
413,包料,3
414,态势,3
415,预警,3
416,诸多,3
417,废水,3
418,罚款,3
419,贰,3
420,拾,3
421,详情请,3
422,复,3
423,收集,3
424,可视化,3
425,联网,3
426,异常情况,3
427,督察组,3
428,回头,3
429,防治,3
430,清单,3
431,守住,3
432,底线,3
433,严碰,3
434,红线,3
435,一票否决制,3
436,开工,3
437,政策法规,3
438,贡献,3
439,深耕,3
440,把握,3
441,多元化,3
442,形象,3
443,积分,3
444,河南,3
445,举措,3
446,荣誉,3
447,商会,3
448,全县,3
449,抗菌,3
450,消炎类,3
451,公立医院,3
452,议价,3
453,不断深入,3
454,速度,3
455,缺乏,3
456,胶囊剂,3
457,短期内,3
458,产品名称,3
459,跨,3
460,瘀血,3
461,闭阻,3
462,痰,3
463,咳嗽,3
464,药用,3
465,化药类,3
466,驰名,3
467,科研机构,3
468,打下,3
469,指纹,3
470,图谱,3
471,限度,3
472,桔梗,3
473,北豆根,3
474,那敏片,3
475,斑蝥素,3
476,天士力,3
477,支元,3
478,盒元,3
479,广告宣传,3
480,通讯费,3
481,四个,3
482,第九次,3
483,更大,3
484,立足,3
485,长远,3
486,积极开展,3
487,产业园,3
488,上涨,3
489,种植,3
490,第二阶段,3
491,第一家,3
492,天然气,3
493,张之君,3
494,张娅,3
495,罗,3
496,召集人,3
497,计财处,3
498,处长,3
499,旅游,3
500,技术开发区,3
501,年任,3
502,通讯,3
503,报字,3
504,保费,3
505,准备金,3
506,仟,3
507,低值易耗品,3
508,建筑物,3
509,机器设备,3
510,工程项目,3
511,艾纳香,3
512,列,3
513,工会,3
514,教育经费,3
515,仓库,3
516,账,3
517,黔,3
518,南明区,3
519,英雄,3
520,固体,3
521,饮片,3
522,别别,3
523,可回收,3
524,稳定期,3
525,社区,3
526,发展局,3
527,价,3
528,德堡,3
529,宇龙,3
530,纸制品,3
531,堂大,3
532,房产,3
533,委托人,2
534,公务,2
535,国家药监局,2
536,办,2
537,计划生育,2
538,基本准则,2
539,医师,2
540,即可,2
541,公众,2
542,调配,2
543,外文,2
544,联系地址,2
545,电子信箱,2
546,吴,2
547,网址,2
548,鸿,2
549,天河区,2
550,天河,2
551,北路,2
552,大都会,2
553,杜晓炜,2
554,坚实,2
555,吉林,2
556,康正为,2
557,激活,2
558,八大,2
559,内外部,2
560,创新能力,2
561,定,2
562,包装材料,2
563,为神,2
564,必奇,2
565,质量方针,2
566,积极探索,2
567,低价,2
568,价格体系,2
569,国计民生,2
570,战略性,2
571,人民,2
572,持续增长,2
573,人口,2
574,老龄化,2
575,二孩,2
576,保健,2
577,大处方,2
578,手段,2
579,兴业,2
580,共享,2
581,医疗保障,2
582,回升,2
583,川财,2
584,提,2
585,列入,2
586,利好,2
587,延伸,2
588,已然,2
589,通用,2
590,降幅,2
591,超出,2
592,带动,2
593,销售价格,2
594,最具,2
595,现已,2
596,批准文号,2
597,位居,2
598,前列,2
599,定点,2
600,门,2
601,第位,2
602,消耗,2
603,体现,2
604,几个,2
605,确立,2
606,母,2
607,娃娃,2
608,速可停,2
609,速宁达,2
610,奇宁达,2
611,康莱,2
612,印象,2
613,品牌战略,2
614,系统性,2
615,塑造,2
616,品牌形象,2
617,金字招牌,2
618,内涵,2
619,奉行,2
620,继承,2
621,锤炼,2
622,心血管,2
623,飞行,2
624,优良,2
625,申请专利,2
626,改革开放,2
627,复杂多变,2
628,稳中求进,2
629,危中,2
630,求机,2
631,求变,2
632,稳步增长,2
633,研究成果,2
634,国家专利,2
635,五个,2
636,奠定,2
637,稳定性,2
638,增长点,2
639,各大,2
640,对照,2
641,中晚期,2
642,二线,2
643,分册,2
644,中国协和医科大学,2
645,出版社,2
646,第版,2
647,主编,2
648,化疗,2
649,生存,2
650,心血管病,2
651,高质量,2
652,安全性,2
653,贯彻,2
654,补短,2
655,建立健全,2
656,垄断,2
657,艰难,2
658,市政,2
659,黄泥,2
660,哨,2
661,处理厂,2
662,含量,2
663,标准规定,2
664,限值,2
665,环保局,2
666,处以,2
667,整并,2
668,公司公告,2
669,突发事件,2
670,工作组,2
671,杜绝,2
672,扩建,2
673,达标,2
674,例行,2
675,检修,2
676,产后,2
677,制订,2
678,层层,2
679,分解,2
680,逐级,2
681,落实到人,2
682,三废,2
683,责任制,2
684,检查和,2
685,绿水青山,2
686,应有,2
687,洗牌,2
688,抢抓,2
689,稳步发展,2
690,指导思想,2
691,力争,2
692,氛围,2
693,干边,2
694,树立,2
695,协作,2
696,搭建,2
697,调动,2
698,积极性,2
699,业绩考核,2
700,局面,2
701,业界,2
702,广西,2
703,安徽,2
704,甘肃,2
705,近千名,2
706,学员,2
707,诊疗,2
708,品牌价值,2
709,经典,2
710,中华全国,2
711,荣誉证书,2
712,企业家,2
713,同期相比,2
714,放量,2
715,产品价格,2
716,二非,2
717,上游,2
718,国际标准,2
719,下滑,2
720,在于,2
721,颗粒剂,2
722,糖浆剂,2
723,膏剂,2
724,酊剂,2
725,传统,2
726,涨价,2
727,成本上升,2
728,深入研究,2
729,壁垒,2
730,班蝥,2
731,功能主治,2
732,滋补,2
733,祛风除湿,2
734,活血,2
735,通络,2
736,风,2
737,寒湿,2
738,痹,2
739,骨质,2
740,疏松,2
741,骨质增生,2
742,腰,2
743,腿,2
744,酸痛,2
745,杀菌,2
746,止痒,2
747,脚癣,2
748,脚气,2
749,双,2
750,鹅掌风,2
751,甲癣,2
752,灰指甲,2
753,活血化瘀,2
754,通脉,2
755,止痛,2
756,胸,2
757,痹症,2
758,胸闷,2
759,胸痛,2
760,心悸,2
761,冠心病,2
762,心绞痛,2
763,止嗽,2
764,热蕴,2
765,肺,2
766,咯痰,2
767,平肝,2
768,息风止,2
769,痉,2
770,肝风,2
771,上扰,2
772,眩晕,2
773,头痛,2
774,癫痫,2
775,抽搐,2
776,补肝肾,2
777,益精,2
778,血壮,2
779,失眠,2
780,多梦,2
781,耳鸣,2
782,健忘,2
783,头发,2
784,脱落,2
785,须发,2
786,阴敛,2
787,肺镇,2
788,祛痰,2
789,久,2
790,劳嗽,2
791,病毒,2
792,类全,2
793,类风湿,2
794,舒君,2
795,之堂,2
796,道路,2
797,攻关,2
798,多家,2
799,纳,2
800,大专院校,2
801,提取液,2
802,去除,2
803,鞣质,2
804,蛋白质,2
805,革新,2
806,降香,2
807,有效成分,2
808,口鼻清,2
809,丹,2
810,栀,2
811,双降袋,2
812,泡剂,2
813,伤复欣,2
814,溶液,2
815,尿素,2
816,咪康唑,2
817,软膏,2
818,复合,2
819,投料,2
820,鞣,2
821,柳,2
822,硼,2
823,三酸散,2
824,苗,2
825,批件,2
826,动,2
827,可比,2
