,分词排序,词频
0,上海,310
1,建筑设计,193
2,华东,141
3,工程,131
4,建筑,98
5,现代集团,78
6,建设,69
7,设计院,62
8,华建,60
9,信息,60
10,武汉,48
11,建设工程,34
12,正华,32
13,环境,31
14,勘察,30
15,科技,27
16,工程设计,26
17,无锡市,25
18,宝华,21
19,华建数,21
20,数据,21
21,韵筑,20
22,市政,20
23,扶贫,19
24,创,18
25,监理,18
26,房地产,18
27,政,17
28,签合同,16
29,院,16
30,资源,16
31,银行,16
32,国盛,15
33,全过程,15
34,水利,14
35,装饰,14
36,施工,14
37,元整,14
38,项目管理,13
39,工程施工,13
40,雷鸣,13
41,增至,13
42,秦,12
43,国有资产,12
44,工程建设,12
45,分包,12
46,文化,12
47,一体化,12
48,申元,12
49,盛,12
50,甲级,12
51,水利工程,11
52,高新技术,11
53,改制,11
54,工程技术,11
55,沪,11
56,俱,11
57,监督管理,10
58,华盖,10
59,物业管理,10
60,石门,10
61,二路,10
62,来看,10
63,信息技术,10
64,软件,10
65,派遣,10
66,吴峰宇,10
67,何静,9
68,工程项目,9
69,集成化,9
70,工商银行,9
71,信托,9
72,自非,9
73,建造,9
74,反向,9
75,圆,9
76,科研经费,9
77,总院,8
78,威尔逊,8
79,网站,8
80,定位,8
81,装修,8
82,深化,8
83,三级,8
84,业主,8
85,岩土,8
86,办公楼,8
87,生物,8
88,四级,8
89,鑫,8
90,决策者,8
91,建筑物,8
92,咨,7
93,江西省,7
94,承接,7
95,从业人员,7
96,建筑工程,7
97,人工,7
98,涉诉,7
99,冻结资金,7
100,建筑师,7
101,华建盛裕,7
102,干部,7
103,卓福民,7
104,对比,7
105,人秦,7
106,整年,7
107,建材,7
108,政院,6
109,集成,6
110,承包工程,6
111,信息化,6
112,传统,6
113,交通,6
114,城,6
115,生态,6
116,公用,6
117,国际化,6
118,越南,6
119,申昆,6
120,和解,6
121,暂定名,6
122,咨询服务,6
123,香港,6
124,兰德,6
125,公路工程,6
126,脱贫,6
127,核定,6
128,退休,6
129,岗,6
130,油气,6
131,增发,6
132,土地,6
133,作价,6
134,代理人,6
135,乘以,6
136,房租,6
137,国家税务局,6
138,地方税务局,6
139,颁发,6
140,静安,6
141,测算,6
142,王表龙,6
143,国资委,5
144,棱光,5
145,众华,5
146,一家,5
147,城镇,5
148,招投标,5
149,一路,5
150,基础设施,5
151,工业,5
152,江北,5
153,产业园,5
154,陕西省,5
155,地下,5
156,旅游,5
157,教育,5
158,江湾,5
159,申通,5
160,金浦,5
161,期后,5
162,新兴,5
163,延伸,5
164,层面,5
165,合资,5
166,工商登记,5
167,通讯,5
168,集,5
169,静安区,5
170,开具,5
171,财通,5
172,秦云,5
173,经理人,5
174,纪委书记,5
175,工会,5
176,力,5
177,据此,5
178,取决于,5
179,模型,5
180,更妥,5
181,至本,5
182,以非,5
183,审图,5
184,公路,5
185,筑京,5
186,境源,5
187,环艺,5
188,河南,5
189,决策权,5
190,龄,5
191,专利权,5
192,缺勤,5
193,残疾,5
194,换取,5
195,科学技术委员会,5
196,系本,5
197,抵押物,5
198,见本,5
199,都市,4
200,西北,4
201,雄安,4
202,江,4
203,高品质,4
204,策划,4
205,评审,4
206,投标,4
207,高质量,4
208,一带,4
209,现状,4
210,快速增长,4
211,呈现,4
212,多元化,4
213,多样化,4
214,态势,4
215,资本运作,4
216,体现,4
217,人才队伍,4
218,有人,4
219,建筑行业,4
220,住房,4
221,临港,4
222,成都,4
223,城市规划,4
224,湖北省,4
225,科研,4
226,保全,4
227,所有制,4
228,清单,4
229,对策,4
230,更好,4
231,第二十五次,4
232,多方,4
233,实缴,4
234,注册资金,4
235,市政工程,4
236,材料,4
237,技术咨询,4
238,中国香港,4
239,高新,4
240,城市更新,4
241,政府部门,4
242,毁损,4
243,置入,4
244,号本,4
245,项中,4
246,朱建弟,4
247,张晓明,4
248,工会主席,4
249,北京,4
250,地产,4
251,运营部,4
252,工作量,4
253,选聘,4
254,所示,4
255,审验,4
256,测量,4
257,选取,4
258,以未,4
259,派送,4
260,名下,4
261,后本,4
262,业经,4
263,产权交易,4
264,乙级,4
265,艺卡迪,4
266,项归,4
267,商标权,4
268,带薪,4
269,元及,4
270,资格证书,4
271,所得税率,4
272,虚拟化,4
273,桌面,4
274,服务器,4
275,差,4
276,异,4
277,结余,4
278,德克萨斯州,4
279,登记日,3
280,院指,3
281,华南,3
282,徐志浩,3
283,黄浦区,3
284,西藏,3
285,网址,3
286,服务供应商,3
287,规划设计,3
288,风景园林,3
289,此基础,3
290,理性,3
291,增量,3
292,扩张,3
293,利润率,3
294,管理模式,3
295,经营风险,3
296,热点,3
297,持续增长,3
298,分子,3
299,列入,3
300,美誉度,3
301,会展中心,3
302,交通枢纽,3
303,医院,3
304,执业,3
305,转化,3
306,技术创新,3
307,分支机构,3
308,新建,3
309,深圳,3
310,江苏,3
311,金融中心,3
312,小镇,3
313,海南,3
314,逐年,3
315,东南亚,3
316,非洲,3
317,专业化,3
318,走向,3
319,垂直,3
320,互联网,3
321,联,3
322,城投,3
323,物业,3
324,技术转让,3
325,软硬件,3
326,股东会,3
327,为此,3
328,外部环境,3
329,道路,3
330,虚拟,3
